MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	2.77E-04	3.18E-04	4.39E-05	3.55E-04	7.54E-04
1:Del:C:1	3.32E-04	4.01E-04	4.32E-05	3.56E-04	8.95E-04
1:Del:C:2	2.55E-04	2.38E-04	3.87E-05	2.46E-04	5.97E-04
1:Del:C:3	1.45E-04	1.42E-04	5.47E-05	1.47E-04	3.90E-04
1:Del:C:4	9.17E-05	7.03E-05	8.22E-05	9.67E-05	3.15E-04
1:Del:C:5	6.26E-05	5.27E-05	1.26E-04	3.97E-05	2.66E-04
1:Del:T:0	2.44E-04	2.44E-04	3.73E-05	3.44E-04	7.00E-04
1:Del:T:1	1.83E-04	2.20E-04	3.11E-05	2.89E-04	5.40E-04
1:Del:T:2	1.70E-04	2.02E-04	4.75E-05	2.86E-04	5.61E-04
1:Del:T:3	1.40E-04	2.31E-04	8.41E-05	2.82E-04	6.25E-04
1:Del:T:4	1.44E-04	2.11E-04	1.47E-04	2.12E-04	3.68E-04
1:Del:T:5	3.08E-04	7.56E-04	4.30E-04	6.77E-04	1.19E-03
1:Ins:C:0	7.63E-05	1.10E-04	2.14E-05	1.07E-04	3.36E-04
1:Ins:C:1	5.17E-05	7.38E-05	1.47E-05	8.27E-05	1.86E-04
1:Ins:C:2	4.34E-05	5.05E-05	1.48E-05	7.44E-05	1.89E-04
1:Ins:C:3	3.99E-05	5.12E-05	3.13E-05	7.00E-05	1.48E-04
1:Ins:C:4	3.44E-05	5.15E-05	4.79E-05	6.02E-05	1.38E-04
1:Ins:C:5	8.76E-05	1.52E-04	7.67E-05	5.34E-05	4.47E-04
1:Ins:T:0	7.69E-05	1.20E-04	1.83E-05	1.09E-04	4.47E-04
1:Ins:T:1	1.52E-04	2.07E-04	2.05E-05	2.42E-04	2.38E-04
1:Ins:T:2	1.04E-04	1.39E-04	6.44E-05	1.44E-04	2.76E-04
1:Ins:T:3	8.45E-05	1.14E-04	5.15E-05	1.16E-04	2.96E-04
1:Ins:T:4	7.21E-05	1.14E-04	4.52E-05	1.27E-04	2.09E-04
1:Ins:T:5	1.69E-03	1.60E-03	3.76E-04	1.61E-03	2.94E-03
2:Del:R:0	8.81E-05	1.11E-04	1.57E-05	1.42E-04	3.30E-04
2:Del:R:1	9.45E-05	1.25E-04	4.63E-05	2.04E-04	4.20E-04
2:Del:R:2	4.50E-05	7.86E-05	3.17E-05	8.85E-05	1.91E-04
2:Del:R:3	3.12E-05	4.50E-05	3.81E-05	5.08E-05	1.65E-04
2:Del:R:4	1.91E-05	1.79E-05	2.91E-05	2.85E-05	1.29E-04
2:Del:R:5	1.70E-05	1.21E-05	3.71E-05	3.04E-06	2.19E-04
3:Del:R:0	6.59E-05	5.34E-05	9.59E-06	1.33E-04	2.23E-04
3:Del:R:1	7.19E-05	1.30E-04	3.54E-05	1.61E-04	3.80E-04
3:Del:R:2	4.22E-05	6.81E-05	2.27E-05	6.12E-05	1.51E-04
3:Del:R:3	2.03E-05	3.74E-05	1.06E-05	2.22E-05	8.99E-05
3:Del:R:4	1.04E-05	1.57E-05	1.25E-05	2.31E-05	6.34E-05
3:Del:R:5	5.56E-06	1.02E-05	1.17E-05	3.17E-07	4.98E-05
4:Del:R:0	5.48E-05	5.44E-05	5.25E-06	1.39E-04	2.34E-04
4:Del:R:1	6.93E-05	9.87E-05	2.59E-05	1.32E-04	2.62E-04
4:Del:R:2	3.14E-05	5.73E-05	1.78E-05	2.55E-05	1.77E-04
4:Del:R:3	2.15E-05	3.49E-05	1.13E-05	3.48E-05	1.29E-04
4:Del:R:4	1.31E-05	2.24E-05	3.78E-06	8.46E-06	3.17E-05
4:Del:R:5	7.67E-06	1.24E-05	4.62E-06	1.14E-05	5.59E-05
5:Del:R:0	2.62E-04	4.91E-05	1.73E-05	6.54E-04	8.92E-04
5:Del:R:1	4.54E-05	6.59E-05	1.48E-05	1.19E-04	2.47E-04
5:Del:R:2	2.07E-05	2.83E-05	8.39E-06	3.28E-05	8.62E-05
5:Del:R:3	1.04E-06	1.03E-05	2.71E-06	6.45E-06	4.78E-05
5:Del:R:4	3.81E-06	3.67E-06	2.00E-06	4.34E-06	2.98E-05
5:Del:R:5	2.84E-06	8.03E-07	8.07E-11	3.87E-06	6.78E-10
2:Ins:R:0	4.89E-05	8.05E-05	1.39E-05	9.93E-05	4.58E-04
2:Ins:R:1	6.23E-05	8.72E-05	1.72E-05	1.01E-04	2.49E-04
2:Ins:R:2	4.14E-05	5.24E-05	1.56E-05	8.00E-05	1.86E-04
2:Ins:R:3	2.33E-05	3.14E-05	1.46E-05	5.02E-05	1.10E-04
2:Ins:R:4	1.60E-05	4.16E-05	3.49E-05	4.28E-05	1.28E-04
2:Ins:R:5	1.18E-06	7.56E-05	7.27E-05	5.87E-06	3.02E-04
3:Ins:R:0	2.22E-05	2.27E-05	1.03E-05	5.33E-05	2.26E-04
3:Ins:R:1	5.76E-05	7.82E-05	0.00E+00	8.23E-05	1.87E-04
3:Ins:R:2	2.03E-05	2.87E-05	1.19E-06	5.44E-05	8.65E-05
3:Ins:R:3	6.15E-06	8.62E-06	1.61E-06	1.14E-05	2.32E-05
3:Ins:R:4	4.68E-06	7.54E-06	9.03E-06	7.97E-06	3.75E-06
3:Ins:R:5	5.89E-06	1.96E-05	1.55E-05	1.01E-05	7.85E-05
4:Ins:R:0	2.33E-05	4.62E-05	5.90E-06	6.14E-05	3.72E-04
4:Ins:R:1	4.05E-05	6.65E-05	9.50E-06	6.61E-05	1.97E-04
4:Ins:R:2	1.13E-05	1.31E-05	0.00E+00	3.38E-05	7.12E-05
4:Ins:R:3	3.97E-06	7.56E-06	2.80E-06	2.12E-05	3.23E-05
4:Ins:R:4	4.33E-06	1.61E-05	1.09E-05	1.48E-05	4.86E-05
4:Ins:R:5	1.70E-05	2.99E-05	3.84E-06	3.52E-05	6.51E-05
5:Ins:R:0	2.04E-09	2.50E-09	1.21E-06	3.53E-08	1.66E-03
5:Ins:R:1	1.08E-04	1.47E-04	0.00E+00	2.04E-04	4.48E-04
5:Ins:R:2	1.96E-05	3.59E-05	6.00E-06	5.27E-05	8.63E-05
5:Ins:R:3	9.49E-06	1.94E-05	5.43E-11	3.87E-06	6.94E-05
5:Ins:R:4	8.93E-06	1.56E-05	3.37E-11	4.43E-06	2.00E-05
5:Ins:R:5	6.93E-06	1.03E-05	2.02E-10	1.10E-05	5.97E-06
2:Del:M:1	1.04E-04	1.36E-04	3.40E-05	2.23E-04	3.97E-04
3:Del:M:1	6.51E-05	6.86E-05	8.94E-06	1.32E-04	2.29E-04
3:Del:M:2	6.50E-05	9.13E-05	2.52E-05	1.32E-04	2.28E-04
4:Del:M:1	5.09E-05	5.33E-05	1.26E-05	1.28E-04	2.07E-04
4:Del:M:2	6.09E-05	8.08E-05	1.62E-05	1.27E-04	1.95E-04
4:Del:M:3	6.37E-05	8.56E-05	2.59E-05	1.22E-04	2.59E-04
5:Del:M:1	2.62E-04	1.77E-04	1.57E-05	5.70E-04	7.80E-04
5:Del:M:2	2.55E-04	2.08E-04	2.04E-05	5.19E-04	5.97E-04
5:Del:M:3	1.78E-04	1.70E-04	1.17E-05	3.61E-04	4.14E-04
5:Del:M:4	8.10E-05	9.93E-05	8.71E-06	2.44E-04	4.02E-04
5:Del:M:5	7.01E-05	1.26E-04	1.74E-05	2.32E-04	3.89E-04
