Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,92300.0%,31.45%,120.23%,27.93%,111.24,0.1487,1.5915,0.056,0.625,0.935,0.269
3,1.0,0.99,NO,N/A,57900.0%,25.52%,116.36%,17.84%,95.33,0.1192,1.5857,0.028,0.596,0.966,0.278
4,1.0,0.99,NO,N/A,45800.0%,23.17%,115.46%,15.85%,79.88,0.1041,1.8767,0.02,0.334,0.975,0.606
5,0.99,0.96,YES,1.89e-06,39300.0%,21.96%,106.35%,14.94%,71.29,0.0941,1.5014,0.017,0.286,0.979,0.654
6,0.87,0.52,NO,N/A,36000.0%,20.84%,104.71%,14.07%,71.02,0.0899,1.4487,0.015,0.28,0.981,0.662
7*,0.93,0.79,YES,Most Stab Sigs,34200.0%,19.88%,104.61%,12.82%,71.0,0.0866,1.4201,0.014,0.287,0.983,0.651
8,0.78,-0.1,NO,N/A,31300.0%,19.34%,104.36%,12.34%,67.81,0.0845,1.2803,0.013,0.264,0.984,0.673
9,0.67,-0.44,NO,N/A,29700.0%,19.21%,102.36%,12.15%,67.89,0.0827,1.2626,0.012,0.264,0.985,0.68
10,0.61,-0.34,NO,N/A,27500.0%,18.53%,103.96%,11.76%,67.85,0.0798,1.2779,0.012,0.265,0.985,0.677
11,0.56,-0.34,NO,N/A,26400.0%,18.34%,102.44%,11.69%,67.75,0.0786,1.2311,0.011,0.264,0.986,0.678
12,0.51,-0.4,NO,N/A,23200.0%,18.08%,102.64%,11.46%,67.5,0.0778,1.2211,0.011,0.261,0.986,0.683
13,0.45,-0.38,NO,N/A,22700.0%,17.69%,104.45%,11.06%,67.77,0.0756,1.2265,0.01,0.263,0.987,0.681
14,0.44,-0.41,NO,N/A,22700.0%,17.24%,103.94%,10.58%,67.7,0.0741,1.2323,0.01,0.264,0.988,0.678
15,0.39,-0.45,NO,N/A,21300.0%,16.92%,102.63%,10.47%,67.37,0.074,1.2631,0.009,0.259,0.988,0.686
16,0.37,-0.48,NO,N/A,20800.0%,16.67%,103.22%,10.15%,67.81,0.0725,1.2661,0.009,0.262,0.989,0.682
17,0.34,-0.51,NO,N/A,20700.0%,16.14%,102.46%,9.98%,68.04,0.0721,1.2848,0.009,0.262,0.989,0.683
18,0.32,-0.51,NO,N/A,20400.0%,15.68%,97.86%,9.68%,66.56,0.0703,1.2299,0.008,0.248,0.99,0.7
19,0.29,-0.52,NO,N/A,19500.0%,15.66%,100.24%,9.53%,66.39,0.0701,1.2168,0.008,0.248,0.99,0.7
20,0.27,-0.46,NO,N/A,20200.0%,15.58%,97.25%,9.37%,65.47,0.0695,1.216,0.008,0.243,0.991,0.706
