Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP53460	7.68E+00	7.82E-01	5.88E-01	9.80E+00	6.59E+00	5.77E+00	1.90E+00	1.44E+00	1.04E+00	2.54E-01	1.98E+00	1.31E+00	1.62E+00	8.18E-01
SP50827	1.04E+01	1.26E+00	1.82E+00	1.31E+01	6.92E+00	5.69E+00	2.32E+00	1.19E+00	1.24E+00	3.10E-01	3.55E+00	1.88E+00	2.89E+00	5.68E-01
SP50263	1.81E+00	8.99E-01	1.40E+00	2.54E+00	6.05E-01	2.35E+00	1.45E+00	8.79E-01	8.42E-01	0.00E+00	1.82E+00	1.63E+00	1.61E+00	7.59E-02
SP50317	1.90E+00	1.29E+00	1.30E+00	3.15E+00	1.12E+00	3.01E+00	1.59E+00	1.92E-01	1.03E+00	0.00E+00	2.60E+00	2.16E+00	9.63E-01	3.88E-01
SP54113	3.55E+01	1.80E+00	2.28E+00	4.98E+01	1.29E+01	1.20E+01	2.87E+00	4.39E+00	2.04E+00	3.07E-01	1.33E+01	3.10E+00	6.81E+00	2.07E+00
SP50406	1.76E-01	0.00E+00	1.08E-01	3.28E-01	1.35E-01	6.67E-02	8.49E-02	1.86E-01	0.00E+00	0.00E+00	2.48E-01	1.73E-01	2.53E-01	7.76E-02
SP51824	7.66E+00	8.37E-01	1.54E+00	7.70E+00	2.55E+00	2.97E+00	1.85E+00	1.06E+00	1.08E+00	0.00E+00	2.74E+00	9.57E-01	2.19E+00	6.20E-01
SP55387	3.16E+00	1.03E-01	3.80E-01	3.72E+00	1.57E+00	1.31E+00	5.81E-01	5.00E-01	2.10E-01	0.00E+00	1.30E+00	1.89E-01	8.15E-01	1.99E-01
SP52779	1.06E+01	8.99E-01	1.74E+00	1.46E+01	5.67E+00	3.80E+00	1.79E+00	2.42E+00	5.41E-01	3.09E-01	6.21E+00	1.39E+00	5.03E+00	1.13E+00
SP55235	2.34E+01	1.39E+00	2.21E+00	3.48E+01	1.30E+01	1.02E+01	3.55E+00	2.46E+00	2.01E+00	0.00E+00	8.70E+00	2.86E+00	5.50E+00	6.54E-01
