Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP53460	507	13	7	248	154	0	59	0	0	34	32	7	5	50	22	10	12	30
SP50827	670	43	120	210	237	0	130	225	7	44	23	0	5	78	71	48	6	9
SP50263	14	35	158	24	0	9	47	67	0	21	37	8	0	28	15	34	0	23
SP50317	40	112	57	61	17	3	98	0	2	28	24	0	0	0	31	42	5	10
SP54113	1968	52	68	468	251	27	139	356	0	109	96	0	10	204	47	0	68	10
SP50406	3	0	0	1	0	3	0	0	0	0	0	0	0	1	0	5	0	0
SP51824	294	20	94	45	65	28	42	161	0	32	56	0	0	22	6	14	6	25
SP55387	127	0	7	30	37	8	18	0	1	0	11	7	0	20	0	0	0	0
SP52779	551	21	62	198	174	75	43	215	0	0	65	0	5	131	30	16	22	0
SP55235	1423	46	70	377	465	176	150	0	0	74	154	0	0	200	59	39	1	0
SP50713	165	2	15	39	41	0	21	33	0	22	58	4	0	10	6	19	4	3
SP50611	870	15	81	311	277	1	67	0	0	15	39	0	1	106	77	28	0	5
SP50485	4	7	24	4	13	0	11	43	10	11	3	0	0	0	4	21	0	0
SP51037	11	19	91	0	1	1	20	20	11	5	23	0	1	2	7	15	2	2
SP55142	1961	162	281	904	303	308	456	467	0	464	57	1	9	164	173	55	21	42
SP53387	413	14	19	151	130	0	84	199	0	13	50	0	6	113	36	33	32	10
SP54745	142	65	153	91	57	0	94	285	0	21	36	0	3	28	16	65	33	11
SP52284	26	22	144	12	17	13	36	0	22	18	35	0	2	4	19	28	4	33
SP53618	916	7	61	341	360	62	69	167	0	31	95	0	4	141	63	0	11	0
SP52232	432	1	1	136	114	19	19	98	0	16	19	0	5	22	25	9	12	6
SP50412	9	3	16	4	9	0	10	19	8	4	9	0	1	3	3	15	0	6
SP50321	135	0	47	79	76	21	40	39	7	0	91	0	4	13	13	8	4	20
SP53548	0	8	66	2	7	0	61	0	17	10	28	3	1	4	23	10	12	7
SP55004	0	0	4	3	1	1	2	0	0	1	7	0	0	0	0	2	0	0
SP56079	734	4	31	169	149	4	0	191	0	15	30	0	0	97	46	14	19	0
SP56168	41	21	99	66	13	9	38	67	14	21	63	11	1	0	26	62	9	36
SP54363	453	46	215	176	143	0	11	314	0	19	57	3	4	25	20	6	18	1
SP53810	2471	14	25	977	604	0	0	879	0	0	0	0	0	387	63	0	22	0
SP50518	1	7	117	10	4	8	50	62	0	24	43	0	9	4	4	44	3	12
SP56303	19	29	139	93	6	0	83	0	8	131	156	0	10	0	21	47	8	54
SP55711	0	8	110	60	4	0	10	72	8	11	48	0	0	0	0	50	3	42
SP55509	946	11	99	385	311	0	77	135	0	9	45	0	0	89	45	18	7	0
SP55309	4	1	0	4	6	0	7	3	11	5	2	0	1	0	0	20	0	5
SP52607	9	0	21	12	12	0	28	0	0	6	7	2	0	0	4	14	7	2
SP52667	467	14	19	223	86	0	0	145	0	32	61	0	3	44	48	21	0	17
SP51446	44	0	130	40	0	7	32	10	1	0	61	10	2	8	16	27	4	17
SP50592	0	3	92	9	9	13	32	39	22	9	29	3	3	7	16	43	0	12
SP53073	293	21	46	47	28	0	28	232	0	14	68	2	0	61	18	19	12	0
SP56638	543	21	150	111	167	41	156	0	36	48	68	5	5	46	53	18	41	0
SP56537	610	99	192	176	98	64	241	0	0	18	70	1	0	77	37	4	28	18
SP57586	380	60	143	92	89	92	133	0	26	26	74	0	9	57	58	26	20	24
SP56541	593	16	6	148	116	40	59	134	2	77	76	0	6	90	37	23	31	24
SP56553	967	137	234	362	94	147	100	379	0	55	13	0	11	248	17	46	14	0
SP56771	96	29	188	54	25	68	75	0	79	29	74	0	6	6	15	16	0	28
SP57941	964	42	120	522	343	71	416	0	0	33	40	0	8	58	118	32	14	50
SP57818	683	49	74	302	222	12	25	348	0	76	152	0	8	33	19	25	21	0
SP56460	183	71	411	100	14	77	118	0	79	118	110	0	12	15	16	16	17	30
SP56474	25	134	191	83	24	47	76	0	20	49	37	0	1	0	22	23	16	21
SP56704	1007	53	71	11	175	199	85	365	0	22	25	0	8	132	11	0	16	0
SP56533	292	47	109	101	45	104	146	0	41	33	65	0	3	0	48	29	9	33
SP56730	609	85	221	145	95	39	205	0	6	21	103	30	2	38	36	12	43	6
SP59245	586	32	127	174	102	76	102	63	23	336	114	48	19	31	36	54	46	77
SP57024	256	19	119	81	35	89	30	125	8	24	34	0	3	42	26	22	16	10
SP57933	749	119	163	249	114	64	225	0	38	1240	177	0	22	73	36	56	22	68
SP56754	275	43	126	131	45	22	127	129	9	15	59	11	0	25	47	8	20	0
SP56827	554	24	29	164	120	19	66	68	7	9	35	0	0	21	13	13	6	15
SP57084	627	90	362	178	102	80	188	93	0	55	61	0	6	29	13	5	26	65
SP57538	519	100	87	56	63	127	243	62	0	37	115	7	0	94	28	42	26	25
SP57735	609	82	30	134	50	153	142	184	6	16	65	0	2	19	0	24	31	0
SP57669	760	63	119	199	106	11	195	139	10	63	83	53	0	54	38	26	16	9
SP56566	141	38	211	122	40	60	6	0	40	40	72	4	0	18	18	17	8	14
SP56569	442	58	106	124	89	62	177	0	0	28	46	0	0	0	28	4	38	15
SP58342	900	88	367	182	224	22	148	215	33	49	61	25	0	76	37	14	100	5
SP58349	507	52	70	195	146	80	242	8	4	192	111	25	8	17	39	25	72	41
SP56644	703	97	304	168	99	95	109	199	40	84	92	6	4	15	18	46	18	50
SP57629	196	182	680	141	39	100	228	0	231	77	41	0	0	0	51	41	15	20
SP56941	20	1	88	2	9	6	19	3	25	6	18	0	0	4	5	11	3	0
SP57619	534	27	41	145	105	28	122	270	0	92	55	0	3	18	18	0	15	0
SP58245	637	114	20	153	124	298	168	390	0	30	38	0	4	0	0	0	13	1
SP57251	514	58	210	171	113	161	436	0	0	45	62	0	13	0	17	14	26	40
SP56502	704	102	176	215	88	48	200	0	20	34	73	0	10	52	36	72	34	7
SP58668	829	84	163	167	186	105	96	386	0	62	0	0	10	122	43	0	41	0
SP58101	483	109	55	168	89	209	121	172	0	30	74	0	0	83	15	19	45	0
SP58991	316	105	269	100	81	28	73	141	122	35	53	9	4	32	44	36	6	14
SP56607	286	23	148	50	45	86	24	52	8	21	57	4	0	54	27	11	6	15
SP58326	1262	163	277	277	228	205	175	151	42	28	73	0	7	168	38	0	36	3
SP57267	815	96	187	196	158	88	143	162	17	83	60	0	22	23	40	0	107	36
SP57066	648	38	414	166	81	29	27	615	63	85	40	0	11	34	16	12	35	11
SP57901	313	33	312	147	38	0	145	41	94	46	56	15	1	34	21	13	14	34
SP57651	146	22	76	87	23	37	92	0	12	64	47	0	10	27	28	37	6	0
SP57450	104	62	211	55	12	0	63	63	74	52	38	0	4	11	40	17	36	0
SP57846	617	46	181	169	90	0	50	201	10	16	49	0	1	157	20	0	25	0
SP58612	471	61	178	83	74	122	87	24	27	90	88	0	4	75	31	37	31	0
SP56821	608	70	285	88	96	14	109	20	0	7	52	0	4	61	18	29	24	28
SP58882	160	79	187	60	45	65	145	0	29	25	122	0	2	23	2	27	33	23
SP57189	2093	290	351	334	427	174	312	261	38	19	65	56	1	130	57	12	66	21
CPCT02020306T	487	0	31	194	171	59	61	46	3	0	36	21	34	67	15	4	19	0
CPCT02110002T	682	32	91	324	354	89	36	0	104	24	99	117	28	22	32	8	28	19
CPCT02020308T	0	55192	6761	0	0	4075	0	0	3283	0	0	72	240	0	899	1388	6	0
CPCT02020305T	280	43	94	98	30	46	51	0	47	20	54	20	64	51	25	13	16	27
CPCT02010356T	215	73	142	46	50	8	36	141	14	32	54	30	53	22	14	12	13	15
CPCT02020337T	1029	56	111	246	138	154	74	122	71	39	0	65	43	60	19	0	30	33
CPCT02010373T	2796	228	108	594	612	288	178	0	29	14	113	276	53	369	126	32	72	82
CPCT02020343T	15	3	89	0	17	0	54	25	10	35	53	54	42	33	5	44	4	35
CPCT02020353T	438	183	177	241	113	50	62	27	50	47	42	119	94	86	15	32	21	11
CPCT02020334T	693	80	94	192	243	79	42	188	0	18	65	77	73	79	47	18	31	13
CPCT02140018T	0	73	134	46	4	0	23	13	27	32	43	0	119	70	37	36	18	40
CPCT02140021T	8	39	47	15	0	0	0	123	19	14	40	23	17	0	23	57	0	3
CPCT02040039T	249	49	166	122	64	0	0	59	0	5	20	61	27	76	20	31	7	16
CPCT02010409T	227	87	166	80	175	61	1	217	0	49	75	55	92	12	33	75	33	26
CPCT02110010T	96	43	102	15	10	0	10	157	67	24	6	46	40	9	15	8	7	1
CPCT02070025T	13	0	15	0	4	0	18	0	23	0	20	4	39	11	4	18	1	25
CPCT02040045T	1454	118	96	660	526	0	120	165	30	81	114	98	46	168	88	14	60	18
CPCT02040051T	473	224	74	274	239	71	75	0	77	21	63	55	28	55	59	20	38	18
CPCT02040054T	279	18	157	21	73	28	36	99	58	23	32	26	77	36	30	6	15	4
CPCT02140028T	635	64	161	155	127	4	109	162	102	71	67	86	112	27	67	58	29	0
CPCT02011006T	1715	71	91	648	737	261	69	0	24	88	0	237	85	295	132	0	235	0
CPCT02040302T	4	287	217	25	8	0	0	19	43	6	6	37	19	42	10	24	23	18
CPCT02011015T	3196	750	238	877	1028	839	279	1206	0	61	0	295	87	642	213	65	114	0
DRUP01040009T	388	10	554	94	143	89	94	0	54	19	57	227	64	64	27	16	206	48
CPCT02011018T	718	78	45	230	278	86	91	215	0	34	36	40	45	224	45	22	49	0
CPCT02270045T	114	39	158	27	65	0	9	158	24	18	62	59	13	28	17	46	16	18
CPCT02120088T	7	13	43	0	12	9	32	0	9	23	31	1	180	12	10	31	7	18
CPCT02011022T	4	26	68	20	13	0	29	23	10	41	24	44	35	10	22	81	5	7
CPCT02010722T	522	65	114	136	67	90	67	40	27	241	146	69	86	37	42	41	39	45
CPCT02011021T	5	162	380	50	28	37	0	45	92	75	45	58	45	8	56	91	25	16
CPCT02011019T	295	48	66	124	19	86	60	155	46	145	42	100	58	27	3	22	21	0
CPCT02011008T	73	81	65	40	38	16	0	85	8	29	2	43	3	2	20	39	14	4
CPCT02011017T	732	232	294	204	180	0	14	108	0	22	89	66	33	108	21	12	26	40
DRUP01010116T	1104	310	123	436	323	33	200	271	90	85	319	224	27	90	104	27	230	0
CPCT02011029T	58	220	190	29	14	20	50	0	60	22	55	54	12	76	4	40	43	0
CPCT02020887T	11	1	13	0	23	0	35	4	5	26	47	21	31	27	26	18	14	15
CPCT02040214T	546	170	172	175	160	0	55	145	0	23	17	91	104	31	38	18	13	0
CPCT02190052T	708	87	139	434	321	112	34	0	11	4	173	90	243	83	50	22	39	25
CPCT02010699T	1009	44	68	245	156	145	210	0	0	28	62	95	111	85	37	0	36	15
CPCT02040213T	521	96	117	74	106	24	109	0	117	29	82	46	93	24	36	28	27	4
CPCT02070276T	741	30	0	174	97	6	126	269	0	180	94	47	162	41	15	0	33	0
CPCT02040208T	5	39	54	20	0	0	24	9	35	13	12	12	138	9	3	8	1	5
DRUP01040010T	1702	68	131	422	529	263	55	313	0	20	1	91	54	116	50	8	54	15
CPCT02040315T	708	13	66	182	261	17	97	45	0	2	65	90	16	76	33	40	28	15
CPCT02040313T	184	107	35	27	18	56	136	102	1	6	43	101	24	34	17	26	6	0
CPCT02040312T	45	12	129	14	5	42	26	133	11	32	18	41	16	0	8	25	9	7
CPCT02010727T	700	154	1426	305	150	173	62	243	138	65	49	30	170	0	39	6	67	0
CPCT02010728T	63	32	32	64	0	2	58	122	21	57	310	83	101	24	51	24	10	10
CPCT02011031T	192	89	100	64	40	3	34	58	38	369	96	51	61	0	22	23	33	35
CPCT02011035T	254	21	128	125	131	6	69	0	34	43	86	22	37	34	24	23	38	20
CPCT02011038T	1	0	0	15	0	0	0	9	3	2	0	25	9	2	1	13	2	0
CPCT02010927T	234	68	203	97	49	47	100	17	115	105	91	87	18	64	23	48	8	32
CPCT02070447T	0	21	635	47	22	31	0	39	156	25	22	37	34	0	8	36	24	20
DRUP01020043T	0	7	12	43	3	7	0	10	18	24	39	0	21	16	4	32	4	30
DRUP01270007T	4	59	224	19	16	0	5	30	89	2	82	16	20	45	29	36	15	26
CPCT02011040T	0	0	40	0	8	0	19	78	12	3	15	39	25	13	5	26	12	1
CPCT02011032T	19	57	3	24	18	0	22	76	44	31	14	16	41	17	12	76	7	13
CPCT02010738T	670	335	335	154	248	15	106	68	176	13	89	90	111	46	76	19	38	7
CPCT02011044T	185	60	196	78	68	0	28	0	13	16	52	61	6	0	29	34	22	12
CPCT02011036T	177	137	361	90	54	40	86	97	220	87	179	62	27	30	46	129	15	74
CPCT02020906T	92	122	564	59	31	3	109	0	99	2087	164	65	123	0	54	86	74	0
CPCT02011046T	237	6	56	73	28	101	60	94	14	36	37	11	26	31	12	43	19	41
CPCT02011047T	50	127	90	53	10	0	19	0	38	64	51	32	34	14	6	45	27	7
CPCT02011050T	17	34406	4046	0	0	1451	0	0	758	0	0	63	20	73	739	1454	0	0
CPCT02390011T	79	20	47	84	13	13	14	38	8	93	386	29	94	5	14	3	11	9
CPCT02080188T	2428	238	388	446	755	248	304	493	0	66	124	127	136	291	106	10	31	0
CPCT02020912T	100	76	126	68	73	0	0	55	4	17	67	6	23	33	9	45	28	21
CPCT02120100T	10	14	35	12	10	0	47	11	0	13	29	22	80	35	28	40	10	30
CPCT02011053T	288	86	257	114	112	72	81	11	20	36	86	37	29	66	46	29	31	4
CPCT02011055T	805	123	60	293	358	182	221	101	50	43	60	68	37	81	43	31	143	24
DRUP01010119T	21	13	94	0	28	0	46	57	26	60	75	3	36	7	30	74	39	40
DRUP01010116TII	1129	451	142	467	341	50	202	249	135	120	363	258	34	94	119	28	281	0
CPCT02040317T	1201	86	84	135	135	142	134	137	71	49	76	99	35	36	16	8	27	5
CPCT02040320T	805	65	243	123	123	70	58	301	207	97	18	75	48	106	30	0	53	38
CPCT02010955T	9	1023	325	113	12	0	162	13	83	78	56	52	42	7	41	34	50	29
CPCT02011057T	102	116	407	24	29	14	0	126	140	57	15	32	55	55	40	51	20	38
CPCT02011059T	31	1	22	0	15	31	5	30	22	21	44	55	16	7	15	32	6	28
CPCT02011052T	1676	48	64	278	326	453	222	131	85	76	179	151	50	250	74	40	104	19
CPCT02011056T	58	80	249	59	5	27	43	51	170	146	18	73	38	39	36	92	20	33
CPCT02270046T	396	48	155	118	127	139	58	0	141	15	52	22	46	24	15	4	21	45
CPCT02011042T	6	15	40	21	8	25	12	36	11	40	25	35	19	0	14	53	6	8
CPCT02100145T	494	38	144	163	180	143	62	0	25	53	139	28	67	54	40	54	15	45
CPCT02130173T	3	435	126	51	32	15	5	46	88	66	47	97	48	9	68	152	13	34
CPCT02011067T	0	86	240	40	36	0	13	121	105	58	42	58	169	3	17	19	11	27
CPCT02190029T	21	253	268	110	15	2	25	68	106	91	56	65	121	0	26	50	7	53
CPCT02020925T	1111	111	226	350	438	224	113	64	27	43	28	98	28	97	60	81	26	0
CPCT02011051T	0	79	201	58	7	8	22	22	55	21	18	32	24	0	23	23	17	81
DRUP01010066T	322	112	68	58	67	20	165	0	55	20	55	15	209	17	34	18	11	10
CPCT02011065T	40	65	292	15	42	11	28	22	70	41	79	72	30	25	19	80	15	66
CPCT02011080T	6	31	85	15	0	0	0	32	22	13	6	44	12	14	2	3	15	7
CPCT02010741T	15	73	170	48	35	0	51	62	32	45	33	0	85	13	34	33	25	6
CPCT02011082T	370	442	160	116	76	31	33	86	55	63	13	65	39	57	61	86	38	36
CPCT02011079T	1346	711	270	412	548	158	118	0	0	18	51	136	54	95	156	136	46	19
CPCT02011077T	11	3	211	0	8	11	4	0	36	2	32	25	18	12	15	10	4	12
CPCT02270047T	735	71	81	110	74	179	105	330	26	33	52	131	33	21	13	0	13	0
CPCT02410018T	1201	57	72	278	216	47	218	149	0	34	4	96	56	144	17	5	43	13
CPCT02011074T	242	42	249	76	66	43	66	0	155	50	7	3	31	57	23	39	15	17
CPCT02011089T	17	69	254	48	13	25	68	0	117	55	86	9	49	17	27	62	21	52
CPCT02011086T	282	2	110	95	81	44	110	0	64	543	31	43	62	32	15	22	95	49
CPCT02011088T	899	143	281	231	424	175	197	173	144	66	188	96	46	53	73	15	59	16
CPCT02011087T	584	139	364	183	181	0	38	67	42	23	70	70	26	54	39	3	23	21
CPCT02020671T	4048	801	145	1104	1259	276	395	430	0	18	0	233	115	487	184	37	77	0
CPCT02011071T	1	26	271	15	23	14	7	91	21	9	27	35	15	1	5	30	9	34
CPCT02040216T	11	84	187	5	20	0	7	17	76	23	30	14	62	0	5	30	35	52
CPCT02140057T	603	159	74	516	142	5	330	48	55	182	18	129	80	57	32	19	43	33
CPCT02040221T	328	350	98	157	81	0	132	0	50	43	72	76	49	0	31	74	0	53
WIDE01010002T	384	66	290	182	151	0	61	134	49	75	122	73	49	38	74	26	146	25
CPCT02010500T	0	275	320	58	3	0	41	68	110	22	24	22	36	10	17	30	14	27
CPCT02010966TII	19	4	157	3	19	0	8	48	52	17	52	110	40	31	23	43	118	44
CPCT02010942TII	22	166	150	35	34	3	67	0	33	24	28	86	29	25	38	55	40	31
WIDE01010003T	0	114	66	0	2	0	9	24	0	32	6	80	22	26	29	48	2	16
CPCT02190031T	18	168	168	110	19	0	48	32	122	73	0	3	61	0	23	52	3	52
CPCT02011093T	9	27	66	0	15	7	53	0	49	39	24	5	19	4	12	18	12	14
CPCT02011097T	433	24	260	124	91	119	135	25	185	187	79	120	84	37	47	27	23	13
DRUP01060011T	13	53	86	18	34	41	22	0	63	25	25	0	51	0	28	16	2	41
CPCT02011069T	547	101	73	273	189	138	102	0	19	60	61	54	53	63	54	31	36	65
DRUP01060014T	0	21	130	23	19	21	0	0	33	16	52	26	129	21	12	43	5	13
DRUP01010064T	84	17	128	50	11	40	40	0	14	15	55	46	96	37	15	15	2	20
CPCT02120107T	401	56	41	109	53	105	84	148	17	38	18	5	62	32	57	32	19	1
CPCT02011102T	0	131	305	2	13	0	45	113	19	35	18	59	16	5	15	27	5	21
CPCT02040330T	707	42	108	142	141	54	142	108	69	74	14	72	38	56	27	10	26	7
CPCT02040299TII	253	303	196	156	111	103	121	142	56	118	91	106	41	48	33	55	148	47
WIDE01010034T	13	7	120	0	17	0	12	0	19	9	29	7	19	15	8	22	19	16
CPCT02040332T	530	9	60	110	176	89	231	0	26	91	67	83	46	7	4	1	28	25
CPCT02230086T	0	24834	4702	201	0	3227	0	0	907	0	0	63	8	0	0	0	142	0
CPCT02011070T	6	76	208	71	4	21	0	76	114	46	55	57	49	0	23	38	29	30
WIDE01010026T	7	140	567	71	46	14	38	88	229	65	74	11	26	43	28	9	55	34
CPCT02390020T	388	116	197	160	45	182	153	0	44	25	13	58	77	11	13	10	12	12
CPCT02011106T	115	89	77	53	24	55	46	0	90	36	38	52	34	0	40	15	23	6
CPCT02410019T	1119	236	21	325	355	219	214	0	0	26	23	100	18	122	150	231	47	0
CPCT02270022T	174	152	250	90	49	49	21	106	46	73	34	27	119	30	29	26	25	14
CPCT02011040TII	7	0	47	5	7	6	28	34	11	11	21	38	25	14	18	32	12	0
CPCT02010760T	452	124	265	85	461	41	100	0	52	48	78	106	42	56	33	23	27	6
WIDE01010057T	10	17	126	0	9	5	51	30	25	28	63	14	4	0	20	44	13	10
WIDE01010065T	1321	107	274	350	323	325	139	0	43	44	214	102	31	149	68	34	40	39
CPCT02020964T	573	34	105	188	153	64	148	35	132	139	347	83	50	37	67	14	47	37
CPCT02050321T	176	80	165	23	15	25	59	86	126	18	85	56	100	24	36	55	8	15
CPCT02010779T	43	152	93	117	9	0	134	0	38	89	122	44	114	31	28	53	23	35
CPCT02011105T	191	171	141	134	99	15	0	155	10	20	23	83	45	9	24	33	33	102
CPCT02011107T	862	151	172	310	340	67	88	0	47	50	25	0	39	181	41	35	38	14
WIDE01010615T	10	48	210	23	17	26	38	0	103	30	20	11	38	8	25	27	28	35
WIDE01010130TII	0	7	29	4	2	1	0	84	0	16	17	0	27	0	10	0	0	26
WIDE01010041T	792	89	40	184	118	114	186	0	76	43	54	132	34	11	28	7	22	32
CPCT02040225T	990	62	200	353	333	176	201	0	55	46	45	199	84	85	45	13	46	5
WIDE01010058T	28	111	330	39	0	16	46	92	68	12	13	39	23	16	22	67	18	22
WIDE01010083T	139	94	75	61	87	36	14	135	0	9	49	30	9	45	20	18	6	0
CPCT02040234T	685	79	29	210	80	174	59	166	103	38	132	36	110	16	16	5	20	0
CPCT02011089TII	9	36	179	48	17	26	62	8	57	43	75	0	52	37	15	42	29	36
CPCT02010781T	582	104	67	223	155	103	222	38	31	70	70	112	93	27	28	44	33	0
WIDE01010088T	352	65	64	226	192	51	25	0	22	39	154	58	26	0	14	27	22	44
WIDE01010081T	12	16	365	53	8	0	72	54	41	55	17	37	40	0	9	41	33	25
DRUP01010078T	3790	234	155	593	1129	362	410	879	0	0	0	214	113	489	146	0	88	0
WIDE01010079T	6	59	54	20	0	0	13	31	17	8	15	11	25	22	4	24	11	39
WIDE01010089T	18	53	203	1	30	11	0	69	74	20	51	27	29	16	36	52	21	1
WIDE01010082T	158	233	141	76	5	18	14	232	0	27	60	45	27	18	30	66	18	6
WIDE01010075T	0	20195	1153	0	0	887	632	0	0	10	0	0	70	0	0	0	8	0
CPCT02270049T	101	165	203	71	28	0	77	62	165	109	185	27	41	18	41	18	22	47
WIDE01010099T	0	56	104	0	13	0	14	53	0	30	16	5	18	2	8	27	2	6
CPCT02040341T	0	15	100	54	15	17	37	0	17	17	22	6	15	23	0	26	10	8
