Samples	ID83A	ID83B
SP53460	1.58E+00	1.58E+00
SP50827	2.87E+00	2.87E+00
SP50263	1.33E+00	1.33E+00
SP50317	1.49E+00	1.49E+00
SP54113	2.38E+00	2.38E+00
SP50406	2.80E-01	2.79E-01
SP51824	1.88E+00	1.88E+00
SP55387	5.09E-01	5.09E-01
SP52779	2.10E+00	2.10E+00
SP55235	2.81E+00	2.81E+00
SP50713	1.28E+00	1.28E+00
SP50611	1.92E+00	1.92E+00
SP50485	8.08E-01	8.08E-01
SP51037	8.22E-01	8.21E-01
SP55142	4.40E+00	4.40E+00
SP53387	1.83E+00	1.83E+00
SP54745	2.30E+00	2.30E+00
SP52284	1.19E+00	1.19E+00
SP53618	1.93E+00	1.93E+00
SP52232	1.09E+00	1.09E+00
SP50412	7.88E-01	7.88E-01
SP50321	1.81E+00	1.81E+00
SP53548	1.11E+00	1.11E+00
SP55004	2.99E-01	3.00E-01
SP56079	1.45E+00	1.45E+00
SP56168	1.58E+00	1.58E+00
SP54363	2.32E+00	2.32E+00
SP53810	1.43E+00	1.43E+00
SP50518	1.27E+00	1.27E+00
SP56303	1.79E+00	1.79E+00
SP55711	1.38E+00	1.38E+00
SP55509	2.03E+00	2.04E+00
SP55309	5.71E-01	5.72E-01
SP52607	7.56E-01	7.58E-01
SP52667	1.53E+00	1.53E+00
SP51446	1.46E+00	1.46E+00
SP50592	1.17E+00	1.17E+00
SP53073	1.76E+00	1.76E+00
SP56638	2.24E+00	2.24E+00
SP56537	2.16E+00	2.16E+00
SP57586	2.30E+00	2.30E+00
SP56541	2.19E+00	2.19E+00
SP56553	3.15E+00	3.15E+00
SP56771	1.77E+00	1.77E+00
SP57941	2.55E+00	2.55E+00
SP57818	2.61E+00	2.61E+00
SP56460	2.32E+00	2.32E+00
SP56474	1.53E+00	1.53E+00
SP56704	2.28E+00	2.28E+00
SP56533	2.40E+00	2.40E+00
SP56730	2.79E+00	2.79E+00
SP59245	3.31E+00	3.31E+00
SP57024	2.00E+00	2.00E+00
SP57933	4.45E+00	4.45E+00
SP56754	2.05E+00	2.05E+00
SP56827	1.55E+00	1.55E+00
SP57084	2.87E+00	2.87E+00
SP57538	2.63E+00	2.63E+00
SP57735	1.79E+00	1.79E+00
SP57669	2.37E+00	2.37E+00
SP56566	1.97E+00	1.97E+00
SP56569	2.19E+00	2.19E+00
SP58342	3.24E+00	3.24E+00
SP58349	3.07E+00	3.07E+00
SP56644	2.79E+00	2.79E+00
SP57629	2.69E+00	2.69E+00
SP56941	9.72E-01	9.73E-01
SP57619	2.18E+00	2.18E+00
SP58245	2.62E+00	2.62E+00
SP57251	2.61E+00	2.61E+00
SP56502	2.51E+00	2.51E+00
SP58668	2.85E+00	2.85E+00
SP58101	2.47E+00	2.46E+00
SP58991	2.27E+00	2.27E+00
SP56607	1.86E+00	1.86E+00
SP58326	3.40E+00	3.40E+00
SP57267	2.99E+00	2.99E+00
SP57066	2.81E+00	2.81E+00
SP57901	2.45E+00	2.45E+00
SP57651	1.77E+00	1.77E+00
SP57450	1.65E+00	1.65E+00
SP57846	2.82E+00	2.82E+00
SP58612	2.69E+00	2.69E+00
SP56821	2.47E+00	2.47E+00
SP58882	2.26E+00	2.26E+00
SP57189	3.68E+00	3.68E+00
CPCT02020306T	1.71E+00	1.71E+00
CPCT02110002T	2.56E+00	2.56E+00
CPCT02020308T	8.58E+00	8.58E+00
CPCT02020305T	2.07E+00	2.07E+00
CPCT02010356T	1.82E+00	1.82E+00
CPCT02020337T	2.57E+00	2.57E+00
CPCT02010373T	3.91E+00	3.91E+00
CPCT02020343T	1.39E+00	1.39E+00
CPCT02020353T	2.74E+00	2.74E+00
CPCT02020334T	2.63E+00	2.63E+00
CPCT02140018T	1.60E+00	1.60E+00
CPCT02140021T	1.34E+00	1.34E+00
CPCT02040039T	2.10E+00	2.10E+00
CPCT02010409T	2.64E+00	2.64E+00
CPCT02110010T	1.58E+00	1.58E+00
CPCT02070025T	7.14E-01	7.14E-01
CPCT02040045T	3.00E+00	3.00E+00
CPCT02040051T	2.65E+00	2.65E+00
CPCT02040054T	1.99E+00	1.99E+00
CPCT02140028T	2.86E+00	2.86E+00
CPCT02011006T	3.85E+00	3.85E+00
CPCT02040302T	1.14E+00	1.14E+00
CPCT02011015T	5.78E+00	5.78E+00
DRUP01040009T	3.19E+00	3.19E+00
CPCT02011018T	2.86E+00	2.86E+00
CPCT02270045T	1.78E+00	1.78E+00
CPCT02120088T	1.26E+00	1.26E+00
CPCT02011022T	1.32E+00	1.32E+00
CPCT02010722T	3.22E+00	3.22E+00
CPCT02011021T	1.65E+00	1.65E+00
CPCT02011019T	2.54E+00	2.54E+00
CPCT02011008T	1.53E+00	1.53E+00
CPCT02011017T	2.76E+00	2.76E+00
DRUP01010116T	4.06E+00	4.06E+00
CPCT02011029T	1.67E+00	1.67E+00
CPCT02020887T	1.28E+00	1.28E+00
CPCT02040214T	2.51E+00	2.51E+00
CPCT02190052T	3.17E+00	3.17E+00
CPCT02010699T	2.73E+00	2.73E+00
CPCT02040213T	2.69E+00	2.69E+00
CPCT02070276T	2.65E+00	2.65E+00
CPCT02040208T	1.05E+00	1.05E+00
DRUP01040010T	3.12E+00	3.12E+00
CPCT02040315T	2.26E+00	2.26E+00
CPCT02040313T	2.14E+00	2.14E+00
CPCT02040312T	1.68E+00	1.68E+00
CPCT02010727T	4.63E+00	4.63E+00
CPCT02010728T	2.55E+00	2.55E+00
CPCT02011031T	2.74E+00	2.74E+00
CPCT02011035T	2.21E+00	2.21E+00
CPCT02011038T	6.31E-01	6.31E-01
CPCT02010927T	2.31E+00	2.31E+00
CPCT02070447T	1.35E+00	1.35E+00
DRUP01020043T	1.30E+00	1.30E+00
DRUP01270007T	1.28E+00	1.28E+00
CPCT02011040T	1.39E+00	1.39E+00
CPCT02011032T	1.52E+00	1.52E+00
CPCT02010738T	3.81E+00	3.81E+00
CPCT02011044T	1.67E+00	1.67E+00
CPCT02011036T	2.79E+00	2.79E+00
CPCT02020906T	2.81E+00	2.81E+00
CPCT02011046T	2.05E+00	2.05E+00
CPCT02011047T	1.47E+00	1.47E+00
CPCT02011050T	5.07E+00	5.07E+00
CPCT02390011T	2.45E+00	2.45E+00
CPCT02080188T	4.40E+00	4.40E+00
CPCT02020912T	1.81E+00	1.81E+00
CPCT02120100T	1.58E+00	1.58E+00
CPCT02011053T	2.60E+00	2.60E+00
CPCT02011055T	3.16E+00	3.16E+00
DRUP01010119T	1.82E+00	1.82E+00
DRUP01010116TII	4.84E+00	4.84E+00
CPCT02040317T	2.70E+00	2.70E+00
CPCT02040320T	3.44E+00	3.44E+00
CPCT02010955T	1.84E+00	1.84E+00
CPCT02011057T	2.16E+00	2.16E+00
CPCT02011059T	1.45E+00	1.45E+00
CPCT02011052T	3.89E+00	3.89E+00
CPCT02011056T	2.02E+00	2.02E+00
CPCT02270046T	2.47E+00	2.47E+00
CPCT02011042T	1.38E+00	1.38E+00
CPCT02100145T	2.86E+00	2.86E+00
CPCT02130173T	1.72E+00	1.72E+00
CPCT02011067T	1.65E+00	1.65E+00
CPCT02190029T	2.02E+00	2.02E+00
CPCT02020925T	3.16E+00	3.16E+00
CPCT02011051T	1.40E+00	1.40E+00
DRUP01010066T	2.35E+00	2.35E+00
CPCT02011065T	1.91E+00	1.91E+00
CPCT02011080T	1.09E+00	1.09E+00
CPCT02010741T	1.74E+00	1.74E+00
CPCT02011082T	2.66E+00	2.66E+00
CPCT02011079T	4.04E+00	4.04E+00
CPCT02011077T	8.37E-01	8.37E-01
CPCT02270047T	2.63E+00	2.63E+00
CPCT02410018T	2.70E+00	2.70E+00
CPCT02011074T	2.40E+00	2.40E+00
CPCT02011089T	1.83E+00	1.83E+00
CPCT02011086T	3.19E+00	3.19E+00
CPCT02011088T	3.74E+00	3.74E+00
CPCT02011087T	3.01E+00	3.01E+00
CPCT02020671T	6.53E+00	6.53E+00
CPCT02011071T	1.40E+00	1.40E+00
CPCT02040216T	1.14E+00	1.14E+00
CPCT02140057T	3.39E+00	3.39E+00
CPCT02040221T	2.49E+00	2.49E+00
WIDE01010002T	3.03E+00	3.03E+00
CPCT02010500T	1.44E+00	1.44E+00
CPCT02010966TII	1.88E+00	1.88E+00
CPCT02010942TII	1.84E+00	1.84E+00
WIDE01010003T	1.13E+00	1.13E+00
CPCT02190031T	1.89E+00	1.89E+00
CPCT02011093T	1.19E+00	1.19E+00
CPCT02011097T	3.07E+00	3.07E+00
DRUP01060011T	1.48E+00	1.48E+00
CPCT02011069T	2.46E+00	2.46E+00
DRUP01060014T	1.32E+00	1.32E+00
DRUP01010064T	1.97E+00	1.97E+00
CPCT02120107T	2.06E+00	2.06E+00
CPCT02011102T	1.33E+00	1.33E+00
CPCT02040330T	2.85E+00	2.85E+00
CPCT02040299TII	3.37E+00	3.37E+00
WIDE01010034T	8.38E-01	8.38E-01
CPCT02040332T	2.80E+00	2.80E+00
CPCT02230086T	4.41E+00	4.41E+00
CPCT02011070T	1.55E+00	1.55E+00
WIDE01010026T	1.95E+00	1.95E+00
CPCT02390020T	2.66E+00	2.66E+00
CPCT02011106T	2.18E+00	2.18E+00
CPCT02410019T	3.38E+00	3.38E+00
CPCT02270022T	2.12E+00	2.12E+00
CPCT02011040TII	1.41E+00	1.41E+00
CPCT02010760T	2.72E+00	2.72E+00
WIDE01010057T	1.12E+00	1.12E+00
WIDE01010065T	3.48E+00	3.48E+00
CPCT02020964T	3.26E+00	3.26E+00
CPCT02050321T	2.11E+00	2.11E+00
CPCT02010779T	2.18E+00	2.18E+00
CPCT02011105T	2.48E+00	2.48E+00
CPCT02011107T	3.32E+00	3.32E+00
WIDE01010615T	1.35E+00	1.35E+00
WIDE01010130TII	1.21E+00	1.21E+00
WIDE01010041T	2.63E+00	2.64E+00
CPCT02040225T	3.14E+00	3.14E+00
WIDE01010058T	1.73E+00	1.73E+00
WIDE01010083T	1.88E+00	1.88E+00
CPCT02040234T	2.80E+00	2.80E+00
CPCT02011089TII	1.57E+00	1.57E+00
CPCT02010781T	3.07E+00	3.07E+00
WIDE01010088T	2.30E+00	2.30E+00
WIDE01010081T	1.61E+00	1.61E+00
DRUP01010078T	4.70E+00	4.70E+00
WIDE01010079T	1.11E+00	1.11E+00
WIDE01010089T	1.26E+00	1.26E+00
WIDE01010082T	2.49E+00	2.49E+00
WIDE01010075T	2.86E+00	2.86E+00
CPCT02270049T	2.10E+00	2.10E+00
WIDE01010099T	9.74E-01	9.74E-01
CPCT02040341T	1.17E+00	1.17E+00
WIDE01010104T	2.49E+00	2.49E+00
WIDE01010090T	1.10E+00	1.10E+00
CPCT02040338T	9.91E-01	9.91E-01
WIDE01010105T	2.40E+00	2.40E+00
CPCT02040340T	2.96E+00	2.96E+00
CPCT02100156T	3.03E+00	3.03E+00
WIDE01010115T	2.51E+00	2.51E+00
WIDE01010122T	2.96E+00	2.96E+00
CPCT02100149T	2.69E+00	2.69E+00
WIDE01010121T	2.30E+00	2.30E+00
CPCT02010776T	1.28E+00	1.28E+00
CPCT02050339T	3.00E+00	3.00E+00
CPCT02050439T	1.13E+00	1.13E+00
WIDE01010130T	1.64E+00	1.64E+00
WIDE01010134T	2.09E+00	2.09E+00
WIDE01010139T	4.78E+00	4.78E+00
CPCT02050344T	1.99E+00	1.99E+00
WIDE01010192T	1.10E+00	1.10E+00
WIDE01010005T	1.58E+00	1.58E+00
CPCT02011068T	1.27E+00	1.27E+00
WIDE01010151T	1.52E+00	1.52E+00
CPCT02050346T	2.20E+00	2.20E+00
CPCT02160045T	3.43E+00	3.43E+00
WIDE01010189T	2.63E+00	2.63E+00
CPCT02040215T	1.33E+00	1.33E+00
WIDE01010176T	1.58E+00	1.58E+00
WIDE01010175T	5.40E-01	5.40E-01
WIDE01010188T	2.37E+00	2.37E+00
CPCT02370019T	2.06E+00	2.06E+00
CPCT02010802T	2.09E+00	2.09E+00
CPCT02010807T	3.10E+00	3.10E+00
WIDE01010224T	3.10E+00	3.10E+00
CPCT02070320T	2.81E+00	2.81E+00
WIDE01010217T	3.45E+00	3.45E+00
CPCT02070321T	9.35E-01	9.34E-01
