NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	835.164	33.023	294.766	32.903	0.129	0.926	1000000.0
2	836.333	33.011	294.843	32.826	0.129	0.926	1000000.0
3	836.755	33.027	294.949	32.807	0.129	0.927	1000000.0
4	836.177	33.01	294.621	32.739	0.129	0.926	1000000.0
5	835.791	33.026	294.592	32.834	0.129	0.926	1000000.0
6	836.286	33.081	294.476	32.989	0.129	0.926	1000000.0
7	836.94	33.034	294.989	32.969	0.129	0.926	1000000.0
8	836.907	33.017	295.169	32.941	0.129	0.926	1000000.0
9	836.716	32.999	295.086	32.845	0.129	0.926	1000000.0
10	835.397	33.063	294.483	32.964	0.129	0.926	1000000.0
11	835.729	33.01	294.725	32.954	0.129	0.926	1000000.0
12	837.007	33.072	295.008	32.871	0.129	0.926	1000000.0
13	836.58	33.001	295.014	32.852	0.129	0.926	1000000.0
14	835.7	33.123	294.15	33.019	0.129	0.925	1000000.0
15	837.493	32.996	295.257	32.829	0.128	0.926	1000000.0
16	837.457	33.049	295.33	32.823	0.129	0.926	1000000.0
17	836.245	32.997	294.958	32.859	0.129	0.926	1000000.0
18	836.584	33.038	295.19	32.942	0.129	0.926	1000000.0
19	835.388	33.062	294.734	32.88	0.129	0.926	1000000.0
20	835.862	33.07	294.225	32.812	0.129	0.926	1000000.0
21	836.533	33.047	295.291	32.943	0.129	0.926	1000000.0
22	835.652	33.011	294.729	32.878	0.129	0.926	1000000.0
23	836.311	32.975	295.355	32.805	0.129	0.926	1000000.0
24	836.972	33.0	295.271	32.877	0.129	0.926	1000000.0
25	836.773	33.002	295.441	32.815	0.129	0.927	1000000.0
26	836.453	33.027	294.993	32.898	0.129	0.926	1000000.0
27	837.491	33.105	295.035	32.914	0.129	0.926	1000000.0
28	835.976	33.023	294.856	32.822	0.129	0.926	1000000.0
29	837.494	32.978	295.329	32.835	0.128	0.926	1000000.0
30	836.096	33.039	295.005	32.883	0.129	0.926	1000000.0
31	836.526	33.025	294.923	32.779	0.129	0.927	1000000.0
32	837.45	32.989	295.238	32.971	0.129	0.926	1000000.0
33	835.785	33.0	294.704	32.858	0.129	0.926	1000000.0
34	837.02	32.981	295.02	32.917	0.129	0.926	1000000.0
35	836.081	33.03	294.905	32.866	0.129	0.926	1000000.0
36	836.7	32.985	295.245	32.944	0.129	0.926	1000000.0
37	836.175	32.962	294.934	32.696	0.129	0.927	1000000.0
38	836.512	33.05	294.832	32.827	0.129	0.926	1000000.0
39	838.063	33.009	295.042	32.784	0.128	0.927	1000000.0
40	835.803	33.073	294.697	32.898	0.129	0.926	1000000.0
41	836.576	33.083	294.274	32.931	0.129	0.926	1000000.0
42	836.579	32.937	295.406	32.787	0.128	0.927	1000000.0
43	836.802	32.968	295.233	32.774	0.129	0.926	1000000.0
44	837.293	33.057	295.223	32.872	0.129	0.926	1000000.0
45	836.656	33.048	294.965	32.803	0.129	0.926	1000000.0
46	836.296	33.082	295.13	32.964	0.129	0.926	1000000.0
47	837.424	32.924	295.346	32.809	0.129	0.927	1000000.0
48	836.961	33.038	294.96	32.894	0.129	0.926	1000000.0
49	836.891	33.012	295.1	32.936	0.129	0.926	1000000.0
50	835.424	33.065	294.571	32.964	0.129	0.926	1000000.0
51	836.79	33.049	295.162	33.002	0.129	0.926	1000000.0
52	836.632	33.039	295.271	32.917	0.129	0.926	1000000.0
53	834.996	33.018	294.335	33.034	0.13	0.926	1000000.0
54	837.36	33.024	295.332	32.917	0.129	0.926	1000000.0
55	837.065	33.009	295.167	32.84	0.129	0.927	1000000.0
56	835.885	32.993	294.963	32.883	0.129	0.926	1000000.0
57	836.879	33.085	295.062	32.886	0.129	0.926	1000000.0
58	836.527	33.074	295.001	32.97	0.129	0.926	1000000.0
59	836.534	33.0	295.173	32.889	0.129	0.926	1000000.0
60	836.197	33.079	294.95	32.976	0.129	0.926	1000000.0
61	836.177	33.077	294.404	32.916	0.129	0.926	1000000.0
62	835.655	33.017	295.045	32.765	0.129	0.926	1000000.0
63	836.407	33.075	294.914	32.968	0.129	0.926	1000000.0
64	836.495	32.975	294.769	32.766	0.129	0.926	1000000.0
65	836.518	33.063	294.758	32.924	0.129	0.926	1000000.0
66	837.46	33.01	295.329	32.809	0.129	0.927	1000000.0
67	835.581	33.05	294.643	32.788	0.129	0.926	1000000.0
68	836.798	33.086	294.566	32.851	0.129	0.926	1000000.0
69	836.684	33.023	294.992	32.925	0.129	0.926	1000000.0
70	835.542	33.029	294.411	32.903	0.129	0.926	1000000.0
71	836.459	33.066	294.682	32.942	0.129	0.926	1000000.0
72	836.571	33.039	294.949	32.91	0.129	0.926	1000000.0
73	835.255	33.084	293.953	32.885	0.129	0.926	1000000.0
74	835.14	33.008	294.655	32.762	0.129	0.926	1000000.0
75	837.182	32.991	295.06	32.874	0.128	0.926	1000000.0
76	836.061	32.985	294.807	32.861	0.129	0.926	1000000.0
77	836.232	33.02	294.948	32.915	0.129	0.926	1000000.0
78	836.154	33.038	295.206	32.966	0.129	0.926	1000000.0
79	836.402	32.99	295.049	32.829	0.129	0.926	1000000.0
80	836.124	33.064	294.807	32.814	0.129	0.926	1000000.0
81	835.287	33.033	294.804	32.812	0.129	0.926	1000000.0
82	836.622	32.997	295.125	32.819	0.129	0.926	1000000.0
83	836.192	32.994	295.047	32.873	0.129	0.926	1000000.0
84	837.273	32.996	295.397	32.859	0.129	0.926	1000000.0
85	836.599	32.991	295.306	32.814	0.129	0.927	1000000.0
86	836.692	32.997	295.358	32.832	0.129	0.927	1000000.0
87	835.99	33.066	294.644	32.831	0.129	0.926	1000000.0
88	836.783	32.978	295.307	32.866	0.129	0.926	1000000.0
89	836.31	33.065	294.693	32.927	0.129	0.926	1000000.0
90	836.667	33.059	294.74	32.853	0.129	0.926	1000000.0
91	837.401	32.982	295.357	32.867	0.128	0.926	1000000.0
92	836.267	33.005	294.979	32.848	0.129	0.926	1000000.0
93	836.338	33.056	294.809	32.93	0.129	0.926	1000000.0
94	836.947	32.997	295.18	32.86	0.129	0.926	1000000.0
95	837.796	33.016	295.149	32.893	0.128	0.926	1000000.0
96	836.836	32.962	295.063	32.901	0.129	0.926	1000000.0
97	836.104	33.015	294.701	32.835	0.129	0.926	1000000.0
98	836.374	33.006	295.227	32.893	0.128	0.926	1000000.0
99	835.76	33.051	294.787	33.008	0.129	0.926	1000000.0
100	836.995	32.986	295.18	32.832	0.128	0.926	1000000.0
