Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP53460	757	12	0	295	104	7	15
SP50827	1072	56	128	421	130	2	117
SP50263	67	44	199	29	110	7	64
SP50317	99	130	60	57	107	1	76
SP54113	3083	85	56	341	282	21	5
SP50406	6	0	2	0	0	0	5
SP51824	497	30	119	99	130	10	25
SP55387	195	0	8	51	9	3	0
SP52779	934	24	86	375	103	25	61
SP55235	2139	61	73	665	244	0	52
SP50713	249	2	15	55	95	5	21
SP50611	1265	16	63	428	44	0	77
SP50485	19	10	37	32	29	0	28
SP51037	25	24	113	0	38	6	25
SP55142	3325	235	355	734	939	0	240
SP53387	716	18	25	308	122	30	84
SP54745	328	78	191	227	150	22	104
SP52284	45	31	189	25	81	9	55
SP53618	1407	4	60	648	152	7	50
SP52232	663	3	0	190	45	8	25
SP50412	20	4	27	21	22	4	21
SP50321	222	0	61	146	115	24	29
SP53548	13	15	90	18	66	14	43
SP55004	0	0	4	3	9	2	3
SP56079	1138	8	27	237	40	0	53
SP56168	107	25	132	76	136	21	100
SP54363	751	48	240	311	116	13	32
SP53810	3984	3	0	1363	44	0	48
SP50518	35	12	148	20	110	24	53
SP56303	61	35	170	44	391	30	73
SP55711	39	8	142	67	104	12	54
SP55509	1423	8	84	554	69	0	39
SP55309	9	3	8	15	15	3	16
SP52607	20	0	26	29	27	3	19
SP52667	739	13	16	207	128	6	71
SP51446	89	1	152	15	81	21	50
SP50592	21	7	134	29	64	16	70
SP53073	528	28	60	76	126	18	53
SP56638	823	40	192	219	153	21	61
SP56537	1000	132	221	148	166	22	44
SP57586	626	86	198	120	150	31	98
SP56541	953	28	14	192	212	18	61
SP56553	1724	174	301	319	193	31	82
SP56771	187	45	284	45	158	25	44
SP57941	1560	65	123	683	238	11	151
SP57818	1100	46	74	464	301	24	40
SP56460	331	100	537	24	327	28	40
SP56474	80	156	233	93	148	4	55
SP56704	1722	96	122	141	59	28	12
SP56533	517	73	168	63	170	21	93
SP56730	956	114	253	113	178	40	42
SP59245	916	60	183	136	642	36	73
SP57024	467	31	170	92	101	13	65
SP57933	1063	189	216	12	1928	0	7
SP56754	507	57	152	137	142	21	76
SP56827	856	32	26	176	61	0	12
SP57084	1033	124	429	151	210	18	15
SP57538	916	147	131	49	257	43	88
SP57735	1077	116	63	77	154	31	29
SP57669	1233	89	133	162	241	26	60
SP56566	239	44	272	107	142	5	40
SP56569	713	82	124	127	134	10	27
SP58342	1408	119	443	357	155	26	38
SP58349	822	80	98	267	474	35	58
SP56644	1159	131	390	125	263	19	60
SP57629	401	242	929	104	243	6	117
SP56941	33	4	124	8	31	2	18
SP57619	912	42	48	198	253	6	14
SP58245	1233	164	79	270	192	29	23
SP57251	943	106	275	182	287	45	42
SP56502	1127	134	205	112	171	34	88
SP58668	1414	118	211	342	136	20	53
SP58101	898	144	108	240	200	24	58
SP58991	544	133	381	151	142	21	96
SP56607	471	37	200	54	97	10	48
SP58326	2044	217	363	306	145	30	28
SP57267	1299	133	239	258	220	54	30
SP57066	1177	61	538	231	236	27	55
SP57901	546	53	408	99	184	22	45
SP57651	264	34	101	56	173	20	66
SP57450	193	82	287	52	143	14	71
SP57846	1017	58	215	198	104	14	26
SP58612	759	90	249	68	233	17	67
SP56821	928	95	322	61	65	15	27
SP58882	291	103	254	86	219	37	37
SP57189	3271	378	409	481	109	39	20
CPCT02020306T	762	1	39	311	41	83	11
CPCT02110002T	1004	32	154	638	123	116	22
CPCT02020308T	0	62996	6120	0	0	325	2475
CPCT02020305T	457	60	142	41	93	145	41
CPCT02010356T	359	88	173	81	110	125	34
CPCT02020337T	1664	92	185	173	57	116	3
CPCT02010373T	4294	300	142	810	64	253	107
CPCT02020343T	36	9	127	31	127	128	60
CPCT02020353T	713	209	225	258	122	238	43
CPCT02020334T	1081	96	113	409	84	186	63
CPCT02140018T	17	87	174	30	86	235	86
CPCT02140021T	54	46	73	24	81	56	94
CPCT02040039T	399	54	190	160	33	82	54
CPCT02010409T	357	100	210	327	138	217	115
CPCT02110010T	194	57	163	40	54	107	41
CPCT02070025T	19	2	35	0	19	93	27
CPCT02040045T	2194	121	85	1005	255	127	69
CPCT02040051T	731	250	113	486	114	89	81
CPCT02040054T	433	34	222	69	49	169	42
CPCT02140028T	995	93	232	165	170	260	121
CPCT02011006T	2577	87	147	1437	59	281	100
CPCT02040302T	12	332	266	55	20	60	43
CPCT02011015T	5497	933	399	2105	220	358	378
DRUP01040009T	583	34	761	343	87	290	56
CPCT02011018T	1183	95	66	573	117	123	79
CPCT02270045T	202	46	215	150	108	71	79
CPCT02120088T	0	22	53	0	21	312	30
CPCT02011022T	16	33	91	33	93	91	105
CPCT02010722T	804	95	167	46	490	197	75
CPCT02011021T	17	194	502	79	153	115	158
CPCT02011019T	549	71	127	82	293	161	34
CPCT02011008T	133	95	84	106	56	23	65
CPCT02011017T	1099	260	314	288	102	99	19
DRUP01010116T	1764	357	186	750	536	246	157
CPCT02011029T	107	268	265	68	111	73	55
CPCT02020887T	14	4	25	40	96	83	55
CPCT02040214T	835	191	174	251	32	229	46
CPCT02190052T	1050	90	162	575	137	505	56
CPCT02010699T	1593	80	93	168	116	276	20
CPCT02040213T	782	129	189	59	102	220	52
CPCT02070276T	1175	53	0	106	357	324	0
CPCT02040208T	12	45	73	0	7	241	9
DRUP01040010T	2647	94	168	830	0	135	18
CPCT02040315T	1060	17	65	412	63	84	53
CPCT02040313T	375	140	56	52	112	121	67
CPCT02040312T	124	21	183	42	95	60	48
CPCT02010727T	1141	207	1698	253	112	318	48
CPCT02010728T	154	34	61	8	411	285	111
CPCT02011031T	261	116	140	30	627	104	30
CPCT02011035T	376	26	164	236	157	94	42
CPCT02011038T	12	0	4	14	5	30	17
CPCT02010927T	411	95	322	107	297	90	84
CPCT02070447T	14	39	839	67	58	85	55
