MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	3.35E-04	3.32E-05	1.73E-04	1.06E-03	6.59E-04	5.50E-04	6.55E-04
1:Del:C:1	6.15E-04	2.23E-05	1.10E-04	9.95E-04	3.43E-04	4.74E-04	7.84E-04
1:Del:C:2	5.61E-04	2.55E-05	3.49E-05	1.29E-03	3.16E-04	1.90E-04	5.83E-04
1:Del:C:3	2.61E-04	2.23E-05	7.72E-05	2.71E-04	1.56E-04	2.08E-04	3.34E-04
1:Del:C:4	2.09E-04	3.14E-05	1.98E-05	2.47E-04	1.37E-04	1.42E-04	1.71E-04
1:Del:C:5	1.14E-04	4.98E-05	8.54E-05	1.97E-04	1.48E-04	1.52E-04	1.07E-04
1:Del:T:0	1.79E-04	1.89E-05	1.71E-04	1.13E-03	5.74E-04	4.27E-04	3.59E-04
1:Del:T:1	9.19E-05	1.43E-05	1.11E-04	4.84E-04	4.28E-04	3.78E-04	3.90E-04
1:Del:T:2	1.02E-04	2.10E-05	1.33E-04	9.20E-04	4.57E-04	4.03E-04	2.68E-04
1:Del:T:3	1.81E-04	4.45E-05	1.35E-04	1.02E-03	4.01E-04	3.92E-04	3.16E-04
1:Del:T:4	1.53E-04	6.64E-05	1.44E-04	9.02E-04	2.75E-04	2.99E-04	3.76E-04
1:Del:T:5	3.12E-04	2.72E-04	1.22E-03	1.11E-03	1.46E-03	1.96E-04	2.51E-03
1:Ins:C:0	1.84E-04	1.63E-05	1.17E-04	1.02E-03	2.18E-04	9.13E-04	1.23E-04
1:Ins:C:1	4.95E-05	6.00E-06	4.47E-05	2.13E-04	1.02E-04	1.85E-04	1.40E-04
1:Ins:C:2	3.60E-05	4.82E-06	3.54E-05	1.18E-04	7.04E-05	9.61E-05	9.32E-05
1:Ins:C:3	3.81E-05	7.48E-06	3.00E-05	1.38E-04	4.12E-05	7.83E-05	3.25E-05
1:Ins:C:4	3.47E-05	1.32E-05	4.68E-05	1.06E-04	3.13E-05	1.01E-04	4.99E-05
1:Ins:C:5	5.41E-05	3.67E-05	9.49E-05	2.12E-04	5.77E-05	2.00E-04	1.65E-05
1:Ins:T:0	2.23E-04	1.58E-05	8.19E-05	8.39E-04	1.62E-04	3.78E-04	1.69E-04
1:Ins:T:1	5.12E-04	0.00E+00	1.09E-04	1.90E-03	1.54E-04	3.60E-04	2.53E-04
1:Ins:T:2	6.06E-04	1.77E-05	9.51E-05	2.44E-03	6.35E-05	2.71E-04	1.62E-04
1:Ins:T:3	1.79E-04	1.31E-05	8.59E-05	8.41E-04	8.54E-05	1.91E-04	1.98E-04
1:Ins:T:4	4.97E-05	2.09E-05	7.24E-05	1.86E-04	1.03E-04	7.94E-05	1.20E-04
1:Ins:T:5	4.79E-04	2.36E-04	1.16E-03	1.38E-03	1.06E-03	6.89E-04	4.94E-04
2:Del:R:0	7.55E-05	1.52E-05	6.53E-05	2.23E-04	2.15E-04	1.78E-04	3.29E-04
2:Del:R:1	6.32E-05	2.31E-05	7.28E-05	2.80E-04	2.03E-04	2.45E-05	6.02E-04
