Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP53460	665	11	0	319	147	2	34	6	6
SP50827	945	53	121	456	198	0	44	100	9
SP50263	44	46	188	12	145	0	26	51	8
SP50317	71	130	56	32	154	0	20	61	6
SP54113	2795	71	55	516	181	22	169	2	62
SP50406	6	0	2	1	0	0	0	4	0
SP51824	445	27	112	117	106	8	62	21	12
SP55387	175	0	7	61	20	2	0	0	1
SP52779	817	26	80	375	212	7	7	45	39
SP55235	1919	49	69	801	182	17	147	50	0
SP50713	221	1	14	64	72	5	47	18	0
SP50611	1129	10	60	508	94	1	24	67	0
SP50485	12	10	35	29	33	0	12	24	0
SP51037	18	23	108	0	45	3	12	22	0
SP55142	2931	225	330	812	886	0	439	170	35
SP53387	618	22	21	277	221	2	14	64	64
SP54745	260	83	177	163	268	0	8	77	64
SP52284	34	29	182	20	77	5	33	49	6
SP53618	1242	0	56	695	236	9	56	34	0
SP52232	596	0	0	218	54	7	25	21	13
SP50412	14	5	25	18	30	2	7	18	0
SP50321	176	0	58	137	173	11	22	20	0
SP53548	2	16	83	0	82	1	13	35	27
SP55004	0	0	4	0	11	1	3	2	0
SP56079	1035	1	26	311	17	7	41	49	16
SP56168	76	27	123	49	183	3	35	83	18
SP54363	656	47	228	323	173	5	33	22	24
SP53810	3529	0	0	1514	396	0	0	3	0
SP50518	18	13	142	7	130	12	35	44	1
SP56303	24	34	159	22	300	18	188	59	0
SP55711	13	10	136	46	158	0	20	42	1
SP55509	1256	6	80	612	193	0	7	23	0
SP55309	5	2	7	13	18	1	8	13	2
SP52607	14	0	23	16	37	0	5	14	15
SP52667	648	12	13	236	168	2	45	56	0
SP51446	68	3	146	5	123	7	13	40	4
SP50592	9	7	128	17	93	6	14	61	6
SP53073	466	28	56	85	147	6	39	42	20
SP56638	736	35	179	234	109	13	78	55	70
SP56537	879	134	208	145	280	0	14	25	48
SP57586	554	85	187	127	179	14	47	84	32
SP56541	857	23	12	225	135	14	120	52	40
SP56553	1524	174	284	358	364	0	25	51	44
SP56771	150	46	272	40	184	12	50	34	0
SP57941	1313	72	112	666	572	0	0	96	0
SP57818	959	45	68	483	328	15	124	23	4
SP56460	285	95	509	24	249	16	159	30	20
SP56474	53	155	219	58	168	0	49	42	25
SP56704	1570	84	117	252	0	29	60	21	47
SP56533	450	74	158	60	217	1	45	75	25
SP56730	849	113	237	118	231	10	42	29	67
SP59245	836	41	167	186	175	44	445	70	82
SP57024	415	30	159	95	121	2	34	53	30
SP57933	1048	122	197	207	229	23	1546	36	7
SP56754	430	61	142	103	255	0	8	54	39
SP56827	768	30	25	219	98	0	18	5	0
SP57084	917	121	406	180	245	3	69	4	35
