NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	104.12	32.093	21.27	19.938	26.492	0.963	1000000.0
2	102.244	31.883	20.092	19.624	44.034	0.964	1000000.0
3	104.648	31.54	21.502	19.509	35.269	0.966	1000000.0
4	102.399	31.554	20.656	19.757	22.13	0.964	1000000.0
5	101.939	31.605	20.41	19.534	4.581	0.965	1000000.0
6	102.654	31.835	20.424	19.693	30.895	0.965	1000000.0
7	101.75	31.785	20.117	19.773	17.728	0.964	1000000.0
8	103.348	31.824	20.957	19.8	44.028	0.964	1000000.0
9	100.307	31.436	20.117	19.659	26.565	0.966	1000000.0
10	102.845	31.672	20.564	19.804	35.261	0.964	1000000.0
11	102.635	31.715	20.317	19.668	17.726	0.964	1000000.0
12	104.762	31.927	21.62	20.059	17.731	0.963	1000000.0
13	102.823	31.674	20.78	19.664	13.341	0.964	1000000.0
14	103.134	31.844	21.107	19.987	8.954	0.963	1000000.0
15	106.198	31.866	22.263	19.847	13.344	0.964	1000000.0
16	103.273	32.089	20.665	19.936	17.72	0.966	1000000.0
17	102.51	31.657	20.375	19.934	13.346	0.965	1000000.0
18	100.641	31.785	19.782	19.63	26.493	0.963	1000000.0
19	101.668	31.692	20.185	19.573	39.663	0.966	1000000.0
20	101.637	31.577	19.687	19.468	30.882	0.965	1000000.0
21	101.586	31.527	20.013	19.713	35.263	0.964	1000000.0
22	102.669	31.696	20.715	19.799	26.49	0.965	1000000.0
23	103.071	31.9	20.637	20.071	52.809	0.964	1000000.0
24	102.727	31.582	20.876	19.498	17.728	0.965	1000000.0
25	104.888	32.067	21.446	19.811	39.652	0.964	1000000.0
26	101.46	31.481	20.728	19.573	30.882	0.965	1000000.0
27	100.954	31.328	19.886	19.278	8.981	0.966	1000000.0
28	103.723	31.923	21.001	19.797	8.957	0.964	1000000.0
29	102.067	31.706	20.361	19.911	8.951	0.964	1000000.0
30	102.358	31.24	20.634	19.344	22.128	0.966	1000000.0
31	104.47	32.242	20.724	19.819	13.374	0.964	1000000.0
32	101.871	31.745	20.246	19.767	13.339	0.964	1000000.0
33	102.314	31.516	20.303	19.395	4.566	0.966	1000000.0
34	103.44	31.736	21.021	19.803	22.166	0.964	1000000.0
35	103.182	31.609	20.67	19.465	22.111	0.966	1000000.0
36	102.543	31.406	20.321	19.371	22.137	0.966	1000000.0
37	104.523	31.628	21.94	19.92	4.569	0.963	1000000.0
38	101.1	31.514	19.98	19.562	30.878	0.965	1000000.0
39	102.871	31.657	20.314	19.444	35.274	0.965	1000000.0
40	101.372	31.636	19.714	19.445	13.363	0.964	1000000.0
41	104.315	32.036	21.257	20.13	8.972	0.963	1000000.0
42	104.208	31.583	21.874	19.88	30.874	0.966	1000000.0
43	102.967	31.997	20.657	20.022	4.589	0.964	1000000.0
44	103.884	31.49	21.069	19.461	44.041	0.967	1000000.0
45	101.036	31.528	20.133	19.57	22.112	0.965	1000000.0
46	103.971	31.945	21.014	20.292	13.355	0.962	1000000.0
47	103.748	31.92	20.868	19.988	35.265	0.963	1000000.0
48	104.223	31.973	21.292	19.875	13.338	0.965	1000000.0
49	103.303	31.708	20.832	19.569	22.131	0.964	1000000.0
50	102.186	31.848	20.755	20.131	17.732	0.964	1000000.0
51	103.493	31.861	21.239	19.732	22.109	0.964	1000000.0
52	102.058	31.585	19.7	19.132	17.733	0.966	1000000.0
53	102.74	31.715	20.455	19.537	4.573	0.966	1000000.0
54	101.893	31.78	19.998	19.737	13.343	0.965	1000000.0
55	103.143	31.359	21.292	19.203	26.495	0.967	1000000.0
56	104.094	32.075	21.218	19.934	26.507	0.965	1000000.0
57	101.964	31.616	20.35	19.732	22.116	0.964	1000000.0
58	101.408	31.303	19.732	19.252	8.962	0.968	1000000.0
59	100.877	31.366	19.808	19.494	35.268	0.964	1000000.0
60	103.226	31.879	20.803	19.849	35.283	0.964	1000000.0
61	103.743	31.626	21.118	19.579	17.735	0.965	1000000.0
62	102.919	32.11	20.479	19.849	4.573	0.964	1000000.0
63	102.569	31.735	20.512	19.671	22.119	0.965	1000000.0
64	102.414	31.509	20.474	19.18	26.487	0.966	1000000.0
65	101.173	31.439	20.022	19.475	8.956	0.965	1000000.0
66	104.018	31.927	21.492	19.976	17.726	0.964	1000000.0
67	103.585	31.977	20.704	20.165	4.574	0.963	1000000.0
68	103.633	31.698	21.066	19.724	35.279	0.964	1000000.0
69	103.08	31.499	21.154	19.159	8.968	0.967	1000000.0
70	102.875	32.121	20.39	19.958	30.886	0.964	1000000.0
71	101.261	31.653	19.933	19.806	61.575	0.964	1000000.0
72	102.79	31.551	20.932	19.661	13.354	0.967	1000000.0
73	105.128	31.806	21.863	19.846	17.745	0.966	1000000.0
74	102.608	31.83	20.488	19.862	17.738	0.964	1000000.0
75	102.111	31.086	20.236	18.88	0.202	0.967	1000000.0
76	101.564	31.476	20.184	19.555	22.111	0.964	1000000.0
77	104.95	31.898	21.965	19.96	30.88	0.966	1000000.0
78	102.378	31.704	20.41	19.708	83.511	0.965	1000000.0
79	102.006	31.386	20.123	19.306	35.27	0.966	1000000.0
80	102.969	31.669	20.154	19.333	65.957	0.965	1000000.0
81	104.583	32.154	21.342	19.798	30.907	0.965	1000000.0
82	102.182	31.675	20.261	19.493	17.719	0.966	1000000.0
83	105.67	32.239	21.774	20.319	22.14	0.964	1000000.0
84	103.435	31.832	20.637	19.681	26.498	0.964	1000000.0
85	104.077	31.76	20.72	19.605	30.917	0.966	1000000.0
86	104.161	32.183	20.76	20.357	22.134	0.962	1000000.0
87	103.069	31.368	20.589	19.324	13.353	0.966	1000000.0
88	102.664	31.394	20.484	19.258	17.741	0.965	1000000.0
89	104.382	31.619	21.273	19.484	22.156	0.965	1000000.0
90	101.816	31.856	20.443	19.909	44.041	0.965	1000000.0
91	101.386	31.227	20.355	19.44	13.344	0.965	1000000.0
92	102.497	31.731	20.242	19.847	17.742	0.965	1000000.0
93	103.563	31.771	21.158	19.854	13.338	0.964	1000000.0
94	100.846	31.39	19.885	19.124	35.258	0.967	1000000.0
95	101.665	31.432	19.923	19.499	22.116	0.965	1000000.0
96	101.898	31.793	20.479	19.864	13.352	0.964	1000000.0
97	101.806	31.798	19.921	19.421	35.286	0.966	1000000.0
98	103.592	31.531	21.291	19.773	22.11	0.966	1000000.0
99	101.961	31.512	20.388	19.534	26.523	0.965	1000000.0
100	103.751	31.937	21.494	20.046	13.366	0.964	1000000.0
