MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	1.72E-03	1.04E-03	2.14E-03	1.57E-03	5.80E-03	1.93E-03	5.77E-03	5.19E-03	1.41E-03	3.32E-03	4.51E-03	5.32E-03	4.20E-03
1:Del:C:1	7.60E-04	4.48E-04	1.01E-03	6.33E-04	3.03E-03	8.87E-04	3.02E-03	2.07E-03	6.39E-04	2.15E-03	2.19E-03	3.90E-03	1.69E-03
1:Del:C:2	7.02E-04	3.28E-04	6.13E-04	2.26E-04	1.68E-03	5.60E-04	1.89E-03	1.24E-03	3.80E-04	1.71E-03	1.20E-03	1.77E-03	1.88E-03
1:Del:C:3	8.90E-04	2.26E-04	3.90E-04	1.03E-03	1.78E-03	4.76E-04	8.66E-04	1.22E-03	1.45E-04	9.06E-04	1.30E-03	2.41E-03	1.46E-03
1:Del:C:4	8.08E-04	3.49E-04	5.31E-04	1.25E-03	1.88E-03	3.69E-04	9.06E-04	6.60E-04	4.28E-04	8.20E-04	1.27E-03	2.34E-03	1.55E-03
1:Del:C:5	2.91E-03	5.64E-04	3.99E-04	3.98E-03	1.93E-03	8.56E-05	8.61E-04	1.37E-03	7.85E-04	3.76E-04	4.01E-03	7.36E-03	5.25E-03
1:Del:T:0	2.23E-03	2.73E-04	1.23E-03	8.04E-04	6.49E-03	5.09E-04	6.20E-03	3.02E-03	1.28E-03	3.85E-03	4.71E-03	3.64E-03	3.37E-03
1:Del:T:1	4.82E-04	1.14E-03	5.50E-04	4.12E-04	3.65E-03	7.89E-04	3.21E-03	1.24E-03	1.17E-03	8.03E-03	2.18E-03	2.32E-03	1.34E-03
1:Del:T:2	7.36E-04	7.40E-04	1.00E-03	7.34E-04	3.65E-03	6.37E-04	3.30E-03	2.31E-03	6.35E-04	2.37E-03	1.98E-03	3.41E-03	2.67E-03
1:Del:T:3	1.12E-03	7.85E-04	1.06E-03	1.72E-03	4.28E-03	1.25E-03	3.88E-03	2.64E-03	7.08E-04	2.74E-03	2.44E-03	4.71E-03	3.06E-03
1:Del:T:4	2.12E-03	1.52E-03	2.10E-03	2.38E-03	5.64E-03	1.65E-03	3.56E-03	3.69E-03	1.73E-04	1.80E-03	4.96E-03	3.90E-03	4.01E-03
1:Del:T:5	1.54E-02	7.02E-03	1.11E-02	1.28E-02	7.08E-03	3.25E-03	7.15E-03	6.31E-03	1.31E-03	1.85E-03	2.03E-02	6.08E-03	1.14E-02
1:Ins:C:0	2.18E-03	6.41E-04	8.56E-04	1.06E-03	5.62E-03	2.07E-04	1.56E-03	5.72E-09	9.01E-04	3.58E-03	6.07E-03	5.21E-03	5.67E-03
1:Ins:C:1	5.28E-04	1.24E-04	2.20E-04	2.06E-04	7.81E-04	1.94E-04	9.58E-04	6.07E-04	4.50E-04	6.26E-04	7.18E-04	1.07E-03	5.93E-04
1:Ins:C:2	2.45E-04	3.81E-05	1.08E-04	6.26E-05	3.62E-04	2.01E-04	5.40E-04	3.95E-04	2.44E-04	5.61E-04	4.98E-04	7.43E-04	5.37E-04
1:Ins:C:3	2.08E-04	1.20E-04	1.21E-04	1.24E-04	6.28E-04	1.09E-04	3.73E-04	1.55E-04	3.38E-04	6.73E-04	5.83E-04	5.58E-04	5.00E-04
1:Ins:C:4	3.44E-04	1.97E-04	2.52E-04	4.27E-04	5.39E-04	3.34E-04	3.15E-04	5.51E-04	2.79E-04	1.70E-04	6.93E-04	5.66E-04	7.58E-04
1:Ins:C:5	1.61E-03	1.56E-03	2.03E-03	1.76E-03	9.82E-04	6.49E-04	4.15E-04	8.43E-04	8.06E-04	4.26E-04	2.52E-03	2.87E-03	3.07E-03
1:Ins:T:0	7.34E-04	3.95E-04	1.28E-03	2.54E-04	1.75E-03	2.23E-04	1.26E-03	1.36E-03	8.39E-04	2.60E-03	2.90E-03	2.85E-03	2.89E-03
1:Ins:T:1	5.06E-04	4.32E-04	4.07E-04	3.45E-04	2.19E-03	5.38E-04	1.92E-03	2.30E-03	5.13E-04	2.05E-03	1.23E-03	2.71E-03	1.74E-03
1:Ins:T:2	6.54E-04	3.40E-04	3.65E-04	3.66E-04	1.04E-03	3.28E-04	1.04E-03	1.04E-03	2.24E-04	8.82E-04	1.15E-03	1.68E-03	1.81E-03
1:Ins:T:3	3.39E-04	5.10E-04	7.28E-04	3.30E-04	8.71E-04	4.30E-04	6.90E-04	1.34E-03	3.38E-05	1.00E-03	1.10E-03	1.32E-03	1.04E-03
1:Ins:T:4	6.38E-04	1.49E-03	1.07E-03	7.17E-04	1.68E-03	2.40E-04	6.08E-04	9.36E-04	9.89E-05	5.75E-04	1.43E-03	1.23E-03	1.70E-03
1:Ins:T:5	9.88E-03	9.91E-03	1.14E-02	7.17E-03	3.57E-03	6.03E-03	2.30E-03	1.13E-03	2.66E-03	3.11E-03	6.09E-03	3.28E-03	2.15E-02
2:Del:R:0	3.23E-04	2.17E-04	2.23E-04	2.85E-04	2.63E-03	6.59E-04	2.79E-03	5.46E-03	7.39E-04	1.02E-03	7.92E-04	4.86E-03	9.60E-04
2:Del:R:1	2.31E-03	1.13E-03	1.75E-03	7.86E-04	2.50E-03	8.51E-04	1.23E-03	5.68E-03	3.83E-04	1.52E-03	3.97E-03	3.49E-03	4.40E-03
2:Del:R:2	1.07E-03	3.58E-04	4.83E-04	1.87E-04	1.14E-03	4.20E-04	1.06E-03	2.02E-03	3.92E-04	8.16E-04	1.52E-03	1.20E-03	1.54E-03
2:Del:R:3	3.33E-04	1.33E-05	1.10E-04	2.92E-04	3.33E-04	1.80E-04	3.85E-04	6.83E-04	1.93E-04	2.65E-04	6.06E-04	6.96E-04	3.53E-04
2:Del:R:4	2.15E-04	7.38E-05	6.69E-05	3.05E-04	2.29E-04	4.09E-05	2.33E-04	1.17E-04	1.97E-04	2.37E-04	3.47E-04	6.51E-04	3.15E-04
2:Del:R:5	5.36E-04	3.32E-06	1.22E-04	7.37E-04	4.45E-04	1.58E-06	1.28E-04	1.24E-04	4.39E-04	1.39E-08	9.19E-04	1.41E-03	6.75E-04
3:Del:R:0	3.57E-04	5.27E-05	2.56E-04	1.10E-04	6.90E-04	3.75E-04	1.23E-03	9.94E-04	2.60E-04	6.04E-04	6.69E-04	1.49E-03	5.74E-04
3:Del:R:1	1.64E-03	1.14E-03	9.72E-04	3.55E-04	1.50E-03	9.53E-04	3.33E-03	3.52E-03	2.36E-04	4.97E-04	2.60E-03	2.78E-03	3.06E-03
3:Del:R:2	8.39E-04	4.17E-04	5.93E-04	2.61E-04	7.08E-04	4.76E-04	9.10E-04	1.99E-03	3.58E-04	1.03E-04	1.04E-03	1.35E-03	1.31E-03
3:Del:R:3	2.16E-04	4.78E-05	2.13E-04	6.84E-05	2.65E-04	1.70E-05	3.04E-04	5.39E-04	5.72E-05	2.32E-04	3.51E-04	5.13E-04	4.28E-04
3:Del:R:4	9.49E-05	1.84E-05	7.37E-05	1.27E-04	1.76E-04	4.14E-05	2.86E-04	2.00E-04	1.18E-04	1.71E-09	2.74E-04	4.30E-04	2.45E-04
