Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP99325	72453	0	8276	7259	12941	3695	12718	2631	0	389	2243	0	3467	0
SP18310	80615	11901	279	14055	10937	2066	13111	728	0	0	290	0	0	0
SP17172	26181	7789	0	0	4857	0	815	0	0	0	0	0	0	238
SP96133	51183	6670	1092	0	5468	1829	6084	4525	142	0	395	0	0	0
SP110242	80273	7180	0	0	11597	9721	12808	2628	11	0	277	0	0	0
SP21017	79523	0	4910	9	11337	2989	11494	2117	0	0	0	0	0	0
SP22383	59721	812	0	0	6839	0	6975	4492	0	0	449	0	0	0
SP81312	3162	0	151	0	5667	0	45	1146	0	253	0	0	0	1165
SP19215	45892	0	0	8452	5951	651	6099	6228	158	0	300	0	0	0
SP16886	497	0	65	0	4798	0	0	645	168	99	0	0	0	1391
SP17905	714	0	798	0	10090	0	0	9330	588	1557	0	336	0	2253
SP18121	64283	119	637	0	21927	625	8802	3456	0	170	0	0	0	11
SP96118	3331	1375	0	0	1003	25	1507	1952	123	0	149	0	0	0
SP21400	1672	0	115	0	6772	0	0	937	2	167	0	0	0	886
SP18946	4322	275	371	0	7074	15	0	3120	203	484	99	13	0	825
SP80615	1652	0	237	0	10114	0	0	2709	652	434	0	33	0	3508
SP102897	2805	5480	0	0	1299	772	678	550	83	329	1099	0	379	0
SP98845	3411	2775	0	0	730	131	907	507	194	214	83	0	262	0
SP107012	14786	4961	0	0	3833	1572	1892	952	0	257	135	0	1385	0
SP55142	0	0	0	0	272	0	241	442	0	4107	323	209	0	234
SP53810	0	25	0	0	15	0	162	52	0	4961	29	112	0	86
SP116697	801	1184	0	0	3462	571	0	692	151	203	873	102	1106	239
SP102133	2648	0	0	0	5314	10086	125	11	1083	73	90	0	554	115
SP125732	4550	720	0	0	757	0	379	1110	122	0	99	0	6	0
SP125746	25416	9948	0	0	3790	2823	4424	308	6	0	742	0	0	0
SP125770	4477	1931	0	0	4896	6182	37	906	1200	0	154	0	1788	161
SP77956	0	0	0	0	0	0	0	0	0	1994	0	0	3479	0
SP124384	4501	11362	0	0	1267	1061	1595	1184	257	349	364	0	0	60
SP135287	46616	0	0	3323	6134	728	4592	2222	201	0	463	0	0	0
SP85122	59008	11546	0	8607	5925	4543	8791	977	611	0	432	0	0	0
SP84384	65894	9725	0	0	4623	0	17560	2120	890	0	826	0	0	0
SP84982	41649	1569	0	0	2455	0	5191	1938	0	0	151	0	0	23
SP84392	69665	4150	0	2459	6118	2502	14664	2282	335	0	0	0	0	0
SP84439	62039	0	0	1580	6492	0	17807	6409	600	364	0	0	0	588
SP95454	12127	6202	1170	0	2375	2940	2675	600	0	0	233	0	0	0
SP94741	27877	8818	3717	0	4383	4640	4787	529	0	0	381	0	0	0
SP90209	39179	11980	0	0	36696	2539	8416	28402	0	0	0	0	0	0
SP90989	35955	2444	3758	22	2923	1394	2795	925	0	0	412	0	0	0
SP93540	50181	10682	9471	6114	6948	2678	8420	0	0	0	1546	0	0	0
SP93227	38929	6892	0	0	29530	394	6616	46966	0	12	0	0	0	0
SP94348	24682	11872	2459	0	3305	2709	4856	6	4	0	473	0	0	0
SP94933	21872	2324	77	0	12430	21526	1387	0	2173	0	100	0	2255	142
SP92364	31636	6573	891	0	5202	8292	3612	2453	566	0	457	0	0	2
SP94917	7476	2170	1201	0	2964	668	2009	632	0	180	573	0	0	0
SP92460	4650	3742	629	0	1129	1748	1397	491	23	23	354	0	0	0
SP89909	5360	3100	0	0	787	543	1625	860	47	0	340	0	0	0
CPCT02020308T	32345	12601	7047	1543	2531	7577	4479	166	0	0	3048	579	0	0
CPCT02020323T	6972	2212	2268	0	981	392	770	720	0	0	255	0	51	0
CPCT02010373T	63	0	0	104	1	139	333	110	32	4749	111	224	0	104
CPCT02140022T	3564	6332	0	0	2002	1568	282	104	32	142	74	671	304	55
CPCT02070024T	8840	8539	2640	0	1062	4158	1187	158	0	101	253	90	1075	0
CPCT02070023T	59552	16883	10093	0	8936	10805	13300	1471	105	1434	505	1257	2632	0
CPCT02020387T	39395	15033	21089	0	4437	8737	6401	3632	0	457	1183	0	180	0
CPCT02140024T	543	2792	594	0	323	789	377	171	6	21	362	117	1	4
