MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	6.31E-04	1.29E-03	3.77E-04	1.18E-04	0.00E+00	1.06E-05	1.05E-03	3.35E-05	3.61E-05	3.27E-04	2.95E-04	6.71E-04	2.22E-03	3.10E-04
1:Del:C:1	4.77E-05	4.20E-04	4.64E-05	9.07E-05	1.10E-05	1.33E-05	2.62E-04	4.53E-05	1.91E-05	4.11E-04	2.50E-04	2.78E-04	7.03E-04	2.82E-04
1:Del:C:2	4.53E-05	2.06E-04	4.30E-05	1.14E-04	7.27E-06	2.23E-05	3.24E-04	3.94E-05	1.27E-05	3.44E-04	2.21E-04	8.79E-05	3.07E-04	2.76E-04
1:Del:C:3	2.41E-04	2.61E-04	2.47E-04	5.35E-04	5.38E-06	1.24E-05	1.30E-03	1.48E-04	1.48E-05	1.50E-04	2.65E-04	3.12E-04	7.86E-04	1.04E-04
1:Del:C:4	5.09E-04	8.37E-04	7.77E-04	1.61E-03	1.06E-05	7.80E-06	3.68E-03	1.30E-04	1.91E-05	3.46E-04	3.97E-04	2.54E-05	2.48E-03	1.03E-04
1:Del:C:5	9.15E-04	2.49E-03	2.33E-03	3.54E-03	9.38E-06	1.99E-04	8.22E-03	1.87E-04	2.11E-04	7.03E-04	7.48E-04	2.67E-03	6.53E-03	1.19E-04
1:Del:T:0	3.89E-04	1.11E-03	1.89E-04	5.35E-05	0.00E+00	2.13E-05	6.77E-04	1.24E-05	2.55E-05	1.33E-04	2.77E-04	7.31E-04	1.84E-03	6.60E-04
1:Del:T:1	2.16E-04	2.13E-03	5.51E-05	1.36E-04	0.00E+00	3.69E-07	1.13E-03	7.85E-05	8.81E-06	1.79E-04	1.70E-04	2.24E-03	3.70E-03	1.15E-03
1:Del:T:2	3.24E-04	5.02E-04	4.04E-05	2.25E-04	3.72E-05	4.21E-06	4.81E-04	7.86E-04	2.76E-05	1.46E-04	1.62E-04	3.89E-04	9.22E-04	1.15E-03
1:Del:T:3	7.97E-04	6.57E-04	2.54E-04	9.51E-04	8.72E-05	9.05E-05	1.89E-03	2.03E-03	2.06E-05	2.12E-04	3.84E-04	6.66E-04	1.29E-03	3.19E-04
1:Del:T:4	1.53E-03	6.88E-04	7.70E-04	2.03E-03	1.22E-04	1.82E-04	4.83E-03	2.95E-03	1.54E-04	2.86E-04	5.90E-04	5.60E-04	1.45E-03	3.54E-04
1:Del:T:5	9.67E-03	2.13E-02	1.07E-02	1.49E-02	8.95E-04	4.75E-03	1.62E-02	5.76E-03	6.19E-03	3.86E-05	6.79E-03	3.44E-03	1.43E-02	3.73E-03
1:Ins:C:0	1.41E-04	1.07E-04	3.23E-05	1.19E-04	8.89E-05	9.83E-05	1.42E-04	0.00E+00	4.30E-05	1.55E-04	1.55E-04	3.98E-04	1.97E-04	9.57E-03
1:Ins:C:1	2.92E-05	9.86E-05	9.97E-06	1.54E-05	1.44E-05	4.99E-05	6.27E-05	1.15E-05	3.31E-05	4.97E-04	6.93E-05	8.10E-05	3.14E-03	1.69E-04
1:Ins:C:2	3.20E-05	3.79E-05	4.13E-06	7.49E-06	1.38E-05	3.55E-05	2.16E-05	1.52E-05	2.43E-05	2.79E-04	1.96E-05	7.06E-05	2.08E-03	6.63E-05
1:Ins:C:3	4.03E-05	1.03E-04	1.18E-05	2.95E-05	1.66E-05	5.90E-05	1.48E-04	3.70E-05	3.61E-05	1.46E-04	3.99E-06	1.26E-04	1.79E-03	6.05E-05
1:Ins:C:4	1.21E-04	1.14E-04	4.21E-05	2.19E-04	3.89E-06	0.00E+00	4.66E-04	2.71E-05	2.50E-03	5.56E-05	8.61E-05	0.00E+00	5.31E-04	1.03E-04
1:Ins:C:5	7.81E-04	4.71E-04	2.77E-04	7.96E-04	2.00E-04	5.37E-04	1.44E-03	2.96E-04	1.68E-03	1.07E-04	3.32E-05	1.71E-03	1.15E-03	8.05E-05
1:Ins:T:0	5.63E-04	3.42E-04	6.61E-05	2.76E-05	3.34E-05	5.00E-05	3.20E-04	3.98E-05	3.51E-05	7.81E-05	1.99E-06	8.82E-04	4.29E-04	8.35E-04
