NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1326.705	6.158	330.52	4.151	4.54	0.993	1000000.0
2	1341.481	6.144	325.549	3.874	0.017	0.994	1000000.0
3	1313.882	5.627	317.178	3.567	4.535	0.995	1000000.0
4	1283.894	6.063	295.736	3.822	0.017	0.993	1000000.0
5	1319.505	5.548	318.613	3.514	4.534	0.996	1000000.0
6	1291.001	6.125	299.144	3.82	0.018	0.993	1000000.0
7	1301.239	5.749	312.384	3.604	0.012	0.995	1000000.0
8	1313.521	5.545	315.814	3.485	0.01	0.996	1000000.0
9	1329.41	5.569	317.657	3.487	0.01	0.996	1000000.0
10	1289.681	6.123	313.234	3.897	0.018	0.993	1000000.0
11	1300.852	5.538	313.868	3.524	4.536	0.996	1000000.0
12	1312.744	5.637	317.292	3.574	4.535	0.996	1000000.0
13	1290.022	6.074	310.184	3.863	0.017	0.993	1000000.0
14	1296.876	6.116	315.039	3.895	0.017	0.993	1000000.0
15	1344.007	6.093	329.896	3.839	0.017	0.994	1000000.0
16	1291.411	5.618	297.533	3.498	0.012	0.995	1000000.0
17	1299.27	5.706	311.826	3.6	0.012	0.995	1000000.0
18	1291.219	6.099	310.287	3.878	4.541	0.993	1000000.0
19	1345.658	5.579	326.761	3.484	4.534	0.996	1000000.0
20	1314.212	6.21	321.977	4.123	0.016	0.993	1000000.0
21	1315.638	5.741	318.338	3.631	4.536	0.995	1000000.0
22	1311.584	5.527	305.173	3.456	4.535	0.995	1000000.0
23	1304.002	6.107	313.96	3.897	0.017	0.993	1000000.0
24	1315.637	5.536	316.143	3.476	0.01	0.996	1000000.0
25	1317.878	5.456	320.016	3.354	0.01	0.997	1000000.0
26	1311.148	5.574	315.86	3.565	0.011	0.996	1000000.0
27	1297.419	5.604	310.248	3.575	4.535	0.995	1000000.0
28	1313.93	6.022	317.156	3.807	4.541	0.994	1000000.0
29	1343.984	5.577	330.245	3.527	0.01	0.996	1000000.0
30	1303.991	5.725	311.063	3.596	4.536	0.995	1000000.0
31	1285.864	6.156	311.147	3.949	0.018	0.993	1000000.0
32	1287.491	5.511	299.137	3.452	0.011	0.995	1000000.0
33	1342.214	6.022	322.327	3.719	0.016	0.994	1000000.0
34	1326.425	5.591	318.402	3.517	4.534	0.996	1000000.0
35	1322.264	5.589	322.732	3.541	4.535	0.996	1000000.0
36	1302.516	5.635	315.043	3.593	4.535	0.996	1000000.0
37	1322.452	5.737	313.617	3.589	4.535	0.995	1000000.0
38	1346.523	6.094	332.26	3.866	0.017	0.993	1000000.0
39	1320.448	5.532	318.176	3.488	4.534	0.996	1000000.0
40	1294.937	6.12	300.149	3.861	0.017	0.993	1000000.0
41	1291.545	5.537	300.116	3.467	4.535	0.996	1000000.0
42	1318.944	6.16	321.758	3.93	0.018	0.993	1000000.0
43	1306.062	6.233	315.528	3.975	0.018	0.993	1000000.0
44	1293.016	5.634	309.187	3.564	0.011	0.996	1000000.0
45	1297.05	5.516	302.18	3.445	4.535	0.996	1000000.0
46	1298.971	5.628	309.52	3.572	0.011	0.995	1000000.0
47	1314.095	5.82	313.248	3.694	4.536	0.995	1000000.0
48	1327.185	5.535	315.408	3.472	0.01	0.996	1000000.0
