Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP99325	63707	47348	13155	0	0	1862
SP18310	75293	50536	8153	0	0	0
SP17172	24750	10493	4637	0	0	0
SP96133	53780	15308	8286	0	0	14
SP110242	68706	36967	18695	0	0	127
SP21017	64625	36590	11164	0	0	0
SP22383	57488	13715	8027	0	0	58
SP81312	2521	632	4362	776	3106	192
SP19215	55311	8183	6698	0	3211	328
SP16886	0	170	3694	972	2734	93
SP17905	881	0	0	1849	20971	1965
SP18121	54781	21713	23467	0	0	69
SP96118	5723	0	0	0	3461	281
SP21400	705	834	5203	519	3188	102
SP18946	3764	409	2791	687	8780	370
SP80615	0	438	5040	2669	10779	413
SP102897	5093	4847	2192	509	242	591
SP98845	4679	2746	857	0	488	444
SP107012	15327	7933	5882	0	0	631
SP55142	28	0	0	833	633	4334
SP53810	22	0	31	281	0	5108
SP116697	1861	149	4244	1178	1600	352
SP102133	2716	1511	15762	0	0	110
SP125732	5819	0	490	18	1388	28
SP125746	23448	18737	5272	0	0	0
SP125770	7807	0	12987	752	0	186
SP77956	111	0	680	0	0	4682
SP124384	10436	7586	2573	407	343	655
SP135287	44438	12937	6904	0	0	0
SP85122	58737	34064	7639	0	0	0
SP84384	55854	42064	1118	0	1079	1523
SP84982	37850	12981	2145	0	0	0
SP84392	59193	36928	5707	0	0	347
SP84439	55276	27138	0	0	10947	2518
SP95454	12355	11505	4428	0	0	34
SP94741	25132	23494	6506	0	0	0
SP90209	38622	10636	0	0	77954	0
SP90989	31971	15888	2769	0	0	0
SP93540	44928	47467	3645	0	0	0
SP93227	56115	0	0	0	70877	2347
SP94348	22349	24478	3539	0	0	0
SP94933	19518	11066	33702	0	0	0
SP92364	33721	12536	13427	0	0	0
SP94917	5551	8151	1873	0	1926	372
SP92460	4845	6396	1787	0	971	187
SP89909	5498	4971	0	0	1985	208
CPCT02020308T	30465	33691	5462	2298	0	0
CPCT02020323T	7960	5405	990	266	0	0
CPCT02010373T	234	0	179	445	0	5112
CPCT02140022T	5591	4802	3516	1174	0	47
CPCT02070024T	10376	13132	3891	498	0	206
CPCT02070023T	50581	57842	13722	2264	0	2564
CPCT02020387T	43826	48135	7049	1198	0	336
CPCT02140024T	1488	3245	717	373	220	57
CPCT02010441T	41279	31731	3217	692	0	0
DRUP01010007T	1895	600	927	864	0	0
DRUP01070001T	58684	41085	4945	52	0	416
CPCT02011015T	421	202	0	1067	788	7412
CPCT02230072T	2354	27103	1535	4031	2211	2032
CPCT02380035T	15197	17709	273	1113	0	0
CPCT02020704TII	34861	22779	5973	2336	0	176
DRUP01010020T	28364	41332	2516	1951	0	0
CPCT02011050T	21130	17538	3135	1224	0	0
CPCT02080188T	145	0	242	602	375	4827
CPCT02250005T	20987	15572	0	1296	0	0
DRUP01070038T	11931	9022	1416	1141	0	0
DRUP01010123T	84934	100846	8743	2267	0	0
CPCT02200005T	7233	5099	0	169	0	0
