MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	3.49E-05	1.91E-04	3.53E-05	4.19E-04	2.85E-05	1.86E-04
1:Del:C:1	5.80E-05	3.77E-05	1.45E-05	2.69E-04	3.68E-05	3.43E-04
1:Del:C:2	2.12E-05	2.19E-05	5.79E-06	1.46E-04	2.08E-05	3.69E-04
1:Del:C:3	1.11E-04	7.29E-05	3.51E-06	3.26E-05	1.39E-04	1.44E-04
1:Del:C:4	9.12E-05	2.44E-04	1.40E-06	0.00E+00	1.48E-04	1.14E-04
1:Del:C:5	7.75E-04	9.90E-04	2.37E-05	7.11E-05	1.34E-04	9.37E-05
1:Del:T:0	2.41E-05	8.09E-05	2.17E-05	2.46E-04	3.41E-05	6.84E-05
1:Del:T:1	1.21E-04	5.86E-05	3.02E-06	4.37E-04	1.10E-04	1.27E-04
1:Del:T:2	9.60E-04	4.02E-04	4.92E-05	2.10E-04	9.58E-04	6.28E-05
1:Del:T:3	2.65E-03	1.19E-03	8.69E-05	3.96E-04	2.47E-03	7.31E-05
1:Del:T:4	4.26E-03	2.23E-03	9.99E-05	3.24E-04	3.97E-03	1.25E-04
1:Del:T:5	6.85E-03	1.10E-02	3.71E-04	2.69E-03	1.91E-03	3.81E-04
1:Ins:C:0	1.21E-04	8.94E-05	1.30E-04	1.15E-03	4.04E-04	1.42E-04
1:Ins:C:1	7.43E-06	6.66E-06	3.04E-05	5.31E-05	7.61E-05	4.54E-05
1:Ins:C:2	6.63E-06	4.66E-06	1.81E-05	2.41E-05	4.68E-05	3.74E-05
1:Ins:C:3	9.15E-06	7.93E-06	2.91E-05	2.39E-05	8.73E-05	4.29E-05
1:Ins:C:4	1.21E-04	5.59E-05	1.15E-03	0.00E+00	3.38E-03	3.22E-05
1:Ins:C:5	1.26E-04	1.91E-04	1.79E-03	1.58E-04	5.14E-03	5.79E-05
1:Ins:T:0	6.14E-06	9.02E-05	4.66E-05	1.54E-04	1.03E-04	5.08E-05
1:Ins:T:1	5.81E-06	1.28E-05	1.36E-05	1.35E-04	2.64E-05	1.56E-04
1:Ins:T:2	3.07E-05	2.44E-04	7.20E-05	5.45E-05	1.35E-04	2.09E-04
1:Ins:T:3	1.35E-05	1.29E-04	1.56E-04	7.16E-05	2.73E-04	1.01E-04
1:Ins:T:4	3.39E-04	1.73E-04	1.59E-04	5.63E-05	4.60E-04	4.44E-05
1:Ins:T:5	9.26E-04	7.70E-03	6.62E-03	1.92E-03	1.14E-02	8.22E-04
2:Del:R:0	6.98E-05	1.27E-04	1.03E-05	1.79E-04	3.34E-05	4.00E-05
2:Del:R:1	3.09E-05	1.86E-04	4.43E-06	1.84E-04	5.77E-05	5.89E-05
2:Del:R:2	3.34E-05	4.39E-05	3.31E-06	4.55E-05	1.09E-05	4.43E-05
2:Del:R:3	5.24E-04	3.55E-04	6.93E-06	1.12E-05	9.94E-05	2.89E-05
2:Del:R:4	1.27E-04	2.46E-04	5.11E-06	8.04E-06	4.79E-05	2.43E-05
2:Del:R:5	4.07E-04	1.13E-03	1.35E-05	1.64E-04	9.93E-05	4.70E-05
3:Del:R:0	2.82E-05	6.58E-05	2.87E-06	9.57E-05	1.08E-05	1.35E-05
3:Del:R:1	3.91E-05	1.94E-04	0.00E+00	2.07E-04	7.68E-05	3.42E-05
3:Del:R:2	1.32E-05	6.51E-05	5.12E-08	5.67E-05	9.82E-06	1.35E-05
3:Del:R:3	8.41E-06	2.74E-05	8.39E-07	2.26E-05	2.83E-06	4.31E-06
3:Del:R:4	6.54E-06	1.96E-05	3.70E-07	1.22E-05	2.72E-06	1.34E-10
3:Del:R:5	1.69E-05	5.15E-05	9.63E-07	1.90E-05	5.33E-06	4.01E-07
4:Del:R:0	9.76E-06	3.08E-05	3.19E-06	5.58E-05	3.67E-06	1.25E-05
4:Del:R:1	1.76E-05	1.13E-04	2.77E-06	1.36E-04	2.99E-05	2.33E-05
4:Del:R:2	1.36E-05	6.13E-05	2.52E-06	6.94E-05	5.62E-06	7.73E-06
4:Del:R:3	2.03E-05	7.45E-05	1.55E-06	5.49E-05	5.87E-06	1.16E-06
4:Del:R:4	6.02E-06	1.71E-05	1.12E-06	1.85E-05	2.38E-06	2.23E-06
4:Del:R:5	1.20E-05	4.60E-05	1.34E-06	2.88E-05	4.44E-06	1.25E-07
5:Del:R:0	1.53E-05	1.74E-05	7.86E-06	4.56E-04	1.61E-05	9.32E-05
5:Del:R:1	4.50E-06	2.59E-05	3.47E-06	4.96E-05	6.28E-06	1.64E-05
5:Del:R:2	4.82E-06	1.80E-05	2.42E-06	2.73E-05	5.02E-06	1.86E-06
5:Del:R:3	3.66E-06	1.06E-05	5.61E-07	1.09E-05	1.64E-06	1.10E-06
5:Del:R:4	1.78E-06	5.09E-06	4.42E-07	6.78E-06	6.17E-07	1.75E-07
5:Del:R:5	1.23E-06	6.35E-06	5.70E-07	7.41E-06	1.31E-06	2.87E-11
2:Ins:R:0	2.53E-05	1.80E-04	9.87E-05	3.44E-04	1.96E-04	6.90E-05
2:Ins:R:1	2.78E-06	2.44E-05	2.43E-05	3.42E-05	6.27E-05	2.00E-05
2:Ins:R:2	9.57E-06	1.75E-05	3.45E-05	3.33E-05	8.84E-05	1.26E-05
2:Ins:R:3	2.85E-05	2.46E-05	1.75E-04	2.31E-05	5.15E-04	1.01E-05
2:Ins:R:4	7.55E-05	1.08E-04	5.35E-04	1.46E-05	1.60E-03	1.17E-05
2:Ins:R:5	3.58E-04	6.73E-04	1.71E-03	4.20E-04	5.04E-03	2.91E-06
3:Ins:R:0	4.77E-06	4.31E-05	3.30E-05	1.18E-04	7.29E-05	1.91E-05
3:Ins:R:1	4.41E-06	4.86E-06	4.33E-06	3.84E-05	7.21E-06	1.28E-05
3:Ins:R:2	2.11E-06	2.62E-06	4.15E-05	1.35E-05	1.20E-04	4.56E-06
3:Ins:R:3	1.91E-06	1.76E-06	3.73E-05	5.54E-06	1.13E-04	1.85E-06
3:Ins:R:4	5.37E-06	3.51E-06	2.86E-05	3.58E-06	8.08E-05	2.42E-07
3:Ins:R:5	3.17E-05	4.48E-05	1.15E-04	2.49E-05	3.33E-04	8.20E-07
4:Ins:R:0	1.17E-05	1.18E-04	8.88E-05	3.43E-04	1.84E-04	5.39E-05
4:Ins:R:1	2.70E-06	7.17E-06	1.31E-05	5.12E-05	2.70E-05	1.25E-05
4:Ins:R:2	3.32E-06	1.02E-05	5.49E-05	2.64E-05	1.50E-04	1.31E-06
4:Ins:R:3	4.86E-06	1.64E-05	1.34E-04	1.35E-05	3.91E-04	9.66E-07
4:Ins:R:4	6.54E-06	2.51E-05	1.11E-04	3.62E-05	3.25E-04	1.85E-07
4:Ins:R:5	9.23E-06	1.29E-05	3.59E-05	1.83E-05	9.61E-05	4.07E-07
5:Ins:R:0	3.34E-05	3.27E-04	2.47E-04	9.66E-04	4.51E-04	1.43E-04
5:Ins:R:1	5.33E-06	1.51E-05	3.91E-05	1.84E-04	8.52E-05	3.89E-05
5:Ins:R:2	2.26E-06	9.23E-06	5.61E-05	2.31E-05	1.60E-04	3.92E-06
5:Ins:R:3	1.91E-06	6.65E-06	2.05E-05	1.40E-05	5.40E-05	2.39E-11
5:Ins:R:4	1.19E-06	3.26E-06	7.81E-06	8.08E-06	1.82E-05	9.04E-08
5:Ins:R:5	2.63E-07	1.84E-06	1.22E-06	3.96E-06	2.57E-06	2.26E-07
2:Del:M:1	4.51E-05	1.96E-04	1.60E-05	1.95E-04	2.95E-05	5.29E-05
3:Del:M:1	7.42E-06	2.66E-05	1.13E-06	4.32E-05	3.77E-06	1.14E-05
3:Del:M:2	2.46E-05	1.11E-04	4.25E-06	1.05E-04	9.98E-06	2.12E-05
4:Del:M:1	1.60E-05	8.21E-05	4.14E-06	1.20E-04	5.11E-06	9.19E-06
4:Del:M:2	7.90E-06	3.96E-05	1.44E-06	4.77E-05	1.28E-05	1.48E-05
4:Del:M:3	1.13E-05	6.80E-05	2.92E-06	6.65E-05	8.49E-06	1.66E-05
5:Del:M:1	2.17E-05	1.24E-04	7.98E-06	2.93E-04	6.31E-06	7.82E-05
5:Del:M:2	1.28E-05	6.29E-06	2.85E-06	4.72E-04	2.13E-05	9.22E-05
5:Del:M:3	1.11E-05	1.78E-05	5.35E-06	3.43E-04	6.81E-06	7.01E-05
5:Del:M:4	8.79E-06	4.14E-06	2.87E-06	2.01E-04	9.22E-06	3.95E-05
5:Del:M:5	4.27E-06	2.20E-05	6.02E-06	1.82E-04	9.34E-06	3.92E-05
