Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP99325	1.59E+03	1.73E+03	8.29E+02	2.46E+02	2.12E+03	1.90E+00	2.01E+01
SP18310	1.78E+03	1.74E+03	6.41E+02	2.11E+02	1.76E+03	0.00E+00	8.82E+00
SP17172	4.92E+02	4.54E+02	1.72E+02	1.75E+02	3.65E+02	1.21E+01	3.56E+00
SP96133	9.30E+02	1.00E+03	3.21E+02	1.32E+02	8.89E+02	5.90E+00	6.51E+00
SP110242	1.62E+03	1.83E+03	6.49E+02	2.19E+02	1.71E+03	5.93E+00	9.07E+00
SP21017	1.35E+03	1.27E+03	5.51E+02	2.35E+02	1.30E+03	2.90E-01	6.82E+00
SP22383	9.11E+02	9.62E+02	3.40E+02	1.65E+02	8.67E+02	2.72E+00	7.41E+00
SP81312	7.70E+01	8.35E+01	2.26E+02	2.52E+02	4.32E+01	8.80E+00	2.84E+00
SP19215	7.62E+02	7.94E+02	2.56E+02	1.60E+02	6.88E+02	9.09E-02	6.20E+00
SP16886	1.88E+01	1.33E+01	1.49E+02	1.68E+02	6.01E+00	1.26E+01	2.98E+00
SP17905	1.80E+02	1.21E+02	3.47E+02	4.27E+02	0.00E+00	1.02E+01	8.31E+00
SP18121	1.41E+03	1.66E+03	9.74E+02	5.48E+02	1.57E+03	0.00E+00	7.68E+00
SP96118	1.28E+02	1.59E+02	4.63E+01	5.36E+01	1.32E+02	2.27E+00	2.39E+00
SP21400	5.98E+01	3.80E+01	2.36E+02	2.69E+02	3.78E+01	8.78E+00	2.82E+00
SP18946	7.89E+01	1.08E+02	2.43E+02	2.61E+02	2.84E+01	5.04E+00	3.79E+00
SP80615	7.26E+01	5.30E+01	3.51E+02	3.95E+02	1.49E+01	2.33E+01	7.12E+00
SP102897	2.55E+02	3.35E+02	1.26E+02	3.75E+01	3.23E+02	2.06E+01	5.70E+00
SP98845	1.32E+02	1.67E+02	4.91E+01	1.75E+01	1.39E+02	2.92E+00	4.77E+00
SP107012	5.18E+02	6.53E+02	2.70E+02	9.54E+01	5.79E+02	4.10E+00	1.15E+01
SP55142	5.82E+00	3.79E+00	8.79E+00	1.32E+01	0.00E+00	1.32E+01	1.24E+01
SP53810	3.04E+00	2.25E+00	1.33E+00	9.19E+00	2.74E+00	7.11E+00	9.52E+00
SP116697	6.72E+01	7.59E+01	1.02E+02	8.83E+01	8.42E+01	9.19E+00	4.02E+00
SP102133	8.26E+01	1.39E+02	7.50E+01	8.12E+01	1.23E+02	8.72E+00	2.48E+00
SP125732	6.66E+01	7.74E+01	2.72E+01	2.61E+01	5.23E+01	1.97E+00	2.09E+00
SP125746	8.07E+02	9.76E+02	3.32E+02	7.80E+01	9.11E+02	6.47E+00	4.10E+00
SP125770	1.72E+02	2.42E+02	5.17E+01	6.45E+01	1.15E+02	9.36E+00	2.01E+00
SP77956	3.08E+00	1.29E+00	1.14E+01	4.34E+00	9.37E+00	0.00E+00	6.08E+00
SP124384	3.54E+02	4.50E+02	1.41E+02	3.86E+01	3.90E+02	7.58E+00	8.04E+00
SP135287	7.91E+02	8.36E+02	2.68E+02	1.10E+02	7.54E+02	1.70E-01	5.29E+00
SP85122	1.30E+03	1.33E+03	3.39E+02	1.05E+02	1.19E+03	5.36E+00	6.53E+00
SP84384	1.44E+03	1.57E+03	3.46E+02	2.22E+02	1.40E+03	4.47E+00	8.59E+00
SP84982	6.08E+02	5.91E+02	1.41E+02	8.27E+01	5.20E+02	4.09E+00	5.28E+00
SP84392	1.31E+03	1.35E+03	4.06E+02	1.44E+02	1.28E+03	0.00E+00	6.97E+00
SP84439	1.11E+03	1.20E+03	3.09E+02	2.90E+02	1.02E+03	5.32E+00	9.27E+00
SP95454	4.82E+02	6.12E+02	2.25E+02	5.26E+01	6.00E+02	1.57E+00	3.00E+00
SP94741	8.08E+02	9.51E+02	3.63E+02	7.95E+01	9.90E+02	3.09E+00	4.03E+00
SP90209	9.19E+02	1.33E+03	1.60E+03	1.34E+03	1.08E+03	0.00E+00	0.00E+00
SP90989	6.45E+02	5.83E+02	2.08E+02	6.60E+01	6.11E+02	5.27E+00	3.30E+00
SP93540	1.29E+03	1.22E+03	5.23E+02	1.07E+02	1.56E+03	3.18E+00	4.91E+00
SP93227	8.22E+02	9.41E+02	9.70E+02	1.17E+03	2.15E+02	2.74E+00	1.94E+01
SP94348	7.75E+02	9.15E+02	3.09E+02	5.50E+01	9.28E+02	4.22E+00	3.53E+00
SP94933	5.76E+02	7.82E+02	1.33E+02	1.95E+02	4.62E+02	1.54E+01	5.35E+00
SP92364	7.10E+02	8.74E+02	2.65E+02	9.79E+01	7.25E+02	4.98E+00	4.10E+00
SP94917	2.92E+02	3.75E+02	1.81E+02	5.76E+01	4.23E+02	6.41E+00	4.23E+00
SP92460	2.47E+02	3.30E+02	1.22E+02	2.82E+01	3.33E+02	4.02E+00	2.93E+00
SP89909	2.10E+02	2.62E+02	7.60E+01	3.30E+01	2.46E+02	3.84E+00	2.50E+00
CPCT02020308T	7.73E+02	6.83E+02	3.51E+02	3.26E+01	1.22E+03	3.30E+01	6.62E+00
CPCT02020323T	1.56E+02	1.22E+02	7.37E+01	1.85E+01	2.06E+02	5.82E+00	1.89E+00
CPCT02010373T	6.53E+00	7.10E+00	5.05E+00	8.07E+00	5.49E+00	7.24E+00	9.64E+00
CPCT02140022T	2.45E+02	3.07E+02	9.87E+01	2.94E+01	2.31E+02	6.86E+00	5.55E+00
