Samples	ID1	ID2	ID3	ID5	ID14
SP99325	23958	102114	0	0	0
SP18310	19571	114411	0	0	0
SP17172	6788	33092	0	0	0
SP96133	11276	66112	0	0	0
SP110242	26240	98255	0	0	0
SP21017	19071	93308	0	0	0
SP22383	10672	68616	0	0	0
SP81312	6892	4697	0	0	0
SP19215	10035	63696	0	0	0
SP16886	5332	1135	0	0	1196
SP17905	11138	6410	0	8118	0
SP18121	27184	72846	0	0	0
SP96118	2095	7370	0	0	0
SP21400	7842	2709	0	0	0
SP18946	8904	7897	0	0	0
SP80615	11937	4281	0	0	3121
SP102897	3684	9790	0	0	0
SP98845	1838	7376	0	0	0
SP107012	7563	22210	0	0	0
SP55142	412	0	4035	1381	0
SP53810	0	0	5442	0	0
SP116697	6088	3296	0	0	0
SP102133	15808	4291	0	0	0
SP125732	1269	6474	0	0	0
SP125746	9388	38069	0	0	0
SP125770	12892	8840	0	0	0
SP77956	0	0	5473	0	0
SP124384	4658	17342	0	0	0
SP135287	9441	54838	0	0	0
SP85122	15147	85293	0	0	0
SP84384	11846	89792	0	0	0
SP84982	5045	47931	0	0	0
SP84392	14104	88071	0	0	0
SP84439	13167	82712	0	0	0
SP95454	6920	21402	0	0	0
SP94741	11700	43432	0	0	0
SP90209	50984	76228	0	0	0
SP90989	6311	44317	0	0	0
SP93540	14702	81338	0	0	0
SP93227	43500	85839	0	0	0
SP94348	9149	41217	0	0	0
SP94933	34873	29413	0	0	0
SP92364	15489	44195	0	0	0
SP94917	5028	12845	0	0	0
SP92460	3870	10316	0	0	0
SP89909	2405	10257	0	0	0
CPCT02020308T	13590	58326	0	0	0
CPCT02020323T	2249	12372	0	0	0
CPCT02010373T	0	322	5648	0	0
CPCT02140022T	4850	10280	0	0	0
CPCT02070024T	6981	21122	0	0	0
CPCT02070023T	27836	99137	0	0	0
CPCT02020387T	18364	82180	0	0	0
CPCT02140024T	1721	4379	0	0	0
CPCT02010441T	10595	66324	0	0	0
DRUP01010007T	1008	2742	0	0	536
DRUP01070001T	14409	90773	0	0	0
CPCT02011015T	555	858	6574	1903	0
CPCT02230072T	11211	28055	0	0	0
CPCT02380035T	4627	29665	0	0	0
CPCT02020704TII	11394	54731	0	0	0
DRUP01010020T	12556	61607	0	0	0
CPCT02011050T	7306	35721	0	0	0
CPCT02080188T	482	281	4388	1040	0
CPCT02250005T	3668	34187	0	0	0
DRUP01070038T	3648	19862	0	0	0
DRUP01010123T	32554	164236	0	0	0
CPCT02200005T	1143	11358	0	0	0
CPCT02120105T	461	4149	0	0	0
CPCT02330076T	11271	149347	0	0	0
CPCT02220071T	2114	12426	0	0	0
CPCT02020671T	0	999	8610	0	0
CPCT02050424T	0	0	0	5526	0
DRUP01340017T	22438	172635	0	0	0
CPCT02230088T	0	0	6864	1791	0
DRUP01010122T	24282	136061	0	0	0
CPCT02230086T	7909	26175	0	0	0
WIDE01010064T	2148	2498	0	0	0
CPCT02150052T	0	6121	0	0	0
WIDE01010069T	15212	87115	0	0	0
DRUP01010078T	0	0	8602	0	0
WIDE01010075T	2676	20279	0	0	0
CPCT02020680T	5911	35980	0	0	0
WIDE01010127T	488	395	4813	0	0
DRUP01030013T	8991	43803	0	0	0
DRUP01230004T	21135	157309	0	0	0
DRUP01230001T	11204	28079	0	0	0
WIDE01010139T	646	672	5307	0	0
CPCT02130049T	1697	3156	0	0	0
CPCT02050443T	10293	59905	0	0	0
DRUP01340016T	33062	129170	0	0	0
CPCT02140091TII	2870	4118	0	0	0
DRUP01070026TII	16746	80142	0	0	0
CPCT02270029T	470	616	5948	0	0
CPCT02010780T	0	0	5160	0	0
CPCT02270026T	1446	1175	3464	0	0
CPCT02020986T	0	66350	0	0	0
CPCT02020704T	10826	51617	0	0	0
DRUP01080031T	11037	61015	0	0	0
DRUP01070080T	11460	121925	0	0	0
CPCT02050358T	2586	1479	0	0	0
DRUP01050049T	10147	59434	0	0	0
DRUP01330020T	0	217961	0	0	0
DRUP01070085T	18263	72838	0	0	0
DRUP01050048T	23395	87034	0	0	0
DRUP01020053T	34182	174255	0	0	0
DRUP01040016T	24641	129005	0	0	0
DRUP01010142T	10228	44627	0	0	0
CPCT02010786T	14550	92254	0	0	0
DRUP01010148T	17129	96506	0	0	0
WIDE01010451T	2238	4389	0	0	0
DRUP01070042T	8851	33554	0	0	0
CPCT02450014T	174605	92881	0	0	0
DRUP01030018T	29582	182223	0	0	0
DRUP01080014T	3383	19469	0	0	0
CPCT02180068T	2592	3579	0	0	0
CPCT02010870T	802	554	2406	881	0
CPCT02010847T	0	488	4592	0	0
DRUP01050028T	7598	56844	0	0	0
WIDE01010606T	56053	104816	0	0	0
CPCT02010867T	0	0	10903	0	0
DRUP01010047TII	10274	112048	0	0	0
WIDE01010460T	34498	169799	0	0	0
CPCT02010882T	23827	157322	0	0	0
CPCT02310017T	1896	2395	0	0	0
CPCT02050380T	1580	2862	0	0	0
CPCT02130140T	9419	65289	0	0	0
CPCT02210064T	1392	2780	0	0	0
CPCT02170035T	19370	123005	0	0	0
CPCT02010911T	0	563	6358	0	0
CPCT02130146T	20805	12215	0	0	0
CPCT02020815T	0	0	7353	0	0
CPCT02330125T	12672	67318	0	0	0
DRUP01010096T	0	584	5436	0	0
CPCT02030532T	110596	0	0	0	0
DRUP01070020TII	6156	21369	0	0	0
CPCT02030546T	30559	72605	0	0	0
CPCT02010654T	11521	41228	0	0	0
CPCT02140091T	1490	3340	0	0	0
CPCT02230056T	3046	4274	0	0	0
CPCT02040169T	1594	11466	0	0	0
CPCT02080152T	3846	18035	0	0	0
CPCT02010986T	0	2345	2382	0	0
DRUP01010047T	12641	128622	0	0	0
CPCT02080273T	19106	77957	0	0	0
CPCT02080157T	11286	27716	0	0	0
DRUP01010108T	2505	2910	0	0	0
CPCT02030392T	11652	14731	0	0	0
CPCT02050279T	19018	122383	0	0	0
CPCT02160034T	1381	3372	0	0	0
CPCT02040280TII	409	0	6113	0	0
CPCT02190020T	394	414	5269	1461	0
CPCT02100120T	1906	2483	0	0	883
DRUP01010051T	20016	111329	0	0	0
CPCT02020622T	2079	2237	0	0	0
CPCT02020630T	0	1258	4952	0	0
CPCT02340029T	2014	2091	0	0	0
CPCT02080162T	6401	5147	0	0	0
DRUP01010044T	1365	3383	0	0	0
