Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP116788	2.46E-01	1.54E-01	3.49E-01	2.40E-01	2.32E-01	3.83E-01	2.55E-01	2.85E-01	3.39E-01	3.40E-01
SP116789	8.21E-02	6.67E-02	1.57E-01	9.50E-02	1.20E-01	1.91E-01	1.21E-01	1.20E-01	1.32E-01	1.94E-01
SP116919	0.00E+00	0.00E+00	2.56E-02	2.73E-02	1.71E-02	3.49E-02	4.09E-02	3.78E-02	3.14E-02	3.94E-02
SP109002	7.24E-01	1.14E+00	6.25E-01	1.54E+00	2.59E-01	7.60E-01	6.57E-01	1.59E+00	1.05E+00	2.48E-01
SP109001	1.21E-01	2.01E-01	2.19E-01	1.79E-01	3.03E-01	1.97E-01	1.53E-01	1.93E-01	2.64E-01	1.85E-01
SP109006	1.15E+00	1.30E+00	8.08E-01	8.18E-01	6.87E-01	4.37E-01	4.33E-01	1.41E+00	7.65E-01	6.93E-01
SP108998	2.97E+00	3.17E+00	1.50E+00	1.82E+00	5.81E-01	5.69E-01	6.19E-01	3.08E+00	1.05E+00	5.60E-01
SP127706	9.00E-01	1.35E+00	2.34E+00	2.34E+00	3.75E+00	2.84E+00	2.09E+00	2.13E+00	1.37E+00	1.87E+00
SP108999	1.79E+00	2.53E+00	2.38E+00	1.69E+00	1.49E+00	9.48E-01	1.92E+00	1.59E+00	1.61E+00	4.48E-01
SP109007	4.43E-01	1.08E+00	1.14E+00	1.00E+00	9.40E-01	1.02E+00	1.03E+00	8.59E-01	1.05E+00	7.23E-01
SP109003	6.08E-01	1.47E-01	7.49E-01	1.06E+00	2.81E-01	5.79E-01	7.71E-01	1.19E+00	9.79E-01	5.32E-01
SP116868	3.83E-01	4.70E-01	9.36E-01	8.48E-01	6.83E-01	6.97E-01	7.89E-01	8.50E-01	5.55E-01	1.21E+00
SP116794	2.76E-01	1.08E-01	3.06E-01	1.77E-01	3.58E-01	2.12E-01	3.50E-01	2.06E-01	1.76E-01	2.97E-01
SP116791	1.63E-01	2.06E-01	2.95E-01	1.60E-01	4.10E-01	1.51E-01	3.48E-01	2.29E-01	2.28E-01	2.30E-01
SP116866	3.78E-01	2.71E-01	7.12E-01	7.44E-01	5.81E-01	8.45E-01	7.58E-01	7.71E-01	4.54E-01	1.05E+00
SP116815	6.94E-01	3.18E-01	5.06E-01	1.29E+00	2.86E-01	4.68E-01	7.02E-01	8.96E-01	6.82E-01	6.67E-01
SP116853	4.89E-01	2.97E-01	1.19E+00	4.46E-01	3.36E-01	1.05E+00	4.79E-01	9.70E-01	8.08E-01	6.01E-01
SP116901	2.79E-01	2.21E-01	6.94E-01	2.38E-01	5.61E-01	4.63E-01	4.94E-01	4.37E-01	3.93E-01	4.36E-01
SP116830	4.14E-01	2.23E-01	1.40E+00	4.24E-01	1.98E+00	1.21E+00	1.39E+00	5.70E-01	1.44E+00	6.85E-01
SP116802	2.00E-02	1.00E-02	1.36E-01	3.91E-01	2.68E-01	2.24E-01	3.46E-01	2.34E-01	3.59E-01	3.54E-01
SP116885	1.41E+00	9.41E-01	2.11E+00	2.23E+00	8.45E-01	1.89E+00	1.07E+00	2.46E+00	1.05E+00	7.65E-01
SP116834	3.04E-01	3.57E-01	3.53E-01	7.08E-01	2.87E-01	5.01E-01	9.02E-01	1.09E+00	6.54E-01	6.11E-01
SP116913	1.50E-01	1.38E-01	4.18E-01	2.19E-01	6.97E-01	6.24E-01	8.42E-01	7.29E-02	3.50E-01	3.57E-01
SP116799	1.77E-01	1.00E-02	6.10E-01	5.05E-01	9.92E-01	6.32E-01	5.24E-01	4.06E-01	7.43E-01	4.25E-01
SP116920	6.47E-02	1.70E-01	1.18E-01	5.29E-01	2.62E-01	4.03E-01	3.55E-01	2.41E-01	6.85E-01	2.16E-01
SP116835	8.77E-01	7.16E-01	1.02E+00	1.24E+00	7.79E-01	1.41E+00	1.60E+00	1.86E+00	1.12E+00	1.26E+00
SP116852	5.03E-01	1.63E-01	1.11E+00	4.38E-01	6.02E-01	1.01E+00	5.80E-01	9.89E-01	8.02E-01	5.19E-01
SP116902	3.73E-01	3.15E-02	8.30E-01	1.86E-01	6.75E-01	6.74E-01	4.81E-01	5.65E-01	3.99E-01	4.39E-01
SP116871	6.00E-02	6.03E-02	1.40E-01	1.27E-01	2.18E-01	3.37E-01	2.30E-01	1.50E-01	1.75E-01	3.31E-01
SP116820	7.30E-01	1.72E-01	1.01E+00	1.12E+00	8.11E-01	4.62E-01	3.41E-01	1.42E+00	1.07E+00	7.58E-01
SP116889	5.11E-01	3.42E-01	1.23E+00	6.62E-01	1.09E+00	1.13E+00	1.23E+00	5.93E-01	6.65E-01	1.06E+00
SP116923	6.19E-01	5.42E-01	1.17E+00	4.71E-01	1.13E+00	9.78E-01	8.11E-01	7.46E-01	1.43E+00	4.16E-01
SP116829	4.37E-01	2.36E-01	1.30E+00	3.63E-01	1.54E+00	9.11E-01	9.27E-01	3.33E-01	1.27E+00	5.29E-01
SP116872	0.00E+00	7.06E-02	1.03E-01	1.79E-01	1.85E-01	2.06E-01	2.08E-01	1.64E-01	2.00E-01	2.85E-01
SP116904	0.00E+00	0.00E+00	7.02E-02	1.23E-01	1.05E-01	1.36E-01	1.63E-01	9.29E-02	1.92E-01	1.12E-01
SP116806	9.53E-01	5.60E-01	1.32E+00	5.05E-01	7.57E-01	8.33E-01	6.35E-01	6.09E-01	4.74E-01	6.60E-01
SP116857	7.02E-01	4.46E-01	1.49E+00	1.05E+00	1.91E+00	1.66E+00	1.17E+00	7.58E-01	8.81E-01	8.84E-01
SP116888	1.94E-01	7.04E-02	6.86E-01	1.99E-01	5.57E-01	7.44E-01	6.20E-01	2.66E-01	3.13E-01	5.91E-01
SP116818	2.39E-01	1.17E-01	2.81E-01	6.17E-01	3.72E-01	2.28E-01	2.33E-01	6.13E-01	6.10E-01	2.72E-01
SP116837	3.45E-01	2.94E-01	1.36E+00	1.25E+00	1.24E+00	1.24E+00	1.29E+00	8.32E-01	1.78E+00	5.26E-01
SP116905	0.00E+00	2.23E-02	8.27E-02	7.52E-02	9.87E-02	1.03E-01	1.64E-01	7.11E-02	1.33E-01	8.27E-02
SP116804	1.12E+00	4.33E-01	1.50E+00	8.11E-01	7.92E-01	9.63E-01	6.12E-01	9.72E-01	5.22E-01	9.06E-01
SP116819	3.91E-01	4.08E-02	5.50E-01	6.20E-01	5.64E-01	3.35E-01	1.45E-01	9.14E-01	6.49E-01	5.03E-01
SP116856	2.67E-01	1.47E-01	1.00E+00	6.07E-01	1.32E+00	1.11E+00	7.23E-01	3.55E-01	6.02E-01	5.11E-01
SP116839	7.06E-01	1.07E+00	1.39E+00	1.25E+00	1.29E+00	1.06E+00	1.14E+00	1.10E+00	1.75E+00	4.23E-01
SP116925	3.39E-01	2.38E-01	5.04E-01	5.74E-01	4.36E-01	3.03E-01	3.57E-01	5.71E-01	3.68E-01	7.19E-01
SP116878	0.00E+00	1.96E-01	4.63E-01	3.72E-01	4.89E-01	6.61E-01	5.60E-01	2.51E-01	5.68E-01	4.11E-01
SP116893	4.28E-01	4.19E-01	1.41E+00	2.77E-01	9.96E-01	1.43E+00	6.42E-01	5.21E-01	6.68E-01	6.26E-01
SP116876	1.97E-02	1.00E-02	3.27E-02	2.39E-02	1.41E-02	2.19E-02	2.39E-02	3.14E-02	2.39E-02	5.02E-02
SP116927	5.37E-01	4.36E-01	7.98E-01	7.32E-01	2.80E-01	4.69E-01	4.00E-01	1.06E+00	6.13E-01	1.30E+00
SP116909	5.45E-01	2.92E-01	6.08E-01	3.67E-01	4.70E-01	4.35E-01	3.45E-01	5.46E-01	2.53E-01	3.85E-01
SP116795	2.05E-01	8.12E-02	1.30E-01	2.19E-01	9.11E-02	8.37E-02	1.00E-01	1.88E-01	5.37E-02	1.97E-01
SP116826	1.01E+00	4.33E-01	1.58E+00	3.37E-01	8.61E-01	7.63E-01	3.14E-01	7.05E-01	2.66E-01	5.86E-01
SP116891	2.33E-01	1.68E-01	8.02E-01	2.35E-01	4.49E-01	8.68E-01	6.12E-01	5.20E-01	4.92E-01	3.59E-01
SP116860	4.26E-01	4.91E-01	7.02E-01	3.43E-01	8.18E-01	6.58E-01	7.32E-01	4.18E-01	4.33E-01	4.68E-01
SP116848	2.01E-01	3.50E-01	8.36E-01	3.67E-01	1.24E+00	8.87E-01	9.64E-01	3.41E-01	1.19E+00	7.85E-01
SP116910	1.26E+00	8.75E-01	1.18E+00	9.38E-01	9.60E-01	7.44E-01	7.92E-01	7.39E-01	6.83E-01	4.70E-01
SP116797	3.42E-01	4.04E-01	8.36E-02	2.74E-01	8.49E-02	1.76E-01	1.66E-01	1.39E-01	3.30E-02	8.05E-02
SP116862	6.81E-01	7.94E-01	1.30E+00	9.37E-01	1.24E+00	7.13E-01	1.14E+00	5.73E-01	1.24E+00	4.31E-01
SP116823	5.87E-01	3.66E-01	1.04E+00	4.43E-01	5.88E-01	8.03E-01	3.95E-01	6.90E-01	1.24E-01	4.46E-01
SP116897	1.01E-01	9.14E-02	2.04E-01	2.13E-01	2.07E-01	2.85E-01	4.63E-01	2.09E-01	2.32E-01	5.55E-01
SP116846	0.00E+00	3.74E-01	2.61E-01	1.62E-01	1.38E-01	5.76E-01	5.39E-01	2.18E-01	5.38E-01	3.21E-01
SP116784	0.00E+00	1.41E-02	3.14E-02	4.41E-02	1.97E-02	3.68E-02	2.56E-02	4.16E-02	1.71E-02	2.88E-02
SP116896	4.04E-02	1.77E-01	9.36E-02	2.76E-01	1.90E-01	2.18E-01	4.97E-01	1.78E-01	1.00E-01	4.81E-01
SP116824	7.17E-01	4.05E-01	1.23E+00	3.47E-01	6.25E-01	6.86E-01	2.87E-01	5.72E-01	1.23E-01	5.52E-01
SP116881	1.00E-02	1.16E-01	1.55E-01	1.31E-01	2.25E-01	2.78E-01	1.86E-01	5.75E-02	3.13E-01	1.97E-01
SP116812	4.80E-01	1.13E-01	6.27E-01	9.17E-01	4.90E-01	4.54E-01	7.15E-01	7.63E-01	6.94E-01	5.87E-01
SP116915	6.84E-01	7.27E-01	1.32E+00	6.24E-01	1.07E+00	1.44E+00	1.79E+00	6.80E-01	7.86E-01	1.05E+00
SP116786	8.58E-01	3.92E-01	9.48E-01	1.25E+00	5.04E-01	1.11E+00	8.58E-01	1.46E+00	4.07E-01	1.13E+00
SP116851	2.29E-01	1.17E-01	3.67E-01	3.72E-01	2.10E-01	4.17E-01	1.51E-01	4.01E-01	3.99E-01	1.49E-01
CPCT02220038T	2.13E+01	1.86E+01	7.86E+00	1.33E+01	2.60E+00	1.66E+00	3.29E+00	7.32E+00	3.49E+00	3.58E+00
CPCT02290013T	1.57E+01	1.90E+01	7.35E+00	5.29E+00	2.49E+00	6.05E+00	5.62E+00	3.55E+00	4.79E+00	2.27E+00
