Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP116788	0	0	7	0	0	0	0	4	1	4	0
SP116789	0	0	2	0	0	0	0	1	0	3	0
SP116919	0	0	0	0	0	0	0	0	0	0	1
SP109002	0	11	0	11	0	0	26	0	5	0	0
SP109001	0	2	0	0	5	0	1	0	3	0	0
SP109006	12	16	10	0	4	0	7	4	0	0	12
SP108998	46	40	20	3	0	0	0	0	3	0	26
SP127706	0	16	0	17	75	0	29	0	0	18	0
SP108999	45	14	0	6	7	19	0	0	20	0	0
SP109007	0	26	0	0	7	11	7	22	1	2	0
SP109003	14	0	0	0	0	0	3	12	19	0	4
SP116868	4	8	0	4	7	0	0	0	0	17	15
SP116794	0	0	5	0	0	7	0	0	0	0	3
SP116791	0	0	3	0	3	4	0	0	0	0	3
SP116866	2	0	4	4	4	0	0	0	0	15	19
SP116815	5	0	0	0	0	2	31	0	4	5	0
SP116853	0	0	12	13	0	0	0	13	3	0	1
SP116901	0	0	7	7	0	9	0	1	0	0	0
SP116830	0	0	6	17	46	4	0	0	13	6	0
SP116802	0	0	0	0	1	0	1	0	5	8	0
SP116885	0	0	29	0	0	0	37	24	0	0	0
SP116834	0	0	3	0	0	0	0	0	0	0	28
SP116913	0	0	0	2	1	22	0	0	0	0	0
SP116799	0	0	0	3	17	0	5	5	5	0	0
SP116920	0	0	0	0	0	0	5	0	13	0	0
SP116835	12	0	5	0	0	13	0	18	0	6	34
SP116852	0	0	12	8	0	0	0	13	0	0	5
SP116902	5	0	0	18	3	4	0	1	0	0	0
SP116871	0	0	0	0	0	0	0	6	0	4	0
SP116820	0	0	18	0	15	0	9	0	0	0	9
SP116889	6	0	2	23	9	11	0	0	1	11	0
SP116923	0	0	16	3	14	10	1	0	18	0	0
SP116829	0	0	11	0	46	3	0	0	13	1	0
SP116872	0	0	0	0	2	0	0	0	0	3	3
SP116904	0	0	0	0	0	1	0	0	4	0	0
SP116806	18	0	3	26	0	0	0	0	0	5	0
SP116857	6	0	0	20	21	8	11	7	0	8	0
SP116888	0	0	0	17	1	1	0	1	0	7	0
SP116818	0	0	3	0	3	0	8	1	7	0	0
SP116837	0	0	5	6	6	20	9	7	20	0	0
SP116905	0	0	0	0	0	1	0	0	3	0	0
SP116804	25	0	2	26	0	3	0	0	0	3	0
SP116819	0	0	11	0	6	0	8	0	1	0	5
SP116856	0	0	0	13	11	9	5	13	0	0	0
SP116839	0	8	11	2	24	0	12	3	14	0	4
SP116925	0	0	8	0	0	0	3	0	4	13	0
SP116878	0	0	0	0	0	0	0	22	0	0	0
SP116893	0	0	2	38	0	0	0	12	0	0	0
SP116876	0	0	0	0	0	0	0	0	0	1	0
SP116927	0	0	15	0	0	0	0	9	1	18	0
SP116909	4	0	6	13	0	5	0	0	0	0	0
SP116795	2	0	0	0	0	0	1	0	0	4	0
SP116826	0	0	27	14	5	0	0	0	0	2	0
SP116891	1	0	0	16	0	3	1	3	7	0	0
SP116860	4	4	2	3	11	12	0	0	0	0	0
SP116848	0	0	2	0	27	2	0	6	7	9	3
SP116910	24	0	15	0	8	11	0	8	0	0	6
SP116797	0	7	0	0	0	0	4	0	0	0	0
SP116862	11	6	0	4	18	8	10	0	9	0	0
SP116823	7	0	5	23	0	0	0	0	0	0	0
SP116897	0	0	1	0	0	0	0	0	0	14	0
SP116846	0	0	0	0	0	6	0	9	3	1	0
SP116784	0	0	0	0	0	0	1	0	0	0	0
SP116896	0	0	0	0	0	6	0	0	0	8	0
SP116824	0	0	14	19	0	0	0	1	0	1	0
SP116881	0	0	0	0	0	0	0	2	7	0	0
SP116812	5	0	0	2	2	2	16	3	1	0	12
SP116915	13	1	0	12	0	46	0	0	0	6	0
SP116786	0	0	10	6	0	0	25	0	0	13	12
SP116851	0	0	2	0	0	0	5	8	0	0	0
CPCT02220038T	932	136	205	0	0	0	0	0	0	0	0
CPCT02290013T	61	489	192	23	0	56	0	2	23	0	0
