Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP116788	1.72E-01	1.06E-01	2.53E-01	3.24E-01	1.76E-01	2.34E-01	3.03E-01	1.42E-01	2.22E-01	2.63E-01	1.65E-01	3.45E-01	2.25E-01
SP116789	3.99E-02	4.32E-02	1.23E-01	1.21E-01	8.04E-02	1.59E-01	1.01E-01	5.09E-02	1.05E-01	1.68E-01	4.98E-02	1.45E-01	1.41E-01
SP116919	1.41E-02	1.00E-02	1.71E-02	2.19E-02	1.00E-02	2.88E-02	2.19E-02	2.56E-02	2.39E-02	2.73E-02	1.41E-02	2.73E-02	4.98E-02
SP109002	8.20E-01	8.96E-01	4.64E-01	4.49E-01	1.82E-01	5.72E-01	8.64E-01	1.02E+00	9.94E-01	5.67E-01	1.70E+00	5.45E-01	3.43E-01
SP109001	5.64E-02	1.72E-01	1.27E-01	1.22E-01	2.94E-01	2.14E-01	1.94E-01	9.89E-02	2.46E-01	1.27E-01	1.88E-01	1.60E-01	1.79E-01
SP109006	1.42E+00	1.04E+00	9.32E-01	3.66E-01	5.08E-01	4.01E-01	8.13E-01	8.44E-01	5.75E-01	4.86E-01	1.48E+00	1.05E+00	4.09E-01
SP108998	3.57E+00	3.51E+00	2.99E+00	4.60E-01	5.15E-01	3.61E-01	9.80E-01	1.68E+00	9.93E-01	3.33E-01	2.79E+00	8.79E-01	8.96E-01
SP127706	1.43E+00	1.25E+00	1.17E+00	2.21E+00	3.77E+00	2.26E+00	5.93E-01	1.18E+00	7.35E-01	1.39E+00	2.85E+00	1.94E+00	1.17E+00
SP108999	2.10E+00	2.49E+00	1.38E+00	2.06E+00	1.13E+00	9.78E-01	2.10E-01	1.28E+00	1.82E+00	8.58E-01	2.44E+00	1.25E+00	5.04E-01
SP109007	3.38E-01	1.41E+00	4.83E-01	8.01E-01	1.01E+00	9.26E-01	7.72E-01	7.54E-01	1.06E+00	4.66E-01	1.25E+00	9.15E-01	6.74E-01
SP109003	8.67E-01	3.60E-01	5.31E-01	4.87E-01	4.02E-01	4.78E-01	9.18E-01	8.58E-01	9.37E-01	5.74E-01	7.72E-01	7.45E-01	4.83E-01
SP116868	5.70E-01	6.85E-01	5.15E-01	5.00E-01	7.24E-01	5.38E-01	9.26E-01	6.42E-01	3.80E-01	8.87E-01	4.60E-01	7.35E-01	8.61E-01
SP116794	2.26E-01	1.30E-01	2.70E-01	3.15E-01	3.02E-01	1.80E-01	5.44E-02	1.33E-01	1.06E-01	1.85E-01	1.47E-01	3.18E-01	3.59E-01
SP116791	1.37E-01	1.18E-01	2.17E-01	2.31E-01	3.57E-01	7.66E-02	4.04E-02	8.44E-02	1.84E-01	1.06E-01	2.06E-01	2.37E-01	3.63E-01
SP116866	4.50E-01	4.00E-01	5.95E-01	5.06E-01	4.21E-01	5.80E-01	9.24E-01	6.07E-01	3.77E-01	7.47E-01	3.92E-01	6.55E-01	8.20E-01
SP116815	8.72E-01	3.18E-01	5.01E-01	2.76E-01	2.74E-01	5.13E-01	6.76E-01	1.23E+00	5.74E-01	5.41E-01	5.41E-01	3.98E-01	3.98E-01
SP116853	3.57E-01	3.19E-01	7.16E-01	6.66E-01	3.17E-01	6.78E-01	1.07E+00	4.88E-01	5.34E-01	2.01E-01	6.06E-01	1.10E+00	5.62E-01
SP116901	3.05E-01	2.16E-01	4.17E-01	4.82E-01	4.12E-01	5.10E-01	3.10E-01	2.95E-01	2.77E-01	2.41E-01	1.81E-01	5.72E-01	3.66E-01
SP116830	2.12E-01	3.63E-01	6.34E-01	1.26E+00	1.84E+00	1.40E+00	5.00E-01	3.05E-01	1.14E+00	6.15E-01	4.69E-01	1.08E+00	1.26E+00
