Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP116788	0	0	0	5	0	0	0	3	4	2	2	0	0	0
SP116789	0	0	0	1	0	0	0	2	0	1	2	0	0	0
SP116919	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SP109002	0	0	0	0	8	0	4	0	0	0	0	0	38	3
SP109001	0	1	3	0	0	0	3	0	0	0	1	0	3	0
SP109006	19	13	0	0	0	0	0	0	1	14	0	12	6	0
SP108998	21	23	0	23	0	0	0	0	0	0	0	24	47	0
SP127706	0	0	49	0	1	31	0	16	0	4	0	0	54	0
SP108999	31	21	9	0	1	24	14	0	0	0	0	0	0	11
SP109007	0	17	1	0	9	8	7	7	5	7	2	0	13	0
SP109003	0	0	0	7	4	0	19	0	0	1	0	8	0	13
SP116868	0	9	3	2	0	6	0	17	11	0	0	7	0	0
SP116794	3	0	2	2	0	0	0	0	0	0	8	0	0	0
SP116791	0	0	1	3	0	0	0	0	0	0	9	0	0	0
SP116866	0	0	5	4	2	0	0	11	8	0	3	14	0	1
SP116815	0	0	0	5	1	0	0	2	7	0	4	0	0	28
SP116853	0	0	0	12	4	4	0	0	14	8	0	0	0	0
SP116901	3	0	3	4	10	0	0	0	0	0	2	2	0	0
SP116830	0	0	38	9	13	3	17	7	0	0	5	0	0	0
SP116802	0	0	0	0	0	3	2	3	3	0	3	0	0	1
SP116885	33	0	0	0	12	0	0	0	19	16	0	2	2	6
SP116834	0	0	0	0	0	0	0	0	0	0	4	27	0	0
SP116913	0	0	2	0	3	16	0	0	0	0	4	0	0	0
SP116799	0	0	15	0	7	0	4	0	4	1	0	0	0	4
SP116920	0	0	0	0	0	0	10	0	0	2	0	0	0	6
SP116835	12	0	0	0	6	5	0	5	0	18	13	26	0	3
SP116852	0	0	0	11	0	8	0	0	11	8	0	0	0	0
SP116902	4	0	3	5	7	9	0	0	0	2	0	0	0	1
SP116871	0	0	0	0	5	0	0	3	0	2	0	0	0	0
SP116820	5	0	11	9	0	0	1	0	7	0	0	14	0	4
SP116889	0	0	6	12	0	35	0	3	0	4	0	0	0	3
SP116923	9	0	14	6	9	0	19	0	0	0	5	0	0	0
SP116829	0	0	40	9	2	0	15	3	0	0	5	0	0	0
SP116872	0	0	0	0	2	2	0	0	0	0	1	3	0	0
SP116904	0	0	0	0	1	0	1	0	1	0	2	0	0	0
SP116806	0	0	0	20	7	8	0	6	0	0	0	0	0	11
SP116857	12	0	22	0	22	0	0	10	0	5	3	0	0	7
SP116888	0	0	2	3	11	5	0	5	0	1	0	0	0	0
SP116818	0	0	0	2	0	0	6	2	3	2	0	1	0	6
SP116837	2	0	15	2	8	0	12	0	23	0	11	0	0	0
SP116905	0	0	0	0	0	0	2	0	0	0	2	0	0	0
SP116804	0	0	0	24	0	17	0	1	0	1	0	0	0	16
SP116819	3	0	3	5	0	0	2	1	10	0	0	5	0	2
SP116856	3	0	18	0	21	0	0	0	0	5	0	0	0	4
SP116839	6	11	21	3	0	5	9	0	23	0	0	0	0	0
SP116925	2	0	0	4	1	0	3	10	8	0	0	0	0	0
SP116878	0	0	0	0	4	3	0	0	0	15	0	0	0	0
SP116893	0	0	0	11	21	0	0	0	0	20	0	0	0	0
SP116876	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SP116927	3	0	0	9	0	0	0	15	4	12	0	0	0	0
SP116909	6	0	0	5	14	0	0	0	0	0	0	3	0	0
SP116795	2	0	0	0	1	0	0	3	0	0	0	0	0	1
SP116826	0	0	7	29	5	0	0	7	0	0	0	0	0	0
SP116891	5	0	1	0	11	0	4	0	0	8	2	0	0	0
SP116860	3	7	10	0	3	8	0	2	0	0	0	3	0	0
SP116848	0	0	16	2	0	0	4	7	0	14	13	0	0	0
SP116910	29	0	10	3	5	9	0	0	0	4	1	11	0	0
SP116797	0	3	0	0	0	0	0	0	0	0	0	0	8	0
SP116862	2	10	18	4	0	7	6	0	4	1	1	0	0	13
SP116823	6	0	0	11	11	0	0	3	3	1	0	0	0	0
SP116897	0	0	0	1	0	5	0	8	0	0	1	0	0	0
SP116846	0	0	0	0	2	5	3	1	0	6	2	0	0	0
SP116784	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP116896	0	0	0	0	1	0	0	4	0	0	8	0	0	1
SP116824	0	0	3	15	5	1	0	4	0	6	0	0	0	1
SP116881	0	0	0	0	0	0	5	0	0	4	0	0	0	0
SP116812	0	0	0	3	2	4	0	0	7	1	0	9	0	17
SP116915	13	3	0	0	17	25	0	2	0	0	18	0	0	0
SP116786	12	0	0	0	4	0	0	13	25	0	0	6	0	6
SP116851	2	0	0	1	3	0	0	0	7	2	0	0	0	0
CPCT02220038T	1019	180	0	0	0	0	16	31	0	0	24	0	3	0
CPCT02290013T	125	575	0	46	39	0	37	0	0	0	24	0	0	0
