MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	8.38E-04	2.80E-03	3.61E-03	3.80E-03
1:Del:C:1	6.39E-04	2.07E-03	2.84E-03	2.51E-03
1:Del:C:2	8.34E-04	2.52E-03	3.11E-03	2.77E-03
1:Del:C:3	2.73E-04	1.43E-03	1.41E-03	1.22E-03
1:Del:C:4	1.80E-04	6.23E-04	8.30E-04	5.72E-04
1:Del:C:5	4.04E-04	3.10E-04	9.55E-04	7.09E-04
1:Del:T:0	5.60E-04	2.18E-03	3.02E-03	3.53E-03
1:Del:T:1	4.83E-04	2.00E-03	2.50E-03	2.35E-03
1:Del:T:2	5.55E-04	1.74E-03	2.27E-03	1.57E-03
1:Del:T:3	5.37E-04	1.75E-03	2.94E-03	1.68E-03
1:Del:T:4	5.93E-04	1.55E-03	3.04E-03	2.63E-03
1:Del:T:5	3.16E-03	1.80E-03	4.55E-03	4.99E-03
1:Ins:C:0	3.87E-04	3.09E-04	7.82E-04	6.97E-04
1:Ins:C:1	2.11E-04	4.84E-04	1.21E-03	7.18E-04
1:Ins:C:2	2.08E-04	4.33E-04	9.45E-04	8.78E-04
1:Ins:C:3	7.98E-05	2.06E-04	3.63E-04	2.98E-04
1:Ins:C:4	2.29E-04	1.34E-04	2.50E-04	3.51E-04
1:Ins:C:5	8.23E-04	4.25E-04	1.96E-03	1.84E-03
1:Ins:T:0	4.34E-04	6.13E-04	1.26E-03	1.07E-03
1:Ins:T:1	3.34E-04	2.38E-03	2.40E-03	2.32E-03
1:Ins:T:2	2.58E-04	7.71E-04	1.09E-03	9.60E-04
1:Ins:T:3	3.76E-04	5.98E-04	1.62E-03	1.15E-03
1:Ins:T:4	3.37E-04	4.21E-04	5.09E-04	4.54E-04
1:Ins:T:5	3.44E-03	3.95E-03	3.24E-03	7.73E-03
2:Del:R:0	3.85E-04	6.90E-04	1.11E-03	8.45E-04
2:Del:R:1	5.80E-04	1.16E-03	1.30E-03	1.10E-03
2:Del:R:2	1.95E-04	5.92E-04	4.28E-04	4.88E-04
2:Del:R:3	2.09E-04	1.87E-04	3.96E-04	4.46E-04
2:Del:R:4	1.56E-04	3.04E-05	7.75E-06	2.59E-04
2:Del:R:5	1.88E-04	4.84E-08	4.68E-05	2.08E-04
3:Del:R:0	2.33E-04	6.83E-04	6.32E-04	6.11E-04
3:Del:R:1	3.98E-04	9.80E-04	1.59E-03	1.25E-03
3:Del:R:2	9.95E-05	3.66E-04	7.48E-04	4.78E-04
3:Del:R:3	8.93E-09	6.08E-05	1.24E-04	5.68E-05
3:Del:R:4	3.30E-05	1.40E-04	2.22E-04	1.50E-04
3:Del:R:5	4.10E-05	3.69E-05	4.94E-05	6.31E-05
4:Del:R:0	1.45E-04	3.94E-04	4.78E-04	4.24E-04
4:Del:R:1	2.96E-04	1.43E-03	1.49E-03	1.02E-03
4:Del:R:2	2.13E-04	5.03E-04	7.34E-04	4.99E-04
4:Del:R:3	6.44E-05	1.48E-04	3.34E-04	2.87E-04
4:Del:R:4	7.12E-05	2.41E-04	3.55E-04	2.56E-04
4:Del:R:5	5.29E-06	7.44E-05	1.88E-04	1.60E-04
5:Del:R:0	1.15E-03	1.94E-03	2.90E-03	2.20E-03
5:Del:R:1	5.12E-04	4.01E-04	4.76E-04	7.48E-04
5:Del:R:2	7.21E-05	1.24E-04	3.86E-04	3.27E-04
5:Del:R:3	9.33E-05	1.05E-04	1.80E-04	1.37E-04
5:Del:R:4	1.29E-08	6.12E-08	8.98E-08	1.11E-07
5:Del:R:5	1.29E-08	6.12E-08	8.98E-08	1.11E-07
2:Ins:R:0	6.39E-04	6.48E-04	8.63E-04	1.17E-03
2:Ins:R:1	2.41E-04	7.03E-04	9.50E-04	7.40E-04
2:Ins:R:2	7.80E-05	1.51E-04	2.27E-04	1.95E-04
2:Ins:R:3	8.64E-05	7.00E-05	9.21E-05	1.22E-04
2:Ins:R:4	1.30E-04	5.60E-08	8.45E-05	1.11E-04
2:Ins:R:5	6.52E-04	2.46E-04	1.63E-03	1.33E-03
3:Ins:R:0	3.36E-04	5.05E-04	1.16E-03	9.72E-04
3:Ins:R:1	9.16E-05	2.07E-04	2.44E-04	2.25E-04
3:Ins:R:2	2.15E-05	7.82E-05	1.96E-04	1.06E-04
3:Ins:R:3	4.85E-05	5.50E-05	1.47E-04	9.63E-05
3:Ins:R:4	1.37E-05	1.34E-04	1.09E-04	1.09E-04
3:Ins:R:5	9.95E-05	1.47E-04	4.32E-04	2.56E-04
4:Ins:R:0	4.21E-04	3.40E-04	6.18E-04	7.00E-04
4:Ins:R:1	6.59E-05	4.96E-04	7.10E-04	3.88E-04
4:Ins:R:2	1.96E-05	6.27E-05	1.20E-04	6.00E-05
4:Ins:R:3	7.11E-05	8.40E-05	2.58E-04	1.51E-04
4:Ins:R:4	4.78E-09	1.66E-04	2.06E-04	1.30E-04
4:Ins:R:5	1.19E-04	3.77E-05	8.55E-05	1.52E-04
5:Ins:R:0	2.67E-03	1.11E-03	2.58E-03	4.26E-03
5:Ins:R:1	3.23E-04	1.09E-03	2.07E-03	1.66E-03
5:Ins:R:2	9.71E-05	1.99E-04	2.03E-04	1.97E-04
5:Ins:R:3	7.71E-09	1.81E-04	2.28E-04	1.15E-04
5:Ins:R:4	4.05E-05	1.05E-05	5.83E-05	5.66E-05
5:Ins:R:5	1.29E-08	6.12E-08	8.98E-08	1.11E-07
2:Del:M:1	6.86E-04	1.08E-03	1.75E-03	1.41E-03
3:Del:M:1	2.32E-04	7.10E-04	1.03E-03	5.41E-04
3:Del:M:2	3.60E-04	7.75E-04	1.37E-03	8.99E-04
4:Del:M:1	1.11E-04	4.85E-04	5.90E-04	4.13E-04
4:Del:M:2	1.22E-04	1.15E-03	1.66E-03	1.30E-03
