NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	34.541	86.706	7.142	60.035	153.602	0.732	1000000.0
2	34.082	86.402	7.091	59.73	70.465	0.727	1000000.0
3	33.006	86.241	6.946	59.975	111.916	0.724	1000000.0
4	32.899	85.419	6.693	59.898	42.712	0.736	1000000.0
5	33.8	85.689	6.93	59.437	42.553	0.733	1000000.0
6	34.094	85.764	6.991	59.627	125.84	0.733	1000000.0
7	32.714	86.652	6.827	59.73	56.405	0.73	1000000.0
8	33.088	86.201	7.0	59.978	70.337	0.728	1000000.0
9	32.529	86.913	6.551	59.644	125.802	0.724	1000000.0
10	33.697	86.187	6.918	58.806	139.734	0.729	1000000.0
11	33.657	86.515	6.933	58.373	111.86	0.737	1000000.0
12	33.835	85.871	6.984	59.645	139.685	0.725	1000000.0
13	33.333	85.595	6.782	58.454	111.902	0.733	1000000.0
14	33.232	85.303	6.842	59.184	56.387	0.73	1000000.0
15	33.813	87.313	6.828	60.762	84.427	0.721	1000000.0
16	33.144	86.583	6.615	58.607	126.064	0.739	1000000.0
17	33.458	86.942	6.755	59.565	98.049	0.727	1000000.0
18	32.66	85.544	6.708	58.604	98.079	0.726	1000000.0
19	32.3	84.254	6.658	57.906	84.146	0.736	1000000.0
20	33.344	86.553	6.985	59.864	56.382	0.723	1000000.0
21	32.172	85.877	6.615	60.891	84.275	0.718	1000000.0
22	34.154	86.2	7.361	58.33	70.266	0.737	1000000.0
23	32.948	86.282	6.581	58.971	153.578	0.727	1000000.0
24	33.187	86.071	6.65	60.151	98.088	0.733	1000000.0
25	33.734	86.077	7.144	59.5	56.718	0.727	1000000.0
26	34.861	86.79	7.352	59.449	70.319	0.729	1000000.0
27	34.313	86.574	7.418	60.419	56.578	0.721	1000000.0
28	33.378	85.144	6.947	58.603	28.666	0.735	1000000.0
29	34.566	86.403	7.343	60.534	84.255	0.728	1000000.0
30	34.329	86.146	7.268	60.026	111.93	0.739	1000000.0
31	32.973	86.368	6.585	58.533	84.254	0.731	1000000.0
32	33.959	86.67	6.854	59.803	112.004	0.723	1000000.0
33	32.89	86.601	6.685	59.958	250.71	0.723	1000000.0
34	33.071	86.997	6.783	60.087	125.751	0.719	1000000.0
35	33.117	85.834	7.073	58.713	56.419	0.737	1000000.0
36	33.732	84.761	7.178	60.286	153.641	0.729	1000000.0
37	32.657	86.804	6.571	59.665	14.811	0.721	1000000.0
38	33.94	86.546	7.054	60.018	167.375	0.722	1000000.0
39	34.824	88.715	7.281	59.666	56.52	0.717	1000000.0
40	33.043	87.12	6.695	60.235	56.428	0.731	1000000.0
41	33.956	86.606	7.048	60.387	14.961	0.726	1000000.0
42	33.498	87.937	7.018	61.139	98.044	0.714	1000000.0
43	33.217	86.87	6.734	60.14	112.023	0.722	1000000.0
44	33.602	87.01	6.978	60.878	139.762	0.72	1000000.0
45	33.92	87.045	6.82	59.387	153.516	0.727	1000000.0
46	33.717	86.652	7.146	60.636	167.597	0.722	1000000.0
47	33.974	87.578	7.097	60.585	98.256	0.719	1000000.0
48	31.936	84.973	6.514	58.759	139.725	0.737	1000000.0
49	34.734	86.603	7.063	59.499	125.938	0.729	1000000.0
