Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP116788	4	0	0	0	8	0	4
SP116789	1	0	0	0	2	0	3
SP116919	0	0	0	0	0	0	1
SP109002	0	13	35	0	0	5	0
SP109001	0	3	1	7	0	0	0
SP109006	17	20	20	6	0	0	2
SP108998	45	61	24	0	5	0	3
SP127706	9	16	23	79	0	28	0
SP108999	27	29	18	18	0	19	0
SP109007	0	29	9	20	0	12	6
SP109003	0	2	35	0	15	0	0
SP116868	7	7	0	0	0	12	29
SP116794	5	0	0	7	0	3	0
SP116791	3	0	0	10	0	0	0
SP116866	6	0	0	0	8	2	32
SP116815	0	0	47	0	0	0	0
SP116853	2	3	1	0	36	0	0
SP116901	3	0	0	0	17	4	0
SP116830	4	1	0	58	19	10	0
SP116802	0	0	0	2	0	0	13
SP116885	14	0	50	0	26	0	0
SP116834	6	2	1	0	0	1	21
SP116913	1	0	0	0	0	24	0
SP116799	0	0	7	25	2	1	0
SP116920	0	0	13	5	0	0	0
SP116835	16	0	15	0	0	30	27
SP116852	5	0	0	0	30	0	3
SP116902	3	0	0	0	21	7	0
SP116871	0	0	0	0	0	6	4
SP116820	17	0	10	24	0	0	0
SP116889	10	0	0	3	13	36	1
SP116923	13	1	0	36	8	4	0
SP116829	9	0	0	62	3	0	0
SP116872	0	0	0	0	0	1	7
SP116904	0	0	0	1	0	1	3
SP116806	20	0	0	0	13	19	0
SP116857	8	0	10	27	14	22	0
SP116888	0	0	0	0	12	15	0
SP116818	0	0	17	5	0	0	0
SP116837	0	0	24	25	12	11	1
SP116905	0	0	0	1	0	1	2
SP116804	25	0	1	0	11	22	0
SP116819	7	0	14	9	1	0	0
SP116856	0	0	2	15	19	15	0
SP116839	4	15	19	30	10	0	0
SP116925	6	0	0	0	6	0	16
SP116878	0	0	2	7	0	11	2
SP116893	0	0	0	0	48	4	0
SP116876	0	0	0	0	0	0	1
SP116927	11	0	0	0	5	0	27
SP116909	6	0	0	0	20	2	0
SP116795	1	0	4	0	0	2	0
SP116826	16	0	0	0	32	0	0
SP116891	0	0	3	0	18	10	0
SP116860	6	4	0	8	0	18	0
SP116848	2	1	0	40	0	0	13
SP116910	32	0	3	21	7	9	0
SP116797	0	9	2	0	0	0	0
SP116862	9	7	15	28	0	7	0
SP116823	8	0	0	0	24	3	0
SP116897	1	0	0	0	0	6	8
SP116846	0	0	0	0	0	12	7
SP116784	0	0	1	0	0	0	0
SP116896	0	0	0	0	0	6	8
SP116824	8	0	0	0	27	0	0
SP116881	0	0	0	1	0	0	8
SP116812	1	0	37	2	0	3	0
SP116915	15	0	0	0	0	63	0
SP116786	9	0	37	0	0	5	15
SP116851	0	0	9	1	5	0	0
CPCT02220038T	878	221	152	0	0	8	14
CPCT02290013T	173	588	0	0	85	0	0
