Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP116788	4	0	0	0	0	5	0	1	6
SP116789	1	0	0	0	0	1	0	2	2
SP116919	0	0	0	0	0	0	0	1	0
SP109002	0	10	5	0	21	0	17	0	0
SP109001	0	2	0	5	0	0	4	0	0
SP109006	14	21	0	0	11	0	0	0	19
SP108998	28	65	0	3	28	11	0	3	0
SP127706	0	16	26	77	36	0	0	0	0
SP108999	32	11	16	7	0	0	45	0	0
SP109007	0	22	8	11	1	0	15	0	19
SP109003	4	0	0	0	9	9	26	0	4
SP116868	0	7	0	7	9	11	0	21	0
SP116794	4	0	0	5	0	0	0	6	0
SP116791	2	1	0	5	0	0	0	5	0
SP116866	2	0	0	0	6	14	0	26	0
SP116815	2	0	0	0	31	0	8	6	0
SP116853	0	4	0	0	1	27	0	0	10
SP116901	5	0	11	1	0	7	0	0	0
SP116830	0	5	15	58	0	13	1	0	0
SP116802	0	0	0	2	1	0	2	10	0
SP116885	5	0	0	0	47	38	0	0	0
SP116834	4	4	0	0	3	0	0	20	0
SP116913	0	0	17	6	0	0	2	0	0
SP116799	0	0	8	17	8	0	0	0	2
SP116920	0	0	0	0	1	0	14	0	3
SP116835	16	0	11	0	5	0	0	26	30
SP116852	3	1	0	0	0	22	0	0	12
SP116902	5	0	15	2	0	9	0	0	0
SP116871	0	0	7	0	0	0	0	2	1
SP116820	13	0	0	21	11	6	0	0	0
SP116889	10	4	32	8	0	0	0	9	0
SP116923	8	0	2	24	0	13	15	0	0
SP116829	3	3	0	58	0	8	2	0	0
SP116872	0	0	0	0	0	0	0	8	0
SP116904	0	0	0	0	0	0	4	1	0
SP116806	20	0	22	0	0	10	0	0	0
SP116857	10	0	35	23	12	0	0	0	1
SP116888	0	0	19	0	0	8	0	0	0
SP116818	0	0	0	6	12	0	2	0	2
SP116837	0	0	8	12	2	10	33	3	5
SP116905	0	0	0	0	0	0	3	1	0
SP116804	23	0	20	1	4	11	0	0	0
SP116819	4	0	0	8	12	6	0	0	1
SP116856	0	0	30	7	7	7	0	0	0
SP116839	3	7	0	19	7	16	26	0	0
SP116925	4	0	0	0	4	8	0	8	4
SP116878	0	0	6	0	0	0	0	0	16
SP116893	0	0	15	0	0	29	0	0	8
SP116876	0	0	0	0	0	0	0	0	1
SP116927	11	0	0	0	0	1	0	7	24
SP116909	9	0	12	0	0	7	0	0	0
SP116795	1	0	1	0	4	0	0	1	0
SP116826	9	1	0	0	0	38	0	0	0
SP116891	5	0	16	0	0	0	3	0	7
SP116860	4	6	12	14	0	0	0	0	0
SP116848	0	2	0	27	0	0	0	7	20
SP116910	32	0	14	13	1	0	0	5	7
SP116797	0	7	0	0	4	0	0	0	0
SP116862	12	0	5	21	4	0	20	0	4
SP116823	8	0	8	0	0	19	0	0	0
SP116897	1	0	1	0	0	0	0	13	0
SP116846	0	0	6	0	0	0	0	2	11
SP116784	0	0	0	0	1	0	0	0	0
SP116896	0	0	0	0	0	0	0	14	0
SP116824	4	0	0	0	0	31	0	0	0
SP116881	0	0	0	0	0	0	1	0	8
SP116812	3	0	4	0	23	0	8	3	2
SP116915	11	3	41	0	0	0	4	19	0
SP116786	2	0	0	0	36	15	0	13	0
SP116851	0	0	0	0	6	4	0	0	5
CPCT02220038T	825	210	0	0	92	0	117	29	0
CPCT02290013T	102	635	78	0	0	5	0	0	26
