Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP109953	48	12	241	38	13	3	2	9	13	15
SP107650	45	5	188	28	12	34	0	24	9	6
SP13206	150	25	79	25	29	9	0	20	11	10
SP13078	69	23	163	35	35	57	0	24	7	7
SP107607	41	17	109	0	48	69	0	19	7	5
SP109941	39	6	78	32	21	4	3	16	11	0
SP109801	151	35	120	10	22	1	0	29	11	16
SP13072	12	11	91	74	32	44	2	21	0	24
SP107595	123	0	263	0	262	11	0	31	9	13
SP107640	47	19	159	0	15	55	0	5	1	0
SP13084	48	6	212	44	46	26	1	26	6	2
SP107603	25	10	105	25	20	56	0	16	6	15
SP109957	38	5	162	58	19	136	13	38	7	70
SP114020	113	0	246	102	32	67	11	32	10	39
SP96540	47	7	97	45	0	26	0	6	0	0
SP114032	21	19	162	64	5	7	5	12	2	12
SP107624	16	8	57	22	31	14	2	15	0	0
SP107575	75	0	71	74	19	34	0	27	0	14
SP13242	43	7	106	29	13	32	1	33	2	4
SP114016	18	6	166	5	27	60	1	12	1	16
CPCT02070011T	55	44	526	212	165	119	83	1177	15	88
CPCT02020317T	10	37	42	36	12	50	68	38	10	4
CPCT02010352T	0	15	9	18	5	7	33	7	6	8
CPCT02010362T	10	19	8	20	16	26	26	4	8	5
CPCT02010366T	0	3	0	0	7	9	21	3	5	3
CPCT02010383T	6	22	1	0	2	16	77	20	3	0
CPCT02050049T	10	21	29	14	30	60	43	3	7	5
CPCT02020350T	1	25	38	82	52	29	37	12	4	2
CPCT02060023T	29	48	247	245	187	11	32	43	22	43
CPCT02080030T	58	2078	167	0	173	0	276	16	69	36
CPCT02060010T	209	171	82	148	100	132	47	59	33	54
CPCT02040037T	27	0	0	123	15	0	84	0	1913	4
CPCT02070018T	26	22	115	237	183	26	49	46	10	23
CPCT02080041T	0	89	0	410	244	49	61	42	0	16
CPCT02070029T	433	18	39	51	90	121	24	133	31	15
CPCT02060033T	102	38	112	44	57	101	109	80	47	60
CPCT02020399T	784	66	474	39	89	418	79	42	82	0
CPCT02140024T	4296	40	1056	514	0	0	66	119	9	0
CPCT02080050T	20	43	19	150	26	24	80	18	0	2
CPCT02030293T	41	22	95	28	22	87	57	42	12	13
