Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP109953	48	238	12	15	29	4	2	9	10	12	15
SP107650	44	183	4	19	28	29	0	24	7	8	5
SP13206	148	84	26	1	35	7	0	20	17	10	10
SP13078	69	164	22	9	42	53	0	24	23	6	8
SP107607	40	111	19	0	3	64	0	19	44	7	8
SP109941	40	77	7	7	31	4	3	16	14	10	1
SP109801	146	122	35	5	17	0	0	29	16	10	15
SP13072	10	87	11	43	65	33	0	20	21	0	21
SP107595	120	257	2	12	37	11	2	31	217	8	15
SP107640	46	158	17	0	19	49	0	5	6	1	0
SP13084	48	211	5	17	49	23	0	26	31	5	2
SP107603	24	104	9	14	31	49	0	15	12	5	15
SP109957	31	147	4	73	59	108	8	35	12	7	62
SP114020	105	230	0	86	83	47	8	30	22	9	32
SP96540	45	93	9	28	28	19	0	6	0	0	0
SP114032	19	156	19	38	33	8	5	12	5	2	12
SP107624	17	59	8	0	34	11	1	15	20	0	0
SP107575	75	70	0	33	59	28	0	26	10	0	13
SP13242	39	98	7	35	17	25	1	32	12	2	2
SP114016	18	165	4	0	26	54	0	12	16	1	16
CPCT02070011T	20	430	34	420	38	81	79	1116	195	12	59
CPCT02020317T	5	33	34	54	26	38	60	35	12	9	1
CPCT02010352T	0	10	14	2	20	8	31	7	1	6	9
CPCT02010362T	6	2	18	37	9	18	23	3	16	7	3
CPCT02010366T	0	0	2	0	6	8	20	3	4	5	3
CPCT02010383T	5	1	21	0	12	13	72	20	0	3	0
CPCT02050049T	10	30	19	0	42	53	39	2	16	6	5
CPCT02020350T	2	39	25	24	84	23	34	12	33	3	3
CPCT02060023T	37	261	49	39	249	11	28	45	123	19	46
CPCT02080030T	60	168	2027	0	129	18	256	16	100	59	40
CPCT02060010T	195	70	166	131	121	102	41	55	80	29	45
CPCT02040037T	67	106	4	94	76	0	113	0	17	1688	1
CPCT02070018T	38	137	20	0	273	29	43	49	109	8	31
CPCT02080041T	14	20	89	0	507	40	49	50	119	3	20
CPCT02070029T	412	41	17	71	75	89	19	127	67	28	9
CPCT02060033T	94	101	37	67	59	76	99	76	46	42	53
CPCT02020399T	772	495	64	0	202	343	62	40	20	75	0
CPCT02140024T	4068	1044	46	667	17	0	75	112	63	8	0
CPCT02080050T	25	28	46	15	147	20	76	19	1	0	5
CPCT02030293T	38	91	20	30	34	75	51	41	16	11	12
CPCT02010441T	71065	1839	321	3415	0	0	0	193	0	86	0
CPCT02090030T	312	297	29	1	43	30	99	46	40	12	12
CPCT02010718T	72	364	11	0	55	22	117	24	14	23	15
CPCT02020653T	21	96	36	0	156	2	120	14	36	9	9
CPCT02340008TII	30	102	10	9	27	21	146	9	12	18	9
CPCT02020876T	8	3	23	84	58	15	15	9	31	13	0
CPCT02370016T	41	95	54	0	101	104	94	13	69	14	0
CPCT02070275T	33	333	1	28	34	51	112	11	25	7	15
CPCT02011028T	336	156	30	46	218	80	30	45	72	26	35
CPCT02230072T	23390	5563	816	6238	534	1230	437	414	220	424	0
CPCT02130028T	142	254	0	0	15	66	129	22	17	14	4
CPCT02060182T	10	8	19	21	0	30	57	8	16	7	0
CPCT02020657T	0	47	10	0	67	26	97	16	3	9	11
DRUP01090026T	8	48	25	40	62	43	27	25	21	5	10
CPCT02130029T	0	1	22	9	18	20	64	0	9	7	0
CPCT02340010TII	249	24	10	0	41	12	202	2095	115	22	6
DRUP01020022T	3	19	23	47	63	25	35	11	12	8	19
CPCT02120103T	21	276	3	63	42	25	79	24	75	10	4
CPCT02300030T	60	280	27	31	89	19	92	6	25	8	4
CPCT02150044T	10	58	16	36	72	28	18	13	8	17	0
CPCT02020920T	9	12	27	0	113	51	34	13	46	20	20
CPCT02080192T	13	196	31	0	28	46	146	21	22	11	18
CPCT02130170T	95	5	85	0	106	99	15	1087	23	32	0
CPCT02260014T	914	733	34	47	179	67	80	50	0	208	17
CPCT02020922T	0	2	10	108	66	3	14	4	8	8	20
CPCT02011072T	11	33	19	2	47	5	14	13	13	15	1
CPCT02010758T	1	28	29	0	115	26	120	18	83	12	10
WIDE01010006T	0	8	2	20	15	15	30	8	0	16	19
CPCT02040220T	12	126	12	0	95	0	76	21	68	18	22
CPCT02100157T	230	435	14	41	70	52	110	65	27	9	25
CPCT02230088T	218	19	6547	0	362	975	121	121	34	229	29
CPCT02130178T	4	13	19	72	74	38	19	31	37	8	10
WIDE01010017T	58	130	40	59	15	84	40	34	65	12	36
WIDE01010025T	7	23	9	28	22	61	35	13	7	12	0
WIDE01010028T	203	155	43	97	242	180	43	102	186	30	76
WIDE01010012T	69	116	6	0	64	49	61	2	715	18	12
WIDE01010031T	524	591	168	0	108	0	50	28	25	697	52
CPCT02020956T	0	13	17	29	40	0	18	0	1	15	19
CPCT02010774T	1	35	24	27	92	19	39	2	37	3	0
CPCT02010756T	10	0	15	23	44	30	93	3	16	9	14
WIDE01010045T	14	49	1	0	171	22	32	14	67	12	24
CPCT02080204T	1	1	27	59	56	4	50	9	2	6	21
WIDE01010037T	676	1090	43	64	0	151	50	74	22	89	66
WIDE01010056T	177	434	8	64	53	57	58	39	30	28	69
CPCT02070298T	206	355	31	13	11	60	31	26	26	19	24
WIDE01010594T	10	87	16	19	90	35	29	28	5	13	11
WIDE01010078T	7	4	46	0	327	99	20	34	177	11	30
CPCT02130054T	35	143	45	48	62	30	114	32	10	1	17
CPCT02040228T	10	81	4	53	60	15	79	13	18	19	5
WIDE01010051T	7	36	28	45	56	83	45	61	9	56	12
CPCT02050319T	7	0	2	18	11	53	117	51	9	0	21
CPCT02020689T	3	91	6	25	142	0	115	7	80	5	27
WIDE01010043T	22	46	14	48	73	43	17	15	49	7	5
WIDE01010112T	243	252	45	0	262	55	37	49	127	17	39
WIDE01010092T	11	72	9	59	30	22	32	6	16	20	1
WIDE01010119T	101	152	27	80	70	48	16	74	34	32	4
CPCT02170022T	5	72	8	9	35	34	121	17	26	2	4
WIDE01010120T	1	28	27	23	29	14	27	9	28	4	16
WIDE01010127T	284	255	4119	325	0	287	19	65	182	111	49
CPCT02300036T	65	432	80	65	117	70	57	19	82	10	11
WIDE01010146T	8	13	32	22	137	19	5	5	48	8	1
CPCT02070309T	14	37	27	0	95	41	77	10	38	9	6
WIDE01010157T	85	118	1781	231	142	159	24	26	88	57	65
WIDE01010170T	65	83	14	57	8	40	26	10	29	11	8
CPCT02020696T	8	32	39	2	127	0	88	5	14	4	9
CPCT02030471T	7	61	9	1	69	7	251	23	19	1	14
CPCT02130032T	8	15	22	0	125	21	129	21	8	3	15
CPCT02070310T	481	441	0	0	57	100	109	10	68	863	39
WIDE01010164T	61	113	55	75	107	150	30	0	122	72	11
WIDE01010190T	9	39	37	22	54	55	20	0	0	9	3
WIDE01010182T	330	347	84	0	350	121	42	60	131	82	28
DRUP01050040TII	616	542	0	0	0	508	75	12	0	80	6
WIDE01010225T	115	170	24	0	75	129	56	17	0	14	0
CPCT02050348T	37	50	32	0	46	173	37	4	46	3	0
WIDE01010275T	33	106	49	0	293	19	29	30	121	12	46
CPCT02010810T	12	60	24	45	31	12	59	12	13	11	0
CPCT02060206T	84	109	3584	0	69	305	195	4	94	111	33
WIDE01010284T	11	70	17	27	8	39	25	6	0	5	13
WIDE01010330T	6	51	10	38	51	38	9	11	11	4	1
WIDE01010312T	101	0	3479	359	47	12	57	28	124	97	84
WIDE01010317T	234	249	56	85	0	152	64	14	827	65	3
WIDE01010337T	39	319	365	97	152	27	53	7	62	45	0
CPCT02220043T	344	352	70	745	54	298	125	0	46	241	84
CPCT02130094T	70	436	41	0	399	6	61	43	183	22	48
WIDE01010329T	294	349	1989	33	138	0	81	20	299	85	4
WIDE01010331T	8	53	2	40	75	6	27	12	2	18	12
CPCT02010828T	77	218	917	0	110	14	80	17	57	24	0
