MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	7.84E-05	4.95E-04	1.58E-03	2.15E-03	1.52E-03	2.70E-04	1.89E-04	3.52E-03	4.41E-03	1.26E-03	2.59E-03	8.57E-04	5.79E-04	4.87E-04
1:Del:C:1	5.51E-06	6.77E-05	1.07E-03	5.70E-04	6.86E-04	5.39E-04	1.17E-04	1.27E-03	2.02E-03	5.27E-04	1.79E-04	9.45E-04	2.57E-04	2.32E-04
1:Del:C:2	4.37E-05	6.53E-05	9.23E-04	1.98E-04	5.12E-04	3.86E-04	6.36E-05	2.95E-04	9.47E-04	3.51E-04	1.02E-03	5.23E-04	2.02E-04	1.44E-04
1:Del:C:3	1.26E-04	7.16E-05	3.59E-04	8.80E-04	3.05E-04	1.57E-04	3.55E-05	6.16E-04	5.14E-04	1.38E-04	5.09E-04	4.81E-04	8.61E-05	7.99E-05
1:Del:C:4	3.06E-04	5.97E-05	2.97E-04	2.54E-03	7.22E-05	4.20E-05	1.69E-05	2.15E-04	5.66E-05	1.73E-04	1.88E-04	7.99E-05	2.14E-05	4.78E-05
1:Del:C:5	7.29E-04	9.58E-05	2.54E-04	6.41E-03	2.81E-06	7.34E-05	8.42E-05	7.43E-05	2.23E-09	5.45E-05	7.63E-04	4.04E-04	2.37E-04	0.00E+00
1:Del:T:0	5.33E-05	2.88E-04	3.17E-04	1.57E-03	1.15E-03	5.45E-04	9.98E-05	2.81E-03	9.04E-04	5.89E-04	8.78E-04	1.59E-03	7.52E-04	3.63E-04
1:Del:T:1	7.73E-05	2.02E-04	2.47E-04	6.27E-04	6.84E-04	3.83E-04	1.29E-04	1.82E-03	7.76E-04	3.05E-05	9.75E-04	8.31E-04	5.49E-04	3.39E-04
1:Del:T:2	7.56E-05	1.74E-04	2.16E-04	5.35E-04	7.91E-04	2.17E-04	8.80E-05	1.99E-03	4.23E-04	4.32E-04	8.67E-04	9.58E-04	5.76E-04	1.80E-04
1:Del:T:3	1.16E-04	1.24E-04	2.56E-04	5.42E-04	1.12E-03	3.09E-04	1.38E-04	2.57E-03	6.77E-04	7.47E-04	8.60E-04	8.88E-04	8.08E-04	1.67E-06
1:Del:T:4	3.03E-04	1.54E-04	1.70E-04	2.40E-03	6.82E-04	2.96E-04	1.63E-04	1.80E-03	4.59E-04	5.28E-04	3.10E-04	8.23E-04	6.22E-04	8.20E-05
1:Del:T:5	3.85E-03	1.35E-03	7.71E-04	8.96E-03	7.59E-04	1.08E-04	2.34E-03	1.99E-03	4.76E-03	6.50E-04	6.16E-04	9.17E-04	3.85E-03	2.13E-04
1:Ins:C:0	3.82E-05	0.00E+00	1.94E-04	3.37E-07	0.00E+00	1.40E-47	1.87E-08	0.00E+00	1.96E-09	1.97E-47	1.57E-08	9.24E-10	4.91E-03	1.39E-04
1:Ins:C:1	2.48E-06	2.43E-05	9.74E-05	8.68E-04	1.80E-04	2.80E-04	7.22E-05	4.40E-04	5.87E-04	1.17E-04	5.14E-04	5.36E-04	3.03E-04	2.00E-04
1:Ins:C:2	6.25E-06	2.79E-05	1.06E-04	3.67E-04	1.27E-04	1.97E-04	4.76E-05	2.11E-04	2.29E-04	2.45E-05	6.27E-04	3.77E-04	8.33E-05	1.93E-04
1:Ins:C:3	1.72E-05	6.42E-05	8.04E-05	4.92E-04	1.21E-04	2.10E-04	1.70E-05	3.02E-04	1.72E-04	2.66E-05	4.04E-04	1.91E-04	3.54E-05	3.08E-04
1:Ins:C:4	6.42E-05	8.35E-05	9.61E-05	4.91E-04	9.32E-05	1.76E-04	9.15E-07	1.68E-04	3.50E-04	4.41E-05	5.41E-04	2.44E-04	6.42E-05	1.45E-04
1:Ins:C:5	2.02E-04	2.16E-04	9.47E-05	1.58E-03	6.69E-05	3.50E-04	1.11E-04	9.29E-04	8.35E-04	1.97E-04	6.80E-04	1.02E-03	2.86E-04	9.19E-05
1:Ins:T:0	5.49E-05	1.87E-04	3.66E-04	1.97E-03	1.66E-04	4.39E-04	1.10E-04	1.13E-03	1.36E-03	2.79E-04	1.44E-03	9.73E-04	5.08E-04	2.78E-04
