Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP109953	47	195	8	10	15	13	3	3	6	1	8	13	11	0	8	20	14	19
SP107650	43	140	3	0	34	17	0	14	16	9	4	7	8	0	6	21	3	26
SP13206	134	74	20	2	0	17	1	6	12	2	13	0	20	0	6	35	9	7
SP13078	63	128	14	20	21	36	0	32	16	6	13	5	11	0	6	27	8	14
SP107607	34	64	13	3	59	4	0	33	11	1	33	0	15	0	6	16	10	13
SP109941	34	43	4	2	51	12	3	2	12	0	11	16	12	0	6	0	2	0
SP109801	135	99	28	0	19	4	1	0	24	8	15	0	19	0	6	12	12	13
SP13072	12	72	9	3	0	35	2	18	11	9	14	9	16	0	0	26	17	58
SP107595	109	208	2	7	18	45	6	7	19	0	163	0	13	0	5	49	11	50
SP107640	46	138	12	1	0	16	1	30	2	1	2	12	5	0	2	14	2	17
SP13084	48	183	3	5	0	38	1	14	19	9	21	12	5	0	4	25	0	30
SP107603	23	80	5	3	28	22	1	26	11	14	7	0	17	0	4	4	11	22
SP109957	32	115	5	12	0	30	10	50	19	14	5	0	4	0	4	4	46	196
SP114020	104	197	0	2	0	32	9	20	18	18	17	0	29	0	4	11	24	167
SP96540	40	65	1	14	14	0	0	9	4	0	0	45	14	0	0	0	4	18
SP114032	20	132	14	26	1	23	5	9	6	3	1	0	10	0	2	34	12	11
SP107624	15	52	5	0	0	17	3	8	11	1	15	0	20	0	0	18	0	0
SP107575	70	64	0	8	0	35	0	17	18	12	7	25	12	0	0	36	10	0
SP13242	37	79	3	14	14	6	2	14	24	8	10	10	8	0	1	21	4	15
SP114016	18	134	1	2	20	26	1	31	9	11	10	0	12	0	2	18	13	4
CPCT02070011T	33	291	16	73	326	56	43	32	947	127	148	77	0	75	9	182	30	19
CPCT02020317T	9	37	27	9	0	21	41	22	23	20	4	0	10	26	6	52	0	0
CPCT02010352T	0	9	11	7	0	14	24	7	6	3	0	0	4	4	4	0	7	8
CPCT02010362T	8	7	14	9	0	7	11	8	1	8	11	0	7	22	4	10	2	13
CPCT02010366T	1	0	2	0	1	8	10	4	3	0	2	0	0	11	4	0	2	3
CPCT02010383T	4	0	15	0	0	0	56	8	16	0	0	20	4	10	2	3	0	9
CPCT02050049T	7	9	12	6	34	13	36	32	1	3	14	12	28	1	4	0	10	0
CPCT02020350T	2	31	20	8	0	42	28	15	5	1	22	7	20	1	2	8	5	65
CPCT02060023T	38	213	43	1	36	187	15	17	31	19	79	0	56	29	12	31	28	72
CPCT02080030T	52	163	1639	12	17	129	213	134	23	248	50	21	52	22	42	0	23	33
CPCT02060010T	183	56	117	28	44	68	22	57	40	62	64	132	12	45	18	31	29	27
CPCT02040037T	163	395	0	15	23	16	107	9	1	38	12	101	99	0	1104	0	4	79
CPCT02070018T	29	65	18	0	119	217	34	34	32	9	58	4	35	3	8	14	16	42
CPCT02080041T	8	27	61	0	0	355	42	61	38	28	66	141	64	0	4	8	8	0
CPCT02070029T	370	42	15	7	33	35	16	43	88	28	50	0	49	17	18	135	9	0
CPCT02060033T	87	52	27	0	94	25	60	30	56	24	38	48	20	65	25	27	36	36
