NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	165.834	25.012	32.155	17.025	0.1	0.976	1000000.0
2	167.15	25.032	32.279	16.932	0.099	0.977	1000000.0
3	163.263	24.744	31.348	16.808	0.098	0.977	1000000.0
4	163.802	24.809	31.556	16.793	0.101	0.977	1000000.0
5	165.67	24.901	32.134	16.865	0.101	0.977	1000000.0
6	166.261	24.948	31.363	16.929	5.774	0.977	1000000.0
7	163.807	24.817	31.526	16.811	8.603	0.977	1000000.0
8	165.403	24.943	32.486	16.957	5.768	0.977	1000000.0
9	160.866	24.713	30.452	16.731	2.931	0.977	1000000.0
10	160.457	24.416	30.301	16.262	0.1	0.978	1000000.0
11	165.233	24.951	31.96	17.051	0.099	0.976	1000000.0
12	164.727	24.87	31.485	16.901	2.934	0.977	1000000.0
13	167.865	25.053	32.231	17.134	5.767	0.976	1000000.0
14	164.145	24.756	31.31	16.776	2.937	0.977	1000000.0
15	163.802	24.881	31.63	16.775	0.101	0.977	1000000.0
16	167.412	25.061	32.586	17.146	2.933	0.976	1000000.0
17	165.094	25.065	31.765	17.173	5.769	0.976	1000000.0
18	163.964	24.982	31.649	17.085	2.934	0.977	1000000.0
19	163.522	25.123	30.686	17.192	0.105	0.976	1000000.0
20	165.814	25.046	31.954	17.018	19.93	0.976	1000000.0
21	162.366	24.815	31.514	16.853	2.938	0.977	1000000.0
22	165.534	25.102	31.64	17.157	5.766	0.976	1000000.0
23	165.146	25.024	31.918	16.983	5.766	0.977	1000000.0
24	163.648	24.854	31.262	16.885	0.117	0.977	1000000.0
25	164.384	24.821	31.629	16.886	0.11	0.977	1000000.0
26	165.05	24.813	31.425	16.715	2.941	0.977	1000000.0
27	166.763	25.075	32.403	16.977	0.098	0.976	1000000.0
28	168.117	24.863	32.502	16.808	0.101	0.977	1000000.0
29	163.536	24.86	31.304	16.823	17.094	0.977	1000000.0
30	164.097	24.795	31.152	16.637	0.098	0.977	1000000.0
31	163.354	24.668	31.404	16.687	2.931	0.977	1000000.0
32	165.547	25.02	31.65	17.038	0.103	0.977	1000000.0
33	165.179	24.954	31.254	16.742	5.766	0.977	1000000.0
34	163.355	24.775	31.623	16.987	2.934	0.976	1000000.0
35	165.16	24.841	31.884	16.911	2.934	0.977	1000000.0
36	165.019	25.021	31.465	17.025	5.765	0.976	1000000.0
37	165.608	24.811	31.795	16.837	0.103	0.977	1000000.0
38	166.714	25.034	32.158	17.088	0.1	0.976	1000000.0
39	165.975	25.038	32.151	17.131	2.934	0.976	1000000.0
40	163.889	24.839	31.3	16.838	5.769	0.977	1000000.0
41	164.129	24.96	31.61	16.988	0.107	0.977	1000000.0
42	165.901	24.917	31.889	16.828	0.1	0.977	1000000.0
43	166.332	24.911	32.007	16.92	2.934	0.977	1000000.0
44	163.536	24.937	31.473	16.984	0.103	0.976	1000000.0
45	164.437	24.73	31.538	16.777	2.943	0.977	1000000.0
46	163.653	24.787	31.169	16.747	0.1	0.977	1000000.0
47	165.113	25.108	31.828	17.098	0.102	0.976	1000000.0
48	165.72	24.681	31.733	16.79	0.104	0.977	1000000.0
49	164.1	24.801	31.821	16.8	2.932	0.977	1000000.0
50	163.945	24.792	31.28	16.797	2.934	0.977	1000000.0
51	165.172	24.931	31.545	16.835	2.931	0.977	1000000.0
52	167.43	24.862	31.891	16.827	0.101	0.977	1000000.0
53	167.518	24.823	32.583	16.858	0.104	0.977	1000000.0
54	165.168	24.942	31.765	16.957	0.105	0.977	1000000.0
55	164.468	24.958	31.757	17.16	2.931	0.976	1000000.0
56	167.355	25.145	32.239	17.186	2.933	0.976	1000000.0
57	164.898	24.95	31.961	17.061	0.108	0.976	1000000.0
58	165.314	24.774	31.528	16.664	0.108	0.977	1000000.0
59	163.195	24.845	31.043	16.929	0.102	0.977	1000000.0
60	167.871	25.035	31.923	17.081	5.767	0.976	1000000.0
61	167.882	24.844	32.774	16.889	0.1	0.977	1000000.0
62	166.855	25.042	32.193	17.043	5.769	0.977	1000000.0
63	166.522	25.143	31.749	17.148	11.431	0.976	1000000.0
64	165.588	25.011	31.73	16.99	5.764	0.977	1000000.0
65	165.936	25.047	32.588	16.992	0.1	0.976	1000000.0
66	164.69	24.898	31.322	16.891	0.101	0.977	1000000.0
67	165.96	25.196	32.074	17.099	2.935	0.976	1000000.0
68	163.591	24.762	31.081	16.786	2.934	0.977	1000000.0
69	163.207	24.826	31.288	16.814	0.101	0.977	1000000.0
70	164.208	24.931	31.254	17.03	0.102	0.976	1000000.0
71	167.028	24.956	31.959	16.954	2.932	0.977	1000000.0
72	167.913	24.844	32.326	16.916	0.101	0.977	1000000.0
73	165.279	24.861	31.57	16.81	2.934	0.977	1000000.0
74	165.986	25.09	32.073	16.94	0.102	0.977	1000000.0
75	164.106	24.781	31.824	16.833	0.1	0.977	1000000.0
76	164.372	24.864	31.508	16.85	2.938	0.977	1000000.0
77	166.494	25.043	32.072	16.989	0.102	0.976	1000000.0
78	165.585	25.042	31.748	16.991	0.101	0.976	1000000.0
79	164.653	25.031	31.804	17.059	5.774	0.976	1000000.0
80	167.353	24.825	32.417	16.884	2.936	0.977	1000000.0
81	165.458	24.883	31.737	16.853	2.933	0.977	1000000.0
82	163.723	24.836	31.084	16.813	8.597	0.977	1000000.0
83	163.719	24.937	30.858	16.868	0.102	0.976	1000000.0
84	165.132	24.779	31.763	16.81	0.099	0.977	1000000.0
85	165.856	24.912	31.968	16.881	2.932	0.977	1000000.0
86	163.728	24.924	31.515	17.077	11.431	0.976	1000000.0
87	163.192	24.749	31.342	16.785	2.932	0.977	1000000.0
88	165.754	25.146	32.021	17.241	0.101	0.976	1000000.0
89	167.691	25.045	32.424	16.978	0.112	0.976	1000000.0
90	164.634	25.017	31.841	17.056	2.935	0.976	1000000.0
91	164.923	24.816	31.446	16.84	8.596	0.977	1000000.0
92	166.758	25.019	31.992	17.04	0.113	0.976	1000000.0
93	165.346	24.852	31.998	16.8	8.596	0.977	1000000.0
94	167.638	25.034	31.966	16.953	0.105	0.976	1000000.0
95	167.435	25.064	32.222	16.986	0.104	0.976	1000000.0
96	164.85	24.892	31.881	17.007	0.101	0.977	1000000.0
97	167.266	24.955	32.513	16.975	0.104	0.976	1000000.0
98	167.923	25.105	32.309	17.125	2.934	0.976	1000000.0
99	162.961	24.92	31.147	16.965	0.102	0.977	1000000.0
100	166.969	24.912	32.281	16.93	0.1	0.977	1000000.0
