Samples	ID83A	ID83B	ID83C
SP109953	1.75E+00	1.74E+00	5.69E-01
SP107650	1.62E+00	1.80E+00	7.64E-01
SP13206	1.34E+00	1.31E+00	8.46E-01
SP13078	1.31E+00	1.68E+00	1.06E+00
SP107607	1.12E+00	1.31E+00	8.15E-01
SP109941	9.57E-01	1.05E+00	6.00E-01
SP109801	1.33E+00	1.32E+00	8.06E-01
SP13072	7.46E-01	1.04E+00	8.42E-01
SP107595	1.54E+00	1.65E+00	6.27E-01
SP107640	1.58E+00	1.65E+00	9.18E-01
SP13084	1.67E+00	1.91E+00	7.53E-01
SP107603	9.37E-01	1.39E+00	9.55E-01
SP109957	1.09E+00	1.54E+00	1.29E+00
SP114020	1.65E+00	1.83E+00	9.89E-01
SP96540	1.25E+00	1.25E+00	6.29E-01
SP114032	1.45E+00	1.50E+00	7.82E-01
SP107624	6.96E-01	8.79E-01	5.84E-01
SP107575	1.20E+00	1.43E+00	9.91E-01
SP13242	1.17E+00	1.35E+00	7.09E-01
SP114016	1.33E+00	1.48E+00	8.42E-01
CPCT02070011T	1.72E+00	2.66E+00	2.05E+00
CPCT02020317T	5.72E-01	1.02E+00	9.39E-01
CPCT02010352T	1.53E-01	6.77E-01	6.70E-01
CPCT02010362T	4.83E-01	8.81E-01	7.93E-01
CPCT02010366T	1.04E-01	3.17E-01	3.10E-01
CPCT02010383T	3.63E-01	7.89E-01	7.33E-01
CPCT02050049T	5.27E-01	1.13E+00	1.00E+00
CPCT02020350T	4.18E-01	1.10E+00	1.04E+00
CPCT02060023T	1.36E+00	1.91E+00	1.40E+00
CPCT02080030T	2.97E+00	3.90E+00	4.35E+00
CPCT02060010T	1.79E+00	2.44E+00	2.10E+00
CPCT02040037T	2.61E+00	2.71E+00	1.11E+00
CPCT02070018T	1.08E+00	1.57E+00	1.23E+00
CPCT02080041T	5.72E-01	2.04E+00	2.11E+00
CPCT02070029T	2.01E+00	2.05E+00	1.33E+00
CPCT02060033T	1.19E+00	1.66E+00	1.39E+00
CPCT02020399T	3.36E+00	3.62E+00	2.44E+00
CPCT02140024T	3.38E+00	3.30E+00	1.81E+00
CPCT02080050T	7.61E-01	1.32E+00	1.28E+00
CPCT02030293T	1.16E+00	1.41E+00	1.22E+00
CPCT02010441T	8.38E+00	5.82E+00	5.37E+00
CPCT02090030T	1.95E+00	2.03E+00	9.85E-01
CPCT02010718T	1.86E+00	1.94E+00	7.29E-01
CPCT02020653T	7.91E-01	1.30E+00	1.09E+00
CPCT02340008TII	9.38E-01	1.15E+00	8.06E-01
CPCT02020876T	6.68E-01	1.18E+00	1.06E+00
CPCT02370016T	9.54E-01	1.64E+00	1.57E+00
CPCT02070275T	1.65E+00	1.63E+00	8.35E-01
CPCT02011028T	2.33E+00	2.70E+00	1.73E+00
CPCT02230072T	1.23E+01	1.25E+01	9.85E+00
CPCT02130028T	1.58E+00	1.85E+00	8.33E-01
CPCT02060182T	4.84E-01	9.31E-01	8.67E-01
CPCT02020657T	2.84E-01	9.41E-01	8.98E-01
DRUP01090026T	5.89E-01	1.20E+00	1.13E+00
CPCT02130029T	2.02E-01	7.59E-01	7.75E-01
CPCT02340010TII	1.91E+00	1.90E+00	3.26E-01
DRUP01020022T	3.91E-01	1.05E+00	1.05E+00
CPCT02120103T	1.31E+00	1.49E+00	7.66E-01
CPCT02300030T	1.62E+00	1.94E+00	1.07E+00
CPCT02150044T	7.30E-01	1.08E+00	9.10E-01
CPCT02020920T	4.47E-01	1.18E+00	1.16E+00
CPCT02080192T	1.04E+00	1.39E+00	9.89E-01
CPCT02130170T	1.53E+00	2.13E+00	1.73E+00
CPCT02260014T	3.62E+00	3.74E+00	1.85E+00
CPCT02020922T	2.48E-01	1.26E+00	1.22E+00
CPCT02011072T	6.54E-01	8.99E-01	7.16E-01
CPCT02010758T	2.99E-01	1.07E+00	1.06E+00
WIDE01010006T	0.00E+00	5.32E-01	5.32E-01
CPCT02040220T	7.17E-01	9.84E-01	7.07E-01
CPCT02100157T	2.38E+00	2.57E+00	1.04E+00
CPCT02230088T	1.03E+01	5.96E+00	1.18E+01
CPCT02130178T	5.00E-01	1.19E+00	1.12E+00
WIDE01010017T	1.25E+00	1.73E+00	1.43E+00
WIDE01010025T	5.48E-01	1.16E+00	1.16E+00
WIDE01010028T	1.87E+00	2.66E+00	2.04E+00
WIDE01010012T	1.14E+00	1.61E+00	1.17E+00
WIDE01010031T	4.04E+00	4.28E+00	1.98E+00
CPCT02020956T	3.02E-01	8.92E-01	8.16E-01
CPCT02010774T	4.22E-01	1.13E+00	1.12E+00
CPCT02010756T	3.90E-01	1.01E+00	9.44E-01
WIDE01010045T	5.88E-01	1.17E+00	9.89E-01
CPCT02080204T	3.59E-01	9.77E-01	1.00E+00
WIDE01010037T	4.07E+00	4.28E+00	1.69E+00
WIDE01010056T	2.59E+00	3.04E+00	1.20E+00
CPCT02070298T	2.33E+00	2.72E+00	1.18E+00
WIDE01010594T	7.92E-01	1.26E+00	1.15E+00
WIDE01010078T	4.83E-01	1.82E+00	1.82E+00
CPCT02130054T	1.17E+00	1.78E+00	1.44E+00
CPCT02040228T	8.14E-01	1.09E+00	9.08E-01
WIDE01010051T	5.67E-01	1.34E+00	1.22E+00
CPCT02050319T	3.48E-01	8.98E-01	8.36E-01
CPCT02020689T	4.49E-01	8.65E-01	7.87E-01
WIDE01010043T	8.69E-01	1.46E+00	1.30E+00
WIDE01010112T	1.99E+00	2.46E+00	1.54E+00
WIDE01010092T	7.63E-01	1.29E+00	1.07E+00
WIDE01010119T	1.46E+00	1.89E+00	1.29E+00
CPCT02170022T	4.43E-01	8.73E-01	7.57E-01
WIDE01010120T	3.83E-01	9.17E-01	8.53E-01
WIDE01010127T	6.87E+00	5.26E+00	8.32E+00
CPCT02300036T	2.18E+00	2.46E+00	1.58E+00
WIDE01010146T	4.68E-01	1.12E+00	1.12E+00
CPCT02070309T	5.41E-01	1.17E+00	1.13E+00
WIDE01010157T	3.27E+00	3.45E+00	4.29E+00
WIDE01010170T	1.16E+00	1.32E+00	9.86E-01
CPCT02020696T	4.02E-01	1.08E+00	1.02E+00
CPCT02030471T	4.72E-01	7.63E-01	7.12E-01
CPCT02130032T	3.70E-01	9.62E-01	8.93E-01
CPCT02070310T	3.35E+00	3.63E+00	1.16E+00
WIDE01010164T	1.32E+00	2.06E+00	1.92E+00
WIDE01010190T	5.80E-01	1.23E+00	1.23E+00
WIDE01010182T	2.24E+00	3.11E+00	2.58E+00
DRUP01050040TII	3.39E+00	3.96E+00	2.48E+00
WIDE01010225T	1.79E+00	2.31E+00	1.46E+00
CPCT02050348T	9.52E-01	1.70E+00	1.64E+00
WIDE01010275T	9.57E-01	1.61E+00	1.36E+00
CPCT02010810T	8.44E-01	1.11E+00	8.93E-01
CPCT02060206T	5.21E+00	4.85E+00	6.66E+00
WIDE01010284T	7.38E-01	1.27E+00	1.03E+00
WIDE01010330T	7.65E-01	1.36E+00	1.05E+00
WIDE01010312T	5.27E+00	4.22E+00	6.45E+00
WIDE01010317T	1.87E+00	2.26E+00	1.63E+00
WIDE01010337T	1.80E+00	2.75E+00	2.42E+00
CPCT02220043T	3.24E+00	4.51E+00	3.37E+00
CPCT02130094T	1.64E+00	2.47E+00	1.72E+00
WIDE01010329T	3.72E+00	4.35E+00	4.95E+00
WIDE01010331T	6.25E-01	9.39E-01	7.41E-01
CPCT02010828T	2.00E+00	2.86E+00	3.22E+00
WIDE01010101T	3.39E+00	3.79E+00	3.86E+00
WIDE01010349T	3.82E-01	1.29E+00	1.23E+00
WIDE01010342T	9.12E-01	1.34E+00	1.10E+00
WIDE01010359T	4.16E-01	8.55E-01	8.39E-01
WIDE01010370T	4.13E-01	1.19E+00	1.24E+00
WIDE01010369T	1.48E+00	1.78E+00	9.73E-01
CPCT02340084T	1.61E+00	2.44E+00	2.25E+00
DRUP01030015T	1.89E+00	2.87E+00	2.45E+00
CPCT02060236T	5.24E-01	1.05E+00	9.44E-01
CPCT02120125T	2.69E+00	3.16E+00	3.94E+00
CPCT02230098T	2.04E+00	2.08E+00	9.26E-01
DRUP01090015T	1.84E-01	8.75E-01	8.96E-01
WIDE01010401T	9.30E-01	1.76E+00	1.58E+00
CPCT02230105T	4.30E-01	1.06E+00	1.09E+00
CPCT02080223T	8.85E-01	1.49E+00	1.11E+00
CPCT02020730T	6.44E-01	1.93E+00	1.99E+00
CPCT02010831T	2.91E+00	3.19E+00	4.25E+00
WIDE01010428T	8.83E-01	1.15E+00	1.01E+00
CPCT02290039T	3.64E+00	4.00E+00	1.70E+00
CPCT02010843T	7.08E-01	8.90E-01	6.39E-01
CPCT02130103T	1.23E+00	1.71E+00	1.43E+00
CPCT02070337T	1.00E+00	1.50E+00	1.31E+00
WIDE01010440T	5.06E-01	1.15E+00	1.20E+00
WIDE01010404T	1.93E+00	2.37E+00	1.39E+00
CPCT02080229T	1.05E+00	1.83E+00	1.76E+00
CPCT02050363T	1.51E+00	2.17E+00	1.40E+00
CPCT02040250T	9.39E-01	1.06E+00	7.37E-01
CPCT02040251T	9.12E-01	1.74E+00	1.80E+00
CPCT02260022T	2.68E+00	2.89E+00	1.35E+00
CPCT02340090T	1.78E+00	2.10E+00	1.18E+00
CPCT02450013T	7.51E-01	1.03E+00	7.27E-01
CPCT02070347T	1.75E+00	2.18E+00	1.62E+00
CPCT02060140T	4.41E-01	1.12E+00	1.12E+00
CPCT02020720T	2.22E-01	7.07E-01	6.72E-01
CPCT02230109T	3.25E+00	3.42E+00	1.37E+00
DRUP01090019T	2.33E+00	3.09E+00	2.02E+00
CPCT02120144T	4.83E-01	1.32E+00	1.31E+00
CPCT02080240T	1.94E+00	2.60E+00	2.15E+00
CPCT02130125T	1.02E+00	1.57E+00	1.16E+00
CPCT02070355T	4.10E-01	9.10E-01	9.05E-01
CPCT02010872T	4.04E-01	9.49E-01	9.16E-01
CPCT02010878T	1.08E+00	1.84E+00	1.43E+00
CPCT02090054T	4.92E+00	5.64E+00	3.44E+00
CPCT02330117T	2.27E+00	2.72E+00	1.54E+00
CPCT02170031T	4.15E+00	4.48E+00	1.21E+00
CPCT02020765T	5.37E-01	1.06E+00	9.72E-01
CPCT02010851T	2.75E-01	7.97E-01	8.20E-01
CPCT02020756T	5.46E-01	1.41E+00	1.32E+00
DRUP01170001T	3.04E+00	3.83E+00	2.08E+00
WIDE01010617T	1.82E+00	2.43E+00	1.40E+00
WIDE01010627T	4.55E-01	1.05E+00	9.92E-01
CPCT02030502T	8.24E-01	1.44E+00	1.45E+00
CPCT02030507T	1.41E+00	1.52E+00	9.02E-01
WIDE01010595T	2.99E+00	3.17E+00	1.25E+00
CPCT02040273T	7.17E-01	1.31E+00	1.24E+00
CPCT02030520T	1.25E+00	1.61E+00	1.13E+00
