Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP109953	9.83E-01	1.32E+00	4.48E-01	1.06E+00	8.07E-01
SP107650	9.81E-01	1.58E+00	6.64E-01	1.12E+00	1.10E+00
SP13206	1.30E+00	1.43E+00	8.29E-01	9.98E-01	1.02E+00
SP13078	1.01E+00	1.67E+00	1.00E+00	1.08E+00	1.10E+00
SP107607	8.58E-01	1.50E+00	7.71E-01	1.10E+00	9.74E-01
SP109941	7.22E-01	1.31E+00	5.80E-01	8.27E-01	7.51E-01
SP109801	1.16E+00	1.67E+00	7.98E-01	1.12E+00	1.05E+00
SP13072	5.64E-01	1.41E+00	8.53E-01	1.51E+00	1.53E+00
SP107595	1.29E+00	2.27E+00	5.65E-01	1.92E+00	1.50E+00
SP107640	9.00E-01	1.43E+00	8.45E-01	8.71E-01	6.08E-01
SP13084	1.02E+00	1.73E+00	6.89E-01	1.50E+00	1.32E+00
SP107603	5.80E-01	1.34E+00	9.19E-01	9.69E-01	9.34E-01
SP109957	8.88E-01	2.04E+00	1.35E+00	2.73E+00	2.29E+00
SP114020	1.29E+00	2.15E+00	8.80E-01	1.93E+00	1.63E+00
SP96540	8.05E-01	1.17E+00	5.92E-01	7.41E-01	6.51E-01
SP114032	8.57E-01	1.31E+00	8.01E-01	1.07E+00	1.15E+00
SP107624	5.35E-01	1.02E+00	5.74E-01	9.20E-01	8.42E-01
SP107575	1.01E+00	1.54E+00	9.94E-01	1.48E+00	1.71E+00
SP13242	8.35E-01	1.39E+00	7.17E-01	1.15E+00	1.41E+00
SP114016	7.04E-01	1.37E+00	7.83E-01	1.09E+00	9.57E-01
CPCT02070011T	3.01E+00	1.33E+01	2.46E+00	3.12E+01	3.53E+01
CPCT02020317T	5.34E-01	1.15E+00	9.53E-01	1.75E+00	1.68E+00
CPCT02010352T	1.57E-01	6.37E-01	6.82E-01	7.90E-01	5.44E-01
CPCT02010362T	4.60E-01	7.98E-01	8.01E-01	9.39E-01	5.30E-01
CPCT02010366T	1.10E-01	3.77E-01	2.97E-01	5.07E-01	3.13E-01
CPCT02010383T	4.00E-01	5.87E-01	7.48E-01	1.01E+00	8.70E-01
CPCT02050049T	4.87E-01	1.02E+00	1.03E+00	1.23E+00	5.84E-01
CPCT02020350T	4.12E-01	1.31E+00	1.03E+00	1.40E+00	8.35E-01
CPCT02060023T	9.93E-01	2.63E+00	1.45E+00	2.33E+00	1.88E+00
CPCT02080030T	2.19E+00	3.09E+00	4.34E+00	3.73E+00	2.25E+00
CPCT02060010T	1.69E+00	2.08E+00	2.03E+00	2.66E+00	1.99E+00
CPCT02040037T	3.31E+00	3.89E+01	1.04E+00	5.10E+00	4.34E+01
CPCT02070018T	9.60E-01	1.86E+00	1.21E+00	2.23E+00	1.91E+00
CPCT02080041T	5.93E-01	1.52E+00	2.48E+00	2.52E+00	2.10E+00
CPCT02070029T	2.22E+00	2.89E+00	1.47E+00	3.89E+00	4.57E+00
CPCT02060033T	1.11E+00	2.15E+00	1.45E+00	2.42E+00	1.66E+00
CPCT02020399T	3.25E+00	4.79E+00	2.24E+00	3.31E+00	2.03E+00
CPCT02140024T	6.81E+00	8.87E+00	1.71E+00	2.90E+00	4.76E+00
CPCT02080050T	7.86E-01	1.19E+00	1.27E+00	1.32E+00	9.72E-01
CPCT02030293T	9.64E-01	1.51E+00	1.20E+00	1.32E+00	1.20E+00
CPCT02010441T	2.35E+01	7.12E+00	6.15E+00	7.18E+00	2.43E+01
CPCT02090030T	1.86E+00	3.01E+00	8.94E-01	1.91E+00	1.62E+00
CPCT02010718T	1.17E+00	2.28E+00	6.41E-01	1.85E+00	1.07E+00
CPCT02020653T	6.93E-01	1.40E+00	1.14E+00	1.60E+00	8.69E-01
CPCT02340008TII	7.70E-01	1.51E+00	8.36E-01	1.62E+00	8.05E-01
CPCT02020876T	6.18E-01	9.86E-01	1.08E+00	1.39E+00	6.05E-01
CPCT02370016T	9.41E-01	1.78E+00	1.65E+00	2.02E+00	7.76E-01
CPCT02070275T	9.99E-01	2.39E+00	8.25E-01	1.87E+00	8.30E-01
CPCT02011028T	2.25E+00	2.48E+00	1.69E+00	2.36E+00	1.56E+00
CPCT02230072T	2.20E+01	3.01E+01	9.00E+00	1.52E+01	1.42E+01
CPCT02130028T	1.36E+00	2.33E+00	7.05E-01	1.74E+00	9.54E-01
CPCT02060182T	5.04E-01	8.07E-01	8.62E-01	9.55E-01	5.46E-01
CPCT02020657T	2.30E-01	1.03E+00	8.72E-01	1.32E+00	7.62E-01
DRUP01090026T	5.23E-01	1.38E+00	1.16E+00	1.48E+00	1.24E+00
CPCT02130029T	2.17E-01	6.25E-01	7.79E-01	9.26E-01	3.84E-01
