Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP109953	51	290	0	33	0	12	8
SP107650	48	228	9	30	0	28	8
SP13206	157	95	25	48	0	22	11
SP13078	74	200	45	66	0	28	7
SP107607	44	131	47	63	0	21	9
SP109941	42	95	4	35	5	18	11
SP109801	155	142	23	34	0	32	9
SP13072	17	124	41	94	9	26	0
SP107595	118	296	0	269	0	29	0
SP107640	49	189	34	23	0	6	0
SP13084	51	259	4	72	0	30	1
SP107603	28	132	37	50	3	19	9
SP109957	46	207	84	107	34	50	18
SP114020	127	314	23	110	25	41	12
SP96540	54	124	22	14	5	9	0
SP114032	25	207	16	35	9	17	0
SP107624	17	72	12	45	3	16	0
SP107575	86	97	24	75	0	32	0
SP13242	47	131	20	29	3	38	2
SP114016	20	199	25	52	1	15	0
CPCT02070011T	72	659	89	243	105	1304	12
CPCT02020317T	13	55	63	3	116	44	13
CPCT02010352T	0	13	18	4	56	9	8
CPCT02010362T	12	13	35	19	46	6	11
CPCT02010366T	0	0	5	3	32	4	7
CPCT02010383T	6	1	18	0	103	18	1
CPCT02050049T	12	36	52	34	75	3	10
CPCT02020350T	6	58	47	85	68	15	3
CPCT02060023T	41	337	58	346	56	52	17
CPCT02080030T	77	202	2024	73	413	35	49
CPCT02060010T	233	115	269	210	92	70	46
CPCT02040037T	0	55	0	0	34	0	2077
CPCT02070018T	38	174	51	327	88	52	7
CPCT02080041T	13	47	178	490	127	51	5
CPCT02070029T	453	46	89	133	46	145	43
CPCT02060033T	111	138	80	80	187	93	61
CPCT02020399T	822	556	259	121	159	46	110
CPCT02140024T	4520	1240	9	67	114	150	0
CPCT02080050T	29	41	73	65	151	23	0
CPCT02030293T	46	117	64	27	99	48	18
CPCT02010441T	76362	0	433	72	52	0	0
CPCT02090030T	326	340	6	29	162	52	6
CPCT02010718T	72	418	0	0	183	27	17
CPCT02020653T	22	119	32	95	209	16	6
CPCT02340008TII	30	115	0	0	224	8	16
CPCT02020876T	19	29	56	83	38	14	20
CPCT02370016T	44	115	110	108	176	15	17
CPCT02070275T	38	405	0	4	186	16	1
CPCT02011028T	363	192	98	258	75	51	37
CPCT02230072T	26802	7280	2064	754	1008	686	672
CPCT02130028T	144	285	0	0	201	22	11
CPCT02060182T	14	14	32	0	97	9	10
CPCT02020657T	0	57	19	6	173	20	11
