Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP109953	51	281	0	25	0	11	11	15
SP107650	48	221	10	27	0	27	10	8
SP13206	156	93	23	44	0	22	12	8
SP13078	74	194	44	62	0	27	10	9
SP107607	43	128	45	58	0	21	11	9
SP109941	42	93	4	37	4	18	12	0
SP109801	154	137	23	25	0	31	10	15
SP13072	16	120	37	74	7	24	0	33
SP107595	121	295	0	257	0	32	0	7
SP107640	49	184	34	24	1	6	3	0
SP13084	52	252	4	71	0	30	5	3
SP107603	28	124	36	40	3	18	10	19
SP109957	43	192	77	58	27	43	16	90
SP114020	124	298	21	83	22	38	13	53
SP96540	54	122	21	15	4	8	0	4
SP114032	25	202	16	26	8	15	0	17
SP107624	17	70	11	48	3	16	0	0
SP107575	85	93	21	62	0	31	0	22
SP13242	46	126	20	25	4	37	3	9
SP114016	19	193	24	40	2	14	2	18
CPCT02070011T	68	629	85	182	117	1247	15	141
CPCT02020317T	13	52	62	22	93	41	14	10
CPCT02010352T	0	12	17	11	43	8	8	9
CPCT02010362T	11	11	34	22	38	5	11	10
CPCT02010366T	0	0	5	7	27	3	6	3
CPCT02010383T	6	1	22	0	95	20	3	0
CPCT02050049T	11	34	51	49	59	3	11	4
CPCT02020350T	5	54	44	100	55	15	5	4
CPCT02060023T	40	323	48	323	46	52	22	53
CPCT02080030T	79	197	2001	172	338	31	55	0
CPCT02060010T	229	106	256	180	75	66	46	77
CPCT02040037T	0	0	0	0	67	0	2099	0
CPCT02070018T	37	165	41	334	71	53	12	24
CPCT02080041T	11	31	163	533	97	54	12	10
CPCT02070029T	453	44	82	132	39	141	43	21
CPCT02060033T	107	128	76	74	149	85	58	73
CPCT02020399T	817	538	250	180	125	44	119	0
CPCT02140024T	4487	1252	15	70	108	147	0	21
CPCT02080050T	28	38	70	99	120	22	1	4
CPCT02030293T	45	112	62	37	80	45	18	20
CPCT02010441T	75923	0	582	231	9	142	32	0
CPCT02090030T	324	334	7	56	135	49	10	6
CPCT02010718T	71	411	0	26	155	26	21	7
CPCT02020653T	21	115	29	138	171	15	9	1
CPCT02340008TII	31	117	0	7	200	10	20	8
CPCT02020876T	18	26	53	83	31	14	21	13
CPCT02370016T	44	109	106	148	142	14	22	0
CPCT02070275T	37	394	0	31	154	14	5	15
CPCT02011028T	362	182	89	247	59	50	40	45
CPCT02230072T	26472	7263	2033	562	883	649	713	691
CPCT02130028T	147	286	2	10	178	23	17	0
CPCT02060182T	14	13	33	9	82	9	11	5
CPCT02020657T	0	54	19	38	139	17	11	8
DRUP01090026T	14	68	59	67	49	29	9	19
CPCT02130029T	2	3	29	14	93	0	9	0
CPCT02340010TII	256	11	0	47	264	2174	24	0
DRUP01020022T	8	34	49	56	59	14	13	32
CPCT02120103T	28	342	0	96	109	29	8	10
CPCT02300030T	66	338	13	75	131	8	6	4
CPCT02150044T	13	79	41	61	35	16	25	6
CPCT02020920T	8	12	64	138	56	15	31	21
CPCT02080192T	13	227	24	20	200	23	10	15
CPCT02130170T	100	0	161	71	30	1141	44	0
CPCT02260014T	950	821	13	90	116	57	267	15
CPCT02020922T	0	34	41	53	32	10	18	55
CPCT02011072T	11	38	21	48	21	14	20	0
CPCT02010758T	0	35	34	165	168	19	14	7
WIDE01010006T	0	13	12	2	47	10	22	27
CPCT02040220T	10	146	0	131	101	22	20	20
CPCT02100157T	245	513	1	57	156	73	6	27
CPCT02230088T	305	0	7290	347	240	168	305	0
CPCT02130178T	12	34	60	102	38	38	14	27
WIDE01010017T	70	167	80	81	63	40	18	54
WIDE01010025T	12	33	50	22	60	16	22	2
WIDE01010028T	229	199	165	410	83	115	52	104
WIDE01010012T	65	140	0	858	39	0	8	2
WIDE01010031T	500	610	74	62	32	30	902	33
CPCT02020956T	2	22	22	25	30	1	21	29
CPCT02010774T	4	51	42	111	62	4	5	0
CPCT02010756T	13	3	32	36	136	5	13	19
WIDE01010045T	12	59	19	211	51	15	19	20
CPCT02080204T	7	17	42	33	80	13	8	36
WIDE01010037T	711	1259	24	0	67	85	107	72
WIDE01010056T	192	520	4	53	82	45	34	87
CPCT02070298T	216	410	28	27	42	30	23	26
WIDE01010594T	12	107	41	69	49	31	20	14
WIDE01010078T	5	6	131	479	45	36	26	27
CPCT02130054T	44	180	51	35	166	37	0	24
CPCT02040228T	16	112	9	49	118	17	24	12
WIDE01010051T	11	47	86	43	77	69	82	23
CPCT02050319T	11	0	27	0	165	55	3	28
CPCT02020689T	4	116	0	179	162	9	2	29
WIDE01010043T	30	68	49	117	31	18	12	14
WIDE01010112T	254	290	68	344	61	53	23	33
WIDE01010092T	18	103	23	34	52	9	28	11
WIDE01010119T	117	200	58	83	32	85	45	18
CPCT02170022T	7	86	13	35	170	18	0	4
WIDE01010120T	3	40	35	50	41	11	5	21
WIDE01010127T	383	362	4426	217	19	110	138	41
CPCT02300036T	76	529	91	171	86	26	11	18
WIDE01010146T	10	22	60	168	16	7	13	2
CPCT02070309T	14	43	48	106	116	11	13	3
WIDE01010157T	134	191	1980	212	46	49	78	86
WIDE01010170T	78	110	36	33	42	13	17	22
CPCT02020696T	8	40	40	97	127	6	4	6
CPCT02030471T	7	68	0	25	332	24	0	6
CPCT02130032T	8	18	34	82	186	22	5	12
CPCT02070310T	441	412	0	71	107	8	1116	13
WIDE01010164T	72	146	151	232	56	0	108	31
WIDE01010190T	13	52	80	35	40	0	17	11
WIDE01010182T	343	392	148	424	74	65	114	15
DRUP01050040TII	664	595	253	0	143	15	142	27
WIDE01010225T	123	192	95	51	94	19	26	0
CPCT02050348T	44	53	139	102	69	5	16	0
WIDE01010275T	31	129	69	368	49	33	18	41
CPCT02010810T	18	84	29	25	88	15	14	6
CPCT02060206T	125	111	3764	150	269	29	140	0
WIDE01010284T	15	91	38	0	41	7	8	21
WIDE01010330T	11	75	41	51	21	14	8	9
WIDE01010312T	178	68	3636	163	58	69	123	93
WIDE01010317T	253	315	37	983	46	14	79	22
WIDE01010337T	52	409	381	171	82	16	55	0
CPCT02220043T	473	599	354	30	229	15	372	287
CPCT02130094T	67	518	21	507	90	47	23	36
WIDE01010329T	324	412	1937	418	82	36	83	0
WIDE01010331T	12	74	12	52	45	15	25	20
CPCT02010828T	87	255	898	123	107	24	20	0
WIDE01010101T	118	424	1999	130	48	63	93	57
WIDE01010349T	3	38	79	89	43	1	16	10
WIDE01010342T	14	221	33	62	44	18	22	15
WIDE01010359T	6	23	36	18	49	16	16	17
WIDE01010370T	13	0	61	125	34	20	7	7
WIDE01010369T	7	367	0	62	40	25	5	12
CPCT02340084T	121	253	373	160	64	15	26	5
DRUP01030015T	59	330	275	0	53	27	33	256
CPCT02060236T	10	74	26	25	145	20	6	14
CPCT02120125T	75	107	1781	57	59	36	74	55
CPCT02230098T	2303	124	0	0	150	35	46	24
DRUP01090015T	0	0	24	24	98	27	12	16
WIDE01010401T	50	75	97	166	59	68	12	0
CPCT02230105T	10	9	47	49	101	4	12	0
CPCT02080223T	36	81	0	685	143	10	14	20
CPCT02020730T	19	59	168	358	158	19	14	0
CPCT02010831T	280	116	1429	344	92	28	147	0
WIDE01010428T	26	80	29	30	47	13	12	18
CPCT02290039T	1282	1018	33	90	242	35	79	73
CPCT02010843T	38	31	11	61	169	14	5	6
CPCT02130103T	48	356	25	227	174	17	0	54
CPCT02070337T	59	43	39	485	144	19	45	0
WIDE01010440T	3	56	44	104	39	8	25	11
WIDE01010404T	199	298	77	13	119	25	29	26
CPCT02080229T	38	82	290	76	121	42	31	0
CPCT02050363T	76	288	78	24	192	39	29	5
CPCT02040250T	35	142	2	81	116	5	14	4
CPCT02040251T	36	57	205	66	128	25	9	0
CPCT02260022T	407	535	9	50	49	32	60	13
CPCT02340090T	135	299	28	29	49	32	26	45
CPCT02450013T	30	101	13	68	116	38	2	14
CPCT02070347T	85	378	76	315	130	60	32	12
CPCT02060140T	7	54	72	32	91	17	8	17
CPCT02020720T	1	38	15	23	78	10	0	13
CPCT02230109T	422	755	0	20	171	48	102	0
DRUP01090019T	318	355	146	133	79	71	25	81
CPCT02120144T	15	13	37	183	36	0	10	18
CPCT02080240T	51	372	267	131	33	11	18	0
CPCT02130125T	47	115	56	122	72	51	24	21
