MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	8.34E-05	1.37E-03	6.81E-04	8.67E-04	8.72E-03	1.64E-03	1.46E-04	1.01E-03	9.83E-04
1:Del:C:1	3.52E-05	3.04E-04	3.44E-04	4.12E-04	2.48E-03	5.80E-04	9.97E-05	2.35E-04	5.87E-04
1:Del:C:2	4.30E-05	1.19E-04	2.89E-04	2.65E-04	4.65E-04	2.33E-04	6.25E-05	1.45E-04	1.69E-04
1:Del:C:3	8.96E-05	8.78E-05	1.23E-04	1.85E-04	3.36E-04	1.70E-04	4.05E-05	8.88E-05	2.03E-04
1:Del:C:4	3.17E-04	4.80E-06	1.75E-04	1.11E-04	1.56E-03	5.77E-05	8.83E-06	3.32E-04	4.15E-05
1:Del:C:5	7.61E-04	5.53E-05	2.93E-04	1.64E-05	4.35E-03	1.52E-04	1.33E-04	8.25E-04	7.68E-06
1:Del:T:0	3.24E-05	4.63E-04	1.80E-04	1.24E-03	3.66E-03	7.89E-04	1.04E-04	3.20E-04	1.38E-03
1:Del:T:1	6.33E-05	2.77E-04	1.33E-04	1.14E-03	2.25E-03	5.91E-04	1.09E-04	3.31E-04	1.22E-03
1:Del:T:2	4.55E-05	2.51E-04	1.24E-04	1.02E-03	2.30E-03	5.61E-04	7.67E-05	3.35E-04	1.17E-03
1:Del:T:3	1.58E-04	3.37E-04	1.40E-04	6.24E-04	2.36E-03	5.56E-04	1.17E-04	5.37E-04	1.19E-03
1:Del:T:4	2.36E-04	2.13E-04	8.91E-05	3.95E-04	1.05E-03	3.91E-04	1.51E-04	3.22E-04	5.84E-04
1:Del:T:5	5.75E-03	1.26E-03	7.43E-04	6.43E-04	6.20E-03	3.07E-47	1.62E-03	3.58E-03	1.93E-04
1:Ins:C:0	3.36E-05	1.22E-05	1.37E-04	1.40E-47	3.66E-05	4.38E-10	4.58E-05	3.47E-03	3.02E-03
1:Ins:C:1	4.89E-06	6.53E-05	4.35E-05	1.16E-04	4.76E-04	1.57E-04	6.51E-05	2.13E-04	1.99E-04
1:Ins:C:2	6.17E-06	3.88E-05	3.54E-05	9.58E-05	2.62E-04	1.20E-04	5.34E-05	1.17E-04	1.92E-04
1:Ins:C:3	1.14E-05	4.79E-05	3.53E-05	5.32E-05	1.12E-04	1.14E-04	1.56E-05	2.11E-04	3.74E-04
1:Ins:C:4	4.73E-05	5.52E-05	3.72E-05	3.68E-05	2.52E-04	9.92E-05	2.16E-06	1.15E-04	1.45E-04
