Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.92,0.88,NO,N/A,478500.0%,51.5%,104.9%,45.93%,102.81,0.2553,0.9811,0.119,0.576,0.854,0.188
3,1.0,1.0,NO,N/A,262100.0%,45.0%,102.85%,35.57%,117.67,0.2131,0.9702,0.092,0.634,0.887,0.16
4,0.95,0.84,NO,N/A,61500.0%,36.05%,87.62%,24.15%,89.55,0.1724,0.6866,0.056,0.437,0.929,0.384
5,0.96,0.8,YES,1.56e-10,39400.0%,31.62%,82.94%,21.49%,89.87,0.1484,0.6664,0.04,0.434,0.95,0.392
6,0.77,-0.22,NO,N/A,35200.0%,30.84%,81.04%,19.51%,89.18,0.1373,0.6041,0.031,0.436,0.959,0.383
7,0.89,0.61,NO,N/A,31200.0%,28.46%,70.46%,16.98%,75.39,0.1208,0.5214,0.023,0.294,0.971,0.594
8*,0.94,0.74,YES,Most Stab Sigs,29500.0%,26.7%,68.09%,16.32%,55.21,0.1139,0.5147,0.021,0.165,0.973,0.774
9,0.87,0.07,NO,N/A,33700.0%,25.1%,69.15%,14.83%,54.55,0.1076,0.5219,0.018,0.161,0.977,0.778
10,0.83,-0.25,NO,N/A,29000.0%,25.16%,64.73%,14.4%,47.84,0.1082,0.4926,0.017,0.121,0.978,0.837
11,0.81,-0.31,NO,N/A,29600.0%,22.38%,63.79%,13.3%,46.15,0.1002,0.4822,0.014,0.113,0.981,0.845
12,0.8,-0.34,NO,N/A,35600.0%,21.87%,62.63%,12.63%,46.14,0.0982,0.459,0.014,0.113,0.982,0.845
13,0.84,-0.17,NO,N/A,24200.0%,20.97%,59.27%,12.12%,45.81,0.0921,0.4415,0.012,0.111,0.984,0.848
14,0.85,-0.1,NO,N/A,21000.0%,19.61%,59.99%,11.23%,44.73,0.0882,0.4526,0.011,0.106,0.985,0.855
15,0.82,0.15,NO,N/A,16700.0%,19.01%,59.73%,10.99%,43.19,0.0852,0.4326,0.011,0.097,0.986,0.868
16,0.77,-0.42,NO,N/A,16100.0%,18.79%,59.07%,10.72%,42.77,0.0838,0.4314,0.01,0.095,0.986,0.87
17,0.72,-0.53,NO,N/A,16600.0%,18.17%,60.4%,10.33%,42.72,0.0815,0.4368,0.01,0.095,0.987,0.871
18,0.67,-0.46,NO,N/A,15700.0%,17.9%,58.59%,10.13%,42.6,0.0806,0.4371,0.009,0.094,0.988,0.872
19,0.63,-0.52,NO,N/A,15400.0%,17.56%,58.91%,9.73%,42.5,0.0795,0.4408,0.009,0.094,0.988,0.872
20,0.59,-0.48,NO,N/A,15300.0%,17.64%,59.44%,9.73%,41.99,0.0789,0.4417,0.009,0.091,0.988,0.876
