MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	1.56E-03	1.09E-04	1.90E-03	6.33E-03	2.20E-03	4.65E-03	1.18E-03	9.50E-04	4.95E-03	7.87E-03	9.95E-03	4.06E-03	5.09E-03	5.22E-03	2.60E-03
1:Del:C:1	7.20E-04	5.23E-05	7.38E-04	4.29E-03	2.04E-03	3.00E-03	3.54E-04	5.97E-04	3.65E-03	4.70E-03	3.94E-03	2.68E-03	3.84E-03	3.03E-03	1.53E-03
1:Del:C:2	4.15E-04	3.74E-05	4.84E-04	2.17E-03	1.03E-03	1.45E-03	3.28E-04	3.30E-04	2.56E-03	2.64E-03	2.39E-03	1.54E-03	2.21E-03	2.08E-03	1.33E-03
1:Del:C:3	2.26E-04	2.64E-05	3.38E-04	1.41E-03	1.24E-03	9.01E-04	2.13E-04	2.68E-04	1.75E-03	1.98E-03	1.33E-03	6.27E-04	1.74E-03	1.56E-03	5.71E-04
1:Del:C:4	1.66E-04	6.93E-05	2.85E-04	1.16E-03	9.02E-04	1.02E-03	2.81E-04	2.07E-04	1.38E-03	1.97E-03	1.63E-03	4.54E-04	1.23E-03	8.80E-04	4.56E-04
1:Del:C:5	1.03E-04	3.01E-04	1.29E-04	7.40E-04	8.65E-04	5.13E-04	3.72E-04	3.15E-04	1.03E-03	9.92E-04	8.81E-04	5.00E-04	1.34E-03	1.02E-03	4.86E-04
1:Del:T:0	8.23E-04	8.63E-05	1.41E-03	4.66E-03	2.92E-03	2.70E-03	2.83E-04	9.90E-04	5.12E-03	4.01E-03	4.32E-03	3.99E-03	4.69E-03	3.86E-03	2.35E-03
1:Del:T:1	3.56E-04	7.01E-05	7.70E-04	3.68E-03	1.86E-03	2.07E-03	4.17E-04	6.73E-04	4.30E-03	3.41E-03	4.08E-03	1.63E-03	3.07E-03	1.98E-03	1.13E-03
1:Del:T:2	5.04E-04	1.23E-04	8.83E-04	3.36E-03	1.69E-03	1.63E-03	5.92E-04	3.52E-04	3.35E-03	2.62E-03	3.54E-03	1.66E-03	2.25E-03	2.35E-03	1.07E-03
1:Del:T:3	6.91E-04	2.07E-04	7.22E-04	3.83E-03	1.49E-03	2.91E-03	9.58E-04	3.13E-04	3.72E-03	2.56E-03	4.86E-03	1.61E-03	2.65E-03	2.12E-03	2.22E-03
1:Del:T:4	4.73E-04	4.11E-04	4.89E-04	2.82E-03	1.37E-03	2.58E-03	9.12E-04	1.08E-04	2.62E-03	2.59E-03	2.59E-03	2.25E-03	2.35E-03	2.60E-03	6.94E-04
1:Del:T:5	7.29E-04	5.21E-03	7.05E-04	4.09E-03	2.87E-03	3.38E-03	4.41E-03	8.02E-04	2.93E-03	4.05E-03	2.52E-03	3.08E-03	2.18E-03	3.84E-03	2.14E-03
1:Ins:C:0	4.51E-05	3.03E-04	3.38E-04	8.67E-04	4.68E-04	6.95E-04	5.27E-04	1.11E-04	5.85E-04	3.16E-04	1.16E-03	4.74E-04	7.62E-04	1.17E-03	8.03E-03
1:Ins:C:1	8.12E-05	6.25E-05	1.80E-04	6.37E-04	4.61E-04	4.94E-04	6.79E-05	1.13E-04	7.14E-04	7.28E-04	8.25E-04	4.95E-04	7.60E-04	6.31E-04	2.73E-03
1:Ins:C:2	4.93E-05	4.80E-05	1.06E-04	5.39E-04	3.67E-04	2.34E-04	1.62E-04	1.26E-04	4.47E-04	7.71E-04	5.02E-04	5.06E-04	5.10E-04	6.71E-04	5.49E-04
1:Ins:C:3	1.29E-05	1.45E-04	4.04E-05	1.84E-04	5.17E-04	1.67E-04	5.77E-05	2.13E-04	3.27E-04	7.59E-04	6.42E-04	1.43E-04	3.71E-04	3.99E-04	7.74E-04
1:Ins:C:4	1.40E-47	6.80E-04	2.97E-05	1.32E-04	2.27E-04	1.35E-04	2.57E-06	1.51E-04	4.76E-04	7.52E-04	4.05E-04	2.37E-04	2.42E-04	3.41E-04	6.38E-04
1:Ins:C:5	2.71E-06	4.38E-03	2.16E-05	3.59E-04	9.93E-04	1.62E-08	7.56E-05	4.05E-04	6.07E-04	3.42E-03	8.26E-04	8.22E-04	5.18E-04	1.43E-03	1.60E-03
1:Ins:T:0	3.23E-04	1.75E-04	4.48E-04	1.76E-03	1.29E-03	3.09E-04	4.64E-04	8.54E-04	1.49E-03	2.00E-03	3.03E-03	1.06E-03	2.22E-03	2.13E-03	2.24E-03
1:Ins:T:1	1.21E-04	7.91E-05	4.68E-04	1.83E-03	2.56E-03	1.03E-03	5.75E-05	5.94E-04	2.66E-03	4.67E-03	2.67E-03	2.10E-03	3.92E-03	2.28E-03	1.64E-03
1:Ins:T:2	2.96E-05	4.25E-04	1.17E-04	1.64E-03	9.36E-04	7.10E-04	2.31E-04	4.84E-04	1.93E-03	3.04E-03	1.71E-03	1.15E-03	2.22E-03	1.50E-03	1.01E-03
1:Ins:T:3	4.89E-05	3.53E-04	7.69E-05	1.12E-03	8.37E-04	4.77E-04	2.03E-04	3.51E-04	1.25E-03	2.04E-03	1.17E-03	9.25E-04	1.64E-03	1.10E-03	6.01E-04
1:Ins:T:4	3.75E-05	4.59E-04	8.52E-05	6.57E-04	1.58E-03	2.62E-04	2.89E-04	1.98E-04	4.73E-04	9.44E-04	9.52E-04	9.63E-04	1.12E-03	1.43E-03	1.74E-04
1:Ins:T:5	2.85E-04	1.23E-02	8.31E-04	4.22E-03	1.78E-02	1.51E-03	4.16E-03	6.63E-04	5.70E-03	7.19E-03	2.14E-03	7.43E-03	1.07E-02	1.17E-02	1.02E-03
2:Del:R:0	3.17E-04	4.25E-05	1.64E-04	2.39E-03	1.31E-03	1.14E-03	4.29E-04	5.20E-04	2.23E-03	3.04E-03	2.29E-03	2.06E-03	2.33E-03	2.44E-03	6.79E-04
2:Del:R:1	1.38E-04	3.00E-05	5.60E-04	2.15E-03	1.39E-03	1.01E-03	5.32E-04	2.95E-04	2.68E-03	2.33E-03	2.74E-03	2.61E-03	2.15E-03	2.87E-03	1.33E-03
2:Del:R:2	7.90E-05	2.72E-05	1.14E-04	1.04E-03	7.25E-04	5.91E-04	2.81E-04	1.77E-04	1.36E-03	1.36E-03	1.14E-03	1.54E-03	1.04E-03	8.88E-04	7.18E-04
2:Del:R:3	3.68E-05	2.63E-05	2.78E-05	5.44E-04	1.82E-04	1.10E-04	1.97E-04	3.35E-04	6.82E-04	4.27E-04	1.19E-03	6.63E-04	4.86E-04	9.52E-04	6.31E-04
2:Del:R:4	2.62E-06	5.76E-05	9.16E-06	1.61E-04	1.48E-04	1.29E-04	1.56E-04	1.64E-04	3.42E-04	3.17E-04	3.98E-04	3.30E-04	3.70E-04	5.16E-04	4.49E-04
2:Del:R:5	1.34E-09	1.25E-04	3.83E-06	8.41E-47	2.36E-03	2.91E-10	8.26E-05	1.11E-04	1.45E-03	1.90E-04	8.75E-04	2.39E-04	2.44E-03	6.27E-03	3.06E-03
3:Del:R:0	2.42E-04	2.75E-06	1.80E-04	1.59E-03	7.91E-04	4.19E-04	1.06E-04	2.08E-04	1.43E-03	1.41E-03	1.81E-03	1.18E-03	1.22E-03	1.89E-03	1.15E-03
3:Del:R:1	2.39E-04	7.94E-05	2.48E-04	2.08E-03	1.52E-03	8.22E-04	4.92E-04	3.57E-04	2.37E-03	2.04E-03	2.33E-03	2.42E-03	2.06E-03	1.86E-03	6.26E-04
3:Del:R:2	8.57E-07	1.90E-05	4.44E-05	9.40E-04	6.19E-04	1.35E-04	1.72E-04	4.02E-05	1.01E-03	8.40E-04	8.60E-04	1.66E-03	8.30E-04	9.25E-04	1.98E-04
3:Del:R:3	7.83E-06	4.08E-06	9.73E-06	3.37E-04	1.46E-04	1.62E-04	6.30E-05	1.36E-04	1.96E-04	1.94E-04	5.03E-04	3.10E-04	1.71E-04	5.42E-04	2.47E-04
3:Del:R:4	5.64E-09	1.93E-10	2.65E-05	1.69E-04	3.22E-04	0.00E+00	2.44E-05	3.17E-05	2.29E-04	6.25E-05	9.74E-05	2.71E-04	3.19E-04	4.71E-04	2.94E-05
3:Del:R:5	4.92E-06	2.74E-10	2.06E-05	1.05E-04	2.47E-04	3.87E-05	4.00E-06	8.30E-06	2.93E-04	1.20E-04	6.14E-05	2.38E-04	2.37E-04	5.12E-04	9.08E-05
4:Del:R:0	2.27E-04	8.18E-06	1.56E-04	2.18E-03	7.54E-04	1.93E-04	2.37E-05	4.11E-04	2.24E-03	1.22E-03	1.35E-03	1.34E-03	1.25E-03	2.08E-03	5.72E-04
4:Del:R:1	1.99E-04	1.64E-05	3.36E-04	1.15E-03	1.71E-03	6.19E-04	4.93E-04	2.46E-04	2.76E-03	1.74E-03	1.89E-03	2.96E-03	1.95E-03	2.91E-03	1.11E-03
4:Del:R:2	4.79E-05	1.24E-05	1.68E-05	7.00E-04	5.19E-04	2.21E-04	1.19E-04	2.60E-04	6.74E-04	6.43E-04	7.52E-04	1.19E-03	8.17E-04	8.13E-04	3.87E-04
4:Del:R:3	7.83E-06	4.20E-10	1.48E-06	2.55E-04	4.41E-04	5.51E-06	3.45E-05	5.24E-05	5.12E-04	4.34E-04	6.72E-04	2.90E-04	6.34E-04	1.55E-03	3.12E-04
4:Del:R:4	0.00E+00	1.26E-05	1.43E-05	1.61E-04	1.40E-04	6.48E-05	2.11E-05	2.76E-05	1.38E-04	2.23E-04	2.39E-04	3.25E-04	2.20E-04	3.02E-04	4.55E-05
4:Del:R:5	4.13E-06	6.51E-11	8.15E-06	7.62E-05	5.10E-05	1.49E-05	3.30E-05	3.89E-05	1.08E-04	1.55E-04	1.66E-04	1.78E-04	1.40E-04	2.01E-04	1.20E-04
5:Del:R:0	2.71E-03	3.93E-05	4.19E-03	4.98E-03	9.23E-04	8.46E-04	2.86E-05	2.88E-03	9.42E-03	1.97E-03	1.15E-03	1.99E-03	2.33E-03	2.58E-03	8.60E-04
5:Del:R:1	2.59E-04	5.84E-06	1.58E-04	2.46E-03	1.16E-03	8.38E-05	2.23E-04	6.11E-04	1.62E-03	1.00E-03	2.85E-03	1.87E-03	2.09E-03	2.08E-03	1.51E-03
5:Del:R:2	0.00E+00	7.01E-06	6.93E-06	2.67E-04	3.22E-04	1.51E-05	7.05E-05	1.11E-04	4.06E-04	4.95E-04	6.93E-04	4.61E-04	4.35E-04	6.45E-04	1.27E-04
5:Del:R:3	7.63E-06	1.62E-05	0.00E+00	8.31E-05	9.79E-05	2.29E-05	3.45E-05	3.96E-05	9.23E-05	6.14E-05	1.56E-04	1.35E-04	8.37E-05	2.61E-04	9.10E-05
5:Del:R:4	3.27E-09	2.16E-06	2.00E-07	7.74E-06	1.14E-05	8.45E-06	2.98E-05	1.01E-07	1.29E-05	2.05E-05	2.37E-05	1.22E-05	1.32E-05	4.91E-05	8.21E-07
5:Del:R:5	1.01E-06	1.84E-09	1.64E-06	8.39E-06	7.80E-06	6.67E-09	8.72E-06	2.68E-06	1.29E-05	2.72E-06	5.80E-06	1.93E-05	1.17E-05	2.21E-05	1.36E-05
2:Ins:R:0	6.85E-05	1.73E-04	0.00E+00	8.21E-04	4.52E-04	5.37E-05	5.90E-06	1.23E-03	3.69E-04	8.07E-04	4.64E-03	9.86E-04	1.21E-03	1.60E-03	4.18E-03
2:Ins:R:1	6.15E-06	3.83E-05	9.96E-05	7.66E-04	7.29E-04	3.32E-04	9.00E-05	3.48E-04	1.31E-03	1.27E-03	1.43E-03	4.75E-04	1.18E-03	1.28E-03	8.28E-04
2:Ins:R:2	3.36E-05	3.63E-05	7.25E-05	5.10E-04	6.77E-04	1.58E-04	6.69E-05	2.28E-04	9.21E-04	9.53E-04	9.05E-04	2.02E-04	7.69E-04	6.32E-04	4.04E-04
2:Ins:R:3	1.62E-05	2.09E-04	0.00E+00	2.74E-04	2.29E-04	4.92E-05	6.31E-05	2.32E-04	2.94E-04	3.47E-04	9.72E-04	2.21E-04	2.67E-04	5.41E-04	4.86E-04
2:Ins:R:4	9.90E-07	9.08E-04	8.46E-06	1.83E-04	2.32E-04	4.49E-05	7.74E-05	1.32E-04	2.27E-04	7.21E-04	5.65E-04	8.51E-05	2.15E-04	4.03E-04	5.66E-04
2:Ins:R:5	4.15E-05	2.37E-03	1.52E-05	4.67E-04	2.39E-03	2.46E-04	5.98E-04	5.86E-04	3.48E-04	6.24E-04	1.73E-03	5.69E-04	6.65E-04	8.88E-04	9.47E-04
3:Ins:R:0	9.58E-05	8.35E-06	1.32E-05	6.77E-04	9.38E-05	1.88E-05	3.96E-05	8.87E-04	5.90E-04	7.21E-04	2.71E-03	2.38E-04	7.07E-04	6.61E-04	2.05E-03
3:Ins:R:1	2.29E-06	3.41E-05	6.40E-05	8.68E-04	6.44E-04	1.38E-04	3.92E-05	3.32E-04	9.52E-04	9.68E-04	8.08E-04	4.58E-04	9.76E-04	1.04E-03	4.74E-04
3:Ins:R:2	4.71E-05	3.64E-05	1.69E-05	2.92E-04	1.71E-04	9.07E-05	0.00E+00	9.15E-06	2.59E-04	2.57E-04	3.28E-04	9.65E-05	1.69E-04	4.18E-04	3.75E-04
3:Ins:R:3	1.21E-05	2.08E-05	1.66E-05	6.22E-05	2.76E-05	4.78E-05	1.34E-05	0.00E+00	2.86E-05	4.81E-05	6.09E-05	6.38E-06	7.94E-06	3.98E-05	2.17E-06
3:Ins:R:4	2.57E-06	2.32E-05	2.52E-05	4.86E-05	7.71E-05	4.37E-06	6.19E-06	7.55E-06	7.18E-05	5.38E-05	6.13E-05	3.05E-05	7.57E-05	7.51E-05	3.34E-05
3:Ins:R:5	1.09E-05	2.21E-04	1.56E-05	1.60E-04	2.17E-04	1.73E-05	5.40E-05	3.48E-05	2.03E-04	3.51E-04	3.27E-04	1.05E-04	1.90E-04	3.28E-04	2.60E-04
4:Ins:R:0	2.60E-05	1.69E-05	2.13E-05	2.69E-04	4.14E-04	0.00E+00	1.57E-04	1.04E-03	8.09E-04	4.62E-04	5.70E-03	1.23E-03	1.44E-03	1.85E-03	3.65E-03
4:Ins:R:1	0.00E+00	1.62E-05	1.30E-04	1.25E-03	1.49E-03	2.79E-04	4.30E-05	3.09E-04	1.12E-03	1.85E-03	1.16E-03	3.48E-04	1.27E-03	1.25E-03	7.45E-05
4:Ins:R:2	9.37E-06	1.18E-05	1.73E-05	1.53E-04	1.87E-04	4.73E-05	5.32E-07	1.52E-04	1.95E-04	2.56E-04	3.68E-04	1.23E-04	2.87E-04	1.24E-04	1.34E-04
4:Ins:R:3	2.82E-06	5.70E-05	6.83E-06	4.66E-05	5.27E-05	3.65E-05	2.02E-05	5.98E-05	1.08E-04	7.91E-05	9.88E-05	1.71E-05	6.36E-05	1.43E-04	1.58E-04
4:Ins:R:4	6.09E-06	5.19E-05	2.30E-05	1.14E-04	1.69E-04	3.49E-05	3.71E-06	2.28E-05	2.00E-04	1.57E-04	1.24E-04	1.33E-04	1.65E-04	1.28E-04	6.83E-05
4:Ins:R:5	2.12E-07	8.42E-05	1.21E-05	1.13E-04	2.01E-04	4.98E-05	8.72E-05	1.50E-05	1.14E-04	1.25E-04	1.59E-04	1.53E-04	1.84E-04	2.24E-04	2.75E-04
5:Ins:R:0	2.13E-09	7.30E-08	1.21E-08	4.42E-08	5.99E-08	5.81E-09	8.93E-08	4.28E-03	5.46E-03	4.98E-04	4.62E-03	3.73E-08	1.81E-03	2.06E-03	4.24E-07
5:Ins:R:1	2.92E-04	3.75E-05	6.31E-04	2.47E-03	2.23E-03	9.25E-04	2.59E-04	6.83E-04	3.76E-03	2.61E-03	3.99E-03	1.33E-03	2.98E-03	2.56E-03	5.10E-04
5:Ins:R:2	1.64E-05	9.35E-06	2.60E-05	3.68E-04	2.84E-04	1.64E-04	1.48E-05	1.31E-04	2.96E-04	3.93E-04	5.97E-04	1.62E-04	2.95E-04	3.07E-04	3.59E-04
5:Ins:R:3	4.23E-06	2.40E-05	1.49E-05	6.76E-05	8.27E-05	6.99E-06	8.43E-06	4.76E-05	1.06E-04	1.28E-04	1.09E-04	1.12E-04	9.16E-05	2.18E-04	1.93E-04
