Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP101845	169	19	216	82	21	98	0	2	0	0	0	0	171	0	46	0	0
SP101682	0	51	16	23	62	37	64	5	0	0	72	92	0	0	0	1	0
SP61553	3	41	0	90	44	0	0	2	0	8	45	6	0	3	0	0	28
SP101724	60	50	44	98	73	103	0	2	50	24	0	4	150	0	0	7	0
SP102103	0	4	10	18	19	34	32	0	0	21	38	14	71	0	37	0	0
SP102174	45	15	5	53	35	71	0	5	29	71	0	12	101	0	0	0	0
SP101622	344	0	209	21	22	76	190	0	0	0	56	0	19	0	0	5	0
SP102161	86	7	25	43	27	82	0	4	0	59	0	46	0	13	0	2	4
SP101654	38	85	7	27	95	132	0	2	0	34	0	181	13	0	0	1	0
SP102074	21	22	25	1	11	0	0	1	37	0	38	7	22	0	48	0	0
SP101694	57	0	37	58	31	127	0	2	9	26	0	49	58	4	25	12	0
SP101616	72	87	24	107	28	139	0	0	102	0	12	18	0	0	0	12	0
SP101666	103	5	108	56	12	0	79	0	47	0	89	0	0	8	0	8	0
SP101558	162	39	132	0	7	0	74	1	50	68	0	0	0	0	0	0	0
SP102096	14	67	44	44	10	0	0	3	54	0	56	53	31	0	0	5	5
SP102084	93	31	34	117	83	42	0	4	20	0	0	44	59	0	0	0	0
SP101580	101	23	86	58	17	28	0	3	23	27	37	16	40	0	0	13	2
SP102064	244	25	214	22	21	41	0	3	25	16	30	17	32	0	0	15	0
SP101564	20	22	5	38	23	40	41	3	15	12	0	42	0	1	0	0	0
SP101921	8	35	6	59	24	21	0	0	88	0	60	36	21	0	0	3	0
SP101648	162	0	49	36	0	18	154	1	0	72	7	3	0	0	0	11	0
SP101628	15	48	12	30	13	45	0	2	0	40	79	17	0	0	0	5	0
SP101708	14	23	0	38	48	49	45	4	0	0	66	17	0	0	11	14	4
SP102055	16	21	0	33	18	13	0	1	19	0	40	24	0	0	0	1	16
SP101634	251	0	129	0	3	10	43	2	48	0	38	0	0	0	58	4	0
SP101588	28	20	17	49	56	53	0	3	30	19	0	73	25	0	0	12	18
SP101584	18	32	11	8	28	26	37	0	90	36	55	75	0	0	0	4	0
SP101686	5	11	4	13	27	37	0	0	0	2	59	34	0	2	56	1	0
SP101532	222	0	176	32	18	52	0	0	26	19	11	8	54	0	0	4	20
SP101732	246	0	157	54	24	107	176	9	0	15	0	21	85	0	0	0	0
SP101528	19	0	13	30	12	59	22	0	93	0	39	0	0	0	0	0	3
SP101536	1	23	0	23	3	8	32	1	0	34	42	66	0	15	0	0	0
SP101576	50	23	33	47	38	76	0	5	44	4	75	5	0	9	80	10	4
SP102015	291	4	293	11	21	138	0	3	0	44	6	0	139	0	0	3	0
SP102168	0	28	24	39	6	43	21	0	6	0	38	35	8	5	0	3	6
SP101716	55	55	29	148	109	106	46	0	21	37	6	81	0	29	8	18	0
SP101592	22	1	18	64	18	62	15	7	43	0	14	12	45	0	0	7	0
SP101658	0	6	4	25	7	3	9	0	0	0	20	0	15	0	14	0	0
SP102045	903	14	217	48	25	83	489	18	10	148	0	13	0	11	0	17	1
SP101552	513	23	338	0	30	204	204	0	96	0	0	12	0	0	0	15	0
SP101519	47	126	32	48	5	5	0	0	46	24	65	0	0	0	0	6	4
SP101690	86	50	23	0	30	94	10	0	0	89	68	72	0	1	33	10	0
SP102123	13	28	32	78	21	59	0	2	0	28	12	47	14	0	0	3	0
SP101662	271	24	19	0	12	43	115	2	34	37	2	0	1	0	27	0	0
SP101600	0	75	6	22	7	0	0	0	29	37	16	0	0	0	6	10	0
SP101544	34	35	4	33	30	97	0	3	0	11	24	7	8	0	123	5	0
SP102133	0	16582	0	1657	1740	0	0	17	0	0	0	0	0	0	0	103	0
SP101881	277	0	158	25	30	21	0	2	77	110	0	0	46	0	0	8	1
SP102035	552	6	177	48	17	33	10	0	9	83	0	27	0	26	0	2	6
SP101642	596	109	289	0	70	131	0	8	96	73	25	57	0	0	0	31	5
SP101596	11	37	9	76	23	46	0	1	0	21	126	34	0	0	0	6	5
SP101670	508	43	187	41	23	114	91	6	51	134	0	0	0	0	0	13	0
SP101674	186	0	68	10	0	50	30	3	1	69	0	0	0	13	0	8	3
SP101572	4	16	7	22	9	13	0	0	10	17	0	20	0	0	48	0	0
SP101678	259	14	236	72	22	93	0	2	14	65	74	0	38	0	0	13	0
SP101740	973	46	666	19	35	125	0	12	0	177	0	34	1	27	0	6	0
SP101700	194	12	195	34	14	26	28	0	31	0	43	7	0	0	0	4	14
SP101891	350	6	230	5	62	125	232	6	0	49	0	48	0	0	0	12	1
SP102143	500	18	143	19	11	71	0	6	0	124	0	4	0	0	0	8	0
SP102113	175	9	134	15	0	48	0	5	30	46	59	0	0	0	0	10	5
SP101521	2	29	0	84	54	40	53	2	0	22	44	11	0	0	0	8	0
SP101526	36	31	22	28	45	78	137	7	0	87	14	57	0	0	0	0	0
SP101540	0	35	15	123	27	5	45	2	21	3	29	39	0	4	49	7	0
SP101604	144	1	73	33	19	0	0	2	48	0	121	5	0	0	0	0	0
SP101548	326	0	68	37	11	25	0	0	61	0	55	20	4	0	0	11	0
SP101523	244	0	143	35	16	21	219	2	0	0	0	0	0	0	0	5	0
SP102090	11	31	4	26	35	46	0	1	61	25	65	45	0	0	0	8	18
SP101795	260	5	234	42	11	40	0	0	19	47	0	12	61	0	0	0	0
SP102187	168	0	97	38	27	145	10	5	0	15	56	0	0	0	0	23	0
SP101515	133	5	108	7	8	6	23	0	26	0	95	0	0	0	0	3	0
SP101931	258	39	134	36	69	107	40	5	31	31	0	51	93	0	0	0	0
SP101610	193	3	210	30	9	41	0	6	0	1	0	7	72	0	0	0	3
SP61703	22	17	62	155	18	93	16	2	0	31	0	51	14	7	0	0	74
SP59707	0	11	12	50	4	6	0	2	0	0	29	0	0	1	22	0	52
SP68659	168	7	170	42	2	18	0	0	8	42	0	11	0	2	0	0	11
SP62616	792	10	188	34	51	58	100	6	143	0	41	3	0	6	0	0	4
SP59761	39	42	27	50	31	35	0	3	36	0	43	35	0	0	0	7	17
SP66960	6	102	13	52	10	3	10	1	0	44	53	18	50	0	0	0	12
SP61453	14	0	25	37	24	9	0	3	49	0	60	10	0	0	0	4	32
SP63796	4	7	13	27	7	32	0	0	49	15	10	21	0	0	0	0	0
SP69155	1	7	8	28	5	14	0	0	7	4	47	0	4	0	0	3	0
SP59950	166	28	4	35	63	216	439	0	15	76	29	78	0	0	0	9	0
SP59938	241	0	114	30	8	64	2	0	0	0	23	0	39	0	0	5	0
SP64976	45	11	0	21	47	79	4	1	0	18	26	8	12	0	98	0	0
SP64296	319	28	236	54	48	13	239	0	41	0	0	0	0	0	0	2	21
SP65807	567	72	146	12	27	9	0	11	128	110	0	0	0	21	0	17	0
SP59803	31	83	40	18	17	27	0	4	94	57	34	83	45	0	0	11	28
SP66159	553	21	140	8	32	53	0	22	38	104	61	23	38	19	49	18	80
SP63356	14	48	33	46	0	33	0	4	33	82	0	32	0	0	0	0	50
SP68348	378	44	111	110	84	56	5	24	101	164	0	0	0	7	0	16	0
SP62450	21	0	11	38	7	5	0	0	0	36	25	7	38	0	0	5	0
SP67428	365	0	95	49	23	23	0	19	53	46	84	32	0	6	0	11	13
SP61713	314	8	237	11	17	2	0	1	12	38	0	0	34	0	0	1	73
