Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP101845	1.09E+01	1.37E+00	3.57E+00	1.06E+01	4.10E-01	9.64E-01
SP101682	1.16E+00	1.07E+00	4.31E+00	3.87E+00	4.73E-01	1.44E+00
SP61553	5.02E-01	1.12E+00	2.36E+00	2.40E+00	5.99E-01	1.36E+00
SP101724	2.96E+00	1.58E+00	2.70E+00	2.61E+00	3.34E-01	1.58E+00
SP102103	9.94E-01	7.44E-01	2.56E+00	2.41E+00	0.00E+00	7.50E-01
SP102174	1.68E+00	9.58E-01	1.84E+00	1.64E+00	5.52E-01	1.14E+00
SP101622	1.48E+01	6.61E-01	2.88E+00	1.60E+01	0.00E+00	1.06E+00
SP102161	2.92E+00	8.28E-01	2.35E+00	2.79E+00	4.89E-01	1.04E+00
SP101654	1.41E+00	1.55E+00	5.01E+00	4.73E+00	2.99E-01	2.11E+00
SP102074	1.42E+00	7.94E-01	1.65E+00	1.58E+00	3.60E-01	6.94E-01
SP101694	2.25E+00	1.03E+00	2.49E+00	1.92E+00	4.00E-01	1.15E+00
SP101616	2.26E+00	1.40E+00	2.19E+00	2.13E+00	0.00E+00	1.29E+00
SP101666	6.61E+00	1.06E+00	2.10E+00	6.50E+00	3.99E-01	8.69E-01
SP101558	9.79E+00	8.06E-01	2.10E+00	1.03E+01	0.00E+00	7.20E-01
SP102096	1.57E+00	1.28E+00	3.59E+00	2.93E+00	5.44E-01	8.65E-01
SP102084	2.77E+00	1.45E+00	2.54E+00	2.92E+00	3.82E-01	1.77E+00
SP101580	4.75E+00	1.15E+00	2.22E+00	3.94E+00	4.39E-01	9.19E-01
SP102064	1.13E+01	9.81E-01	2.10E+00	1.13E+01	5.25E-01	1.16E+00
SP101564	1.27E+00	8.60E-01	2.00E+00	1.77E+00	3.29E-01	9.70E-01
SP101921	8.30E-01	1.11E+00	2.62E+00	2.50E+00	0.00E+00	9.43E-01
SP101648	6.70E+00	8.15E-01	1.99E+00	6.61E+00	0.00E+00	4.92E-01
SP101628	1.20E+00	1.09E+00	1.90E+00	1.40E+00	4.52E-01	7.92E-01
SP101708	1.19E+00	9.47E-01	1.56E+00	1.26E+00	3.99E-01	1.25E+00
SP102055	6.90E-01	7.78E-01	1.78E+00	1.72E+00	3.18E-01	8.47E-01
SP101634	9.62E+00	6.65E-01	2.31E+00	9.89E+00	3.25E-01	5.07E-01
SP101588	1.25E+00	1.04E+00	3.05E+00	2.56E+00	3.57E-01	1.60E+00
SP101584	1.31E+00	8.47E-01	3.88E+00	3.32E+00	0.00E+00	1.19E+00
SP101686	7.01E-01	8.79E-01	2.34E+00	1.86E+00	6.56E-02	1.00E+00
SP101532	1.04E+01	7.55E-01	2.21E+00	1.04E+01	0.00E+00	1.01E+00
SP101732	1.16E+01	9.44E-01	2.81E+00	1.14E+01	6.06E-01	1.09E+00
SP101528	1.39E+00	6.49E-01	1.35E+00	1.49E+00	0.00E+00	8.22E-01
SP101536	6.89E-01	8.90E-01	3.61E+00	3.74E+00	5.38E-01	6.15E-01
SP101576	1.77E+00	1.23E+00	2.45E+00	2.09E+00	5.96E-01	1.29E+00
SP102015	1.62E+01	1.40E-01	3.87E+00	1.69E+01	3.56E-01	1.05E+00
SP102168	8.88E-01	8.21E-01	2.51E+00	2.19E+00	2.00E-02	6.58E-01
SP101716	2.42E+00	1.75E+00	4.19E+00	4.00E+00	3.24E-01	1.94E+00
SP101592	1.39E+00	9.05E-01	2.23E+00	1.66E+00	5.67E-01	8.40E-01
SP101658	4.44E-01	5.99E-01	9.35E-01	7.50E-01	0.00E+00	5.25E-01
SP102045	2.83E+01	1.24E+00	3.98E+00	2.98E+01	1.17E+00	1.62E+00
SP101552	2.26E+01	2.90E-01	5.39E+00	2.43E+01	2.67E-01	1.45E+00
SP101519	2.40E+00	9.19E-01	1.60E+00	2.13E+00	0.00E+00	4.06E-01
SP101690	2.69E+00	1.12E+00	3.79E+00	3.97E+00	0.00E+00	1.33E+00
SP102123	1.45E+00	1.07E+00	2.62E+00	2.20E+00	3.23E-01	9.40E-01
SP101662	7.62E+00	8.13E-01	2.30E+00	7.97E+00	3.19E-01	8.79E-01
SP101600	6.12E-01	9.57E-01	1.10E+00	8.75E-01	5.83E-01	6.36E-01
SP101544	1.22E+00	1.18E+00	1.64E+00	1.64E+00	4.19E-01	1.12E+00
SP102133	6.74E-01	2.18E+01	0.00E+00	1.56E+00	1.03E+00	2.20E+01
SP101881	1.11E+01	6.24E-01	2.35E+00	1.12E+01	3.77E-01	1.08E+00
SP102035	1.58E+01	9.15E-01	2.19E+00	1.60E+01	0.00E+00	1.12E+00
SP101642	1.99E+01	1.26E+00	3.43E+00	2.04E+01	6.48E-01	1.89E+00
SP101596	9.71E-01	1.39E+00	3.53E+00	3.31E+00	0.00E+00	1.06E+00
SP101670	1.74E+01	1.08E+00	3.99E+00	1.85E+01	5.49E-01	1.22E+00
SP101674	6.00E+00	5.35E-01	1.70E+00	6.20E+00	7.05E-01	3.85E-01
SP101572	6.19E-01	7.10E-01	1.42E+00	1.32E+00	0.00E+00	6.69E-01
SP101678	1.43E+01	1.03E+00	2.91E+00	1.40E+01	3.43E-01	9.51E-01
SP101740	4.06E+01	1.21E+00	4.11E+00	4.16E+01	8.29E-01	1.67E+00
SP101700	1.11E+01	8.67E-01	2.15E+00	1.11E+01	2.79E-01	8.98E-01
SP101891	1.63E+01	3.22E-01	3.01E+00	1.67E+01	4.15E-01	1.55E+00
SP102143	1.53E+01	8.14E-01	2.50E+00	1.61E+01	5.26E-01	9.19E-01
SP102113	7.80E+00	5.77E-01	1.87E+00	8.00E+00	6.26E-01	4.20E-01
SP101521	9.28E-01	9.84E-01	1.91E+00	1.41E+00	3.87E-01	1.45E+00
SP101526	3.64E+00	1.03E+00	3.48E+00	3.33E+00	4.80E-01	1.31E+00
SP101540	1.03E+00	1.23E+00	3.80E+00	3.41E+00	6.24E-01	1.20E+00
SP101604	5.51E+00	8.49E-01	1.88E+00	5.64E+00	2.24E-01	8.14E-01
SP101548	7.98E+00	7.40E-01	2.20E+00	8.57E+00	0.00E+00	7.38E-01
SP101523	1.17E+01	7.48E-01	2.73E+00	1.22E+01	4.65E-01	9.41E-01
SP102090	8.72E-01	1.04E+00	2.79E+00	2.74E+00	3.76E-01	1.22E+00
SP101795	1.29E+01	1.02E+00	2.98E+00	1.28E+01	0.00E+00	7.69E-01
SP102187	6.42E+00	8.19E-01	2.23E+00	7.18E+00	3.92E-01	1.08E+00
SP101515	6.34E+00	5.47E-01	1.70E+00	6.56E+00	2.80E-01	5.63E-01
SP101931	9.28E+00	1.25E+00	2.57E+00	8.84E+00	5.19E-01	1.67E+00
SP101610	1.10E+01	7.57E-01	2.47E+00	1.06E+01	5.45E-01	6.82E-01
SP61703	2.39E+00	1.60E+00	4.99E+00	4.16E+00	3.09E-01	1.07E+00
SP59707	3.02E-01	1.00E+00	2.32E+00	2.57E+00	5.11E-01	4.33E-01
SP68659	9.74E+00	8.19E-01	2.04E+00	8.88E+00	8.53E-02	2.70E-01
SP62616	2.18E+01	1.15E+00	4.47E+00	2.31E+01	5.14E-01	2.00E+00
SP59761	1.74E+00	1.12E+00	2.26E+00	2.23E+00	3.79E-01	1.15E+00
SP66960	1.03E+00	1.48E+00	2.55E+00	2.46E+00	4.36E-01	9.97E-01
SP61453	1.17E+00	8.39E-01	2.10E+00	1.73E+00	6.19E-01	9.73E-01
SP63796	9.16E-01	6.53E-01	1.42E+00	1.01E+00	0.00E+00	6.51E-01
