NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	144.39	24.292	28.235	17.007	0.09	0.98	1000000.0
2	144.412	24.176	28.257	17.014	0.089	0.98	1000000.0
3	143.422	24.241	27.864	17.028	0.091	0.981	1000000.0
4	144.699	24.256	28.219	16.793	0.089	0.981	1000000.0
5	143.032	24.131	27.768	16.86	0.09	0.98	1000000.0
6	143.091	24.432	27.609	17.275	0.09	0.98	1000000.0
7	144.568	24.308	28.33	16.961	3.879	0.981	1000000.0
8	144.793	24.369	28.054	17.091	7.665	0.98	1000000.0
9	144.394	24.133	28.127	16.822	3.877	0.98	1000000.0
10	144.902	24.356	28.323	17.055	0.09	0.98	1000000.0
11	144.241	24.38	27.891	17.025	0.091	0.98	1000000.0
12	144.243	24.385	28.063	17.118	7.665	0.98	1000000.0
13	144.013	24.198	28.206	17.177	0.09	0.98	1000000.0
14	144.314	24.237	28.068	17.112	3.877	0.98	1000000.0
15	142.67	24.264	27.338	16.962	3.878	0.98	1000000.0
16	144.44	24.371	28.099	17.196	3.882	0.98	1000000.0
17	144.716	24.364	28.58	17.086	3.878	0.98	1000000.0
18	145.226	24.274	28.712	17.121	0.091	0.98	1000000.0
19	143.656	24.369	28.032	17.166	0.09	0.98	1000000.0
20	143.142	24.131	27.803	16.991	0.091	0.98	1000000.0
21	142.932	24.093	27.763	16.875	0.09	0.981	1000000.0
22	143.011	24.218	27.737	17.06	15.239	0.98	1000000.0
23	142.547	24.195	27.605	16.969	0.09	0.98	1000000.0
24	142.475	23.944	27.715	16.595	0.089	0.981	1000000.0
25	141.891	24.228	27.157	16.919	3.877	0.98	1000000.0
26	143.827	24.187	27.887	16.905	0.09	0.981	1000000.0
27	143.954	24.185	28.046	16.892	0.089	0.981	1000000.0
28	142.628	24.255	27.32	16.956	0.09	0.981	1000000.0
29	144.821	24.372	28.419	17.11	0.09	0.979	1000000.0
30	142.891	23.988	27.812	16.639	0.089	0.981	1000000.0
