Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP77443	42	387	55	176	22	10	19	0	0	7
SP72118	133	317	24	87	52	47	1	0	0	2
SP76891	135	251	0	75	0	57	0	0	17	12
SP125732	6205	411	0	426	701	0	0	0	0	0
SP125716	95	342	38	69	15	20	68	91	14	12
SP125746	38676	5287	0	0	2771	0	0	634	0	89
SP125797	255	248	10	46	7	54	15	71	24	10
SP76057	55	275	20	75	70	60	5	0	13	0
SP69565	325	349	472	226	78	32	0	4	0	2
SP75202	59	132	6	90	0	76	6	0	0	3
SP110736	151	203	11	5	39	58	1	0	57	8
SP107774	0	383	21	57	27	44	1	0	4	5
SP110779	67	260	16	147	31	26	1	8	61	11
SP107805	68	220	26	119	5	37	5	4	42	6
SP110789	0	157	673	82	0	0	0	4	241	12
SP71846	121	249	23	192	24	7	0	0	7	8
SP70122	139	320	9	40	35	25	4	0	48	3
SP71404	410	549	15	161	29	46	5	0	64	2
SP76955	21	289	8	42	136	38	3	0	0	0
SP107781	78	80	19	77	0	61	2	0	0	3
SP70202	35	175	478	69	17	45	28	0	0	12
SP70677	16	57	18	35	4	70	3	0	0	7
SP70082	27	66	8	39	13	49	2	7	0	5
SP70288	309	321	14	28	43	78	6	0	21	15
SP70266	25	156	16	38	32	110	8	0	0	16
SP107956	171	374	34	84	17	61	2	0	89	11
SP70956	84	127	15	77	10	34	7	0	19	7
SP108017	57	105	3	60	11	29	0	3	18	3
SP71536	47	150	38	37	29	35	0	0	14	9
SP70756	129	159	15	77	0	72	1	0	0	10
SP76675	139	449	511	197	52	10	4	0	0	8
SP71480	90	309	15	28	41	64	3	0	17	2
SP70313	70	123	19	72	1	101	0	0	0	5
SP73319	46	171	34	40	29	35	11	0	0	2
SP107813	142	253	14	100	54	5	3	0	56	6
SP77339	44	271	17	82	20	43	0	0	0	7
SP76017	95	133	17	63	0	59	0	0	21	1
SP76915	98	105	33	143	42	18	2	0	37	9
SP71974	294	639	825	44	136	22	31	0	93	5
SP70178	187	396	31	93	18	71	1	0	13	6
SP107920	94	203	25	86	65	0	6	0	24	20
SP110798	46	204	10	63	50	40	0	0	4	0
SP107952	69	288	29	56	0	97	0	0	67	27
SP70465	18	162	17	128	1	61	4	0	11	10
SP70780	156	307	19	28	61	65	5	0	34	8
SP110803	27	71	76	92	0	89	18	0	0	8
SP107915	73	172	7	58	64	40	12	0	0	5
SP71132	199	412	11	83	70	50	0	1	0	6
SP71552	81	301	48	91	43	74	12	0	55	13
SP69573	44	140	18	47	18	23	3	0	11	5
SP75681	10	231	9	60	68	37	1	0	48	12
SP107874	127	425	25	80	52	39	0	0	63	2
SP110816	31	117	17	22	55	59	5	0	0	2
SP77203	791	323	1067	11	64	83	3	0	76	2
SP76515	69	243	33	93	53	54	6	3	0	12
SP110770	180	195	14	91	59	50	3	0	15	7
SP69812	47	96	9	55	0	55	0	0	2	0
SP76136	178	317	106	186	0	203	27	0	35	6
SP70106	19	0	280	52	259	0	5	0	49	3
SP108059	66	148	23	43	18	66	7	0	0	13
SP108020	104	220	54	19	28	102	3	0	0	3
SP76867	145	230	20	78	18	26	8	0	7	11
SP108088	98	189	19	69	15	89	9	2	4	0
SP71734	86	190	15	40	25	73	7	0	14	6
SP76001	29	103	13	68	0	45	6	0	0	0
SP108033	123	259	22	52	0	53	9	0	21	3
SP110822	95	266	36	83	7	21	7	0	132	8
SP69762	119	157	20	55	28	51	9	0	21	3
SP107945	102	252	32	52	56	94	0	0	1	5
SP107770	49	145	24	58	25	50	12	0	13	6
SP73263	147	299	11	32	12	44	0	0	45	14
SP77131	92	397	10	64	75	53	3	0	30	6
SP75322	459	519	27	112	178	0	15	0	445	8
SP70046	3	138	3	63	25	7	8	0	44	12
SP70932	68	271	24	69	25	61	5	0	0	1
SP71758	1	77	65	60	10	95	21	0	0	1
SP71228	320	314	36	108	63	157	4	0	36	11
SP76353	22	72	1	54	22	38	4	0	42	2
SP69587	27	128	1	15	12	20	0	0	5	0
SP69898	340	623	20	39	81	154	8	5	12	0
SP75977	51	134	7	64	14	67	1	0	5	7
SP70226	28	167	3	83	34	0	0	8	67	9
SP108068	96	174	28	65	45	90	0	0	25	10
SP107784	101	901	26	121	118	12	10	0	18	14
SP110824	39	188	4	35	15	79	3	0	9	7
SP76843	143	460	14	92	67	11	0	9	27	8
SP71456	121	259	53	101	27	111	0	0	11	16
SP108065	146	139	2	67	58	55	0	0	8	10
SP70860	211	220	30	78	32	78	1	2	0	8
SP71084	79	201	5	72	39	41	11	0	6	4
SP72262	30	138	36	58	14	52	13	0	13	17
SP69705	118	123	21	49	54	50	8	0	59	8
SP107786	159	388	115	60	94	186	22	0	0	5
SP71576	45	133	5	51	12	63	0	0	23	0
SP108123	58	147	18	58	4	36	7	2	0	21
SP74896	59	213	11	138	31	0	0	0	0	2
SP71950	70	314	15	75	38	79	0	1	0	0
SP108049	21	113	29	50	7	22	7	0	7	5
SP116965	148	433	1128	411	181	0	0	34	0	17
SP77930	17	96	15	44	18	40	3	2	0	1
SP125807	124	492	11	100	44	39	5	35	20	7
SP125696	84	99	25	87	251	39	9	17	0	4
SP125725	122	213	36	50	55	78	14	57	69	4
SP125752	149	439	26	52	47	74	9	8	0	2
SP118048	407	384	9	0	62	40	6	0	489	6
SP117981	0	149	28	89	44	35	6	0	2	9
SP125749	28	102	10	109	0	17	4	21	10	0
SP125762	25	290	9	64	49	63	5	12	43	15
SP117164	77	176	20	56	21	16	0	4	7	11
SP117002	166	285	23	63	142	60	3	3	0	2
