Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP77443	0	354	90	46	100	74	19	8	12	7	1	7
SP72118	100	298	76	26	65	13	34	45	3	1	0	2
SP76891	146	246	0	0	63	26	0	40	0	13	0	13
SP125732	4273	0	3452	0	18	0	0	0	0	0	0	0
SP125716	108	331	0	33	46	41	24	19	57	12	81	12
SP125746	33635	4221	8885	0	0	0	716	0	0	0	0	0
SP125797	269	243	0	14	54	0	13	54	15	9	56	13
SP76057	64	278	6	14	51	58	50	30	1	0	0	21
SP69565	340	349	0	457	199	30	56	56	1	0	0	0
SP75202	62	128	0	5	73	39	3	53	5	4	0	0
SP110736	173	207	0	11	17	13	30	37	1	9	0	35
SP107774	4	371	0	17	36	33	28	26	0	5	0	22
SP110779	0	221	163	21	102	9	20	47	5	9	1	30
SP107805	0	179	152	22	64	45	4	30	4	5	4	23
SP110789	6	144	104	659	89	0	0	0	0	13	1	153
SP71846	128	241	0	28	158	0	22	39	0	8	0	7
SP70122	118	299	77	7	22	24	26	17	2	3	0	28
SP71404	299	478	257	8	83	77	19	29	1	0	0	30
SP76955	34	310	0	5	37	36	90	20	0	0	0	5
SP107781	79	75	0	15	56	45	2	37	0	4	0	7
SP70202	36	165	7	451	44	90	19	13	20	12	2	0
SP70677	0	48	33	12	15	53	2	34	0	8	3	2
SP70082	21	61	16	8	31	20	10	36	2	5	6	0
SP70288	327	321	0	12	32	32	31	44	4	16	0	16
SP70266	4	147	48	13	27	49	22	68	6	17	0	0
SP107956	120	333	149	32	51	33	16	47	3	10	0	49
SP70956	93	124	0	12	59	33	11	22	5	7	0	14
SP108017	65	102	0	4	53	11	11	26	1	3	1	12
SP71536	55	151	0	35	32	22	22	22	0	9	0	11
SP70756	71	126	111	13	45	37	0	50	1	9	0	0
SP76675	103	416	85	490	150	34	42	38	7	5	0	0
SP71480	43	282	107	17	17	8	26	53	5	1	0	10
SP70313	72	116	0	15	57	50	5	62	0	6	0	8
SP73319	26	159	47	28	17	47	21	14	7	2	0	0
SP107813	155	251	18	17	83	5	39	20	4	6	0	35
SP77339	28	253	39	18	62	16	18	42	1	7	0	0
SP76017	103	132	0	18	57	16	0	45	0	2	0	16
SP76915	35	78	142	31	90	32	23	25	2	8	0	21
SP71974	156	568	336	770	0	109	80	0	20	0	0	50
SP70178	87	341	201	29	48	32	10	58	1	4	0	5
SP107920	57	189	95	22	54	26	40	1	5	19	0	15
SP110798	35	198	32	10	45	21	33	32	0	0	0	11
SP107952	36	259	102	24	30	55	4	55	0	28	0	40
SP70465	15	150	14	16	97	36	7	50	4	10	0	13
SP70780	176	311	0	17	31	29	45	38	3	8	0	25
SP110803	30	67	0	49	25	189	0	0	1	12	1	7
SP107915	81	178	0	6	50	27	43	27	9	6	0	4
SP71132	143	384	124	12	56	19	44	46	0	4	0	0
SP71552	100	297	7	38	59	78	36	37	6	14	0	46
SP69573	51	139	0	13	30	38	16	6	0	6	0	10
SP75681	0	224	56	3	31	53	46	15	0	13	0	35
SP107874	129	412	45	25	61	23	41	35	0	2	0	40
SP110816	37	124	0	15	22	27	36	37	3	3	0	4
SP77203	826	330	6	1015	46	64	39	42	2	1	0	49
SP76515	0	211	142	27	46	58	31	33	3	11	4	0
SP110770	63	148	235	8	31	59	27	27	0	5	0	11
SP69812	49	94	0	8	45	22	0	39	0	0	0	7
SP76136	117	271	146	62	54	301	5	42	0	9	0	51
SP70106	42	0	0	259	44	5	244	2	3	2	0	66
SP108059	63	142	14	22	36	28	14	43	6	14	0	2
SP108020	84	208	48	52	21	23	19	68	4	4	0	2
SP76867	137	220	29	18	57	24	15	20	6	11	0	6
SP108088	104	184	0	14	51	53	14	52	6	1	3	12
SP71734	56	175	71	11	20	43	16	41	4	6	0	13
SP76001	31	97	0	11	53	32	6	30	4	0	0	0
SP108033	115	247	36	13	23	65	1	17	3	4	0	18
SP110822	133	262	2	38	77	3	18	32	8	9	0	73
SP69762	121	155	15	20	49	13	20	42	9	3	0	16
SP107945	109	256	0	33	53	18	38	70	1	5	0	11
SP107770	50	141	13	21	42	36	19	30	9	7	0	14
SP73263	165	294	0	10	30	23	16	26	0	14	0	26
SP77131	54	376	103	8	36	36	49	37	2	5	0	24
SP75322	602	553	4	21	101	69	135	0	7	12	0	259
SP70046	0	132	33	4	47	11	20	12	7	12	0	25
SP70932	70	266	9	15	42	72	23	25	0	2	0	0
SP71758	0	72	9	38	0	194	12	0	2	3	0	0
SP71228	195	260	264	33	60	63	30	107	4	9	0	24
SP76353	36	74	0	4	50	3	17	37	5	3	0	28
SP69587	15	121	28	1	9	7	9	15	0	0	0	3
SP69898	333	608	49	26	56	3	57	123	11	0	0	16
SP75977	55	131	0	1	43	52	13	35	0	8	0	12
SP70226	0	152	93	6	57	0	22	18	2	8	4	37
SP108068	92	169	31	23	45	54	30	52	0	11	0	26
SP107784	0	838	230	25	62	23	82	28	10	11	0	12
SP110824	31	179	26	0	17	54	13	38	0	8	0	13
SP76843	162	457	0	16	79	4	52	24	0	8	8	21
SP71456	130	253	0	49	83	53	23	73	0	17	0	18
SP108065	106	127	89	1	44	27	32	39	0	9	0	11
SP70860	174	199	81	30	62	21	20	63	2	8	0	0
SP71084	87	201	0	0	51	46	30	20	7	5	0	11
SP72262	23	128	27	30	37	51	13	24	9	18	0	11
SP69705	117	122	44	23	46	7	34	43	9	8	0	37
SP107786	138	379	70	81	0	225	63	41	1	8	0	23
SP71576	54	131	0	3	41	33	13	39	0	0	0	18
SP108123	0	117	110	18	33	14	1	32	7	19	0	0
SP74896	8	189	102	15	103	1	19	13	3	1	0	0
SP71950	58	303	35	16	62	20	29	65	0	0	1	3
SP108049	13	106	21	20	22	53	7	0	2	6	3	8
SP116965	0	391	311	1110	387	0	95	18	0	12	19	9
SP77930	0	88	37	12	24	33	11	23	1	1	4	2
SP125807	90	460	90	14	73	11	36	48	7	6	29	13
SP125696	51	125	100	17	56	68	149	20	4	3	22	0
SP125725	10	164	254	28	0	66	29	46	9	2	48	42
SP125752	87	402	134	18	13	68	32	36	4	1	11	0
SP118048	486	379	113	14	0	7	61	53	7	8	0	275
SP117981	0	148	7	20	52	63	31	12	1	10	0	18
SP125749	31	97	0	8	81	27	5	21	3	0	18	10
SP125762	43	288	0	8	52	30	39	47	5	16	13	34
SP117164	55	162	50	18	37	17	15	15	0	10	4	5
SP117002	74	261	196	19	26	42	78	40	1	0	4	6
SP117158	29	73	9	10	72	48	18	24	2	16	0	4
SP125691	297	532	299	26	87	55	92	62	1	11	0	0
SP125721	77	234	0	16	27	37	16	25	5	3	56	3
SP125753	164	188	0	12	37	24	79	20	5	9	26	5
SP117972	87	178	0	11	68	27	36	1	3	3	19	23
SP125726	145	281	18	2	58	56	19	6	2	6	0	22
SP125800	0	10	1	3	1	0	19	0	0	0	21	0
SP117745	278	601	0	6	25	18	65	39	2	8	0	6
SP117351	71	118	17	7	62	12	7	13	0	7	6	20
SP117980	0	234	13	27	54	28	36	32	10	13	39	14
SP117878	146	240	0	10	55	33	6	28	5	0	0	1
SP125805	49	173	44	13	47	28	16	32	7	5	0	6
SP78013	73	374	203	20	0	26	41	48	0	7	0	0
SP118083	0	59	62	80	169	74	13	84	7	7	17	13
SP125772	12	123	0	0	24	27	21	22	1	2	6	0
SP117216	158	185	0	15	62	22	17	51	0	13	0	22
SP125784	0	80	129	31	58	17	23	31	2	0	25	2
SP117323	121	253	142	38	163	18	20	94	4	3	45	10
SP118046	86	419	113	13	52	21	26	25	0	10	0	0
SP77888	7	39	8	11	39	47	2	7	0	4	0	0
SP125766	64	169	42	0	0	22	11	67	1	6	34	93
SP125737	69	136	0	49	131	28	21	48	3	7	18	12
SP125763	104	576	107	29	93	43	97	48	34	7	50	11
SP125802	44	178	82	14	46	23	41	25	1	2	26	0
SP117656	57	129	0	148	80	134	6	0	2	9	0	8
SP77872	9	49	0	3	17	16	0	17	0	7	1	15
SP117309	75	459	54	7	14	60	36	60	0	13	0	0
SP117201	100	307	109	36	71	25	27	46	0	13	0	0
SP125685	65	184	1	9	47	21	5	58	1	10	26	16
SP117463	130	196	122	11	27	20	50	28	0	4	7	10
SP117568	159	302	28	25	128	13	18	61	2	8	27	17
SP125717	140	147	0	8	42	19	20	27	25	8	20	1
SP125707	0	0	0	2	0	0	0	0	10	0	16	0
SP125794	71	332	7	0	35	47	26	22	4	11	24	14
SP125756	115	51	164	447	0	245	0	0	26	1	41	94
SP117441	75	186	0	7	60	53	35	46	5	9	0	12
SP125780	98	302	41	13	61	42	65	16	3	0	50	6
SP125764	142	414	126	931	77	29	40	75	28	6	0	6
SP117690	66	158	8	4	37	45	18	39	4	2	4	2
SP125742	0	125	45	67	19	254	12	24	5	0	47	1
SP125804	33	238	58	611	0	460	25	0	25	7	18	51
SP125695	15	120	45	28	23	33	13	44	1	7	35	12
SP77986	0	20	18	9	11	25	0	15	5	2	4	0
SP125689	135	473	2	62	113	92	73	74	0	20	13	59
SP117523	27	213	24	13	44	45	35	22	4	9	10	11
SP125694	82	226	0	28	34	21	53	32	11	0	21	23
SP125745	60	191	0	7	52	26	30	20	0	2	0	3
SP117001	21	172	132	5	9	47	20	47	1	3	0	9
SP117949	364	282	30	22	47	35	39	40	0	0	42	14
SP117653	15	77	53	9	27	16	15	40	0	6	0	0
SP117522	41	226	20	14	44	47	44	23	4	10	2	12
SP125710	40	247	19	16	25	41	33	16	4	24	40	0
SP117214	89	309	10	27	49	29	25	50	2	4	4	9
SP125768	47	613	594	32	8	5	27	70	7	1	48	0
SP117722	105	194	0	9	49	20	23	50	3	15	6	21
SP125699	254	169	0	12	73	23	22	78	0	0	3	0
