Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP77443	1.87E+00	6.29E+00	3.68E+00	9.72E-01	2.68E+00	2.51E+00	7.19E+00	1.45E+00	1.15E+00	7.46E-01	3.71E-01	1.21E+00	1.36E+00
SP72118	4.66E+00	5.26E+00	6.71E+00	6.76E-01	1.86E+00	1.67E+00	5.10E+00	1.49E+00	1.57E+00	2.98E-01	2.50E-01	2.33E-01	1.32E+00
SP76891	5.35E+00	5.57E+00	7.58E+00	2.09E-01	2.01E+00	2.03E+00	6.05E+00	6.15E-01	1.45E+00	0.00E+00	5.90E-01	7.60E-01	8.62E-01
SP125732	2.62E+02	4.02E+01	2.98E+02	2.57E-01	1.52E+01	1.13E+01	4.75E+01	2.62E+01	5.41E-01	0.00E+00	4.90E-01	1.07E+00	1.51E+00
SP125716	3.38E+00	5.01E+00	5.01E+00	8.58E-01	1.95E+00	1.97E+00	5.24E+00	1.49E+00	1.32E+00	1.45E+00	4.82E-01	2.29E+00	1.01E+00
SP125746	8.94E+02	1.23E+02	1.01E+03	3.04E-01	2.88E+01	2.23E+01	1.80E+02	1.04E+02	1.85E+01	1.24E+00	1.85E+00	3.57E+01	4.81E+00
SP125797	7.24E+00	5.30E+00	8.83E+00	5.59E-01	1.87E+00	1.22E+00	6.22E+00	1.67E+00	1.44E+00	5.96E-01	4.95E-01	1.73E+00	9.67E-01
SP76057	2.04E+00	4.56E+00	3.35E+00	6.12E-01	1.90E+00	2.02E+00	5.14E+00	2.35E+00	1.37E+00	2.15E-01	0.00E+00	6.47E-01	9.22E-01
SP69565	1.23E+01	6.37E+00	1.47E+01	3.94E+00	3.70E+00	4.45E+00	6.96E+00	2.16E+00	2.05E+00	2.35E-01	3.25E-01	1.52E-01	3.22E+00
SP75202	2.75E+00	2.39E+00	3.96E+00	3.85E-01	1.90E+00	2.30E+00	2.33E+00	5.94E-01	1.57E+00	3.20E-01	2.95E-01	1.48E-01	5.76E-01
SP110736	6.70E+00	4.59E+00	8.29E+00	5.58E-01	1.53E+00	1.02E+00	5.65E+00	1.41E+00	1.16E+00	0.00E+00	4.55E-01	2.08E-01	1.27E+00
SP107774	7.61E-01	5.13E+00	1.27E+00	5.70E-01	1.62E+00	1.52E+00	5.66E+00	2.53E+00	1.10E+00	0.00E+00	3.98E-01	3.41E-01	9.33E-01
SP110779	3.82E+00	6.73E+00	4.89E+00	7.55E-01	3.02E+00	2.06E+00	8.15E+00	1.62E+00	1.68E+00	3.42E-01	4.84E-01	1.29E+00	2.10E+00
SP107805	3.15E+00	4.24E+00	3.77E+00	6.02E-01	2.20E+00	2.29E+00	4.69E+00	1.08E+00	1.36E+00	2.63E-01	3.41E-01	8.87E-01	1.29E+00
SP110789	3.47E+00	4.40E+00	5.44E+00	4.91E+00	3.48E+00	3.19E+00	4.40E+00	5.83E-01	1.19E+00	2.16E-01	6.36E-01	0.00E+00	4.23E+00
SP71846	4.57E+00	5.02E+00	6.34E+00	8.58E-01	3.44E+00	3.08E+00	6.10E+00	1.36E+00	1.93E+00	0.00E+00	4.41E-01	3.15E-02	1.57E+00
SP70122	6.22E+00	3.55E+00	7.54E+00	4.17E-01	1.31E+00	1.16E+00	3.98E+00	1.35E+00	1.04E+00	2.16E-01	3.20E-01	3.00E-01	1.51E+00
SP71404	1.67E+01	6.26E+00	1.92E+01	5.15E-01	2.53E+00	2.69E+00	6.44E+00	2.40E+00	1.98E+00	2.67E-01	2.99E-01	4.47E-01	1.78E+00
SP76955	1.53E+00	4.12E+00	2.79E+00	4.23E-01	1.62E+00	1.40E+00	4.30E+00	2.81E+00	1.15E+00	0.00E+00	2.21E-01	2.11E-01	9.72E-01
SP107781	2.33E+00	1.90E+00	2.67E+00	5.56E-01	1.65E+00	1.76E+00	2.30E+00	7.78E-01	1.43E+00	0.00E+00	4.23E-01	2.84E-01	8.31E-01
SP70202	1.61E+00	3.62E+00	2.89E+00	4.19E+00	2.33E+00	3.12E+00	4.25E+00	1.57E+00	1.05E+00	5.77E-01	5.40E-01	6.00E-01	3.17E+00
SP70677	8.43E-01	2.04E+00	1.09E+00	4.75E-01	1.30E+00	1.59E+00	2.47E+00	3.55E-01	1.21E+00	2.57E-01	3.80E-01	4.73E-01	8.25E-01
SP70082	1.37E+00	1.74E+00	1.97E+00	5.15E-01	1.28E+00	1.19E+00	1.90E+00	5.41E-01	1.11E+00	2.15E-01	3.45E-01	2.34E-01	1.26E-01
SP70288	1.10E+01	5.26E+00	1.31E+01	5.69E-01	1.74E+00	1.63E+00	6.28E+00	1.87E+00	1.23E+00	2.89E-01	5.56E-01	4.66E-01	9.42E-01
SP70266	1.31E+00	3.35E+00	1.94E+00	5.98E-01	1.59E+00	1.95E+00	4.07E+00	9.72E-01	1.34E+00	3.30E-01	5.69E-01	4.70E-01	9.22E-01
SP107956	8.45E+00	5.42E+00	1.11E+01	9.17E-01	2.26E+00	2.26E+00	3.89E+00	1.22E+00	1.70E+00	2.58E-01	5.40E-01	3.87E-01	1.82E+00
SP70956	3.72E+00	2.60E+00	4.62E+00	5.10E-01	1.59E+00	1.88E+00	2.88E+00	7.95E-01	1.05E+00	2.84E-01	4.35E-01	0.00E+00	8.99E-01
SP108017	2.14E+00	2.22E+00	2.97E+00	3.38E-01	1.40E+00	9.81E-01	2.50E+00	7.50E-01	1.08E+00	0.00E+00	2.20E-01	3.41E-01	7.34E-01
