NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	179.981	30.177	41.512	18.142	27.001	0.96	1000000.0
2	177.323	30.371	40.597	18.231	26.99	0.959	1000000.0
3	178.174	30.398	41.036	18.24	5.055	0.959	1000000.0
4	175.047	30.298	38.715	18.107	22.115	0.959	1000000.0
5	178.456	30.34	40.103	18.13	31.886	0.96	1000000.0
6	180.176	30.281	40.638	18.047	5.044	0.96	1000000.0
7	178.522	30.319	40.645	18.247	26.989	0.959	1000000.0
8	178.606	30.258	40.617	18.1	17.239	0.959	1000000.0
9	150.768	30.533	31.778	18.362	14.8	0.959	1000000.0
10	179.661	30.367	41.249	18.183	12.358	0.959	1000000.0
11	178.911	30.427	40.763	18.378	2.608	0.958	1000000.0
12	177.187	30.212	39.437	18.037	17.24	0.96	1000000.0
13	177.591	30.441	41.671	18.147	29.43	0.96	1000000.0
14	177.28	30.482	40.155	18.309	29.431	0.958	1000000.0
15	178.52	30.47	40.273	18.379	17.239	0.959	1000000.0
16	175.672	30.445	38.808	18.195	9.924	0.96	1000000.0
17	179.127	30.408	41.047	18.147	24.553	0.959	1000000.0
18	177.453	30.203	40.003	18.103	2.606	0.961	1000000.0
19	180.474	30.34	41.286	18.143	19.672	0.959	1000000.0
20	176.404	30.196	39.006	18.111	17.237	0.959	1000000.0
21	176.541	30.515	39.738	18.393	17.24	0.957	1000000.0
22	176.876	30.344	40.494	18.331	26.99	0.961	1000000.0
23	179.507	30.223	40.665	18.024	36.744	0.96	1000000.0
24	178.568	30.332	40.618	17.955	22.109	0.961	1000000.0
25	174.896	30.343	39.043	18.044	44.052	0.96	1000000.0
26	176.742	30.22	39.624	18.062	22.128	0.959	1000000.0
27	176.311	30.244	39.9	18.053	26.993	0.96	1000000.0
28	176.317	30.17	39.604	18.027	31.959	0.959	1000000.0
29	178.531	30.357	40.51	18.307	14.806	0.957	1000000.0
30	176.667	30.501	40.557	18.329	26.991	0.958	1000000.0
31	177.547	30.218	39.259	17.945	41.619	0.96	1000000.0
32	177.251	30.546	39.951	18.481	31.869	0.959	1000000.0
33	182.764	30.541	42.005	18.339	34.305	0.958	1000000.0
34	177.949	30.441	40.697	18.236	31.865	0.959	1000000.0
35	177.828	30.282	40.856	18.093	17.241	0.959	1000000.0
36	175.189	30.52	39.328	18.407	5.048	0.957	1000000.0
37	177.938	30.285	40.322	18.137	22.127	0.96	1000000.0
38	150.744	30.339	32.013	18.022	2.608	0.96	1000000.0
39	175.757	30.345	39.574	18.072	19.693	0.959	1000000.0
40	177.763	30.348	40.658	18.198	22.112	0.958	1000000.0
41	179.114	30.261	41.097	18.112	7.486	0.96	1000000.0
42	160.169	30.554	37.615	18.514	24.562	0.959	1000000.0
43	152.815	30.549	32.993	18.283	2.613	0.959	1000000.0
44	178.213	30.307	40.072	17.934	5.039	0.96	1000000.0
45	182.932	30.785	41.751	18.416	34.311	0.957	1000000.0
46	176.107	30.412	39.673	18.204	19.677	0.96	1000000.0
47	177.307	30.394	39.741	18.152	19.671	0.959	1000000.0
48	175.919	30.349	39.391	18.136	34.305	0.959	1000000.0
49	174.567	30.401	40.507	18.094	2.606	0.958	1000000.0
50	175.434	30.196	39.357	18.141	2.606	0.96	1000000.0
51	178.682	30.49	40.698	18.439	29.43	0.959	1000000.0
52	177.917	30.461	40.634	18.188	26.993	0.958	1000000.0
53	176.3	30.204	40.539	17.893	17.236	0.96	1000000.0
54	175.811	30.315	39.116	18.063	5.046	0.96	1000000.0
55	176.561	30.539	39.679	18.352	19.672	0.96	1000000.0
56	181.548	30.061	41.321	17.857	7.484	0.961	1000000.0
57	175.933	30.16	44.114	17.914	2.609	0.96	1000000.0
58	177.567	30.267	40.131	18.076	22.126	0.96	1000000.0
59	156.253	30.48	34.157	18.18	14.817	0.96	1000000.0
60	175.052	30.265	38.564	18.074	14.798	0.959	1000000.0
61	176.414	30.003	39.51	17.842	14.795	0.961	1000000.0
62	175.841	30.402	39.836	18.267	17.239	0.959	1000000.0
63	176.524	30.302	40.539	18.236	31.864	0.959	1000000.0
64	177.859	30.338	40.457	18.144	26.985	0.96	1000000.0
65	177.158	30.422	39.511	18.088	2.61	0.96	1000000.0
66	178.07	30.792	41.537	18.378	17.261	0.958	1000000.0
67	176.685	30.33	39.985	18.27	29.453	0.96	1000000.0
68	177.21	30.474	40.979	18.322	31.871	0.959	1000000.0
69	178.342	30.327	39.937	18.207	7.484	0.959	1000000.0
70	177.061	30.421	40.087	18.168	2.608	0.96	1000000.0
71	177.631	30.278	40.036	18.093	9.927	0.96	1000000.0
72	177.817	30.234	40.323	18.114	5.045	0.959	1000000.0
73	153.159	30.625	32.423	18.322	27.002	0.959	1000000.0
74	177.628	30.261	40.218	17.948	31.863	0.96	1000000.0
75	174.615	30.386	39.285	18.205	2.606	0.959	1000000.0
76	178.382	30.499	39.814	18.362	36.739	0.961	1000000.0
77	176.605	30.373	39.91	18.203	26.994	0.959	1000000.0
78	176.015	30.363	39.554	18.218	31.873	0.959	1000000.0
79	176.695	30.205	39.399	18.05	5.046	0.961	1000000.0
80	165.293	30.213	39.796	17.961	14.798	0.96	1000000.0
81	151.383	30.328	32.193	18.083	31.873	0.959	1000000.0
82	175.358	30.418	39.498	18.192	24.552	0.96	1000000.0
83	176.679	30.247	40.476	18.051	24.553	0.96	1000000.0
84	178.051	30.343	40.925	18.144	17.24	0.96	1000000.0
85	171.365	30.086	37.607	18.007	14.801	0.96	1000000.0
86	177.2	30.459	40.569	18.334	22.11	0.958	1000000.0
87	176.123	30.378	39.668	18.134	34.304	0.96	1000000.0
88	178.735	30.248	40.597	18.081	26.995	0.96	1000000.0
89	173.934	30.206	38.399	17.933	5.049	0.96	1000000.0
90	152.136	30.638	32.757	18.407	9.934	0.958	1000000.0
91	163.353	30.718	38.412	18.336	12.382	0.958	1000000.0
92	151.766	30.494	31.621	18.185	22.117	0.96	1000000.0
93	176.188	30.259	40.356	17.953	19.672	0.961	1000000.0
94	173.482	30.551	39.177	18.328	24.556	0.959	1000000.0
95	179.367	30.463	41.24	18.136	34.33	0.959	1000000.0
96	176.359	30.292	40.022	18.1	12.358	0.959	1000000.0
97	177.892	30.125	40.148	17.993	12.358	0.961	1000000.0
98	178.33	30.509	40.507	18.275	5.05	0.959	1000000.0
99	176.197	30.293	42.123	18.076	5.044	0.96	1000000.0
100	158.691	30.585	36.037	18.317	19.676	0.959	1000000.0
