Samples	ID1	ID2	ID6	ID8	ID9	ID11	ID16	ID19	ID21	ID23
SP77443	718	0	0	0	0	0	0	0	0	0
SP72118	467	196	0	0	0	0	0	0	0	0
SP76891	351	196	0	0	0	0	0	0	0	0
SP125732	1269	6474	0	0	0	0	0	0	0	0
SP125716	579	185	0	0	0	0	0	0	0	0
SP125746	9388	38069	0	0	0	0	0	0	0	0
SP125797	377	363	0	0	0	0	0	0	0	0
SP76057	462	111	0	0	0	0	0	0	0	0
SP69565	497	408	583	0	0	0	0	0	0	0
SP75202	191	86	0	0	95	0	0	0	0	0
SP110736	308	225	0	0	0	0	0	0	0	0
SP107774	542	0	0	0	0	0	0	0	0	0
SP110779	372	125	0	0	131	0	0	0	0	0
SP107805	288	107	0	0	0	0	0	0	0	137
SP110789	217	83	704	165	0	0	0	0	0	0
SP71846	331	162	0	0	138	0	0	0	0	0
SP70122	423	200	0	0	0	0	0	0	0	0
SP71404	736	545	0	0	0	0	0	0	0	0
SP76955	475	62	0	0	0	0	0	0	0	0
SP107781	113	102	0	0	0	0	0	0	0	105
SP70202	222	0	457	180	0	0	0	0	0	0
SP70677	83	23	0	41	0	0	0	0	0	63
SP70082	114	46	0	0	56	0	0	0	0	0
SP70288	444	391	0	0	0	0	0	0	0	0
SP70266	237	46	0	0	0	0	0	0	0	118
SP107956	556	287	0	0	0	0	0	0	0	0
SP70956	184	122	0	0	74	0	0	0	0	0
SP108017	147	84	0	0	58	0	0	0	0	0
SP71536	267	92	0	0	0	0	0	0	0	0
SP70756	203	156	0	0	0	0	0	0	0	104
SP76675	573	185	612	0	0	0	0	0	0	0
SP71480	430	139	0	0	0	0	0	0	0	0
SP70313	172	94	0	0	0	0	0	0	0	125
SP73319	284	84	0	0	0	0	0	0	0	0
SP107813	400	233	0	0	0	0	0	0	0	0
SP77339	405	79	0	0	0	0	0	0	0	0
SP76017	226	163	0	0	0	0	0	0	0	0
SP76915	177	147	0	0	0	0	0	0	0	163
SP71974	762	360	691	276	0	0	0	0	0	0
SP70178	551	265	0	0	0	0	0	0	0	0
SP107920	356	167	0	0	0	0	0	0	0	0
SP110798	332	85	0	0	0	0	0	0	0	0
SP107952	478	155	0	0	0	0	0	0	0	0
SP70465	270	0	0	0	142	0	0	0	0	0
SP70780	452	231	0	0	0	0	0	0	0	0
SP110803	99	36	0	161	0	0	0	0	0	85
SP107915	306	125	0	0	0	0	0	0	0	0
SP71132	565	267	0	0	0	0	0	0	0	0
SP71552	415	137	0	0	0	0	0	0	0	166
SP69573	229	80	0	0	0	0	0	0	0	0
SP75681	476	0	0	0	0	0	0	0	0	0
SP107874	601	212	0	0	0	0	0	0	0	0
SP110816	240	68	0	0	0	0	0	0	0	0
SP77203	427	816	902	275	0	0	0	0	0	0
SP76515	434	132	0	0	0	0	0	0	0	0
SP110770	339	275	0	0	0	0	0	0	0	0
SP69812	137	67	0	0	60	0	0	0	0	0
SP76136	394	224	0	223	0	0	0	0	0	217
SP70106	166	92	409	0	0	0	0	0	0	0
SP108059	205	90	0	0	0	0	0	0	0	89
SP108020	365	168	0	0	0	0	0	0	0	0
SP76867	337	206	0	0	0	0	0	0	0	0
SP108088	326	168	0	0	0	0	0	0	0	0
SP71734	312	144	0	0	0	0	0	0	0	0
SP76001	135	41	0	0	0	0	0	0	0	88
SP108033	361	181	0	0	0	0	0	0	0	0
SP110822	440	215	0	0	0	0	0	0	0	0
SP69762	270	193	0	0	0	0	0	0	0	0
SP107945	425	169	0	0	0	0	0	0	0	0
SP107770	278	104	0	0	0	0	0	0	0	0
SP73263	396	208	0	0	0	0	0	0	0	0
SP77131	573	157	0	0	0	0	0	0	0	0
SP75322	925	838	0	0	0	0	0	0	0	0
SP70046	209	32	0	0	62	0	0	0	0	0
SP70932	411	113	0	0	0	0	0	0	0	0
SP71758	112	0	0	143	0	0	0	0	0	75
SP71228	550	499	0	0	0	0	0	0	0	0
SP76353	131	56	0	0	70	0	0	0	0	0
SP69587	167	41	0	0	0	0	0	0	0	0
SP69898	836	446	0	0	0	0	0	0	0	0
SP75977	176	68	0	0	0	0	0	0	0	106
SP70226	307	92	0	0	0	0	0	0	0	0
SP108068	265	143	0	0	0	0	0	0	0	125
SP107784	1143	178	0	0	0	0	0	0	0	0
SP110824	304	75	0	0	0	0	0	0	0	0
SP76843	620	211	0	0	0	0	0	0	0	0
SP71456	364	169	0	0	0	0	0	0	0	166
SP108065	208	181	0	0	0	0	0	0	0	96
SP70860	354	306	0	0	0	0	0	0	0	0
SP71084	326	132	0	0	0	0	0	0	0	0
SP72262	224	60	0	87	0	0	0	0	0	0
SP69705	262	228	0	0	0	0	0	0	0	0
SP107786	573	229	0	227	0	0	0	0	0	0
SP71576	175	68	0	0	0	0	0	0	0	89
SP108123	250	101	0	0	0	0	0	0	0	0
SP74896	274	81	0	0	99	0	0	0	0	0
SP71950	474	118	0	0	0	0	0	0	0	0
SP108049	159	36	0	66	0	0	0	0	0	0
SP116965	593	190	1259	0	310	0	0	0	0	0
SP77930	194	42	0	0	0	0	0	0	0	0
SP125807	682	195	0	0	0	0	0	0	0	0
SP125696	411	204	0	0	0	0	0	0	0	0
SP125725	438	260	0	0	0	0	0	0	0	0
SP125752	595	211	0	0	0	0	0	0	0	0
SP118048	658	745	0	0	0	0	0	0	0	0
SP117981	247	0	0	0	0	0	0	0	0	115
SP125749	151	47	0	0	103	0	0	0	0	0
SP125762	493	82	0	0	0	0	0	0	0	0
SP117164	268	120	0	0	0	0	0	0	0	0
SP117002	493	254	0	0	0	0	0	0	0	0
SP117158	144	57	0	0	104	0	0	0	0	0
SP125691	875	587	0	0	0	0	0	0	0	0
SP125721	379	120	0	0	0	0	0	0	0	0
SP125753	337	232	0	0	0	0	0	0	0	0
SP117972	261	116	0	0	79	0	0	0	0	0
SP125726	408	207	0	0	0	0	0	0	0	0
SP125800	55	0	0	0	0	0	0	0	0	0
SP117745	733	315	0	0	0	0	0	0	0	0
SP117351	158	95	0	0	0	0	0	0	0	87
SP117980	500	0	0	0	0	0	0	0	0	0
SP117878	335	189	0	0	0	0	0	0	0	0
SP125805	306	114	0	0	0	0	0	0	0	0
SP78013	562	230	0	0	0	0	0	0	0	0
SP118083	124	46	127	0	132	0	0	0	0	156
SP125772	238	0	0	0	0	0	0	0	0	0
SP117216	311	234	0	0	0	0	0	0	0	0
SP125784	194	106	0	0	98	0	0	0	0	0
SP117323	434	271	0	0	206	0	0	0	0	0
SP118046	578	187	0	0	0	0	0	0	0	0
SP77888	55	14	0	31	0	0	0	0	0	64
SP125766	347	162	0	0	0	0	0	0	0	0
SP125737	205	94	0	83	140	0	0	0	0	0
SP125763	947	252	0	0	0	0	0	0	0	0
SP125802	343	139	0	0	0	0	0	0	0	0
SP117656	167	64	119	137	86	0	0	0	0	0
