Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP23435	8	13	37	7	83	34	1	14	10	8	0
SP112829	2	0	55	9	32	82	0	212	16	0	3
SP112947	0	0	53	9	0	34	2	25	25	0	177
SP112985	0	0	0	0	0	0	0	0	0	0	32
SP112925	4	0	59	19	7	35	9	19	21	29	134
SP112937	8	14	1	10	34	16	1	6	12	0	20
SP112989	2	0	14	5	42	13	1	26	8	1	10
SP111145	28	0	39	13	111	18	0	16	37	7	0
SP111143	6	33	36	8	52	55	0	16	13	0	0
SP125584	2	0	2	2	0	0	2	5	1	0	0
SP111144	13	0	88	17	112	52	1	0	32	0	0
SP116296	0	0	6	0	37	15	0	7	0	2	3
SP116254	16	10	88	56	7	51	1	25	0	0	0
SP116256	18	0	87	59	7	46	1	22	1	0	0
SP116274	11	0	18	13	49	7	0	2	18	1	0
SP116259	5	0	62	2	63	26	1	14	8	10	0
SP116290	1	10	3	7	19	23	0	10	10	0	0
SP116258	3	12	84	34	37	37	0	17	2	0	0
SP116261	0	0	1	2	19	19	0	0	4	2	0
SP23463	0	0	17	6	1	10	2	12	12	0	0
SP116268	4	0	6	1	16	17	0	5	13	0	0
SP23471	4	1	24	4	21	17	0	8	9	0	0
SP116266	4	7	22	2	32	25	0	11	25	0	0
SP116264	6	10	41	2	29	43	7	15	21	5	0
SP116269	3	0	35	2	56	28	2	11	28	0	0
SP116275	14	0	28	7	58	11	1	5	16	1	0
SP23447	5	1	17	4	34	2	0	11	10	0	0
SP116255	24	0	98	63	19	32	2	26	1	0	0
SP23455	6	9	9	0	5	20	0	17	28	0	1
SP23475	10	2	7	0	26	18	0	4	15	0	0
SP116227	2	35	95	13	31	14	0	15	9	0	0
SP116226	3	0	10	2	22	16	0	0	6	7	1
SP23443	17	0	74	0	25	53	4	8	7	11	0
SP116260	15	2	42	5	60	22	0	16	5	2	0
SP116280	18	28	150	30	90	40	6	29	57	2	0
SP116224	4	0	22	12	29	11	0	0	3	0	0
SP116249	0	0	0	0	0	0	0	0	3	0	0
SP116232	1	0	0	0	1	9	0	3	3	0	0
SP116251	2	0	5	0	18	4	0	11	7	11	0
SP116272	10	0	28	8	67	0	1	0	9	0	0
SP116286	3	0	5	0	16	17	0	8	0	0	0
SP116282	4	0	28	0	30	40	0	3	7	8	0
SP116288	3	0	7	0	6	3	0	2	0	1	0
SP23467	3	0	29	7	42	13	0	4	13	2	1
SP116263	2	0	11	5	12	17	0	0	16	1	0
SP116292	5	0	7	0	27	17	0	0	5	0	0
SP116248	2	0	7	3	35	0	0	7	1	0	0
SP116276	1	0	0	2	0	11	0	3	0	0	0
SP116265	14	19	42	7	76	39	4	34	29	1	0
SP116267	9	13	31	1	56	31	1	22	21	0	0
SP116253	3	0	17	17	56	29	0	4	24	1	0
SP23481	1	4	1	0	3	27	0	1	13	0	0
SP116233	14	1	57	59	22	30	0	17	2	0	1
SP116284	15	0	48	13	27	11	0	24	4	4	0
SP116270	0	0	8	2	34	11	0	11	7	2	0
SP116257	3	11	74	13	25	34	1	20	15	0	0
SP116298	1	0	4	2	6	0	0	0	0	0	0
SP116294	0	0	1	7	7	17	0	0	0	0	0
SP23439	5	32	19	84	41	35	5	15	78	6	0
SP23483	0	0	0	0	0	6	0	3	0	1	0
SP116262	3	5	7	2	33	9	1	0	6	1	0
SP116228	31	4	91	92	41	85	1	17	46	14	0
SP116222	2	12	10	0	38	29	1	0	2	4	0
SP23451	1	23	0	1	51	23	0	2	2	0	0
SP116247	14	0	42	6	36	24	0	0	25	4	0
SP116225	1	0	0	12	43	27	0	5	8	0	5
SP116273	9	0	27	5	49	0	0	0	15	0	0
SP116221	6	0	19	5	6	12	0	21	7	2	0
SP116271	1	0	1	0	27	0	0	1	5	1	0
SP23459	2	0	23	0	27	9	0	8	13	3	0
SP23479	3	28	3	2	23	17	0	0	2	1	0
SP116223	7	1	14	0	17	20	0	13	10	1	0
SP116229	24	26	142	2	100	9	9	20	19	0	0
SP23477	2	0	7	9	29	11	1	6	0	4	0
SP116252	14	0	18	14	17	37	0	16	21	3	0
SP116278	0	0	0	0	0	6	0	0	0	0	0
SP23431	288	83	277	7	124	25	0	9	8	0	0
SP116231	2	0	51	3	27	15	1	10	5	0	0
SP116250	2	0	4	1	1	9	0	5	14	0	0
SP112815	13	0	110	26	82	60	4	15	8	5	29
SP112799	0	0	37	3	44	33	0	12	17	10	0
SP112835	2	1	9	0	98	44	0	31	33	12	8
SP112955	5	0	27	3	25	37	0	36	9	4	61
SP112807	16	0	62	5	116	38	1	15	12	2	37
SP112953	22	0	114	11	0	67	3	11	43	0	152
SP112911	2	0	28	6	23	39	2	8	6	0	42
SP112847	11	5	54	6	48	31	1	1	22	2	9
SP112859	11	0	103	18	85	89	6	27	58	18	37
SP112919	12	11	28	0	70	38	0	5	16	10	14
SP102652	9	21	43	6	39	30	4	37	24	9	0
SP112981	6	0	42	16	68	48	0	1	12	0	54
SP102620	23	0	44	13	72	58	1	20	23	11	39
SP112987	26	2	94	11	81	37	2	7	22	4	34
SP112825	22	0	43	6	62	65	6	11	24	0	16
SP112967	1	0	0	0	2	0	0	3	6	0	8
SP102622	14	0	75	3	113	69	0	15	56	18	0
SP112785	6	0	82	212	210	85	7	26	20	18	0
SP112793	11	22	55	8	86	57	3	15	6	8	0
SP112963	30	0	67	0	62	49	0	22	20	7	30
SP112801	23	0	174	0	115	76	0	14	47	15	0
SP112997	18	13	50	20	61	87	8	0	13	1	31
SP112973	11	0	217	10	47	71	4	30	32	1	33
SP112819	43	7	110	17	85	29	0	28	8	0	28
SP112941	7	28	10	20	74	33	6	21	33	3	6
SP112965	17	0	93	8	55	53	2	1	22	0	19
SP112791	24	0	103	11	51	52	4	39	31	0	0
SP112949	6	2	15	4	10	17	0	9	10	2	11
SP112857	8	0	95	13	29	59	3	19	28	7	35
SP112843	16	0	69	10	88	80	1	15	66	8	39
SP112915	15	11	18	14	99	19	6	43	26	0	20
SP112837	56	9	18	5	160	111	9	0	42	0	10
SP112823	8	8	37	9	30	45	0	21	16	5	12
SP102633	6	0	5	1	37	28	0	2	22	1	16
SP112899	1	0	27	5	36	22	6	4	13	15	66
SP112893	0	22	45	8	13	57	5	0	29	12	38
SP112895	15	1	124	11	30	24	1	8	32	1	39
SP102626	4	0	63	7	114	103	0	45	21	4	1
SP112795	16	0	136	1	59	41	1	5	42	14	2
SP112927	10	16	72	13	78	22	0	0	17	0	43
