Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP23435	9	15	2	41	7	22	1	63	28	15	8	4	0
SP112829	1	4	0	50	9	56	0	32	49	187	11	0	12
SP112947	3	0	0	48	9	24	2	22	18	21	20	0	158
SP112985	0	1	1	0	0	0	0	0	0	0	0	0	30
SP112925	4	0	0	39	15	27	8	5	78	10	14	15	121
SP112937	6	0	14	9	8	13	1	20	23	4	10	0	14
SP112989	3	0	0	22	5	9	1	34	5	23	7	2	11
SP111145	30	11	0	51	14	10	1	85	7	18	34	7	1
SP111143	7	23	5	31	7	39	0	33	47	15	12	0	0
SP125584	2	0	0	2	3	0	2	0	0	4	1	0	0
SP111144	15	11	0	99	17	40	1	90	12	0	30	0	0
SP116296	0	0	0	9	0	9	0	22	21	6	0	0	3
SP116254	16	17	6	75	53	39	1	7	18	22	0	0	0
SP116256	17	0	1	73	55	36	1	0	40	17	1	0	0
SP116274	12	0	0	28	13	5	0	38	0	4	17	2	0
SP116259	7	10	0	67	2	21	1	51	1	15	8	8	0
SP116290	1	8	0	0	6	15	0	12	24	8	8	0	1
SP116258	3	7	6	73	31	28	0	18	45	13	2	0	0
SP116261	0	0	0	5	2	14	0	16	4	0	4	1	1
SP23463	0	3	0	14	6	8	2	4	0	11	11	1	0
SP116268	4	4	0	6	1	12	0	18	0	6	11	0	0
SP23471	4	7	0	22	3	13	0	16	7	8	8	0	0
SP116266	5	21	0	14	2	19	0	27	5	12	23	0	0
SP116264	8	24	0	33	2	34	7	31	0	16	19	5	0
SP116269	3	6	1	40	2	20	2	42	11	12	26	0	0
SP116275	15	7	0	35	7	6	1	47	0	7	14	2	0
SP23447	6	8	0	19	4	1	0	26	0	11	9	0	0
SP116255	24	0	0	87	60	25	2	8	36	21	1	0	1
SP23455	6	7	0	5	0	14	0	3	16	14	27	0	3
SP23475	10	7	0	8	0	12	0	24	0	6	14	0	1
SP116227	4	29	12	77	12	8	0	12	41	11	8	0	0
SP116226	3	1	0	12	2	12	0	18	8	0	5	5	1
SP23443	16	0	5	72	0	40	4	20	20	8	6	8	0
SP116260	16	16	0	41	6	15	0	46	6	16	5	2	0
SP116280	20	43	13	137	28	31	6	64	26	26	52	4	0
SP116224	5	0	0	27	13	8	0	23	0	1	3	0	1
SP116249	0	0	0	0	0	0	0	0	0	0	3	0	0
SP116232	1	0	0	1	0	6	0	3	0	3	3	0	0
SP116251	1	0	0	0	0	1	0	3	35	7	6	4	1
SP116272	10	0	6	40	7	0	1	48	0	1	8	2	0
SP116286	2	0	0	6	0	13	0	10	11	7	0	0	0
SP116282	4	1	3	32	0	29	0	29	0	6	7	8	1
SP116288	2	0	0	4	0	2	0	0	14	0	0	0	0
SP23467	4	2	0	36	7	9	0	34	0	5	12	3	2
SP116263	2	0	0	13	5	13	0	11	3	0	15	1	1
SP116292	5	0	0	13	0	12	0	22	3	0	5	0	1
SP116248	2	0	0	14	3	0	0	28	0	7	0	1	0
SP116276	1	0	0	0	1	8	0	0	4	3	0	0	0
SP116265	16	26	0	38	6	28	4	55	34	32	26	0	0
SP116267	11	30	0	27	1	22	1	49	0	24	20	0	0
SP116253	3	0	3	29	17	22	0	46	0	6	22	3	0
SP23481	1	2	0	1	0	20	0	5	8	1	11	0	1
SP116233	14	5	3	52	56	23	0	15	18	14	2	0	1
SP116284	16	16	0	40	13	6	0	25	0	23	3	4	0
SP116270	1	3	0	13	3	7	0	27	0	12	7	2	0
SP116257	3	12	7	66	12	26	0	16	24	16	14	0	0
SP116298	1	0	1	5	2	0	0	4	0	0	0	0	0
SP116294	0	0	0	3	7	13	0	8	0	1	0	0	0
SP23439	9	46	0	4	81	26	5	35	22	14	71	5	2
SP23483	0	0	0	0	0	6	0	1	1	2	0	0	0
SP116262	2	1	6	15	2	7	1	27	0	0	5	1	0
SP116228	31	16	0	78	87	65	1	35	39	17	43	10	0
SP116222	3	6	0	10	0	19	1	22	33	0	2	1	1
SP23451	2	13	0	0	0	14	0	30	42	1	1	0	0
SP116247	15	7	0	45	6	16	0	33	0	0	23	5	1
SP116225	0	2	5	7	12	16	1	45	0	7	5	0	1
SP116273	10	7	2	31	5	0	0	37	0	0	13	0	0
SP116221	6	2	0	18	6	8	0	9	0	19	7	3	0
SP116271	1	0	0	4	0	0	0	15	9	1	5	1	0
SP23459	3	0	0	26	0	6	0	19	7	7	13	3	1
SP23479	8	28	0	0	2	12	0	24	0	1	3	1	0
SP116223	7	9	0	11	0	15	0	16	0	13	10	1	1
SP116229	27	57	9	127	4	3	9	76	0	22	17	0	0
SP23477	2	0	0	9	9	7	1	20	13	5	0	2	1
SP116252	13	0	2	19	13	28	0	15	13	14	20	3	0
SP116278	0	0	0	0	0	5	0	1	0	0	0	0	0
SP23431	275	51	63	255	6	15	0	64	83	5	4	0	0
SP116231	2	6	2	50	3	12	1	21	2	10	5	0	0
