MutationType	ID83A	ID83B
1:Del:C:0	6.39E-06	3.15E-05
1:Del:C:1	3.93E-06	2.27E-05
1:Del:C:2	3.98E-06	1.83E-05
1:Del:C:3	6.82E-06	1.51E-05
1:Del:C:4	9.28E-06	1.04E-05
1:Del:C:5	1.97E-05	1.44E-05
1:Del:T:0	5.38E-06	2.32E-05
1:Del:T:1	4.51E-06	2.07E-05
1:Del:T:2	5.55E-06	2.59E-05
1:Del:T:3	1.06E-05	2.29E-05
1:Del:T:4	1.89E-05	2.09E-05
1:Del:T:5	6.90E-05	7.46E-05
1:Ins:C:0	3.86E-06	1.55E-05
1:Ins:C:1	1.74E-06	1.00E-05
1:Ins:C:2	1.96E-06	8.49E-06
1:Ins:C:3	3.64E-06	7.64E-06
1:Ins:C:4	6.53E-06	6.71E-06
1:Ins:C:5	1.81E-05	2.34E-05
1:Ins:T:0	5.69E-06	1.39E-05
1:Ins:T:1	2.88E-06	1.74E-05
1:Ins:T:2	7.66E-06	1.49E-05
1:Ins:T:3	5.96E-06	1.20E-05
1:Ins:T:4	6.22E-06	1.35E-05
1:Ins:T:5	6.15E-05	7.78E-05
2:Del:R:0	5.08E-06	1.79E-05
2:Del:R:1	5.26E-06	2.02E-05
2:Del:R:2	4.30E-06	1.11E-05
2:Del:R:3	7.38E-06	7.98E-06
2:Del:R:4	6.11E-06	4.75E-06
2:Del:R:5	1.16E-05	1.37E-05
3:Del:R:0	2.72E-06	1.14E-05
3:Del:R:1	5.00E-06	1.60E-05
3:Del:R:2	3.28E-06	7.52E-06
3:Del:R:3	2.10E-06	4.98E-06
3:Del:R:4	1.20E-06	4.49E-06
3:Del:R:5	1.78E-06	6.41E-06
4:Del:R:0	1.53E-06	1.09E-05
4:Del:R:1	3.86E-06	1.54E-05
4:Del:R:2	2.62E-06	8.95E-06
4:Del:R:3	1.94E-06	5.81E-06
4:Del:R:4	1.30E-06	4.69E-06
4:Del:R:5	2.31E-06	3.34E-06
5:Del:R:0	3.15E-06	3.30E-05
5:Del:R:1	2.32E-06	1.03E-05
5:Del:R:2	1.50E-06	5.38E-06
5:Del:R:3	1.11E-06	2.62E-06
5:Del:R:4	8.62E-07	1.43E-06
5:Del:R:5	1.20E-06	1.16E-06
2:Ins:R:0	7.04E-06	1.48E-05
2:Ins:R:1	2.19E-06	9.49E-06
2:Ins:R:2	2.75E-06	7.01E-06
2:Ins:R:3	3.10E-06	5.52E-06
2:Ins:R:4	6.37E-06	7.01E-06
2:Ins:R:5	1.43E-05	1.91E-05
3:Ins:R:0	2.92E-06	9.79E-06
3:Ins:R:1	9.51E-07	7.40E-06
3:Ins:R:2	1.17E-06	3.78E-06
3:Ins:R:3	1.15E-06	1.81E-06
3:Ins:R:4	1.22E-06	2.22E-06
3:Ins:R:5	3.30E-06	4.53E-06
4:Ins:R:0	4.90E-06	1.30E-05
4:Ins:R:1	1.47E-06	8.29E-06
4:Ins:R:2	1.65E-06	3.34E-06
4:Ins:R:3	1.96E-06	2.46E-06
4:Ins:R:4	2.59E-06	3.26E-06
4:Ins:R:5	1.45E-06	4.49E-06
5:Ins:R:0	8.32E-06	3.28E-05
5:Ins:R:1	1.98E-06	1.73E-05
5:Ins:R:2	1.04E-06	4.23E-06
5:Ins:R:3	9.59E-07	2.92E-06
5:Ins:R:4	6.49E-07	2.13E-06
5:Ins:R:5	3.68E-07	1.90E-06
2:Del:M:1	5.34E-06	1.92E-05
3:Del:M:1	1.93E-06	1.03E-05
3:Del:M:2	3.93E-06	1.39E-05
4:Del:M:1	2.57E-06	1.09E-05
4:Del:M:2	2.16E-06	1.14E-05
4:Del:M:3	3.05E-06	1.33E-05
5:Del:M:1	3.93E-06	3.23E-05
5:Del:M:2	1.31E-06	3.17E-05
5:Del:M:3	1.86E-06	2.70E-05
5:Del:M:4	1.20E-06	2.07E-05
5:Del:M:5	1.48E-06	1.94E-05
