MutationType	ID83A	ID83B	ID83C
1:Del:C:0	8.45E-06	5.49E-05	9.97E-05
1:Del:C:1	5.59E-06	4.73E-05	7.29E-05
1:Del:C:2	4.61E-06	2.78E-05	5.33E-05
1:Del:C:3	7.08E-06	2.24E-05	3.43E-05
1:Del:C:4	9.14E-06	1.54E-05	2.76E-05
1:Del:C:5	2.03E-05	3.78E-05	5.39E-05
1:Del:T:0	6.18E-06	4.14E-05	6.33E-05
1:Del:T:1	5.13E-06	3.67E-05	5.69E-05
1:Del:T:2	6.19E-06	4.20E-05	6.02E-05
1:Del:T:3	1.09E-05	3.26E-05	6.22E-05
1:Del:T:4	1.80E-05	3.66E-05	7.10E-05
1:Del:T:5	1.01E-04	6.11E-04	8.87E-04
1:Ins:C:0	4.11E-06	2.16E-05	4.91E-05
1:Ins:C:1	1.85E-06	1.32E-05	2.30E-05
1:Ins:C:2	1.83E-06	1.14E-05	1.58E-05
1:Ins:C:3	3.42E-06	9.82E-06	1.25E-05
1:Ins:C:4	6.16E-06	8.99E-06	1.46E-05
1:Ins:C:5	1.69E-05	3.11E-05	3.51E-05
1:Ins:T:0	5.55E-06	2.09E-05	3.60E-05
1:Ins:T:1	3.69E-06	2.82E-05	3.39E-05
1:Ins:T:2	7.47E-06	1.96E-05	2.88E-05
1:Ins:T:3	5.61E-06	1.87E-05	2.97E-05
1:Ins:T:4	5.98E-06	1.97E-05	2.45E-05
1:Ins:T:5	5.53E-05	2.47E-04	4.10E-04
2:Del:R:0	4.87E-06	2.64E-05	4.39E-05
2:Del:R:1	5.30E-06	3.23E-05	3.92E-05
2:Del:R:2	4.19E-06	1.47E-05	2.44E-05
2:Del:R:3	7.67E-06	1.19E-05	1.97E-05
2:Del:R:4	5.80E-06	7.57E-06	1.08E-05
2:Del:R:5	1.25E-05	1.89E-05	1.18E-05
3:Del:R:0	2.86E-06	1.73E-05	3.99E-05
3:Del:R:1	5.03E-06	2.36E-05	3.30E-05
3:Del:R:2	3.14E-06	1.06E-05	1.52E-05
3:Del:R:3	2.03E-06	6.48E-06	1.01E-05
3:Del:R:4	1.30E-06	6.36E-06	5.63E-06
3:Del:R:5	1.85E-06	8.55E-06	1.70E-09
4:Del:R:0	1.68E-06	1.39E-05	3.26E-05
4:Del:R:1	4.06E-06	2.07E-05	3.35E-05
4:Del:R:2	2.52E-06	1.09E-05	1.55E-05
4:Del:R:3	2.00E-06	8.64E-06	1.11E-05
4:Del:R:4	1.36E-06	6.32E-06	5.47E-06
4:Del:R:5	1.99E-06	4.39E-06	3.51E-06
5:Del:R:0	1.40E-47	5.43E-05	1.69E-04
5:Del:R:1	2.52E-06	1.40E-05	3.33E-05
5:Del:R:2	1.51E-06	7.26E-06	1.24E-05
5:Del:R:3	1.05E-06	3.86E-06	6.22E-06
5:Del:R:4	6.84E-07	1.80E-06	5.86E-07
5:Del:R:5	1.16E-06	1.66E-06	2.49E-06
2:Ins:R:0	6.90E-06	2.24E-05	4.29E-05
2:Ins:R:1	2.20E-06	1.31E-05	1.93E-05
2:Ins:R:2	2.72E-06	9.89E-06	1.45E-05
2:Ins:R:3	3.13E-06	7.30E-06	1.20E-05
2:Ins:R:4	6.33E-06	1.08E-05	1.72E-05
2:Ins:R:5	1.39E-05	2.63E-05	4.49E-05
3:Ins:R:0	3.16E-06	1.51E-05	3.18E-05
3:Ins:R:1	1.06E-06	9.78E-06	1.48E-05
3:Ins:R:2	1.18E-06	5.44E-06	1.44E-05
3:Ins:R:3	1.15E-06	2.22E-06	5.40E-06
3:Ins:R:4	1.34E-06	2.97E-06	5.42E-06
3:Ins:R:5	3.23E-06	5.74E-06	7.04E-06
4:Ins:R:0	5.13E-06	1.85E-05	3.28E-05
4:Ins:R:1	1.43E-06	1.20E-05	1.67E-05
4:Ins:R:2	1.63E-06	4.58E-06	1.07E-05
4:Ins:R:3	2.00E-06	3.16E-06	5.54E-06
4:Ins:R:4	2.37E-06	4.45E-06	5.70E-06
4:Ins:R:5	1.39E-06	6.34E-06	8.16E-06
5:Ins:R:0	9.72E-06	5.78E-05	1.00E-04
5:Ins:R:1	3.22E-06	2.23E-05	5.67E-05
5:Ins:R:2	1.03E-06	5.15E-06	1.25E-05
5:Ins:R:3	8.31E-07	4.05E-06	6.68E-06
5:Ins:R:4	6.11E-07	3.04E-06	3.99E-06
5:Ins:R:5	3.14E-07	2.41E-06	1.97E-06
2:Del:M:1	5.64E-06	2.91E-05	4.40E-05
3:Del:M:1	1.85E-06	1.41E-05	3.38E-05
3:Del:M:2	3.96E-06	2.00E-05	3.14E-05
4:Del:M:1	2.72E-06	1.56E-05	3.36E-05
4:Del:M:2	2.27E-06	1.66E-05	3.82E-05
4:Del:M:3	3.14E-06	1.63E-05	3.27E-05
5:Del:M:1	5.01E-06	4.19E-05	1.81E-04
5:Del:M:2	2.76E-06	4.03E-05	2.98E-04
5:Del:M:3	2.44E-06	1.39E-05	2.31E-04
5:Del:M:4	1.74E-06	1.29E-05	1.34E-04
5:Del:M:5	1.84E-06	2.11E-05	1.08E-04
