NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	326.889	34.087	91.241	22.576	1.62	0.952	1000000.0
2	328.871	34.124	92.08	22.739	0.193	0.952	1000000.0
3	329.697	34.139	92.054	22.79	0.193	0.952	1000000.0
4	328.286	33.928	91.511	22.498	0.193	0.953	1000000.0
5	327.099	34.057	90.904	22.586	3.041	0.952	1000000.0
6	328.819	34.118	91.617	22.762	1.618	0.952	1000000.0
7	329.238	34.209	91.627	22.838	0.195	0.952	1000000.0
8	330.978	34.054	92.707	22.627	1.615	0.953	1000000.0
9	329.898	34.208	91.568	22.728	0.192	0.952	1000000.0
10	327.727	34.132	91.064	22.731	1.615	0.952	1000000.0
11	330.321	34.163	92.658	22.719	0.195	0.952	1000000.0
12	325.423	34.042	89.768	22.571	1.617	0.952	1000000.0
13	326.584	34.098	90.186	22.683	3.039	0.953	1000000.0
14	325.389	33.988	90.455	22.517	1.619	0.953	1000000.0
15	330.321	34.158	92.164	22.832	0.201	0.952	1000000.0
16	330.599	34.076	93.029	22.592	4.463	0.952	1000000.0
17	326.682	34.044	90.574	22.573	0.193	0.952	1000000.0
18	325.321	34.122	89.828	22.735	0.193	0.952	1000000.0
19	328.982	34.148	92.599	22.782	1.618	0.952	1000000.0
20	327.055	33.965	91.065	22.487	1.614	0.952	1000000.0
21	329.305	34.308	92.512	22.87	0.2	0.952	1000000.0
22	328.222	34.181	91.696	22.823	1.617	0.953	1000000.0
23	329.836	34.178	91.997	22.705	0.196	0.952	1000000.0
24	328.66	34.078	91.829	22.618	4.469	0.952	1000000.0
25	329.653	34.118	92.1	22.798	1.618	0.952	1000000.0
26	325.12	34.057	89.421	22.583	0.193	0.952	1000000.0
27	328.377	34.168	91.349	22.743	0.201	0.951	1000000.0
28	328.724	34.087	91.793	22.694	0.194	0.953	1000000.0
29	330.029	34.063	92.106	22.678	0.194	0.952	1000000.0
30	328.208	34.045	91.34	22.539	3.037	0.952	1000000.0
31	327.798	34.092	91.512	22.716	0.193	0.951	1000000.0
32	331.071	34.132	93.47	22.806	3.041	0.952	1000000.0
33	328.078	34.143	91.139	22.731	1.618	0.951	1000000.0
34	328.012	34.107	91.431	22.557	1.618	0.952	1000000.0
35	328.507	34.149	92.023	22.756	1.617	0.951	1000000.0
36	328.231	34.194	91.385	22.647	0.194	0.952	1000000.0
37	327.2	34.123	90.993	22.746	0.193	0.952	1000000.0
38	328.35	34.089	91.676	22.733	1.617	0.952	1000000.0
39	327.489	34.143	90.64	22.671	0.195	0.952	1000000.0
40	327.993	34.12	91.243	22.69	0.193	0.953	1000000.0
41	329.118	34.159	92.042	22.802	0.193	0.952	1000000.0
42	328.286	34.008	91.954	22.656	0.194	0.952	1000000.0
43	325.953	34.082	90.206	22.728	0.197	0.952	1000000.0
44	327.031	34.051	90.735	22.685	1.615	0.953	1000000.0
45	328.277	34.04	91.765	22.555	0.193	0.952	1000000.0
46	329.137	33.996	92.252	22.581	1.615	0.952	1000000.0
47	329.416	34.087	91.516	22.523	0.193	0.953	1000000.0
48	326.115	34.071	90.416	22.586	0.195	0.953	1000000.0
49	330.831	34.025	92.956	22.615	0.193	0.952	1000000.0
50	326.596	33.887	90.866	22.45	1.614	0.953	1000000.0
51	329.524	33.997	91.945	22.538	4.463	0.953	1000000.0
52	328.385	34.212	91.953	22.803	3.041	0.951	1000000.0
53	330.516	34.103	93.029	22.556	0.193	0.952	1000000.0
54	330.193	34.254	93.042	22.96	0.223	0.951	1000000.0
55	328.81	34.153	91.638	22.811	1.617	0.952	1000000.0
56	329.172	34.028	91.61	22.522	0.192	0.952	1000000.0
57	325.455	34.078	89.567	22.609	1.614	0.953	1000000.0
58	328.208	33.972	92.124	22.597	0.193	0.953	1000000.0
59	327.914	34.219	91.157	22.808	1.617	0.952	1000000.0
60	328.671	34.132	91.7	22.726	3.039	0.952	1000000.0
61	326.911	34.112	90.636	22.685	0.192	0.953	1000000.0
62	325.313	33.991	90.036	22.512	0.195	0.952	1000000.0
63	331.011	34.107	92.989	22.748	0.193	0.952	1000000.0
64	327.607	34.108	91.023	22.596	1.615	0.953	1000000.0
65	327.772	33.996	90.786	22.505	0.199	0.952	1000000.0
66	329.835	34.152	91.925	22.676	1.615	0.952	1000000.0
67	328.913	34.069	91.969	22.556	1.614	0.953	1000000.0
68	328.402	34.123	91.598	22.633	3.039	0.952	1000000.0
69	326.397	34.067	90.05	22.514	0.194	0.952	1000000.0
70	327.603	34.121	90.908	22.826	0.198	0.951	1000000.0
71	329.792	34.23	92.541	22.837	0.195	0.952	1000000.0
72	326.252	34.028	90.463	22.587	0.192	0.952	1000000.0
73	325.952	34.057	90.444	22.705	1.623	0.952	1000000.0
74	327.146	34.007	91.317	22.516	0.194	0.953	1000000.0
75	333.31	34.176	94.189	22.668	1.618	0.953	1000000.0
76	328.698	34.183	91.664	22.755	1.614	0.952	1000000.0
77	327.75	34.109	91.709	22.762	0.193	0.952	1000000.0
78	329.692	34.083	92.283	22.635	1.618	0.952	1000000.0
79	331.332	34.074	93.434	22.81	0.194	0.952	1000000.0
80	327.591	34.073	91.162	22.517	1.618	0.953	1000000.0
81	327.164	34.08	90.964	22.794	4.471	0.953	1000000.0
82	328.104	34.105	91.605	22.723	0.193	0.953	1000000.0
83	327.178	33.971	90.764	22.464	0.193	0.952	1000000.0
84	326.922	34.067	91.523	22.56	1.618	0.953	1000000.0
85	328.618	34.134	92.431	22.728	0.195	0.952	1000000.0
86	327.344	34.149	91.092	22.714	0.192	0.953	1000000.0
87	332.926	34.291	93.826	22.85	0.208	0.952	1000000.0
88	327.213	34.096	90.873	22.667	0.193	0.952	1000000.0
89	326.69	34.114	89.993	22.575	0.198	0.95	1000000.0
90	330.817	34.043	92.429	22.564	0.194	0.953	1000000.0
91	329.703	34.15	92.513	22.748	1.614	0.952	1000000.0
92	327.447	34.19	90.856	22.717	1.62	0.952	1000000.0
93	327.91	34.131	91.093	22.689	0.193	0.952	1000000.0
94	327.757	34.1	91.696	22.666	0.193	0.953	1000000.0
95	327.254	33.987	91.02	22.611	1.616	0.952	1000000.0
96	329.242	34.174	91.837	22.82	0.193	0.952	1000000.0
97	327.229	33.928	91.211	22.52	0.193	0.952	1000000.0
98	325.363	33.913	89.823	22.439	0.192	0.953	1000000.0
99	329.222	34.011	92.254	22.582	0.192	0.953	1000000.0
