MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.74E-05	1.03E-04	3.18E-04	1.80E-04	6.58E-04
1:Del:C:1	1.43E-05	4.80E-05	2.59E-04	1.79E-04	5.16E-04
1:Del:C:2	1.16E-05	3.70E-10	2.05E-04	1.32E-04	3.62E-04
1:Del:C:3	9.90E-06	3.77E-05	1.14E-04	7.46E-05	1.73E-04
1:Del:C:4	1.03E-05	7.97E-11	7.10E-05	4.46E-05	1.14E-04
1:Del:C:5	2.46E-05	6.35E-05	6.27E-05	5.08E-05	1.88E-04
1:Del:T:0	1.34E-05	9.93E-05	1.62E-04	1.30E-04	3.54E-04
1:Del:T:1	1.17E-05	7.73E-05	1.42E-04	1.19E-04	3.30E-04
1:Del:T:2	1.26E-05	8.33E-05	1.41E-04	1.16E-04	3.46E-04
1:Del:T:3	1.61E-05	8.81E-05	1.45E-04	1.23E-04	4.43E-04
1:Del:T:4	2.01E-05	9.88E-05	1.18E-04	1.11E-04	2.61E-04
1:Del:T:5	2.06E-04	6.35E-04	1.87E-04	6.48E-04	2.04E-03
1:Ins:C:0	7.57E-06	9.11E-05	4.67E-05	9.99E-05	4.78E-04
1:Ins:C:1	2.74E-06	3.63E-05	4.50E-05	2.79E-05	1.30E-04
1:Ins:C:2	2.43E-06	2.32E-05	3.22E-05	2.12E-05	7.66E-05
1:Ins:C:3	3.72E-06	2.55E-05	2.58E-05	1.79E-05	7.83E-05
1:Ins:C:4	6.59E-06	2.39E-05	2.66E-05	1.73E-05	6.96E-05
1:Ins:C:5	2.03E-05	1.07E-04	7.77E-05	6.44E-06	2.96E-04
1:Ins:T:0	6.17E-06	7.62E-05	7.45E-05	5.67E-05	2.93E-04
1:Ins:T:1	5.57E-06	5.76E-05	9.72E-05	6.61E-05	2.21E-04
1:Ins:T:2	8.44E-06	4.67E-05	9.32E-05	5.16E-05	1.77E-04
1:Ins:T:3	6.87E-06	4.92E-05	6.77E-05	4.43E-05	1.44E-04
1:Ins:T:4	8.29E-06	6.34E-05	5.17E-05	4.03E-05	1.39E-04
1:Ins:T:5	2.68E-04	1.96E-03	1.40E-03	7.68E-04	6.54E-03
2:Del:R:0	9.22E-06	5.23E-05	1.04E-04	6.48E-05	2.76E-04
2:Del:R:1	1.96E-05	8.64E-05	2.35E-04	6.77E-05	8.00E-04
2:Del:R:2	6.81E-06	3.72E-05	6.33E-05	3.20E-05	1.98E-04
2:Del:R:3	9.23E-06	2.36E-05	3.63E-05	2.31E-05	7.66E-05
2:Del:R:4	6.37E-06	1.83E-05	2.56E-05	2.90E-06	5.02E-05
2:Del:R:5	2.28E-05	1.17E-06	1.70E-04	1.84E-05	7.35E-04
3:Del:R:0	4.20E-06	3.10E-05	6.06E-05	4.80E-05	1.09E-04
3:Del:R:1	1.49E-05	7.41E-05	1.77E-04	4.97E-05	5.98E-04
3:Del:R:2	7.08E-06	3.38E-05	6.39E-05	1.69E-05	1.82E-04
3:Del:R:3	2.71E-06	1.62E-05	2.52E-05	1.28E-05	5.69E-05
3:Del:R:4	3.47E-06	1.04E-06	4.22E-05	6.68E-06	1.68E-04
3:Del:R:5	7.31E-06	1.71E-06	8.30E-05	0.00E+00	3.38E-04
4:Del:R:0	2.58E-06	2.52E-05	4.52E-05	3.64E-05	8.19E-05
