Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP23435	6.43E-01	1.02E+00	4.74E+00	4.85E-01	4.69E+00	3.85E-01
SP112829	5.59E-01	1.41E+00	8.41E+00	7.09E-01	7.84E+00	2.76E-01
SP112947	3.47E-01	1.37E+00	8.82E+00	4.89E-01	8.07E+00	2.14E-01
SP112985	1.87E-01	2.09E-01	1.45E+00	0.00E+00	1.36E+00	1.45E-01
SP112925	7.35E-01	1.20E+00	6.84E+00	7.60E-01	7.15E+00	9.89E-01
SP112937	5.82E-01	5.28E-01	2.03E+00	4.98E-01	1.94E+00	6.77E-02
SP112989	2.34E-01	6.00E-01	2.59E+00	2.73E-01	2.27E+00	0.00E+00
SP111145	8.51E-01	1.13E+00	5.45E+00	6.02E-01	5.40E+00	2.02E-01
SP111143	5.92E-01	8.81E-01	4.85E+00	5.21E-01	4.92E+00	2.81E-02
SP125584	1.69E-01	1.85E-01	2.23E-01	2.07E-01	8.92E-02	1.48E-01
SP111144	6.72E-01	1.34E+00	6.74E+00	8.19E-01	6.30E+00	0.00E+00
SP116296	8.07E-02	5.22E-01	2.59E+00	2.14E-01	2.36E+00	0.00E+00
SP116254	6.58E-01	1.03E+00	2.81E+00	1.17E+00	2.29E+00	0.00E+00
SP116256	6.75E-01	1.05E+00	2.24E+00	1.05E+00	1.91E+00	0.00E+00
SP116274	5.00E-01	7.28E-01	2.10E+00	5.93E-01	2.06E+00	9.89E-02
SP116259	4.29E-01	1.02E+00	3.69E+00	3.44E-01	3.44E+00	2.17E-01
SP116290	2.28E-01	4.36E-01	2.51E+00	4.64E-01	2.43E+00	0.00E+00
SP116258	4.43E-01	9.47E-01	3.74E+00	8.65E-01	3.31E+00	0.00E+00
SP116261	0.00E+00	3.57E-01	1.63E+00	3.44E-01	1.54E+00	1.80E-01
SP23463	7.64E-02	4.52E-01	1.37E+00	3.94E-01	1.26E+00	2.02E-01
SP116268	2.82E-01	4.59E-01	1.91E+00	2.47E-01	1.81E+00	0.00E+00
SP23471	3.02E-01	5.86E-01	2.17E+00	3.16E-01	1.95E+00	0.00E+00
SP116266	3.38E-01	6.92E-01	3.06E+00	3.76E-01	3.04E+00	0.00E+00
SP116264	4.46E-01	1.03E+00	3.30E+00	4.86E-01	3.31E+00	4.67E-01
SP116269	2.96E-01	8.30E-01	3.60E+00	4.49E-01	3.58E+00	1.41E-02
SP116275	4.90E-01	6.94E-01	2.54E+00	3.49E-01	2.39E+00	1.11E-01
SP23447	3.49E-01	6.83E-01	2.21E+00	2.91E-01	1.98E+00	0.00E+00
SP116255	7.09E-01	1.09E+00	2.08E+00	1.12E+00	1.65E+00	1.00E-02
