Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP23435	12	55	102	6	17	0	23
SP112829	0	55	121	11	224	0	0
SP112947	0	58	34	12	152	0	69
SP112985	0	1	0	0	31	0	0
SP112925	5	67	26	26	135	11	66
SP112937	13	10	42	10	25	0	22
SP112989	2	20	44	3	38	0	15
SP111145	33	54	94	8	17	0	63
SP111143	12	55	117	11	13	0	11
SP125584	2	3	0	3	4	2	0
SP111144	13	103	133	17	0	0	49
SP116296	0	10	48	0	11	0	1
SP116254	16	95	59	64	17	3	0
SP116256	17	86	55	67	14	2	0
SP116274	13	25	39	12	0	0	30
SP116259	5	73	74	2	18	0	19
SP116290	3	8	48	9	7	0	8
SP116258	3	97	74	38	14	0	0
SP116261	0	1	38	3	0	0	5
SP23463	0	17	16	7	7	2	11
SP116268	4	6	36	2	0	0	14
SP23471	4	28	37	4	5	0	10
SP116266	5	29	59	2	3	0	30
SP116264	8	49	79	5	7	8	23
SP116269	3	44	75	1	3	0	39
SP116275	16	36	53	4	3	0	29
SP23447	6	23	26	1	12	0	16
SP116255	23	102	49	68	22	1	0
SP23455	8	12	30	1	14	0	30
SP23475	11	9	44	0	0	0	18
SP116227	6	126	40	13	17	0	12
SP116226	4	12	38	3	0	0	10
SP23443	19	77	94	2	0	7	0
SP116260	17	51	68	4	18	0	11
SP116280	22	186	110	30	23	3	76
SP116224	4	26	34	12	0	0	5
SP116249	0	0	0	0	0	0	3
SP116232	1	0	9	1	2	0	4
SP116251	3	8	16	0	20	0	11
SP116272	11	40	39	4	3	0	26
SP116286	3	5	35	0	6	0	0
SP116282	6	30	74	2	0	0	8
SP116288	3	8	9	0	2	0	0
SP23467	3	36	45	6	1	0	23
SP116263	2	11	27	6	0	0	18
SP116292	6	9	40	0	0	0	6
SP116248	2	13	20	1	11	0	8
SP116276	1	0	9	3	3	1	0
SP116265	19	61	102	7	34	2	40
SP116267	12	45	80	1	20	0	27
SP116253	3	23	74	18	0	0	33
SP23481	2	0	35	3	0	1	9
SP116233	13	60	51	64	15	0	0
SP116284	16	54	36	12	25	0	3
SP116270	0	12	39	1	13	0	10
SP116257	3	88	65	15	14	0	11
SP116298	1	5	1	2	2	0	2
SP116294	0	0	23	9	0	0	0
SP23439	8	41	62	93	7	5	104
SP23483	0	0	5	0	5	0	0
SP116262	4	14	32	1	0	0	16
SP116228	33	94	138	108	3	1	45
SP116222	5	18	69	1	0	1	4
SP23451	6	15	67	0	6	0	9
SP116247	15	47	52	6	0	0	31
SP116225	1	0	70	12	6	0	12
SP116273	10	35	28	2	0	0	30
SP116221	6	19	22	6	20	0	5
SP116271	2	5	12	0	4	0	13
SP23459	2	27	31	0	7	0	18
SP23479	10	19	39	3	0	0	8
SP116223	8	15	39	0	11	0	10
SP116229	29	181	79	0	21	4	37
SP23477	3	10	36	9	11	0	0
SP116252	16	16	65	18	11	0	14
SP116278	0	0	4	1	0	0	1
SP23431	344	328	133	0	0	0	16
SP116231	1	56	37	3	8	1	8
SP116250	2	4	13	2	0	0	15
SP112815	12	125	136	29	31	3	16
SP112799	1	42	75	5	11	0	22
SP112835	5	19	125	0	37	0	52
SP112955	5	28	67	4	88	0	15
SP112807	19	77	133	1	40	0	34
SP112953	24	123	68	20	102	3	83
SP112911	2	30	64	10	31	2	17
SP112847	13	64	71	7	0	0	35
SP112859	12	114	175	24	45	5	77
SP112919	17	40	102	0	18	0	27
SP102652	13	62	60	7	48	3	29
SP112981	8	49	110	19	31	0	30
SP102620	28	49	124	16	48	0	39
SP112987	29	110	101	10	27	0	43
SP112825	26	44	135	10	9	5	26
SP112967	1	1	0	0	8	0	10
SP102622	16	89	173	4	5	0	76
SP112785	3	108	246	225	37	1	46
SP112793	17	76	138	10	13	3	14
SP112963	34	74	106	0	41	0	32
SP112801	24	195	185	0	2	0	58
SP112997	24	57	154	29	7	10	21
SP112973	7	238	126	13	34	3	35
SP112819	49	126	100	14	49	0	17
SP112941	13	32	92	20	31	4	49
SP112965	18	101	109	11	0	1	30
SP112791	24	112	107	13	29	3	27
SP112949	6	16	31	5	18	0	10
SP112857	8	102	101	17	34	3	31
SP112843	19	77	172	13	22	0	89
SP112915	19	37	83	11	67	2	52
SP112837	68	27	245	9	0	6	65
SP112823	10	44	79	12	27	0	19
SP102633	8	6	63	2	5	0	34
SP112899	2	35	42	7	58	6	45
SP112893	3	57	84	15	20	8	42
SP112895	14	138	51	11	26	0	46
SP102626	4	69	232	10	37	0	10
SP112795	16	152	91	1	0	0	57
SP112927	14	96	79	11	26	0	45
SP112779	6	177	178	3	23	0	35
SP112975	16	153	111	16	29	0	39
SP112867	5	32	127	16	55	0	25
SP112903	13	69	95	9	26	0	33
SP112933	13	46	59	8	18	0	11
SP112869	13	134	121	8	56	0	42
SP112999	1	5	34	7	14	0	20
SP112939	6	56	68	8	0	0	34
SP112921	15	6	99	22	30	0	8
SP112901	6	44	94	13	33	5	14
SP112831	0	44	106	0	25	0	33
SP112891	9	70	99	6	30	0	37
SP112775	21	97	170	17	0	1	68
SP112897	8	86	112	3	49	0	68
SP112885	14	71	45	5	37	0	34
SP112789	12	89	153	237	0	8	117
SP102630	47	75	209	28	32	0	56
SP112971	38	64	111	15	112	0	0
SP112821	2	127	52	1	0	2	24
SP112813	0	7	63	2	18	0	15
SP112961	45	139	91	127	95	4	23
SP112977	28	32	88	12	22	0	39
SP112905	27	95	112	7	8	6	34
SP102647	12	124	195	23	29	0	28
SP112873	13	99	59	9	43	0	67
SP112959	0	2	0	1	35	0	10
SP112931	8	41	83	9	27	0	39
SP112865	16	82	46	8	48	0	63
SP113003	15	17	135	8	4	2	0
SP113001	25	104	65	15	31	0	27
SP112879	9	31	105	20	7	1	38
SP112945	16	69	179	16	44	0	17
SP112935	16	111	103	20	2	1	8
SP112863	5	228	137	4	28	3	23
SP112983	31	123	166	35	40	4	52
SP112809	36	192	138	10	14	0	73
SP112923	17	95	62	13	63	0	44
SP112853	20	62	90	8	16	1	36
SP113005	5	12	26	12	21	1	20
SP112957	4	59	127	3	43	0	27
SP112783	41	96	92	9	30	1	22
SP112943	7	29	63	5	32	0	19
SP112861	5	13	53	0	111	0	41
SP112917	42	61	105	0	30	0	20
SP112787	12	106	156	15	35	0	49
SP112995	26	73	105	7	64	0	48
SP112811	25	87	102	12	14	0	51
SP112797	27	173	114	12	33	1	22
SP112909	25	82	89	7	60	0	34
SP112781	24	56	111	3	29	0	39
SP112991	30	178	196	3	58	0	33
SP112907	0	1269	168	0	0	0	4
SP112817	300	18	420	0	329	0	28
SP112993	13	75	109	18	39	0	42
SP112827	17	75	95	14	35	0	2
SP112855	18	18	98	9	22	0	16
SP112969	14	13	134	13	51	1	8
SP112883	10	83	44	10	45	6	27
SP112929	24	132	125	9	25	0	64
SP112833	8	23	49	7	27	0	32
SP112777	326	0	0	8	67	0	201
SP112887	12	20	183	15	13	0	2
SP112877	1	0	0	0	14	1	3
SP112871	13	50	101	3	35	0	10
SP112875	15	128	105	22	60	6	46
SP112913	4	30	68	26	68	2	18
SP112849	11	84	164	9	8	0	26
SP112881	3	45	83	1	39	0	34
SP112951	0	4	8	0	14	0	0
SP112845	22	45	111	4	36	3	20
SP114910	100	516	145	25	17	0	64
SP114906	38	370	108	18	13	0	58
SP114921	122	222	613	132	0	12	79
SP114901	63	387	170	38	73	30	214
SP114926	52	299	150	13	33	5	0
SP114974	74	376	223	18	24	1	13
SP114958	475	286	386	58	50	0	6
SP114935	46	276	143	11	35	4	0
SP114900	53	389	159	35	82	26	208
SP114941	102	216	703	161	0	23	0
SP114937	87	227	687	151	0	24	0
SP114945	99	266	697	155	0	23	0
SP114943	111	279	703	152	0	30	0
SP114949	12	405	177	29	13	4	38
SP114960	440	285	390	61	64	0	10
SP114962	45	341	450	1792	0	101	0
SP114996	52	91	439	691	0	68	0
SP114987	50	90	440	745	0	67	0
SP114966	49	369	526	1893	0	127	0
SP114903	59	459	198	20	87	24	176
SP114914	59	467	121	21	15	0	66
SP114944	91	237	698	152	0	26	0
SP114930	56	244	387	55	0	5	3
SP114946	7	408	145	16	28	6	24
SP114951	9	359	162	21	24	9	25
SP114953	433	284	396	65	86	2	17
SP114924	71	153	575	114	0	10	34
SP114957	452	275	376	56	57	0	0
SP114986	70	364	238	20	20	0	15
SP114971	79	364	209	32	25	0	29
SP114991	47	98	442	670	0	69	0
SP114992	43	97	445	760	0	59	0
SP114920	88	521	141	19	3	0	72
SP114898	55	458	156	26	82	32	173
SP114932	41	290	163	13	32	4	0
SP114934	39	262	144	14	31	4	0
SP114968	54	358	549	1932	0	148	0
SP114982	79	347	227	41	11	0	11
SP114973	87	371	220	28	16	0	8
SP114908	50	420	116	18	9	0	59
SP114904	97	491	133	18	8	0	75
SP114918	48	379	123	18	11	0	62
SP114984	80	302	221	20	16	0	10
SP114994	40	95	424	742	0	58	0
SP114978	91	300	243	30	19	0	0
SP114912	87	481	134	15	18	0	52
SP114917	93	515	120	21	10	0	65
SP114980	100	387	243	48	11	0	10
SP114976	95	357	206	44	19	0	4
SP114916	66	472	145	19	11	0	61
SP125579	0	0	1	0	0	0	0
SP111131	27	131	115	21	0	3	14
SP111126	5	0	202	22	12	0	21
SP111146	18	40	144	14	16	4	6
SP111123	14	35	174	21	5	5	13
SP111127	57	140	97	15	9	0	51
SP111121	2	3	15	3	1	3	1
SP111156	6	26	166	10	0	5	0
SP111122	22	101	147	13	0	4	22
SP111129	29	114	220	5	1	1	25
SP111152	31	64	124	14	45	4	2
SP111154	10	115	205	22	26	7	68
SP111124	8	43	75	0	2	2	18
SP111128	12	52	96	9	0	3	8
SP111125	42	203	194	11	23	11	21
SP111130	0	49	73	13	5	4	0
SP106835	9	10	34	5	12	1	4
SP106834	2	24	69	11	2	0	47
SP106825	51	153	224	22	22	0	74
SP106841	2	4	35	11	10	0	17
SP106827	27	109	118	10	46	0	35
SP106833	6	30	69	7	9	1	35
SP106839	24	84	127	3	20	0	37
SP106840	7	29	93	0	8	0	33
SP106828	10	22	50	5	14	0	30
SP106829	36	107	117	8	0	0	45
SP106836	3	2	16	0	0	0	2
SP106837	7	13	64	3	0	0	8
SP80037	19	93	78	6	113	0	2
SP102690	15	46	110	11	0	0	46
SP80213	0	1	0	0	6	0	3
SP79939	0	0	4	3	6	0	10
SP109649	3	0	65	1	12	1	0
SP79988	4	3	19	8	0	0	30
SP80183	5	48	94	0	25	0	12
SP79971	2	52	77	11	29	0	17
SP80217	0	0	0	0	9	0	0
SP79968	14	178	135	17	52	4	24
SP80160	0	8	0	2	6	0	0
SP80244	8	8	35	5	20	1	12
SP79998	0	2	0	0	5	0	0
SP80216	5	0	56	14	4	0	16
SP80042	10	6	61	6	14	6	16
SP79907	22	26	178	6	21	3	8
SP79958	33	118	117	17	21	7	44
SP80205	17	74	78	6	14	1	34
SP80014	0	12	22	1	8	0	22
CPCT02070032T	203	377	145	92	53	80	20
CPCT02060045T	40	114	367	136	8	90	0
CPCT02020310T	126	378	234	47	59	56	80
CPCT02020323T	13908	184	149	19	327	34	0
CPCT02140007T	44	274	175	42	8	92	11
CPCT02140011T	111	201	151	13	70	124	51
CPCT02020348T	131	184	122	19	19	63	40
CPCT02020357T	132	442	386	90	54	92	77
CPCT02020351T	39	186	136	18	67	51	44
CPCT02140020T	316	121	199	56	112	103	98
CPCT02010399T	20	106	477	494	0	75	49
CPCT02020370T	70	82	896	223	0	80	77
CPCT02140023T	52	152	100	17	59	164	32
CPCT02140022T	10891	3309	343	87	0	410	90
CPCT02020378T	108	522	150	50	53	110	41
CPCT02010415T	69	343	259	166	6	155	57
CPCT02070021T	113	512	155	49	14	78	120
CPCT02070024T	23600	3907	0	0	163	170	263
CPCT02020380T	199	271	197	36	13	92	80
CPCT02070023T	108587	12371	0	0	1925	699	3391
CPCT02020386T	137	176	288	763	0	93	113
CPCT02020387T	91388	5188	0	0	3299	0	669
CPCT02020388T	97	294	199	683	81	181	56
CPCT02040046T	29	454	56	30	40	86	67
CPCT02070036T	306	339	347	102	47	88	79
CPCT02070035T	89	203	97	28	40	33	14
CPCT02020394T	96	326	142	21	8	23	123
CPCT02140026T	139	368	119	25	104	67	32
CPCT02140029T	84	391	106	35	102	69	20
CPCT02140030T	236	416	192	38	79	66	104
CPCT02020656TII	60	317	342	105	242	103	125
CPCT02011011T	94	594	357	87	8	61	38
CPCT02070269T	106	333	134	33	130	58	102
CPCT02330130T	225	302	102	45	127	43	108
CPCT02070256T	63	204	134	485	75	118	59
CPCT02070425T	406	889	50	26	110	78	49
CPCT02080281T	89	181	123	17	81	44	29
CPCT02070270T	190	224	114	15	94	83	12
CPCT02390037T	127	174	94	30	99	76	60
CPCT02140098T	82	109	358	1502	188	169	254
CPCT02020888T	28	353	197	20	68	31	0
CPCT02340055T	34	249	172	264	0	126	51
CPCT02070430T	182	412	218	22	78	40	59
CPCT02050418T	185	266	37	27	74	67	51
CPCT02340108T	56	201	109	7	35	36	140
CPCT02100137T	52	314	81	13	82	115	75
CPCT02070433T	44	498	174	54	8	53	62
CPCT02070264T	296	367	192	31	94	153	50
CPCT02070420T	0	86	92	321	51	47	37
DRUP01070028TII	159	419	0	15	320	110	85
CPCT02080180T	147	312	182	82	134	139	137
CPCT02070446T	43	341	84	19	99	42	40
CPCT02020704TII	60297	2426	394	0	2234	344	430
CPCT02220031T	281	229	37	1277	193	272	122
DRUP01070071T	76	313	0	980	305	159	130
CPCT02140102T	60	188	81	10	73	44	66
CPCT02070280T	62	174	156	19	58	112	32
CPCT02100194T	15	140	249	44	3	32	7
CPCT02070268T	127	461	309	53	52	113	173
CPCT02011043T	78	259	53	23	101	59	42
CPCT02070449T	24	157	161	21	90	49	43
CPCT02340056T	157	428	141	30	48	156	45
CPCT02070450T	193	563	197	41	97	49	133
CPCT02220069T	100	576	59	24	204	151	175
CPCT02070452T	33	165	171	15	91	40	23
DRUP01070038T	22507	325	290	96	0	292	0
CPCT02150043T	40	106	81	22	44	37	43
CPCT02090033T	105	221	75	71	95	130	118
CPCT02070426T	34	103	116	35	121	68	62
CPCT02150047T	48	172	99	19	76	42	59
CPCT02070125T	108	182	0	1369	188	166	49
CPCT02190054T	156	442	275	134	124	65	106
CPCT02130169T	39	178	263	1302	200	215	73
CPCT02020918T	92	240	124	2	83	48	111
CPCT02070459T	61	415	103	25	107	67	93
CPCT02140055T	40	79	114	268	38	95	48
DRUP01070028T	153	319	103	24	0	439	0
CPCT02160061T	156	262	515	96	24	74	0
CPCT02020656T	65	286	557	84	0	173	5
CPCT02020931T	44	336	75	24	79	55	90
CPCT02070106T	73	342	141	727	74	190	137
CPCT02070289T	52	153	134	22	20	150	10
CPCT02210043T	78	429	145	29	66	258	73
CPCT02010753T	378	270	145	2043	133	272	196
CPCT02020924T	90	319	139	58	103	34	24
CPCT02070293T	76	158	114	20	86	121	60
CPCT02020938T	11	222	183	28	444	52	25
CPCT02200006T	41	177	471	66	0	53	71
CPCT02020658T	36	135	116	39	42	74	58
CPCT02070292T	74	307	151	27	49	242	16
CPCT02070055TII	170	205	0	1702	385	263	91
CPCT02070466T	29	172	251	46	8	70	108
CPCT02070454T	34	100	94	34	24	33	45
CPCT02010762T	46	162	293	75	82	83	121
CPCT02260016T	118	427	108	98	148	95	40
CPCT02350020T	853	535	95	24	171	84	85
CPCT02070295T	83	248	222	15	46	93	52
CPCT02020942T	54	193	115	14	90	30	96
CPCT02140060T	49	555	199	82	30	113	69
CPCT02310008T	38	221	186	4	68	78	29
CPCT02070300T	71	264	283	33	22	96	33
CPCT02160062T	27	112	60	12	41	25	64
CPCT02070473T	17	132	187	37	60	59	66
CPCT02070468T	34	201	115	24	68	47	42
CPCT02300052T	418	507	240	32	106	46	47
CPCT02070301T	55	298	57	1096	107	215	396
CPCT02430002T	31	145	277	367	28	44	87
CPCT02070474T	46	329	183	11	65	48	37
CPCT02070472T	47	215	137	9	16	39	63
DRUP01070036T	80	182	454	141	0	421	0
CPCT02150052T	1211	34	231	3596	517	163	369
CPCT02070307T	201	250	316	221	34	147	0
CPCT02330099T	179	446	245	15	58	142	113
CPCT02070263T	74	166	217	36	22	185	1
DRUP01050020T	229	389	250	49	69	171	80
CPCT02020678T	45	75	113	878	27	146	77
CPCT02020673T	17	206	190	862	64	245	128
WIDE01010113T	117	234	77	27	92	83	53
CPCT02050442T	86	629	84	31	87	58	43
CPCT02020968T	116	554	638	62	0	49	74
CPCT02020970T	55	339	0	31	252	64	115
CPCT02060294T	79	380	68	142	192	95	111
CPCT02070478T	160	356	455	82	0	81	11
CPCT02140065T	97	274	162	32	63	112	30
CPCT02210085T	112	306	55	39	60	62	82
CPCT02390044T	549	672	103	23	157	55	48
CPCT02050443T	66151	257	0	0	2410	849	531
CPCT02070306T	79	622	185	55	21	99	90
CPCT02070481T	54	133	552	138	45	46	0
CPCT02070482T	19	36	44	1	20	23	10
DRUP01140005T	579	600	184	40	24	374	25
CPCT02220082T	45	149	60	26	425	22	0
CPCT02020687T	17	107	47	13	67	86	35
CPCT02070484T	64	245	110	383	31	46	32
CPCT02020686T	110	251	410	198	0	168	65
CPCT02070486T	51	370	274	66	47	74	78
CPCT02070483T	93	235	174	60	123	43	41
CPCT02070487T	55	125	134	33	30	32	24
CPCT02040342T	155	474	238	47	19	60	95
CPCT02020977T	24	105	151	43	76	28	38
CPCT02070312T	48	437	182	43	97	78	48
CPCT02040343T	214	352	117	27	94	68	82
CPCT02290031T	73	184	150	21	13	183	28
CPCT02150008T	103	172	240	56	0	193	47
CPCT02370013TII	54	216	171	29	10	260	5
CPCT02100202T	55	286	207	24	23	20	118
CPCT02100203T	88	268	128	23	28	43	49
CPCT02070466TII	52	371	283	66	86	87	176
WIDE01010214T	63	443	138	11	35	41	64
WIDE01010215T	106	767	59	24	140	84	91
WIDE01010234T	53	286	198	30	55	62	56
CPCT02110083T	75	247	123	29	42	42	46
CPCT02070315T	73	366	82	10	51	163	48
DRUP01070026TII	88964	3721	0	0	2785	411	1007
CPCT02020981T	142	238	80	30	56	26	28
CPCT02140067T	36	320	61	6	25	141	35
CPCT02350003T	68	49	113	22	0	223	0
CPCT02070490T	96	230	63	16	60	36	58
WIDE01010283T	21	124	61	0	60	22	67
CPCT02020982T	80	281	90	35	9	44	131
CPCT02020975T	35	386	95	21	84	86	73
WIDE01010323T	20	250	335	104	33	74	39
CPCT02070208T	98	149	124	26	0	255	82
CPCT02070064TII	112	204	177	45	0	364	60
CPCT02140041TIV	311	349	186	40	105	78	116
CPCT02020704T	56731	2361	350	0	2147	453	401
CPCT02040249T	149	369	56	26	94	77	110
CPCT02020924TII	102	297	174	52	112	47	11
WIDE01010383T	103	211	486	110	34	74	52
CPCT02070335T	108	258	104	17	44	74	38
CPCT02230091T	55	247	142	29	51	81	103
CPCT02230102T	38	185	92	15	53	99	13
DRUP01050049T	66409	222	0	5	1969	552	424
CPCT02020715T	101	410	185	22	66	97	40
CPCT02340086T	112	287	108	43	96	123	61
CPCT02020731T	72	445	244	47	10	260	0
CPCT02370027T	106	284	318	81	0	330	0
WIDE01010246T	117	290	145	894	110	138	95
