MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	7.22E-05	6.13E-04	3.34E-03	1.01E-03	1.92E-04	6.51E-04	1.65E-03	1.56E-03	2.14E-03
1:Del:C:1	2.59E-05	2.81E-04	1.56E-03	5.94E-04	1.23E-04	3.70E-04	6.63E-04	9.17E-04	8.97E-04
1:Del:C:2	5.32E-05	8.36E-05	5.29E-04	4.56E-04	1.10E-04	1.43E-04	3.22E-04	1.06E-03	2.56E-04
1:Del:C:3	1.40E-04	1.01E-04	6.27E-04	2.40E-04	6.33E-05	4.76E-05	2.77E-04	3.50E-04	2.36E-04
1:Del:C:4	3.00E-04	3.32E-05	1.60E-03	1.38E-04	4.35E-05	7.40E-05	3.81E-04	3.77E-04	4.25E-04
1:Del:C:5	4.88E-04	1.95E-04	2.50E-03	6.42E-05	5.67E-05	2.02E-04	2.35E-04	3.01E-04	2.95E-04
1:Del:T:0	5.73E-05	5.76E-04	2.53E-03	7.21E-04	1.85E-04	5.32E-04	9.30E-04	4.56E-04	1.49E-03
1:Del:T:1	4.31E-05	4.42E-04	1.92E-03	6.04E-04	1.01E-04	2.37E-04	8.17E-04	3.51E-04	1.07E-03
1:Del:T:2	7.07E-05	6.02E-04	2.69E-03	7.81E-04	1.26E-04	3.19E-04	1.29E-03	4.04E-04	1.29E-03
1:Del:T:3	2.87E-04	6.89E-04	3.10E-03	9.23E-04	1.35E-04	3.11E-04	1.85E-03	5.90E-04	2.20E-03
1:Del:T:4	6.17E-04	6.16E-04	3.27E-03	7.59E-04	1.23E-04	2.42E-04	2.17E-03	4.55E-04	2.15E-03
1:Del:T:5	6.92E-03	1.64E-03	1.13E-02	1.46E-03	9.30E-04	1.95E-03	4.29E-03	3.48E-04	1.32E-03
1:Ins:C:0	7.83E-05	3.70E-05	2.17E-03	8.42E-05	1.56E-04	2.65E-04	3.85E-03	2.16E-04	2.19E-05
1:Ins:C:1	1.49E-05	4.91E-05	6.08E-04	1.06E-04	3.61E-05	9.14E-05	9.13E-04	1.35E-04	2.58E-04
1:Ins:C:2	2.61E-05	3.61E-05	2.54E-04	7.84E-05	1.71E-05	7.59E-05	4.28E-04	1.28E-04	2.17E-04
1:Ins:C:3	7.14E-05	5.72E-05	2.02E-04	5.94E-05	1.58E-05	1.01E-04	2.62E-04	1.09E-04	6.64E-05
1:Ins:C:4	1.86E-04	1.53E-04	4.29E-04	3.37E-05	2.33E-05	9.33E-05	4.25E-04	1.01E-04	1.02E-04
