Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP23435	13	56	123	0	0	0	23
SP112829	0	55	130	0	226	0	0
SP112947	0	65	0	0	175	0	85
SP112985	0	0	0	0	32	0	0
SP112925	5	67	26	26	135	11	66
SP112937	13	10	42	10	25	0	22
SP112989	0	20	45	0	41	0	16
SP111145	35	55	115	0	0	0	64
SP111143	14	56	149	0	0	0	0
SP125584	2	3	0	3	4	2	0
SP111144	13	103	133	17	0	0	49
SP116296	0	10	60	0	0	0	0
SP116254	17	98	72	67	0	0	0
SP116256	18	88	65	70	0	0	0
SP116274	13	25	39	12	0	0	30
SP116259	7	76	108	0	0	0	0
SP116290	3	7	64	9	0	0	0
SP116258	0	101	85	40	0	0	0
SP116261	0	0	47	0	0	0	0
SP23463	0	17	23	8	0	0	12
SP116268	5	6	37	0	0	0	14
SP23471	5	29	54	0	0	0	0
SP116266	6	30	62	0	0	0	30
SP116264	9	49	77	6	7	8	23
SP116269	0	45	80	0	0	0	40
SP116275	17	37	58	0	0	0	29
SP23447	7	24	36	0	0	0	17
SP116255	25	105	64	71	0	0	0
SP23455	9	13	41	0	0	0	32
SP23475	11	9	44	0	0	0	18
SP116227	0	140	74	0	0	0	0
SP116226	4	12	41	0	0	0	10
SP23443	20	78	101	0	0	0	0
SP116260	19	53	97	0	0	0	0
SP116280	22	186	110	30	23	3	76
SP116224	4	26	39	12	0	0	0
SP116249	0	0	0	0	0	0	3
SP116232	1	0	12	0	0	0	4
SP116251	3	8	16	0	20	0	11
SP116272	12	40	45	0	0	0	26
SP116286	3	5	41	0	0	0	0
SP116282	6	30	84	0	0	0	0
SP116288	3	8	11	0	0	0	0
SP23467	0	38	52	0	0	0	24
SP116263	2	11	27	6	0	0	18
SP116292	6	8	47	0	0	0	0
SP116248	3	13	39	0	0	0	0
SP116276	1	0	12	4	0	0	0
SP116265	19	61	103	7	33	2	40
SP116267	14	46	96	0	0	0	29
SP116253	0	24	74	19	0	0	34
SP23481	2	0	39	0	0	0	9
SP116233	14	62	61	66	0	0	0
SP116284	16	54	39	12	25	0	0
SP116270	0	12	39	0	14	0	10
SP116257	0	92	88	16	0	0	0
SP116298	1	7	0	2	0	0	3
SP116294	0	0	23	9	0	0	0
SP23439	8	41	63	93	7	5	103
SP23483	0	0	5	0	5	0	0
SP116262	4	15	32	0	0	0	16
