Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP124389	217	18	35	31	1	72	5	7	20	0	8	9
SP124362	542	1	108	102	25	49	0	67	71	30	25	6
SP124394	235	8	170	30	0	47	14	0	20	65	10	6
SP124334	225	12	116	73	1	50	0	27	11	0	11	22
SP124339	1	2	43	22	3	0	0	24	4	2	13	15
SP124454	141	23	106	76	0	61	5	11	9	5	8	15
SP124380	362	15	90	38	0	20	5	90	74	20	9	23
SP124273	14	18	33	259	7	62	4	54	17	0	6	17
SP124357	18	40	52	54	3	25	0	71	20	5	9	16
SP124399	366	16	217	129	13	64	2	27	93	57	7	3
SP124311	438	8	323	62	0	3	10	23	66	44	37	1
SP124355	11	9	47	65	6	13	0	32	10	1	4	25
SP124434	267	26	68	52	8	63	6	13	49	66	13	11
SP124428	648	22	219	182	41	129	10	20	104	309	21	13
SP124449	272	51	101	155	32	38	6	53	60	0	7	6
SP124298	770	27	622	120	18	87	30	14	216	170	33	0
SP124431	236	9	245	38	0	29	9	23	40	43	8	16
SP124396	160	101	81	131	0	50	1	33	23	29	29	31
SP124409	503	16	126	110	18	158	1	24	118	33	22	25
SP124341	17	31	26	77	0	105	0	64	15	8	7	13
SP124353	4	1	35	24	0	33	1	11	11	0	3	17
SP124278	7	30	21	168	0	32	3	38	0	19	12	10
SP124376	149	24	105	51	0	35	7	33	0	78	19	20
SP124346	57	20	41	221	0	72	0	87	8	3	22	14
SP124439	690	26	157	37	39	62	22	0	149	19	10	11
SP124351	9	8	38	32	5	19	0	8	2	6	5	3
SP124406	199	71	104	0	0	70	5	0	23	41	77	138
SP124323	13	19	28	79	0	23	1	20	0	16	2	20
SP124391	19	9	49	79	0	43	6	70	13	15	10	9
SP124423	34	0	10	13	0	13	0	3	0	2	4	0
SP124382	1483	14	1001	2	0	276	8	0	110	181	54	24
SP124415	927	37	128	81	67	278	42	0	616	29	13	16
SP124436	990	29	500	222	19	182	8	82	129	16	63	44
SP124460	478	49	88	110	24	79	0	36	86	39	22	13
SP124425	175	6	130	18	0	24	5	5	12	29	7	4
SP124456	106	33	196	4	0	0	10	0	3	63	2	27
SP124367	322	20	202	42	16	53	0	0	37	23	21	20
SP124281	9	8	8	80	0	20	6	20	13	7	9	2
SP124377	179	2	182	27	0	26	6	11	0	96	16	13
SP124412	234	4	148	37	0	0	9	0	0	8	13	14
SP124333	83	11	105	40	2	59	1	33	17	18	10	7
SP124359	6	32	54	145	0	48	0	72	24	5	13	18
SP124286	4	19	21	31	0	8	0	9	3	2	5	9
SP124329	104	0	46	6	0	16	1	4	0	30	9	2
SP124326	97	23	136	102	0	33	3	41	15	19	16	13
SP124458	367	33	382	27	0	49	17	6	45	156	24	22
SP124401	1376	59	461	148	0	145	33	30	221	187	35	26
SP124264	28	20	65	96	0	199	0	70	25	0	13	33
