NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	170.333	23.971	33.197	17.302	0.085	0.979	1000000.0
2	165.723	23.706	32.428	17.139	0.086	0.979	1000000.0
3	166.036	24.018	32.629	17.442	0.089	0.978	1000000.0
4	171.244	24.091	33.886	17.428	0.086	0.979	1000000.0
5	172.558	24.167	34.43	17.454	0.088	0.978	1000000.0
6	170.713	24.041	33.944	17.381	0.089	0.979	1000000.0
7	165.221	23.872	31.907	17.242	2.401	0.979	1000000.0
8	172.633	24.113	34.371	17.516	2.401	0.978	1000000.0
9	165.803	23.953	32.045	17.399	0.092	0.978	1000000.0
10	169.515	23.783	33.352	17.147	0.085	0.979	1000000.0
11	171.913	24.045	33.684	17.286	2.403	0.979	1000000.0
12	170.775	24.003	33.584	17.296	0.086	0.979	1000000.0
13	170.794	24.119	33.431	17.348	0.087	0.978	1000000.0
14	165.39	23.795	31.924	17.084	0.087	0.979	1000000.0
15	170.819	23.956	33.789	17.283	0.087	0.979	1000000.0
16	170.888	23.835	33.875	17.143	2.4	0.979	1000000.0
17	170.958	23.884	33.949	17.3	0.086	0.978	1000000.0
18	170.759	23.975	33.843	17.253	0.088	0.979	1000000.0
19	166.767	23.772	32.544	17.039	0.086	0.979	1000000.0
20	168.793	23.94	33.076	17.295	7.028	0.979	1000000.0
21	165.866	23.899	32.313	17.317	2.402	0.979	1000000.0
22	170.911	23.906	33.343	17.234	2.402	0.979	1000000.0
23	170.671	23.985	33.729	17.239	0.089	0.979	1000000.0
24	169.63	23.967	33.412	17.254	0.085	0.979	1000000.0
25	165.567	23.968	31.857	17.371	4.717	0.979	1000000.0
26	169.921	23.797	33.508	17.119	0.087	0.979	1000000.0
27	166.159	23.892	32.395	17.313	0.089	0.979	1000000.0
28	169.46	23.764	33.644	17.126	0.085	0.979	1000000.0
29	165.383	23.902	32.308	17.359	9.344	0.978	1000000.0
30	165.143	23.922	31.857	17.216	0.086	0.978	1000000.0
31	170.99	24.073	33.781	17.392	7.03	0.979	1000000.0
32	170.243	23.889	33.239	17.244	0.086	0.979	1000000.0
33	167.834	23.96	32.456	17.322	0.088	0.979	1000000.0
34	170.131	23.974	33.501	17.242	0.086	0.979	1000000.0
35	169.929	24.061	33.701	17.569	2.402	0.978	1000000.0
36	171.396	24.108	34.125	17.493	0.092	0.978	1000000.0
37	168.405	24.111	32.596	17.376	0.091	0.978	1000000.0
38	165.154	23.65	31.946	17.104	2.402	0.979	1000000.0
39	167.739	24.171	32.918	17.535	9.347	0.978	1000000.0
40	166.626	23.942	32.509	17.426	0.09	0.979	1000000.0
41	166.621	23.974	32.681	17.302	0.086	0.979	1000000.0
42	167.005	24.09	31.947	17.42	2.403	0.978	1000000.0
43	166.646	24.015	32.461	17.337	0.087	0.979	1000000.0
44	171.142	23.986	34.062	17.369	2.401	0.978	1000000.0
45	171.24	24.095	34.045	17.379	2.406	0.979	1000000.0
46	168.451	23.911	32.766	17.179	4.714	0.979	1000000.0
47	164.455	23.711	31.916	17.148	2.401	0.979	1000000.0
48	171.016	24.009	33.707	17.329	0.088	0.979	1000000.0
49	165.566	23.934	32.204	17.296	0.086	0.979	1000000.0
50	166.698	24.05	31.867	17.337	0.086	0.979	1000000.0
51	172.037	24.177	34.226	17.513	4.715	0.978	1000000.0
52	166.434	23.907	32.501	17.374	0.087	0.979	1000000.0
53	165.022	23.813	31.872	17.245	0.087	0.979	1000000.0
54	170.445	24.045	33.371	17.392	9.343	0.979	1000000.0
55	171.325	24.095	34.33	17.414	2.401	0.978	1000000.0
56	165.695	23.792	32.145	17.246	0.086	0.979	1000000.0
57	168.794	24.057	32.549	17.504	2.402	0.978	1000000.0
58	165.422	23.87	31.836	17.233	4.716	0.979	1000000.0
59	170.873	23.947	33.838	17.283	4.717	0.979	1000000.0
60	166.188	23.992	32.387	17.376	0.088	0.979	1000000.0
61	169.938	23.985	33.569	17.376	0.088	0.978	1000000.0
62	169.592	23.828	33.875	17.224	4.715	0.979	1000000.0
63	165.867	23.856	32.091	17.226	2.401	0.979	1000000.0
64	169.256	23.865	33.174	17.056	7.033	0.979	1000000.0
65	167.648	24.104	32.765	17.47	4.716	0.978	1000000.0
66	167.821	23.748	33.324	17.16	0.086	0.979	1000000.0
67	171.145	23.989	33.85	17.276	0.089	0.979	1000000.0
68	166.573	23.967	32.383	17.252	2.405	0.979	1000000.0
