Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP124389	1.70E+00	6.94E-01	1.11E+00	1.14E+00	4.09E-01	1.74E+00	2.16E-01	1.47E+00	1.80E+00	3.68E-01	1.69E+00	1.37E-01	7.74E-01	7.96E-01	4.46E-01	8.52E-01
SP124362	4.47E+00	7.11E-01	1.86E+00	2.41E+00	8.98E-01	4.20E+00	3.09E-01	1.94E+00	4.08E+00	6.61E-01	4.72E+00	1.00E+00	1.91E+00	1.80E+00	3.28E-01	2.29E+00
SP124394	2.81E+00	6.36E-01	9.00E-01	2.11E+00	3.91E-01	3.20E+00	4.49E-01	1.48E+00	2.69E+00	5.25E-01	2.77E+00	1.30E+00	8.69E-01	2.04E-01	3.40E-01	1.35E+00
SP124334	2.15E+00	8.08E-01	1.18E+00	1.58E+00	3.63E-01	3.48E+00	9.66E-02	1.18E+00	1.99E+00	4.84E-01	2.23E+00	3.70E-01	5.83E-01	6.19E-01	6.88E-01	1.37E+00
SP124339	2.18E-01	3.07E-01	8.63E-01	7.34E-01	1.74E-01	7.38E-01	0.00E+00	1.67E-01	5.28E-01	4.64E-01	7.14E-01	2.82E-01	3.27E-01	8.60E-01	5.40E-01	3.62E-01
SP124454	1.65E+00	7.64E-01	1.32E+00	1.66E+00	4.95E-01	2.36E+00	2.31E-01	1.54E+00	1.93E+00	3.77E-01	1.56E+00	4.89E-01	5.48E-01	1.19E+00	5.60E-01	1.20E+00
SP124380	4.12E+00	8.79E-01	1.56E+00	2.05E+00	0.00E+00	3.45E+00	2.45E-01	1.61E+00	2.82E+00	4.65E-01	4.26E+00	8.33E-01	1.36E+00	1.28E+00	7.18E-01	1.26E+00
SP124273	5.83E-01	8.55E-01	2.03E+00	8.89E-01	5.51E-01	2.01E+00	2.86E-01	1.33E+00	2.32E+00	3.91E-01	2.20E+00	0.00E+00	7.21E-01	2.41E+00	6.89E-01	1.35E+00
SP124357	6.96E-01	8.41E-01	1.14E+00	1.17E+00	3.78E-01	2.09E+00	1.29E-01	7.86E-01	1.59E+00	4.57E-01	1.97E+00	3.82E-01	6.10E-01	1.30E+00	4.99E-01	8.40E-01
SP124399	3.71E+00	8.67E-01	1.75E+00	2.78E+00	2.81E-02	3.42E+00	2.75E-01	1.56E+00	3.64E+00	4.68E-01	4.68E+00	1.34E+00	2.05E+00	1.82E+00	4.81E-01	2.03E+00
SP124311	4.72E+00	7.30E-01	1.56E+00	2.88E+00	5.50E-01	3.44E+00	2.12E-01	1.77E+00	3.04E+00	8.07E-01	5.84E+00	1.32E+00	1.26E+00	9.06E-01	5.77E-01	1.59E+00
SP124355	4.78E-01	5.15E-01	9.67E-01	9.97E-01	3.22E-01	1.28E+00	2.17E-01	4.74E-01	1.16E+00	2.74E-01	1.41E+00	3.05E-01	5.25E-01	8.65E-01	5.03E-01	8.27E-01
SP124434	2.82E+00	8.19E-01	1.29E+00	2.03E+00	5.22E-01	2.80E+00	3.61E-01	1.85E+00	2.68E+00	5.27E-01	2.90E+00	1.76E+00	1.19E+00	1.13E+00	3.54E-01	1.20E+00
SP124428	5.01E+00	1.35E+00	2.47E+00	5.36E+00	1.49E+00	6.62E+00	8.05E-01	2.57E+00	5.20E+00	9.09E-01	3.50E+00	4.86E+00	2.43E+00	2.36E+00	7.35E-01	3.57E+00
SP124449	3.25E+00	1.09E+00	1.92E+00	1.89E+00	1.13E+00	2.96E+00	3.54E-01	1.61E+00	2.65E+00	5.31E-01	3.79E+00	2.89E-01	1.24E+00	1.67E+00	3.38E-01	1.45E+00
SP124298	7.60E+00	1.31E+00	2.52E+00	4.94E+00	1.26E+00	7.08E+00	8.11E-01	2.95E+00	7.18E+00	9.94E-01	8.93E+00	2.75E+00	4.30E+00	1.70E+00	5.12E-01	5.41E+00
SP124431	2.89E+00	6.34E-01	1.27E+00	2.57E+00	4.76E-01	3.35E+00	2.86E-01	1.39E+00	2.66E+00	4.75E-01	3.77E+00	1.24E+00	1.23E+00	4.99E-01	5.75E-01	1.53E+00
SP124396	1.79E+00	1.10E+00	1.33E+00	1.58E+00	2.51E-01	2.68E+00	0.00E+00	1.43E+00	2.13E+00	6.77E-01	2.57E+00	9.35E-01	1.05E+00	1.35E+00	9.26E-01	1.06E+00
SP124409	4.82E+00	9.38E-01	2.08E+00	2.39E+00	5.28E-01	5.06E+00	4.28E-01	2.64E+00	5.28E+00	8.09E-01	5.03E+00	9.11E-01	2.60E+00	3.13E-01	7.56E-01	3.14E+00
SP124341	5.80E-01	7.76E-01	1.58E+00	6.57E-01	0.00E+00	2.87E+00	0.00E+00	1.77E+00	2.82E+00	4.13E-01	2.46E+00	5.49E-01	6.44E-01	1.69E+00	3.81E-01	1.10E+00
SP124353	2.55E-01	1.98E-01	8.36E-01	8.01E-01	5.00E-02	1.54E+00	1.80E-01	7.22E-01	9.87E-01	2.32E-01	5.78E-01	2.84E-01	4.58E-01	7.89E-01	5.55E-01	6.69E-01
SP124278	3.38E-01	8.87E-01	1.59E+00	8.16E-01	0.00E+00	1.45E+00	1.84E-01	9.55E-01	1.53E+00	4.87E-01	1.20E+00	6.85E-01	2.08E-01	1.72E+00	4.72E-01	5.70E-01
SP124376	1.74E+00	7.91E-01	1.25E+00	1.60E+00	3.64E-01	2.27E+00	3.30E-01	1.16E+00	2.27E+00	6.74E-01	2.33E+00	1.57E+00	4.69E-01	1.31E+00	6.20E-01	9.16E-01
SP124346	1.09E+00	7.61E-01	1.78E+00	1.03E+00	1.63E-01	2.93E+00	0.00E+00	1.28E+00	2.10E+00	6.49E-01	2.30E+00	4.91E-01	4.26E-01	2.11E+00	5.36E-01	1.39E+00
SP124439	5.72E+00	1.21E+00	1.76E+00	2.96E+00	1.32E+00	4.63E+00	8.76E-01	2.43E+00	7.67E+00	6.05E-01	6.13E+00	8.36E-01	3.79E+00	1.25E+00	6.20E-01	4.01E+00
SP124351	4.72E-01	4.02E-01	8.35E-01	7.23E-01	2.67E-01	1.28E+00	0.00E+00	8.06E-01	9.80E-01	2.92E-01	9.69E-01	3.03E-01	2.42E-01	6.05E-01	1.72E-01	3.83E-01
SP124406	2.13E+00	1.34E+00	5.89E-01	1.71E+00	3.69E-01	2.83E+00	2.26E-01	1.59E+00	2.44E+00	1.11E+00	1.17E+00	1.38E+00	9.92E-01	1.26E-01	1.64E+00	1.36E+00
