Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP124389	183	19	23	22	0	19	4	59	28	7	17	8	12	0	14	8	0
SP124362	455	5	74	68	17	35	0	38	79	22	62	76	33	18	41	3	0
SP124394	198	8	29	125	0	51	12	50	0	9	45	7	0	46	23	2	0
SP124334	194	15	67	65	4	108	0	8	8	10	23	20	7	2	4	12	1
SP124339	0	2	17	32	2	13	0	0	0	12	13	3	17	2	4	12	0
SP124454	117	24	66	68	0	53	5	39	24	7	27	0	10	5	5	10	0
SP124380	297	15	24	46	0	53	4	25	0	6	154	6	25	14	61	11	5
SP124273	8	21	226	13	6	36	3	39	14	5	13	45	40	0	8	12	2
SP124357	9	36	43	25	4	31	0	5	24	7	46	37	22	5	9	10	0
SP124399	307	18	105	158	11	69	0	59	48	6	61	0	43	39	69	1	0
SP124311	362	8	55	228	0	21	5	54	0	33	103	50	8	25	62	1	0
SP124355	7	10	57	24	6	41	0	1	0	3	29	4	14	3	6	18	0
SP124434	227	27	40	52	4	58	6	39	41	12	23	0	21	48	34	6	4
SP124428	568	26	158	190	31	222	12	70	30	23	21	0	49	230	81	2	5
SP124449	225	50	132	57	31	43	2	27	30	5	61	57	21	0	38	1	1
SP124298	636	25	111	465	37	74	11	117	106	28	104	121	6	111	154	1	0
SP124431	195	8	36	167	2	77	7	26	0	7	85	0	4	32	35	8	7
SP124396	133	98	116	55	0	34	1	47	1	28	25	46	20	20	18	24	3
SP124409	415	18	93	71	18	70	0	104	97	18	68	77	0	21	69	15	0
SP124341	9	29	68	0	0	81	1	55	16	6	35	26	17	9	7	4	0
SP124353	2	1	21	19	0	44	2	6	14	2	0	0	11	2	4	12	0
SP124278	4	31	139	14	0	19	3	22	12	11	28	0	36	14	0	7	0
SP124376	127	24	43	82	0	44	6	32	0	19	27	26	19	56	1	15	0
SP124346	45	22	190	10	0	95	0	22	18	21	30	20	58	6	0	7	1
SP124439	585	31	23	116	28	51	17	44	139	9	45	0	17	10	95	9	3
SP124351	5	7	28	24	3	13	0	6	22	4	13	0	4	4	0	2	0
SP124406	174	77	3	75	0	86	5	52	0	76	5	5	0	33	23	114	0
SP124323	9	20	69	18	0	17	1	18	0	2	23	8	10	12	0	14	0
SP124391	10	7	65	24	0	37	6	11	30	8	6	78	24	11	0	5	0
SP124423	30	0	10	7	0	6	0	11	0	3	6	0	5	1	0	0	0
SP124382	1293	20	18	737	0	385	6	209	104	55	0	71	7	136	90	21	1
SP124415	769	37	66	82	61	150	32	113	438	6	50	0	0	19	388	5	18
SP124436	823	34	193	309	21	191	4	109	134	56	126	167	6	11	73	27	0
SP124460	406	51	88	57	17	72	1	48	71	21	29	42	31	28	53	9	0
SP124425	146	6	14	93	0	18	3	29	20	6	44	0	4	19	11	2	0
SP124456	93	32	11	164	0	0	6	20	0	2	30	0	0	43	16	27	0
SP124367	277	22	42	136	10	104	2	27	27	21	25	0	0	19	28	13	3
SP124281	5	8	69	4	1	1	4	13	11	8	13	25	8	4	7	1	0
SP124377	153	2	27	142	0	57	5	21	0	15	9	46	1	70	0	10	0
SP124412	197	8	33	114	2	4	5	22	10	13	40	0	2	3	0	14	0
SP124333	68	9	37	66	5	56	0	36	7	9	26	34	6	14	11	2	0
SP124359	0	31	125	20	1	75	2	9	15	12	37	28	32	7	13	10	0
SP124286	2	18	28	9	0	20	0	0	0	4	20	0	1	2	2	5	0
SP124329	89	0	2	36	0	14	0	11	18	8	11	0	6	21	0	2	0
SP124326	80	22	89	93	0	43	2	23	10	15	10	56	22	13	10	10	0
SP124458	306	30	28	285	0	93	12	47	41	21	104	0	0	110	38	13	0
SP124401	1165	65	118	339	0	166	27	102	180	31	85	124	22	127	142	18	10
SP124264	11	18	94	0	10	222	0	71	12	11	84	0	0	1	5	8	2
SP124384	353	16519	3021	74	0	261	9	290	30	99	249	146	122	66	0	152	609
SP124403	29	3	0	47	1	0	0	7	1	1	0	49	0	10	4	3	0
SP124462	255	39	73	179	0	77	10	54	0	29	65	95	1	38	29	20	0
SP124271	23	48	284	65	8	158	2	41	51	13	138	0	19	14	12	6	2
SP124336	6	2	175	16	4	45	1	30	29	9	9	47	57	1	3	20	0
SP124452	199	18	38	198	0	70	10	7	27	11	1	13	8	27	10	11	1
SP124386	263	21	65	152	22	0	0	50	65	13	0	29	21	113	32	26	0
SP124441	4	109	86	13	0	129	3	18	32	9	45	14	6	17	2	52	0
SP124418	263	11	21	99	9	10	3	56	45	10	19	44	5	9	20	4	0
SP124291	0	18	102	30	0	30	0	21	6	7	18	12	10	14	1	28	4
SP124319	357	8	16	96	2	4	0	32	35	10	33	0	5	30	16	13	0
SP124305	67	0	85	52	0	0	4	43	31	17	57	42	35	13	0	9	0
SP124447	1017	76	64	905	21	346	30	125	269	64	25	255	0	468	227	0	0
SP124344	0	9	42	7	2	61	3	9	16	6	20	12	8	10	7	13	0
SP124369	251	25	35	125	7	22	9	60	61	20	110	81	24	19	47	7	0
SP124348	0	1	46	13	0	31	0	0	58	1	7	27	28	0	0	1	0
SP124295	20	97	152	1	0	110	1	15	0	8	35	119	3	2	0	17	0
SP124444	53	29	127	36	3	0	7	7	0	1	21	32	39	13	6	13	2
SP124365	207	27	48	124	0	92	5	55	55	21	35	0	11	12	23	22	3
SP124420	125	23	63	97	8	45	3	26	38	12	30	48	13	74	0	14	0
SP124364	217	83	125	79	0	31	0	19	22	454	26	14	0	26	11	678	0
SP124307	280	29	48	46	0	19	3	26	61	26	40	46	5	84	6	25	1
SP82445	842	8	40	35	0	207	13	70	260	14	0	69	0	0	180	0	0
SP83242	158	22	36	59	0	74	5	33	0	18	23	45	6	0	19	8	9
SP103894	365	32	19	230	0	101	6	37	0	3462	13	55	0	56	22	324	10
SP83382	135	16	31	122	1	42	0	20	0	23	28	77	3	81	9	24	0
SP82451	110	29	106	60	4	92	4	37	17	37	45	18	19	21	5	35	33
SP104330	8	0	3	44	0	0	2	5	0	3	4	2	2	0	2	6	0
SP83312	160	26	9	66	0	34	0	18	34	11	47	0	12	37	0	0	30
SP82614	148	23	9	107	5	31	5	1	34	7	50	49	3	36	15	9	11
SP82431	765	52	10	445	0	98	13	100	99	37	133	113	0	51	145	0	0
SP82459	127	4	36	31	1	61	0	30	26	5	36	45	5	9	6	0	22
SP113197	6	0	29	1	0	39	3	8	6	6	29	0	25	5	0	12	9
SP82532	354	7	75	124	0	163	6	56	50	12	10	18	24	16	64	19	8
SP82636	16	57	86	10	0	48	1	26	30	14	33	33	21	7	0	6	6
SP82796	119	16	48	9	8	60	0	18	0	3	20	52	13	2	18	5	25
SP83482	106	40	27	27	0	73	3	26	10	7	21	3	12	1	26	16	22
SP104530	143	83	434	128	0	171	13	38	40	16	36	61	43	26	32	17	3
SP82429	56	14	39	49	0	23	9	31	11	8	33	33	18	11	11	2	5
SP82644	482	13	60	126	0	42	9	57	56	11	14	138	0	115	0	19	0
SP82988	137	31	51	19	0	20	1	35	44	8	0	90	20	5	9	8	1
SP82461	166	5	62	176	2	66	7	30	31	17	31	8	21	68	19	18	15
SP82900	214	26	5	172	14	114	0	80	72	15	60	34	15	46	64	0	18
SP82399	181	9	71	158	0	77	11	43	32	12	93	36	0	26	41	1	14
SP82756	39	4	17	27	1	7	0	19	7	15	9	25	5	10	13	14	14
SP82836	60	13	105	29	1	37	1	23	26	9	48	56	15	0	1	2	0
SP82417	404	0	22	66	0	50	4	60	0	11	85	62	5	2	0	0	18
SP82471	11	5	206	17	0	26	8	25	29	14	32	47	22	1	0	15	7
SP82435	6	19	69	14	0	0	2	12	20	2	1	45	25	5	0	10	19
SP104056	894	30	41	445	22	187	0	128	87	53	61	226	5	153	132	0	0
SP83083	207	15	33	76	0	66	4	36	32	4	46	9	25	23	9	7	2
SP82433	72	27	54	26	3	22	0	24	20	7	51	25	14	12	12	6	24
SP82780	74	18	48	50	6	58	0	25	44	5	5	13	11	20	7	0	6
SP83019	250	16	34	62	8	39	1	41	23	12	34	42	6	11	9	4	27
SP83099	55	9	31	28	0	22	0	1	13	6	9	16	11	5	1	9	29
SP83146	569	11	30	355	16	106	0	106	38	25	0	223	0	114	72	11	24
SP103866	230	28	41	52	0	95	5	34	1	23	29	75	0	17	38	3	2
SP83844	163	22	23	119	0	32	7	18	16	11	11	52	4	47	1	0	7
SP83027	5	19	66	32	0	1	1	13	10	4	0	42	12	2	0	23	0
CPCT02060044T	152	73	39	48	148	80	54	41	33	14	82	40	7	23	62	7	3
CPCT02030247T	74	22	43	46	29	39	37	11	1	10	13	0	40	43	20	14	8
CPCT02050043T	26	18	92	21	14	0	27	3	18	1	11	32	19	6	6	0	8
CPCT02020342T	185	23	43	36	92	0	57	22	49	3	34	50	18	18	17	0	0
CPCT02010371T	117	17	31	93	47	38	79	20	44	11	3	48	25	23	3	13	8
CPCT02030256T	56	15	17	4	12	26	20	18	12	16	23	24	0	5	9	7	0
CPCT02050045T	175	35	78	24	144	3	75	45	0	7	54	39	56	22	47	18	9
CPCT02050047T	9	6	244	27	11	13	43	8	63	14	32	30	37	13	20	29	0
CPCT02010393T	297	67	57	1	195	119	83	22	143	9	23	0	139	10	51	18	11
CPCT02020358T	58	23	32	33	27	0	20	14	16	15	15	10	22	4	2	20	0
CPCT02090002T	194	0	19	56	21	57	117	29	15	7	0	32	20	192	40	17	3
CPCT02010403T	5	0	10	18	4	10	38	4	0	0	16	10	0	3	6	17	7
CPCT02030272T	94	39	54	69	63	17	84	21	0	16	14	61	18	6	23	25	12
CPCT02020373T	57	42	85	99	45	39	47	26	7	17	19	10	47	24	11	12	3
CPCT02050052T	71	51	12	45	53	37	37	12	23	80	9	0	56	13	6	121	11
CPCT02030270T	0	9	23	29	12	17	68	6	4	7	21	16	54	5	10	3	10
CPCT02050056T	160	30	35	75	55	0	89	17	40	2	65	0	9	24	18	17	0
CPCT02050055T	88	173	73	42	53	78	50	50	0	25	44	63	48	30	27	20	9
CPCT02030279T	20	26	51	12	5	13	32	18	4	13	16	64	24	14	5	7	6
CPCT02020320T	183	41	76	53	108	0	51	50	26	10	80	7	76	19	11	14	6
CPCT02060037T	6	4	12	9	20	12	13	7	0	1	0	27	0	4	3	4	6
CPCT02100033T	84	7	18	39	15	1	14	19	13	5	29	7	14	10	3	0	0
CPCT02010436T	166	21	23	88	95	36	57	0	51	14	20	0	16	18	22	18	6
CPCT02010439T	100	13	18	36	24	0	24	14	16	4	23	60	42	14	2	11	0
CPCT02060043T	23	55	190	31	76	0	4	11	2	25	28	38	21	19	7	48	12
CPCT02030284T	200	27	81	21	54	44	46	22	8	16	20	36	71	37	12	11	0
CPCT02020410T	208	15	31	64	9	9	37	39	33	4	46	11	21	21	8	3	0
CPCT02020408T	125	46	24	54	70	39	45	7	12	18	32	50	4	27	20	21	2
CPCT02030291T	516	22	30	80	222	37	95	59	75	20	7	17	58	28	32	2	8
CPCT02050079T	0	0	16	10	18	11	50	6	13	5	19	1	2	8	4	12	2
CPCT02050073T	27	4	39	17	16	25	30	8	54	14	26	27	53	17	13	8	1
CPCT02220001T	4	0	6	46	9	7	100	16	10	5	0	24	4	12	6	20	11
CPCT02010440T	47	24	53	48	19	6	45	18	2	7	17	48	13	16	12	18	1
CPCT02011020T	277	45	38	179	149	81	22	23	77	60	0	0	16	148	54	90	0
CPCT02340050T	4	389	320	81	32	32	63	9	20	25	84	26	57	8	22	19	12
CPCT02080280T	207	18	25	121	119	17	30	11	66	13	37	14	16	21	63	11	0
CPCT02080282T	70	60	60	1	51	32	19	35	18	27	22	41	43	25	20	37	8
CPCT02060163T	1	3	10	13	13	0	59	2	0	8	0	56	0	14	0	5	2
CPCT02011025T	88	74	59	30	87	3	35	14	67	15	39	68	31	35	29	13	0
CPCT02010754TII	77	22	48	40	90	37	31	2	6	0	14	23	30	10	215	7	13
CPCT02010716T	494	17	64	31	179	72	93	51	51	18	53	28	53	88	34	0	3
CPCT02170039T	56	8	40	42	4	2	18	5	34	10	25	7	5	49	0	7	1
CPCT02080284T	30	0	11	14	19	1	20	4	12	2	0	0	2	2	5	9	13
CPCT02030555T	195	12	51	65	59	14	7	53	5	23	71	22	50	14	29	4	3
CPCT02011037T	427	44	53	46	151	59	19	52	42	15	37	0	57	39	65	11	12
CPCT02120180T	71	17	30	14	45	54	16	38	6	9	10	6	65	0	9	1	2
CPCT02050304T	473	26	69	841	258	191	45	165	8	45	10	202	40	205	78	19	13
CPCT02020895T	10	23	99	65	51	13	15	7	16	2	8	0	49	32	10	11	9
CPCT02090032T	52	28	25	99	88	233	27	53	0	16	6	0	0	14	181	0	11
CPCT02020662T	87	6	2	18	45	26	57	3	54	7	21	24	2	15	20	10	3
DRUP01080025T	381	81	22	70	181	104	104	79	16	120	23	162	40	39	294	164	24
CPCT02020891T	189	29	17	8	35	35	30	22	41	22	37	0	20	25	17	20	22
CPCT02080266TII	0	13	30	0	48	0	42	18	75	16	86	21	59	11	115	28	14
CPCT02020901T	107	22	42	22	104	12	18	8	16	13	54	68	34	24	21	20	27
CPCT02080287T	106	24	37	26	53	9	27	20	34	3	5	53	45	7	21	7	5
CPCT02011045T	61	45	67	15	56	21	18	6	6	21	54	0	42	10	22	15	4
CPCT02020897T	58	29	20	29	28	37	8	0	37	0	8	4	2	9	22	20	17
CPCT02120101T	4	23	67	29	0	15	36	18	12	13	16	52	59	4	1	16	0
CPCT02020910T	229	23	38	26	73	25	22	21	49	14	15	29	47	30	22	18	12
CPCT02120095T	163	20	4	172	100	69	79	14	35	7	6	0	0	19	11	2	8
CPCT02080294T	0	25	54	1	48	28	36	15	38	9	12	39	60	7	22	5	12
CPCT02080292T	2	6	35	10	2	0	26	14	0	3	23	11	3	2	11	5	7
CPCT02120098T	149	8	2	80	39	21	40	15	6	5	28	53	12	20	17	9	8
CPCT02120105T	214	3520	63	24	94	5	124	0	32	9	63	141	0	63	3	0	255
CPCT02020914T	206	25	42	12	41	48	23	22	27	7	19	46	27	23	10	5	4
CPCT02160035T	280	12	58	49	32	23	133	24	72	11	25	2	20	14	22	6	0
CPCT02050310T	20	77	51	59	25	66	70	25	20	15	2	33	18	18	15	21	9
CPCT02290061T	272	27	46	85	104	73	70	41	83	22	42	112	10	20	14	13	10
CPCT02050308T	78	44	237	37	86	48	147	6	28	16	34	0	77	35	0	18	2
CPCT02090035T	138	13	80	11	55	28	40	4	26	7	24	0	79	9	12	6	14
CPCT02020933T	2	22	10	4	42	42	30	10	12	26	16	33	7	20	37	59	41
CPCT02020930T	132	13	41	167	59	38	16	17	21	7	33	34	12	23	23	9	8
CPCT02020934T	299	38	45	90	205	50	49	16	79	5	12	0	26	37	29	14	8
CPCT02020939T	35	7	50	29	42	8	17	2	31	8	15	45	34	14	4	6	1
CPCT02020670T	754	51	84	30	209	107	73	67	41	6	65	0	64	32	56	0	22
CPCT02020837TII	8	10	15	70	45	31	38	16	13	19	4	55	32	4	154	15	35
CPCT02030459T	0	43	177	5	27	34	54	8	16	98	40	1	100	16	7	167	18
CPCT02350019T	0	2	2	17	6	0	10	6	0	1	0	33	1	2	0	5	0
CPCT02050424T	2270	89	75	104	828	228	257	241	594	9	208	54	1	156	373	26	13
CPCT02340064T	64	35	46	39	39	21	53	18	7	0	20	0	24	9	15	9	10
CPCT02011045TII	65	49	77	20	57	24	19	0	12	16	45	0	42	10	15	11	3
CPCT02120189T	187	36	20	229	102	47	37	22	31	17	72	0	23	61	29	31	25
CPCT02010754T	70	20	69	55	51	31	63	10	24	6	8	54	4	19	4	9	7
CPCT02020868T	76	11	46	27	15	20	31	22	0	9	42	0	37	20	17	5	10
CPCT02060286T	294	29	26	68	186	49	20	83	0	10	114	69	78	25	60	1	19
CPCT02060288T	85	113	186	39	57	88	36	19	29	22	19	19	9	19	14	53	7
CPCT02120193T	60	16	65	50	43	13	29	30	7	11	30	11	43	13	37	14	14
CPCT02120187T	77	52	34	28	39	24	30	7	25	30	21	49	42	25	19	49	19
CPCT02120191T	92	23	88	29	70	58	25	30	20	7	58	0	124	28	7	1	16
CPCT02080304T	6	15	98	16	28	45	35	8	24	15	25	0	17	0	11	12	14
CPCT02080307T	117	29	28	86	56	44	29	0	45	8	54	73	48	34	44	2	1
CPCT02080303T	61	10	16	27	44	0	32	22	0	1	20	0	5	4	17	5	37
CPCT02340067T	1	201	262	39	56	131	68	11	55	6	0	113	74	38	9	32	0
CPCT02030461T	1665	66	180	383	408	258	155	161	70	36	60	37	20	703	181	25	17
CPCT02020919T	101	108	0	52	27	0	27	4	77	90	0	23	0	24	55	113	4
CPCT02050432T	23	14	66	19	44	14	25	36	16	2	23	24	53	10	2	7	0
CPCT02120110T	17	25	199	42	21	36	59	14	5	1	16	26	26	19	0	0	2
CPCT02080308T	10	21	44	22	27	0	25	4	2	8	20	20	26	8	6	5	3
CPCT02020951T	6	4	30	10	7	11	21	12	5	2	13	0	5	17	9	16	7
DRUP01060009T	28	142	346	110	61	0	258	0	18	25	13	11	92	17	24	49	2
CPCT02020949T	434	28	40	59	48	13	45	43	0	16	70	2	39	23	208	14	1
CPCT02020960T	144	37	75	72	70	71	20	25	13	24	47	59	55	42	23	17	13
WIDE01010033T	0	3	39	0	12	3	12	0	0	2	16	32	12	2	15	6	2
CPCT02340115T	236	72	57	48	85	12	35	38	47	14	9	44	25	18	99	26	11
CPCT02050322T	172	21	45	136	73	70	65	20	3	21	83	27	25	48	18	28	0
CPCT02050046T	107	23	83	55	89	0	52	32	17	11	12	89	32	15	9	12	0
CPCT02050331T	0	24	40	29	10	0	26	8	15	5	0	7	13	4	1	0	7
WIDE01010071T	104	21	21	15	41	21	13	0	80	610	14	49	16	9	5	0	34
CPCT02020895TII	11	23	105	65	56	14	11	1	16	6	11	0	44	33	26	12	8
CPCT02030468T	62	50	64	50	8	0	83	3	57	113	18	23	28	8	6	10	8
CPCT02020959T	33	60	56	29	35	26	33	0	37	5	27	29	10	9	21	33	7
CPCT02080313T	66	19	34	24	34	34	0	9	10	16	23	40	14	32	15	11	0
CPCT02080311T	46	9	26	31	66	0	34	19	50	18	23	61	31	14	47	0	12
CPCT02011108T	122	577	84	38	90	83	41	8	22	54	93	97	41	46	36	66	36
CPCT02080314T	172	21	15	25	135	0	50	33	40	40	5	32	4	31	121	53	11
CPCT02020694T	189	48	23	98	34	61	85	21	8	11	0	50	6	31	19	12	0
CPCT02020672T	6	4	18	8	16	33	128	1	3	4	3	9	38	11	1	4	21
WIDE01010123T	94	11	33	10	50	0	18	7	25	9	6	37	19	12	26	1	0
CPCT02020665T	87	20	21	43	44	55	67	27	34	32	8	22	23	14	24	23	13
CPCT02080207T	83	9	66	21	20	60	87	30	0	20	19	5	28	9	15	8	0
CPCT02060291T	539	7	5	103	115	91	55	18	101	13	0	108	6	24	69	6	0
CPCT02050441T	0	52	55	15	39	53	8	8	1	3	19	0	56	5	16	9	22
CPCT02050440T	142	130	43	75	75	59	29	3	12	21	29	71	38	48	26	47	8
CPCT02050438T	286	36	34	54	127	64	33	28	0	12	35	0	24	66	40	6	0
DRUP01230001T	570	22187	6080	494	787	0	594	872	1159	427	0	0	636	16	233	417	4811
CPCT02080205T	157	106	168	43	121	128	75	48	65	44	6	0	25	27	28	83	1
CPCT02020714T	40	18	28	36	12	18	153	0	34	17	8	30	9	20	10	5	10
WIDE01010172T	249	223	115	74	121	143	32	18	70	155	17	0	35	34	75	204	33
CPCT02340081T	2	5	19	14	11	18	203	0	3	5	17	0	9	4	7	7	2
CPCT02010801T	4	114	120	3	59	21	61	12	10	58	21	29	100	22	11	120	19
CPCT02010794T	376	68	121	214	90	251	80	144	77	464	38	62	21	23	17	10	43
CPCT02340083T	355	56	50	9	69	95	154	0	13	13	23	15	30	37	26	16	5
CPCT02050347T	22	2	6	58	4	0	119	12	0	6	20	5	3	5	8	0	0
CPCT02120198T	168	55	40	69	55	68	33	12	23	7	66	10	32	25	26	29	12
CPCT02120199T	41	58	71	39	35	1	40	29	0	67	23	33	33	61	29	88	40
WIDE01010255T	817	25	105	130	391	145	79	115	130	7	25	63	41	51	92	20	20
CPCT02040241T	192	30	48	42	63	51	75	35	31	10	24	23	69	24	21	1	11
WIDE01010305T	384	31	78	64	169	0	37	58	39	16	112	0	53	27	30	0	7
WIDE01010314T	104	2	100	146	38	9	41	16	60	17	43	0	56	54	59	7	39
CPCT02060228T	84	36	125	207	73	105	53	14	16	13	0	22	35	47	3	17	21
WIDE01010328T	43	11	48	35	50	41	27	29	8	5	12	35	56	78	32	1	0
CPCT02030479T	377	19	6	212	136	73	110	46	98	12	42	0	3	54	19	4	1
CPCT02040246T	174	32	15	101	34	19	44	22	1	19	51	0	31	38	44	3	12
WIDE01010376T	51	20	63	36	19	8	28	6	28	3	20	0	15	9	7	12	6
WIDE01010381T	282	1336	390	15	113	109	40	3	35	146	54	0	40	59	77	266	7
WIDE01010392T	111	32	40	36	39	43	34	32	3	10	33	23	31	73	37	27	19
CPCT02080221T	7	4	0	57	44	0	86	14	0	8	34	3	0	4	5	12	9
CPCT02020723T	3	29	21	22	38	0	38	10	0	20	26	8	6	9	1	0	13
CPCT02020736T	104	12	149	66	61	0	118	40	1	18	47	37	65	21	19	24	3
CPCT02020743T	47	10	32	12	34	13	83	17	33	0	44	35	29	17	3	11	0
CPCT02020739T	297	7	93	76	215	53	171	43	106	9	163	64	132	110	26	6	0
CPCT02050365T	283	40	49	90	81	13	117	20	59	18	69	0	78	20	17	5	0
CPCT02020670TII	765	53	92	18	235	106	93	66	55	9	62	6	67	33	47	0	20
CPCT02030490T	92	46	88	139	71	0	97	67	7	21	40	71	29	24	16	8	24
CPCT02300042T	223	53	102	79	155	87	98	5	45	11	23	59	42	25	34	40	28
CPCT02020700T	109	27	43	42	104	17	37	5	0	4	0	125	17	15	2	8	7
CPCT02220050T	44	89	63	203	45	199	71	104	11	45	18	86	48	22	11	56	22
CPCT02050370T	594	113	63	116	145	124	51	91	103	29	43	68	33	62	53	4	8
CPCT02050373T	2	0	14	16	18	17	60	9	0	2	1	1	48	10	6	15	4
CPCT02080234T	597	59	105	689	239	406	102	176	213	36	0	148	0	34	71	11	49
CPCT02030499T	107	42	13	47	17	17	63	27	23	8	2	49	20	34	18	27	4
CPCT02020770T	249	15	42	55	138	97	63	21	30	20	46	32	16	1	18	32	5
CPCT02050376T	11	1	97	0	52	4	65	0	22	15	19	10	146	0	12	15	3
CPCT02080239T	64	6	22	16	47	12	26	13	17	7	33	4	31	4	5	5	5
CPCT02050301T	97	8	20	55	44	29	74	6	15	12	30	32	6	20	17	11	0
CPCT02080242T	197	65	27	40	80	57	91	0	93	5	17	0	38	32	28	8	1
CPCT02020789T	291	73	28	42	87	59	53	50	23	1263	41	0	33	29	23	23	25
CPCT02020796T	21	28	142	0	87	0	88	53	0	0	0	551	54	0	42	5	0
CPCT02220057T	299	40	66	53	132	80	84	14	72	10	79	49	30	52	51	0	0
CPCT02340098T	132	47	34	40	40	60	121	16	52	0	5	27	12	21	21	17	3
CPCT02340097T	206	62	67	46	39	22	48	41	0	4	29	26	56	36	15	17	4
CPCT02170038T	102	36	60	31	27	0	95	13	26	8	25	23	45	15	28	7	0
CPCT02010920T	6	2	0	30	12	38	50	30	33	13	15	7	3	1	2	9	1
CPCT02050399T	0	11	62	44	0	57	117	1	32	13	19	0	55	11	2	12	0
CPCT02050404T	3	28	61	19	14	0	49	4	13	16	20	33	32	3	3	4	7
CPCT02050402T	36	37	29	64	41	4	150	14	9	5	24	0	6	15	13	23	0
CPCT02060256T	74	29	77	37	41	49	52	28	7	10	10	43	17	32	20	12	11
CPCT02080259T	105	39	41	86	43	48	51	21	45	29	2	0	4	5	18	54	16
CPCT02020813T	124	21	70	62	60	0	42	35	0	25	48	52	10	11	20	20	10
CPCT02020785T	1412	95	304	105	469	98	119	186	435	20	248	178	97	195	237	7	0
