Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP124389	20	169	25	23	0	21	3	32	53	7	7	16	0	17	10	13	0	7	0
SP124362	7	415	80	56	9	28	2	77	28	98	20	72	16	56	31	31	0	0	0
SP124394	9	184	30	126	0	57	11	4	46	0	9	19	42	37	0	24	5	2	0
SP124334	16	180	67	66	4	101	0	13	8	0	10	32	2	23	7	7	0	11	1
SP124339	2	0	17	29	2	11	0	0	0	6	12	6	2	10	14	3	3	12	0
SP124454	22	104	59	60	0	51	4	8	34	27	5	0	4	15	5	5	50	7	0
SP124380	16	275	29	48	0	55	4	14	20	0	7	34	13	138	21	57	0	10	5
SP124273	19	10	203	12	7	36	1	0	34	0	2	16	0	0	26	10	104	10	1
SP124357	36	10	43	25	4	32	0	21	6	3	8	29	4	40	20	9	14	9	0
SP124399	19	285	105	160	11	81	0	66	50	0	6	11	38	60	38	61	0	1	2
SP124311	10	334	58	219	0	30	4	4	50	32	33	58	23	91	10	58	0	1	0
SP124355	9	2	56	12	0	26	2	0	0	51	2	10	2	22	12	1	1	15	0
SP124434	27	210	41	55	3	65	5	42	34	16	12	0	44	26	21	32	0	5	4
SP124428	27	521	148	190	28	221	10	38	60	59	19	0	211	20	40	75	48	0	3
SP124449	51	212	133	62	31	50	1	45	21	0	6	49	0	58	20	34	6	1	1
SP124298	26	583	109	443	37	87	7	113	97	93	25	105	103	87	3	133	56	0	0
SP124431	8	180	35	164	5	80	4	8	23	0	6	19	29	71	2	32	18	7	5
SP124396	97	124	113	52	0	32	0	10	41	21	27	35	19	20	18	16	19	22	3
SP124409	19	376	99	56	8	56	3	100	88	109	16	80	19	60	0	54	0	11	0
SP124341	26	10	53	0	0	78	0	0	48	0	3	8	8	13	7	10	97	2	0
SP124353	2	2	21	20	0	46	2	11	6	0	2	0	2	0	10	5	0	11	0
SP124278	29	4	137	14	0	20	2	8	20	0	10	1	13	22	30	0	23	7	0
SP124376	23	116	40	77	0	39	5	0	29	25	17	24	51	19	15	1	27	13	0
SP124346	22	43	186	12	0	87	0	20	22	0	21	29	6	27	50	2	9	7	2
SP124439	33	541	27	118	27	70	15	137	35	32	9	7	11	51	16	82	0	7	4
SP124351	7	6	24	24	3	16	0	14	6	0	4	0	4	10	4	1	10	2	0
SP124406	79	161	3	76	1	85	4	3	48	0	74	17	30	3	0	25	11	108	0
SP124323	19	9	64	17	0	18	0	0	15	0	1	2	11	14	6	0	33	12	0
SP124391	7	10	64	22	0	33	5	19	11	19	7	50	11	5	20	1	33	5	0
SP124423	0	27	10	7	0	6	0	0	11	0	3	2	1	7	4	0	0	0	1
SP124382	29	1197	23	735	10	391	0	148	185	0	54	142	127	0	3	89	0	19	1
SP124415	39	717	76	96	66	185	25	413	91	72	7	0	20	70	0	339	0	2	16
SP124436	36	755	188	290	16	189	3	112	94	108	51	142	12	101	3	67	95	22	0
SP124460	51	367	91	47	9	59	4	72	39	78	19	56	26	28	28	43	0	7	0
SP124425	5	127	15	77	0	12	3	13	24	60	4	10	17	34	3	5	6	0	0
SP124456	31	85	9	158	0	7	5	0	19	10	1	0	39	25	0	16	14	25	0
SP124367	21	244	42	112	0	84	5	21	22	102	18	17	17	21	0	20	0	8	2
SP124281	8	6	65	5	2	3	3	8	12	0	7	14	4	10	6	7	21	1	0
SP124377	3	143	26	145	0	60	4	4	19	0	15	40	66	7	1	0	14	10	1
SP124412	9	185	32	112	4	16	4	12	18	0	12	0	3	38	3	2	4	13	0
SP124333	10	63	37	64	5	55	0	13	33	6	9	29	13	23	6	11	7	2	0
SP124359	28	0	117	15	0	66	1	0	9	20	10	21	6	23	24	14	55	8	0
SP124286	18	2	29	9	0	20	0	0	0	0	4	0	2	18	2	2	0	5	0
SP124329	0	82	3	34	0	16	0	14	9	14	8	1	19	11	5	0	0	2	0
SP124326	21	70	80	80	0	37	1	0	19	43	13	33	11	0	15	9	59	7	0
SP124458	31	281	30	280	0	102	10	47	42	22	21	20	102	93	1	35	0	11	0
SP124401	70	1068	123	330	0	170	24	174	84	113	28	133	118	79	17	126	40	13	11
SP124264	17	11	94	0	10	211	0	23	67	0	11	12	2	77	0	7	0	6	1
SP124384	16080	345	2891	65	0	306	0	0	225	0	85	0	57	49	183	2	998	150	564
SP124403	3	24	0	38	0	0	0	2	3	36	1	32	9	0	2	2	1	2	0
SP124462	42	241	77	181	0	84	10	0	56	0	30	84	36	62	7	34	0	20	0
SP124271	44	15	281	48	0	135	4	37	38	83	11	22	12	116	20	7	7	2	2
SP124336	1	5	167	11	2	38	1	17	27	28	8	32	1	4	46	4	44	18	0
SP124452	20	184	38	196	0	73	9	33	6	0	11	25	25	2	6	9	0	11	1
SP124386	23	248	64	157	22	3	0	67	48	0	12	28	104	2	16	31	21	26	0
SP124441	106	6	78	15	0	121	2	12	19	0	8	12	16	29	2	6	59	48	0
SP124418	11	237	24	83	1	3	5	46	46	77	9	43	8	17	6	11	0	1	0
SP124291	19	0	97	31	1	29	0	9	19	0	7	13	13	17	10	2	3	27	4
SP124319	8	320	18	82	0	3	0	29	25	76	8	6	27	31	5	10	0	9	0
SP124305	0	64	82	53	0	6	3	23	39	0	16	27	12	45	27	0	49	9	0
SP124447	85	950	76	924	49	375	13	308	109	0	66	250	438	40	3	205	0	0	1
SP124344	8	0	39	5	1	51	3	6	9	15	5	11	9	13	6	8	24	12	0
SP124369	26	240	42	129	10	33	7	76	52	0	21	73	18	103	23	42	0	8	0
SP124348	0	1	28	9	0	34	0	10	0	0	0	0	0	0	11	1	119	0	0
SP124295	97	22	147	5	0	106	1	0	15	0	8	76	2	27	5	2	50	17	0
SP124444	29	50	124	37	4	1	7	8	6	0	1	28	13	22	36	7	0	13	3
SP124365	27	192	46	120	0	94	4	47	51	17	20	6	12	31	8	21	21	20	3
SP124420	23	115	64	95	7	46	3	31	23	29	12	39	68	26	13	0	12	13	0
SP124364	100	202	125	79	1	40	0	29	18	0	447	22	25	32	0	12	0	653	0
SP124307	31	265	52	55	0	28	3	56	23	0	27	42	78	42	5	11	2	24	1
SP82445	16	787	49	60	3	217	9	263	58	0	16	96	1	0	0	163	0	0	0
SP83242	24	149	38	60	0	70	5	6	32	0	18	46	0	24	6	21	0	7	9
SP103894	38	341	21	226	0	97	5	12	36	11	3405	63	54	19	0	21	23	348	12
SP83382	17	119	34	109	0	29	0	0	18	70	22	63	75	25	4	6	0	21	0
SP82451	27	93	100	46	0	75	5	2	33	62	33	24	19	29	13	3	49	31	28
SP104330	0	7	3	42	0	0	1	0	6	0	3	4	0	3	2	3	0	7	0
SP83312	25	145	9	59	0	36	0	18	15	37	10	0	33	40	10	0	22	0	25
SP82614	24	141	12	110	9	40	3	34	1	0	8	40	34	47	4	16	1	9	10
SP82431	54	704	19	429	0	108	11	129	80	71	36	127	48	121	0	124	0	0	0
SP82459	5	119	39	32	1	57	0	31	27	13	5	42	9	33	6	5	0	0	20
SP113197	0	6	28	1	0	37	2	4	8	0	5	5	4	23	19	0	18	10	8
SP82532	7	320	69	112	0	145	4	41	48	61	9	36	14	1	15	55	49	14	6
SP82636	54	17	77	11	1	50	0	13	25	0	13	18	7	21	15	3	59	5	5
SP82796	17	111	51	12	10	58	0	1	19	0	4	45	3	21	13	20	2	5	24
SP83482	39	98	25	27	0	69	2	10	24	3	6	11	1	14	8	26	23	15	19
SP104530	80	132	412	121	0	162	11	23	35	27	13	47	23	17	33	31	100	15	2
SP82429	14	49	37	45	0	21	9	10	27	19	7	25	10	25	15	10	23	2	5
SP82644	19	455	66	138	0	56	9	71	51	0	12	109	108	23	1	4	0	20	0
SP82988	32	131	50	23	0	24	1	38	33	0	8	59	5	0	16	12	36	8	3
