Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP124389	262	19	30	36	5	64	7
SP124362	686	0	128	136	12	38	26
SP124394	274	9	228	37	13	34	10
SP124334	266	16	108	96	0	49	13
SP124339	0	5	56	39	1	5	23
SP124454	160	26	106	98	5	57	8
SP124380	483	21	124	57	8	39	14
SP124273	15	22	25	348	7	65	9
SP124357	25	51	68	89	5	57	18
SP124399	451	16	263	178	11	72	3
SP124311	517	5	362	80	11	0	40
SP124355	14	16	52	100	3	27	11
SP124434	337	31	122	67	11	59	15
SP124428	812	29	476	245	30	103	23
SP124449	339	54	97	212	26	47	6
SP124298	937	26	784	164	56	109	31
SP124431	280	11	292	54	12	37	10
SP124396	191	113	104	172	0	49	40
SP124409	632	20	142	147	13	177	23
SP124341	21	38	34	117	0	143	10
SP124353	2	5	38	37	2	49	7
SP124278	5	33	35	224	2	26	15
SP124376	179	31	179	70	6	27	29
SP124346	66	23	38	305	0	85	28
SP124439	870	27	171	38	52	59	5
SP124351	9	9	41	45	2	23	6
SP124406	248	110	150	0	6	81	133
SP124323	13	25	42	110	0	24	7
SP124391	22	12	69	124	10	70	15
SP124423	40	0	10	16	0	10	3
SP124382	1745	5	1128	0	0	229	46
SP124415	1284	46	157	129	135	481	2
SP124436	1191	32	497	293	17	184	70
SP124460	599	54	112	143	13	79	24
SP124425	207	6	154	21	5	15	7
SP124456	118	42	264	2	9	0	9
SP124367	384	24	214	51	6	53	24
SP124281	10	9	14	110	7	22	10
SP124377	208	5	271	35	2	15	22
SP124412	257	6	144	39	7	0	14
SP124333	98	12	125	59	3	77	12
SP124359	6	39	60	212	3	77	20
SP124286	4	23	23	42	0	12	7
SP124329	126	0	70	5	0	7	10
SP124326	111	26	155	142	3	40	21
SP124458	434	40	532	31	18	42	31
SP124401	1690	64	617	173	40	107	30
SP124264	31	28	57	145	0	270	18
SP124384	454	18543	274	2407	0	244	78
SP124403	45	5	89	0	2	10	4
SP124462	367	48	325	105	13	64	42
SP124271	45	56	152	443	2	165	21
SP124336	14	3	36	300	4	78	19
SP124452	258	19	296	48	13	3	12
SP124386	387	28	299	106	18	12	22
SP124441	14	144	77	130	0	142	32
SP124418	379	8	147	31	11	43	9
SP124291	0	26	60	156	0	41	18
SP124319	490	4	140	14	0	0	9
