Samples	ID1	ID2	ID3	ID4	ID8	ID9	ID13	ID19	ID21	ID22	ID25	ID83H	ID83I	ID83J
SP124389	47	32	87	0	0	0	257	0	0	0	0	0	0	0
SP124362	150	0	0	0	151	0	725	0	0	0	0	0	0	0
SP124394	59	0	0	0	219	0	327	0	0	0	0	0	0	0
SP124334	92	31	0	0	95	83	247	0	0	0	0	0	0	0
SP124339	24	0	0	23	38	0	0	0	0	0	0	44	0	0
SP124454	97	39	0	0	95	69	160	0	0	0	0	0	0	0
SP124380	99	0	0	0	0	0	647	0	0	0	0	0	0	0
SP124273	491	0	0	0	0	0	0	0	0	0	0	0	0	0
SP124357	68	52	0	0	54	0	0	0	0	0	0	139	0	0
SP124399	191	0	0	0	285	0	518	0	0	0	0	0	0	0
SP124311	103	0	0	0	342	0	570	0	0	0	0	0	0	0
SP124355	94	25	0	0	48	56	0	0	0	0	0	0	0	0
SP124434	88	54	0	0	128	0	372	0	0	0	0	0	0	0
SP124428	257	0	0	0	0	0	860	0	0	0	0	0	0	601
SP124449	207	86	0	0	117	0	371	0	0	0	0	0	0	0
SP124298	230	0	0	0	780	0	1097	0	0	0	0	0	0	0
SP124431	69	0	0	0	244	95	288	0	0	0	0	0	0	0
SP124396	186	148	0	0	107	0	228	0	0	0	0	0	0	0
SP124409	158	0	217	0	155	0	624	0	0	0	0	0	0	0
SP124341	138	58	0	0	0	167	0	0	0	0	0	0	0	0
SP124353	41	0	0	0	37	62	0	0	0	0	0	0	0	0
SP124278	271	69	0	0	0	0	0	0	0	0	0	0	0	0
SP124376	74	42	0	0	100	0	194	0	0	0	0	0	0	111
SP124346	353	0	0	0	0	192	0	0	0	0	0	0	0	0
SP124439	90	0	0	0	221	0	911	0	0	0	0	0	0	0
SP124351	44	13	35	0	43	0	0	0	0	0	0	0	0	0
SP124406	0	119	0	171	118	91	229	0	0	0	0	0	0	0
SP124323	105	36	0	0	39	41	0	0	0	0	0	0	0	0
SP124391	96	0	0	0	52	55	0	0	0	0	0	119	0	0
SP124423	16	0	18	0	0	0	45	0	0	0	0	0	0	0
SP124382	0	0	0	0	1000	407	1746	0	0	0	0	0	0	0
SP124415	149	0	0	0	0	0	1200	0	0	0	0	0	885	0
SP124436	353	0	0	0	555	0	1376	0	0	0	0	0	0	0
SP124460	189	107	0	0	0	0	728	0	0	0	0	0	0	0
SP124425	36	0	0	0	145	0	234	0	0	0	0	0	0	0
SP124456	0	52	0	0	241	0	151	0	0	0	0	0	0	0
SP124367	71	42	0	0	182	92	369	0	0	0	0	0	0	0
SP124281	182	0	0	0	0	0	0	0	0	0	0	0	0	0
SP124377	42	0	0	0	146	60	194	0	0	0	0	0	0	116
SP124412	50	0	0	0	144	0	273	0	0	0	0	0	0	0
SP124333	69	0	0	0	116	93	108	0	0	0	0	0	0	0
SP124359	223	65	0	0	0	129	0	0	0	0	0	0	0	0
SP124286	41	27	0	0	19	24	0	0	0	0	0	0	0	0
SP124329	0	0	0	0	70	0	148	0	0	0	0	0	0	0
SP124326	110	35	0	0	121	0	112	0	0	0	0	120	0	0
SP124458	82	0	0	0	505	0	541	0	0	0	0	0	0	0
SP124401	268	0	0	0	620	0	1833	0	0	0	0	0	0	0
SP124264	176	48	0	0	0	325	0	0	0	0	0	0	0	0
