NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	359.029	27.049	95.473	15.535	8.59	0.949	1000000.0
2	317.483	26.37	74.344	14.925	33.801	0.952	1000000.0
3	362.759	26.443	91.486	15.079	8.624	0.952	1000000.0
4	292.504	26.505	61.953	14.997	25.439	0.95	1000000.0
5	334.195	27.423	78.199	15.728	17.038	0.946	1000000.0
6	306.255	26.637	68.588	15.381	17.007	0.95	1000000.0
7	300.427	26.496	66.501	15.022	25.383	0.952	1000000.0
8	315.569	26.985	73.314	15.383	34.006	0.945	1000000.0
9	301.341	26.419	67.112	14.802	8.597	0.952	1000000.0
10	315.308	26.496	71.579	15.168	42.609	0.949	1000000.0
11	318.458	26.835	72.147	15.148	33.797	0.952	1000000.0
12	317.937	26.4	74.463	15.069	50.573	0.953	1000000.0
13	305.017	26.801	69.321	15.408	25.41	0.948	1000000.0
14	287.869	26.1	62.533	14.938	25.389	0.953	1000000.0
15	338.214	26.135	80.165	14.816	16.962	0.955	1000000.0
16	282.406	26.799	60.696	15.483	8.611	0.95	1000000.0
17	306.916	26.868	68.965	15.208	92.566	0.949	1000000.0
18	323.254	25.773	75.726	14.852	42.187	0.954	1000000.0
19	296.547	26.455	67.722	14.942	0.233	0.949	1000000.0
20	293.048	26.733	62.543	15.24	42.175	0.954	1000000.0
21	312.457	26.778	71.245	15.556	50.557	0.949	1000000.0
22	288.148	26.568	61.464	15.161	42.216	0.949	1000000.0
23	292.15	26.395	62.412	15.058	0.214	0.953	1000000.0
24	307.509	26.17	68.062	14.637	17.025	0.952	1000000.0
25	300.555	26.852	68.236	15.309	33.784	0.953	1000000.0
26	304.998	26.89	64.889	15.48	17.005	0.949	1000000.0
27	300.422	26.42	67.779	15.066	16.978	0.949	1000000.0
28	290.809	26.897	63.885	15.346	33.766	0.947	1000000.0
29	288.064	26.137	61.351	15.216	16.988	0.952	1000000.0
30	323.894	26.934	75.103	15.615	42.601	0.949	1000000.0
31	319.651	26.144	74.242	14.886	8.587	0.956	1000000.0
32	310.332	26.259	68.559	15.101	25.369	0.952	1000000.0
33	294.183	26.856	64.231	15.232	8.614	0.95	1000000.0
34	318.066	27.042	73.184	15.539	25.394	0.951	1000000.0
35	293.607	26.148	62.456	14.97	17.002	0.953	1000000.0
36	300.967	26.568	68.473	15.082	34.219	0.953	1000000.0
37	309.469	25.582	71.113	14.422	16.99	0.958	1000000.0
38	296.183	26.831	63.813	15.026	25.408	0.952	1000000.0
39	307.523	26.187	67.598	14.946	25.392	0.955	1000000.0
40	301.056	26.359	66.19	15.002	33.814	0.953	1000000.0
41	289.522	26.6	63.627	15.378	17.192	0.95	1000000.0
42	323.799	26.774	76.3	15.429	25.395	0.952	1000000.0
43	292.736	26.704	62.193	15.13	33.795	0.95	1000000.0
44	296.35	25.949	66.165	14.82	16.991	0.958	1000000.0
45	297.613	26.287	64.894	14.895	17.15	0.955	1000000.0
46	371.084	26.048	96.92	14.802	33.786	0.956	1000000.0
47	327.655	26.426	72.241	15.381	8.583	0.951	1000000.0
48	327.211	26.425	72.484	15.013	51.025	0.953	1000000.0
49	320.267	26.191	71.807	14.677	25.384	0.955	1000000.0
50	294.283	26.225	60.737	14.986	8.607	0.952	1000000.0
51	364.519	26.917	96.699	16.166	67.386	0.941	1000000.0
52	317.29	26.866	72.222	15.756	17.014	0.945	1000000.0
53	303.605	26.486	67.564	15.251	16.975	0.95	1000000.0
54	298.148	25.963	64.807	14.575	42.168	0.954	1000000.0
55	363.32	26.58	93.284	15.206	25.405	0.952	1000000.0
56	298.302	25.929	64.353	14.739	17.139	0.957	1000000.0
57	307.937	26.968	69.847	15.067	25.406	0.951	1000000.0
58	359.197	26.107	90.997	14.856	42.192	0.956	1000000.0
59	295.76	26.639	64.319	14.875	33.774	0.952	1000000.0
60	322.031	26.287	77.956	14.877	58.973	0.952	1000000.0
61	306.885	26.341	67.293	14.904	16.999	0.953	1000000.0
62	358.294	26.411	88.367	14.801	8.605	0.957	1000000.0
63	301.644	27.289	65.332	15.801	33.816	0.947	1000000.0
64	347.475	26.765	85.127	15.203	59.43	0.947	1000000.0
65	308.723	25.841	66.859	14.597	16.965	0.954	1000000.0
66	338.104	26.942	80.053	15.671	33.789	0.949	1000000.0
67	306.468	26.897	70.359	15.444	17.025	0.951	1000000.0
68	311.298	26.264	69.329	14.887	33.81	0.955	1000000.0
69	301.959	26.699	66.082	15.399	25.41	0.95	1000000.0
70	299.798	26.698	63.613	15.429	33.788	0.951	1000000.0
71	342.015	26.115	82.807	15.072	33.789	0.952	1000000.0
72	305.505	26.765	70.001	14.89	25.835	0.949	1000000.0
73	290.178	26.184	62.669	14.775	8.592	0.955	1000000.0
74	297.304	26.354	63.79	15.296	25.372	0.953	1000000.0
75	295.281	27.111	63.776	15.564	9.196	0.947	1000000.0
76	321.615	26.747	75.406	15.196	33.816	0.953	1000000.0
77	296.384	26.34	66.187	14.626	42.179	0.956	1000000.0
78	300.458	26.599	64.305	14.974	25.371	0.955	1000000.0
79	298.589	27.007	65.736	15.359	25.384	0.952	1000000.0
80	305.384	27.051	64.095	15.596	34.012	0.947	1000000.0
81	294.117	26.679	63.091	14.879	17.099	0.951	1000000.0
82	341.123	26.627	82.644	15.006	50.586	0.948	1000000.0
